Ensembl ID,Gene Symbol,Aire_pos_TEC (mean counts),Aire_ko_TEC (mean counts),Fold Change,FDR (BH)
ENSMUSG00000000003,Pbsn,5.757168277,0,0,0.032355761
ENSMUSG00000000215,Ins2,472.2060745,0,0,1.68588E-35
ENSMUSG00000000606,Vmn2r88,4.8030164,0,0,0.030985997
ENSMUSG00000001815,Evx2,12.97244521,0,0,3.96327E-05
ENSMUSG00000001819,Hoxd13,8.164052646,0,0,0.012266402
ENSMUSG00000001865,Cpa3,16.27434361,0,0,0.000486931
ENSMUSG00000002190,Clgn,42.29450039,0,0,1.18461E-12
ENSMUSG00000002240,4930432K09Rik,5.74641594,0,0,0.024452451
ENSMUSG00000004344,Gpx5,13.42801648,0,0,2.33534E-05
ENSMUSG00000004613,Lim2,11.48745571,0,0,0.000139311
ENSMUSG00000005891,Prl4a1,8.646504753,0,0,0.003066241
ENSMUSG00000005892,Trh,287.0064092,0,0,1.35022E-25
ENSMUSG00000005994,Tyrp1,56.63903557,0,0,4.4558E-17
ENSMUSG00000007209,Ceacam9,164.658519,0,0,5.54799E-32
ENSMUSG00000007457,2310003L06Rik,20.16084131,0,0,1.82471E-07
ENSMUSG00000007805,Twist2,8.641128585,0,0,0.001330979
ENSMUSG00000008590,Htr3b,16.29047211,0,0,2.85542E-05
ENSMUSG00000008874,Clec3a,46.51829365,0,0,4.42624E-08
ENSMUSG00000010435,Spaca7,35.94735664,0,0,7.73966E-12
ENSMUSG00000012042,4930579F01Rik,6.711320155,0,0,0.006059497
ENSMUSG00000012520,Phox2b,27.32235656,0,0,1.09806E-09
ENSMUSG00000014542,Clec4f,634.4146998,0,0,8.8248E-64
ENSMUSG00000015001,Oc90,67.64941534,0,0,1.02044E-11
ENSMUSG00000015441,Gzmf,50.35102967,0,0,6.48861E-16
ENSMUSG00000015443,Gzmn,15.37395341,0,0,0.000204085
ENSMUSG00000016458,Wt1,28.27650844,0,0,1.8116E-09
ENSMUSG00000016626,Nlrp14,24.47602943,0,0,3.62591E-09
ENSMUSG00000016998,Svs4,131.509104,0,0,1.01165E-32
ENSMUSG00000017000,Svs6,5.757168277,0,0,0.063939611
ENSMUSG00000017003,Svs3a,6.722072492,0,0,0.006098617
ENSMUSG00000017004,Svs5,24.90471985,0,0,1.00842E-06
ENSMUSG00000017310,Spint4,6.244996553,0,0,0.009224985
ENSMUSG00000017316,Ppy,622.8949871,0,0,8.2838E-24
ENSMUSG00000017733,Spinlw1,5.280092339,0,0,0.020618211
ENSMUSG00000017817,Jph2,51.8145145,0,0,5.19766E-08
ENSMUSG00000017922,Prl3c1,6.69519165,0,0,0.006014209
ENSMUSG00000019232,Agxt2l1,13.44414498,0,0,0.074727488
ENSMUSG00000019772,Vip,284.9744536,0,0,1.66215E-58
ENSMUSG00000019905,Gprc6a,44.17054714,0,0,3.34357E-14
ENSMUSG00000019909,Fam162b,55.65800285,0,0,1.30409E-16
ENSMUSG00000019933,2310015B20Rik,6.711320155,0,0,0.017417423
ENSMUSG00000020090,Npffr1,19.65688453,0,0,3.19738E-07
ENSMUSG00000020125,Elane,6.727448661,0,0,0.013212565
ENSMUSG00000020168,Olfr299,4.797640231,0,0,0.065688664
ENSMUSG00000020229,Slc5a4a,20.1285843,0,0,2.04251E-07
ENSMUSG00000020428,Gabra6,16.78905273,0,0,6.79928E-06
ENSMUSG00000020562,Efcab10,24.47602943,0,0,1.51048E-06
ENSMUSG00000020583,Matn3,71.53591305,0,0,3.77791E-21
ENSMUSG00000020591,Ntsr2,15.85102935,0,0,0.00187652
ENSMUSG00000020636,Allc,11.03188445,0,0,0.0001435
ENSMUSG00000020686,Gas2l2,52.30771894,0,0,1.44681E-16
ENSMUSG00000020703,5530401A14Rik,5.280092339,0,0,0.020684651
ENSMUSG00000020805,Slc13a5,62.33168983,0,0,6.27693E-10
ENSMUSG00000020945,Lyzl6,7.681600538,0,0,0.0121819
ENSMUSG00000021081,Serpina1f,5.757168277,0,0,0.013373751
ENSMUSG00000021095,Gsc,10.0723564,0,0,0.000385072
ENSMUSG00000021439,Ctsq,31.6859302,0,0,1.97016E-07
ENSMUSG00000021440,Cts7,14.86999663,0,0,8.24978E-06
ENSMUSG00000021441,Cts6,42.74469549,0,0,6.41223E-13
ENSMUSG00000021538,Il9,197.7810532,0,0,2.47189E-42
ENSMUSG00000021647,Cartpt,75.79733948,0,0,4.82107E-21
ENSMUSG00000021848,Otx2,13.90509242,0,0,1.40939E-05
ENSMUSG00000022044,Stmn4,26.41121403,0,0,8.94707E-09
ENSMUSG00000022155,Heatr7b2,6.239620385,0,0,0.009265709
ENSMUSG00000022156,Gzme,12.93481203,0,0,0.002973665
ENSMUSG00000022157,Mcpt8,45.14620369,0,0,5.90741E-10
ENSMUSG00000022225,Cma1,249.0539778,0,0,2.6384E-35
ENSMUSG00000022226,Mcpt2,315.3313031,0,0,7.19653E-29
ENSMUSG00000022227,Mcpt1,310.31324,0,0,6.81271E-49
ENSMUSG00000022303,Dcstamp,41.27583449,0,0,1.6498E-13
ENSMUSG00000022347,A1bg,19.64613219,0,0,1.09694E-06
ENSMUSG00000022431,Ribc2,13.91046859,0,0,0.000275602
ENSMUSG00000022650,Retnlb,129.0430818,0,0,3.95369E-15
ENSMUSG00000022651,Retnlg,32.11999679,0,0,2.21685E-08
ENSMUSG00000022877,Hrg,11.52508889,0,0,0.000130113
ENSMUSG00000023093,Gm7257,77.85617596,0,0,3.13197E-10
ENSMUSG00000023192,Grm2,134.317798,0,0,8.6668E-34
ENSMUSG00000023257,Cypt1,6.223491879,0,0,0.014125439
ENSMUSG00000023263,9530002B09Rik,11.50896039,0,0,0.000116042
ENSMUSG00000023279,Bmp15,11.98603633,0,0,7.74281E-05
ENSMUSG00000023802,Nox3,5.751792109,0,0,0.013999208
ENSMUSG00000023943,Sult1c1,74.88619695,0,0,2.06766E-18
ENSMUSG00000023982,Guca1a,42.65330063,0,0,1.78075E-11
ENSMUSG00000023993,Treml1,59.97856714,0,0,1.15142E-17
ENSMUSG00000024107,Lhcgr,14.86999663,0,0,1.12896E-05
ENSMUSG00000024116,Prss21,12.00216483,0,0,0.000103429
ENSMUSG00000024154,Gtf2a1l,6.244996553,0,0,0.009075797
ENSMUSG00000024245,Tmem178,25.88037641,0,0,3.15647E-09
ENSMUSG00000024481,4833403I15Rik,30.67264047,0,0,2.7506E-10
ENSMUSG00000024512,2310002L13Rik,11.98066016,0,0,7.89474E-05
ENSMUSG00000024565,Sall3,15.82952468,0,0,3.72418E-06
ENSMUSG00000024650,Slc22a6,15.34707257,0,0,9.50808E-06
ENSMUSG00000024680,Ms4a2,186.7437926,0,0,4.29853E-30
ENSMUSG00000024694,Keg1,16.32810529,0,0,0.000443583
ENSMUSG00000024768,Lipf,140.2147466,0,0,5.89104E-29
ENSMUSG00000024979,Tectb,298.016789,0,0,1.30528E-59
ENSMUSG00000025003,Cyp2c39,8.635752416,0,0,0.001144139
ENSMUSG00000025090,1700011F14Rik,4.315188124,0,0,0.046918868
ENSMUSG00000025389,Mip,240.5096202,0,0,3.43292E-46
ENSMUSG00000025405,Inhbc,7.665472033,0,0,0.002600808
ENSMUSG00000025528,2010106E10Rik,25.43555748,0,0,4.54294E-09
ENSMUSG00000025929,Il17a,18.70810882,0,0,1.92493E-05
ENSMUSG00000025952,Crygc,18.70810882,0,0,5.12277E-07
ENSMUSG00000026125,Prss39,10.54405617,0,0,0.001472409
ENSMUSG00000026182,Tnp1,7.2045246,0,0,0.012300298
ENSMUSG00000026246,Alppl2,714.130794,0,0,4.13574E-38
ENSMUSG00000026420,Il24,196.7408827,0,0,2.80302E-43
ENSMUSG00000026531,1810030J14Rik,13.91584475,0,0,0.000950583
ENSMUSG00000026560,Fmo9,8.174804983,0,0,0.001882086
ENSMUSG00000026882,4930568D16Rik,27.7994325,0,0,5.98967E-10
ENSMUSG00000026919,Lcn4,51.36969557,0,0,4.21398E-15
ENSMUSG00000026936,Lcn3,323.8810369,0,0,4.68583E-54
ENSMUSG00000026937,Lcn5,12.01291717,0,0,9.08845E-05
ENSMUSG00000027335,Adra1d,15.83490085,0,0,5.08594E-06
ENSMUSG00000027416,Otor,46.10573174,0,0,6.71708E-07
ENSMUSG00000027442,Cst8,143.8808214,0,0,6.24739E-19
ENSMUSG00000027443,Cst12,24.44914859,0,0,1.26941E-06
ENSMUSG00000027444,8030411F24Rik,7.188396094,0,0,0.00403562
ENSMUSG00000027445,Cst9,121.9030712,0,0,1.33032E-18
ENSMUSG00000027468,Defb22,33.6372433,0,0,6.60706E-09
ENSMUSG00000027517,Ankrd60,9.118204524,0,0,0.00097011
ENSMUSG00000027556,Car1,223.6291726,0,0,5.1762E-36
ENSMUSG00000027596,a,34.60214752,0,0,9.98162E-09
ENSMUSG00000027656,Wisp2,65.29629266,0,0,9.29686E-18
ENSMUSG00000027832,Ptx3,98.35968899,0,0,1.51103E-26
ENSMUSG00000027871,Hsd3b1,106.0735465,0,0,4.17209E-28
ENSMUSG00000027923,Lce1b,21.10424085,0,0,9.32773E-08
ENSMUSG00000027927,Lelp1,5.757168277,0,0,0.065574744
ENSMUSG00000027966,Col11a1,142.9374219,0,0,7.58415E-36
ENSMUSG00000027996,Sfrp2,40.31093028,0,0,2.85621E-09
ENSMUSG00000028001,Fga,458.9608477,0,0,3.18469E-32
ENSMUSG00000028174,Rpe65,10.06160406,0,0,0.003145847
ENSMUSG00000028259,Fhl5,11.49820805,0,0,0.000319849
ENSMUSG00000028310,Ppp3r2,13.43876882,0,0,3.14706E-05
ENSMUSG00000028584,Lrrc38,7.67622437,0,0,0.00432747
ENSMUSG00000028589,1700012P22Rik,6.700567818,0,0,0.005629226
ENSMUSG00000028747,Htr6,9.606032799,0,0,0.00851469
ENSMUSG00000029155,Spata18,89.79920293,0,0,2.04821E-13
ENSMUSG00000029158,Yipf7,7.670848201,0,0,0.002783973
ENSMUSG00000029182,1700001C02Rik,21.64045464,0,0,7.93643E-05
ENSMUSG00000029236,Nmu,67.14008239,0,0,7.85146E-15
ENSMUSG00000029281,Smr2,5.27471617,0,0,0.022954978
ENSMUSG00000029286,Enam,69.06989082,0,0,3.04246E-21
ENSMUSG00000029288,Ambn,78.69205213,0,0,2.30982E-16
ENSMUSG00000029451,Gm13103,35.07384729,0,0,3.78396E-10
ENSMUSG00000029660,4930588N13Rik,6.705943987,0,0,0.006868867
ENSMUSG00000029683,Lmod2,3.832736016,0,0,0.070571248
ENSMUSG00000029685,Asb15,25.43555748,0,0,5.93291E-09
ENSMUSG00000029885,Moxd2,124.3475888,0,0,1.10581E-31
ENSMUSG00000030046,Bmp10,10.06698023,0,0,0.000338712
ENSMUSG00000030049,Gkn2,204.4601164,0,0,1.19109E-30
ENSMUSG00000030050,Gkn1,271.6593366,0,0,5.16707E-30
ENSMUSG00000030092,Cntn6,9.139709197,0,0,0.0006814
ENSMUSG00000030143,Gm8882,3.843488353,0,0,0.070629269
ENSMUSG00000030167,Klrc1,8.651880922,0,0,0.001235939
ENSMUSG00000030307,Slc6a11,156.9446615,0,0,7.15833E-21
ENSMUSG00000030310,Slc6a1,142.5356123,0,0,2.7247E-35
ENSMUSG00000030351,Tspan11,30.68876897,0,0,6.28615E-08
ENSMUSG00000030368,Ceacam11,40.29480177,0,0,2.47612E-13
ENSMUSG00000030865,2010110P09Rik,92.65090623,0,0,6.57811E-16
ENSMUSG00000030976,4930404H21Rik,12.01829334,0,0,0.005531172
ENSMUSG00000031085,Gm498,7.67622437,0,0,0.002821922
ENSMUSG00000031130,Brs3,19.22281794,0,0,1.77549E-05
ENSMUSG00000031160,Eras,4.309811955,0,0,0.04686123
ENSMUSG00000031204,Asb12,3.832736016,0,0,0.07882546
ENSMUSG00000031241,Tbx22,16.30122445,0,0,2.57442E-06
ENSMUSG00000031411,Prame,6.25574889,0,0,0.011475269
ENSMUSG00000031491,Chrna6,44.6099899,0,0,1.49578E-14
ENSMUSG00000031512,1700018L24Rik,13.91584475,0,0,2.08548E-05
ENSMUSG00000031552,Adam18,9.123580692,0,0,0.000898689
ENSMUSG00000031553,Adam3,9.118204524,0,0,0.040188898
ENSMUSG00000031610,Scrg1,31.63754468,0,0,2.5208E-06
ENSMUSG00000031966,Glb1l3,21.58131679,0,0,4.44109E-08
ENSMUSG00000032271,Nnmt,50.84961028,0,0,2.9709E-14
ENSMUSG00000032310,Cyp1a2,1135.68337,0,0,3.59751E-89
ENSMUSG00000032758,Kap,62.47684638,0,0,6.02107E-12
ENSMUSG00000032808,Cyp2c38,10.54943234,0,0,0.000316839
ENSMUSG00000032894,1700031F05Rik,101.7153491,0,0,7.08127E-15
ENSMUSG00000032948,Lipi,5.762544446,0,0,0.013499685
ENSMUSG00000033044,Dhrs7c,15.37932958,0,0,6.05631E-06
ENSMUSG00000033122,Hsd17b3,165.1732282,0,0,1.24077E-30
ENSMUSG00000033156,Cst10,191.0052191,0,0,3.60649E-18
ENSMUSG00000033219,Gm9758,11.04801295,0,0,0.001037801
ENSMUSG00000033633,Clec18a,32.1361253,0,0,5.31882E-07
ENSMUSG00000033834,Tpbpa,11.06414146,0,0,0.062830851
ENSMUSG00000034028,Cd226,22.11215441,0,0,3.47433E-08
ENSMUSG00000034031,1700106J16Rik,5.751792109,0,0,0.047147932
ENSMUSG00000034039,Prss29,1168.308727,0,0,6.82813E-54
ENSMUSG00000034087,Nlrp4b,3.843488353,0,0,0.07029685
ENSMUSG00000034660,Galp,35.97423748,0,0,7.76822E-12
ENSMUSG00000034677,Gpr142,7.188396094,0,0,0.00430356
ENSMUSG00000035238,Kcnk15,5.757168277,0,0,0.020743575
ENSMUSG00000035653,Lrfn5,11.04801295,0,0,0.000155255
ENSMUSG00000035780,Ugt2a3,9.616785136,0,0,0.002078172
ENSMUSG00000035804,Ins1,10.58168935,0,0,0.042407533
ENSMUSG00000036244,Tbc1d21,25.45168598,0,0,2.90557E-08
ENSMUSG00000036251,Trpm8,230.7100454,0,0,2.69593E-47
ENSMUSG00000036357,Gpr101,90.19026018,0,0,3.34138E-17
ENSMUSG00000036521,Abpe,4.320564292,0,0,0.046918868
ENSMUSG00000036816,Atoh7,20.62716491,0,0,1.59788E-07
ENSMUSG00000036899,Trpv5,32.65083441,0,0,7.39435E-08
ENSMUSG00000036924,Cst13,12.47924077,0,0,0.002723716
ENSMUSG00000036958,Cst11,17.27150483,0,0,1.56661E-06
ENSMUSG00000036996,1810009J06Rik,4.315188124,0,0,0.062461883
ENSMUSG00000037247,Pldi,17.76470928,0,0,1.31001E-06
ENSMUSG00000037424,Taar9,24.95848154,0,0,1.04502E-08
ENSMUSG00000037583,Nr0b2,29.29517434,0,0,4.06347E-10
ENSMUSG00000037689,1700090G07Rik,8.646504753,0,0,0.002438418
ENSMUSG00000037727,Avp,313.8301851,0,0,2.62068E-18
ENSMUSG00000038148,Cldn16,6.250372722,0,0,0.012091633
ENSMUSG00000038199,4931409K22Rik,80.14478462,0,0,8.5785E-22
ENSMUSG00000038210,Hoxa11,5.74641594,0,0,0.012876
ENSMUSG00000038330,C87499,10.08848491,0,0,0.000363026
ENSMUSG00000038624,Nepn,24.97998621,0,0,2.91058E-07
ENSMUSG00000038676,Ucn,15.36320108,0,0,4.5571E-05
ENSMUSG00000039095,En2,29.79375495,0,0,4.53468E-10
ENSMUSG00000039106,Htr5a,13.43339265,0,0,2.99421E-05
ENSMUSG00000039296,Spdyb,8.180181151,0,0,0.009328529
ENSMUSG00000039540,4921524L21Rik,5.280092339,0,0,0.027380783
ENSMUSG00000039742,Fam71f1,15.33094407,0,0,7.07991E-06
ENSMUSG00000039962,Olfr906,4.797640231,0,0,0.029610982
ENSMUSG00000040065,Pfpl,27.37074208,0,0,7.2104E-10
ENSMUSG00000040086,Tnni3k,31.1335879,0,0,1.35164E-06
ENSMUSG00000040132,Svs2,56.63903557,0,0,3.27506E-05
ENSMUSG00000040284,Gzmg,19.23894644,0,0,2.33047E-05
ENSMUSG00000040485,Lrrc52,18.21490437,0,0,1.49571E-06
ENSMUSG00000040838,Gm11639,8.625000079,0,0,0.007099735
ENSMUSG00000041014,Nrg3,13.92122092,0,0,2.00567E-05
ENSMUSG00000041138,Txndc3,11.03726062,0,0,0.000202206
ENSMUSG00000041333,Mup4,156.4138239,0,0,7.58415E-36
ENSMUSG00000041359,Tcl1,19.21744177,0,0,3.10123E-07
ENSMUSG00000041534,Rbp3,26.37358085,0,0,2.5892E-09
ENSMUSG00000041857,Oosp1,183.8060706,0,0,1.49424E-18
ENSMUSG00000042002,Foxn4,164.6531429,0,0,1.50822E-19
ENSMUSG00000042240,Crybb2,235.6850991,0,0,1.04242E-22
ENSMUSG00000042379,Esm1,23.48424437,0,0,2.47536E-08
ENSMUSG00000042459,Bpifa2,106.1004274,0,0,1.88049E-21
ENSMUSG00000042849,Olfr1414,4.8030164,0,0,0.031104815
ENSMUSG00000042949,Olfr957,6.234244216,0,0,0.009142822
ENSMUSG00000043089,Mmp1a,24.91547219,0,0,8.21257E-09
ENSMUSG00000043366,Olfr78,67.63328684,0,0,1.0447E-14
ENSMUSG00000043485,Krt34,43.17876208,0,0,2.92047E-09
ENSMUSG00000043605,Olfr13,4.320564292,0,0,0.04646571
ENSMUSG00000043897,Vmn2r2,19.19593709,0,0,3.61385E-07
ENSMUSG00000044014,Npy5r,20.13396047,0,0,2.27082E-07
ENSMUSG00000044041,Krt13,1570.723337,0,0,2.6811E-44
ENSMUSG00000044121,5430402E10Rik,5.773296783,0,0,0.014247042
ENSMUSG00000044249,Defb29,10.56556085,0,0,0.004756695
ENSMUSG00000044441,Olfr1442,3.843488353,0,0,0.070098002
ENSMUSG00000044453,Ffar1,8.625000079,0,0,0.001344398
ENSMUSG00000044518,Foxe3,18.22565671,0,0,1.50294E-05
ENSMUSG00000044835,Ankrd45,28.34102246,0,0,3.47874E-10
ENSMUSG00000045364,Ifne,7.188396094,0,0,0.004319796
ENSMUSG00000045534,Kcna5,67.66554385,0,0,4.93093E-20
ENSMUSG00000045551,Fpr1,34.553762,0,0,1.00574E-10
ENSMUSG00000045587,BC049730,6.250372722,0,0,0.008710741
ENSMUSG00000045655,AU021034,11.02113211,0,0,9.85931E-05
ENSMUSG00000045684,Lcn6,186.2290835,0,0,2.27003E-30
ENSMUSG00000045824,Olfr574,7.681600538,0,0,0.006351821
ENSMUSG00000046008,Pnlip,113.6637522,0,0,5.9085E-29
ENSMUSG00000046272,Olfr1444,5.280092339,0,0,0.020674081
ENSMUSG00000046367,4931440L10Rik,6.228868048,0,0,0.009111418
ENSMUSG00000046455,Olfr905,14.41442537,0,0,1.77483E-05
ENSMUSG00000046846,Spesp1,8.646504753,0,0,0.001332497
ENSMUSG00000046942,Mageb16,7.654719696,0,0,0.006556262
ENSMUSG00000047002,Msgn1,5.767920614,0,0,0.013997945
ENSMUSG00000047025,4921510H08Rik,7.692352875,0,0,0.005597944
