"Table S12. Combined tentative target genes (TTGs) of Pou5f1, Sox2, and Nanog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,Logratio of gene expression in lineage committed cells compared to ES*,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Target Pou5f1,Target Sox2,Target Nanog,Response magnitude to Pou5f1,Response magnitude to Sox2,Response magnitude to Nanog,Response time to Pou5f1,Response time to Sox2,Response time to Nanog,Main Direction,N Match,N Mismatch,"Distance from TSS, bp",CpG-rich,Repeat,N ditags for OCT4,N ditags for NANOG,SPF,TS,NS,Differen-tiated NS,MEF,Change in lineage committed cells,Predominantly regulated by Pou5f1 and Nanog,Symbol,Gene name,,,,,,,,,,,,,,,,,,,
0610007P06Rik,0,1,0,-0.221,-0.247,0,27.07,34.02,NA,-1,1,0,-83972,0,0,4,11,4.5234,0,-0.2308,-0.2965,No data,Down-regulated,Yes,0610007P06Rik,RIKEN cDNA 0610007P06 gene,,,,,,,,,,,,,,,,,,,
1110002N22Rik,1,0,0,-0.206,0,0,27.94,NA,NA,-1,0,0,9877,0,0,1,16,7.2872,0,-0.3828,-0.6068,-0.3699,Down-regulated,Yes,1110002N22Rik,RIKEN cDNA 1110002N22 gene,,,,,,,,,,,,,,,,,,,
1110007M04Rik,0,1,0,-0.184,-0.323,0,116.07,51.91,NA,-1,1,0,-5415,0,0,3,6,6.1957,0,0,0,0,No change,No,1110007M04Rik,RIKEN cDNA 1110007M04 gene,,,,,,,,,,,,,,,,,,,
1200015N20Rik,1,0,0,-0.258,0.262,0,60.59,8.97,NA,1,0,1,-7183,0,0,1,27,4.2588,-0.4068,0.3017,0.2255,0,Mixed,No,1200015N20Rik,RIKEN cDNA 1200015N20 gene,,,,,,,,,,,,,,,,,,,
1300013J15Rik,1,0,0,-0.689,0,-0.227777296,8.63,NA,NA,-1,1,0,3634,0,0,2,1,3.3512,-0.2048,-0.2574,-0.205,-0.2309,Down-regulated,Yes,1300013J15Rik,RIKEN cDNA 1300013J15 gene,,,,,,,,,,,,,,,,,,,
1700029I01Rik,1,0,0,-0.435,-0.239,-0.229431516,8.12,63.93,NA,-1,3,0,4985,0,0,2,3,4.4059,-1.32175,-1.223,-0.8818,-0.7267,Down-regulated,Yes,1700029I01Rik,RIKEN cDNA 1700029I01 gene,,,,,,,,,,,,,,,,,,,
1700034H14Rik,1,0,0,0.364,0,0,21.48,NA,NA,1,0,0,17029,0,0,7,15,4.2519,0.31214,0.1944,0,0,Up-regulated,Yes,1700034H14Rik,RIKEN cDNA 1700034H14 gene,,,,,,,,,,,,,,,,,,,
1810030N24Rik,1,0,1,-0.271,0,-0.18380151,41.51,NA,NA,-1,1,0,6657,0,1,1,17,8.23,-0.22551,0,0,0,Down-regulated,Yes,1810030N24Rik,RIKEN cDNA 1810030N24 gene,,,,,,,,,,,,,,,,,,,
2010001H14Rik,1,1,0,-0.366,-0.946,0,18.08,15.66,NA,-1,1,0,-646,0,0,2,1,4.4924,-0.59864,-0.7515,No data,-0.7665,Down-regulated,Yes,2010001H14Rik,RIKEN cDNA 2010001H14 gene,,,,,,,,,,,,,,,,,,,
