Table S2. Genes that responded to Pou5f1 suppression in ZHBTc4 ES cells,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,,,,,,,
OligoID,Gene symbol,Time of response,Magnitude of response (log10),Fold change,Transient,F,p,FDR change,"Distance from TSS, bp",CpG-rich,Repeat,N ditags for Pou5f1,N ditags for Nanog,SPF*,Ivanova et al. (2006),Loh et al. (2006),FDR target,Target** of Pou5f1,TFs,Gene symbol,Gene name
Z00031108-1,Zic3,5.68,-1.659,45.603,0,256.285,0,0,9448,0,0,8,2,5.411,-0.776,-1.111732929,0.1139,1,1,Zic3,zinc finger protein of the cerebellum 3
Z00021618-1,Stmn2,14.85,-1.462,28.973,0,410.166,0,0,4126,0,0,0,2,2.1203,-0.668,-0.961714179,0.3577,0,0,Stmn2,stathmin-like 2
Z00024913-1,Jam2,7.4,-1.457,28.641,0,352.088,0,0,-4910,0,0,7,13,10.3183,-0.453,-0.776746313,0.0168,1,0,Jam2,junction adhesion molecule 2
Z00034446-1,Upp1,15.44,-1.43,26.915,0,450.355,0,0,-1377,0,0,0,11,7.7815,0,-0.732915157,0.0649,1,0,Upp1,uridine phosphorylase 1
Z00010794-1,2410146L05Rik,14.23,-1.397,24.945,0,457.49,0,0,3636,0,1,2,20,10.9679,-0.383,-0.706629609,0.0203,1,0,2410146L05Rik,RIKEN cDNA 2410146L05 gene
Z00008160-1,Tcl1,12.5,-1.379,23.933,0,348.115,0,0,-748,1,0,7,0,4.5406,-0.4,-0.745295121,0.1775,1,0,Tcl1,T-cell lymphoma breakpoint 1
Z00034239-1,Lrrc2,8.96,-1.378,23.878,0,424.999,0,0,-3539,0,0,9,0,4.9363,0,-0.924112748,0.1251,1,0,Lrrc2,leucine rich repeat containing 2
Z00035205-1,Etv5,9.85,-1.334,21.577,0,426.38,0,0,36417,0,1,2,23,6.9813,-0.254,-0.820405386,0.072,1,1,Etv5,ets variant gene 5
Z00003616-1,Tdh,12.17,-1.312,20.511,0,419.208,0,0,7795,0,0,7,17,10.3829,-0.379,-0.659959137,0.0215,1,0,Tdh,L-threonine dehydrogenase
Z00024676-1,Morc1,12.46,-1.302,20.044,0,220.719,0,0,656,0,0,5,2,7.4308,0,-0.963022485,0.0649,1,0,Morc1,microrchidia 1
Z00005214-1,Sox2,34.23,-1.232,17.06,0,261.404,0,0,-3493,1,0,6,8,7.9646,-0.438,-0.518070034,0.0842,1,1,Sox2,SRY-box containing gene 2
Z00056351-1,Sap30,10.33,-1.224,16.749,0,277.819,0,0,-1758,0,1,2,1,3.9532,-0.39,-0.568932363,0.1524,1,1,Sap30,sin3 associated polypeptide
Z00036513-1,Tcea3,14.21,-1.222,16.672,0,335.148,0,0,-1780,0,0,0,2,2.5685,0,-0.801699337,0.313,0,0,Tcea3,"transcription elongation factor A (SII), 3"
Z00010868-1,Mylpf,13.57,-1.198,15.776,0,271.723,0,0,1065,0,0,0,4,4.4231,0.218,-0.569372439,0.1775,1,0,Mylpf,"myosin light chain, phosphorylatable, fast skeletal muscle"
Z00032169-1,Ttn,5.44,-1.153,14.223,0,226.862,0,0,0,0,0,0,0,0,0,0,1,0,0,Ttn,titin
Z00022413-1,Nr0b1,5.54,-1.124,13.304,0,259.37,0,0,1735,0,0,1,4,5.4524,-0.651,-1.007350371,0.1139,1,1,Nr0b1,"nuclear receptor subfamily 0, group B, member 1"
Z00057211-1,Slc7a3,5.14,-1.121,13.212,0,249.232,0,0,920,0,0,8,0,6.0682,-0.385,-0.917596592,0.108,1,0,Slc7a3,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3"
Z00011620-1,Gsta4,55.89,-1.119,13.152,0,234.844,0,0,-2024,0,1,0,3,3.2073,0,-0.34500375,0.2881,0,0,Gsta4,"glutathione S-transferase, alpha 4"
Z00016667-1,Pcolce2,10.94,-1.108,12.823,0,265.793,0,0,-24248,0,0,4,3,3.7495,-0.47,-0.67017587,0.1694,1,0,Pcolce2,procollagen C-endopeptidase enhancer 2
Z00003497-1,Ier2,15.08,-1.105,12.735,0,225.763,0,0,-1254,1,0,1,3,4.132,-0.265,-0.360697151,0.1977,1,0,Ier2,immediate early response 2
Z00020729-1,Apoe,14.64,-1.099,12.56,0,253.188,0,0,0,0,0,0,0,0,-0.235,-0.60283254,1,0,0,Apoe,apolipoprotein E
Z00017647-1,Gli2,15.83,-1.085,12.161,0,121.942,0,0,4068,0,0,2,17,9.7989,-0.476,-0.654416573,0.0279,1,1,Gli2,GLI-Kruppel family member GLI2
Z00027126-1,A2m,24.16,-1.026,10.616,0,276.636,0,0,943,1,0,5,0,3.4824,-0.705,-0.593354083,0.2578,2,0,A2m,alpha-2-macroglobulin
Z00026066-1,Spink3,13.51,-1.025,10.592,0,234.368,0,0,13685,0,0,2,0,1.4276,-0.595,-0.770502379,0.4858,0,0,Spink3,"serine peptidase inhibitor, Kazal type 3"
