Gene Symbol,Ensembl ID,GNF GeneAtlas
Pbsn,ENSMUSG00000000003,TRE
Cdc45,ENSMUSG00000000028,TRE
Scml2,ENSMUSG00000000037,TRE
Apoh,ENSMUSG00000000049,TRE
Tbx2,ENSMUSG00000000093,TRE
Tbx4,ENSMUSG00000000094,TRE
Zfy2,ENSMUSG00000000103,TRE
Ngfr,ENSMUSG00000000120,TRE
Slc22a18,ENSMUSG00000000154,TRE
Itgb2l,ENSMUSG00000000157,TRE
Pih1d2,ENSMUSG00000000167,TRE
Nalcn,ENSMUSG00000000197,TRE
Slfn4,ENSMUSG00000000204,TRE
Th,ENSMUSG00000000214,TRE
Ins2,ENSMUSG00000000215,TRE
Scnn1g,ENSMUSG00000000216,TRE
Drp2,ENSMUSG00000000223,TRE
Lhx2,ENSMUSG00000000247,TRE
Clec2g,ENSMUSG00000000248,TRE
Glra1,ENSMUSG00000000263,TRE
Pemt,ENSMUSG00000000301,TRE
Cdh4,ENSMUSG00000000305,TRE
Bcl6b,ENSMUSG00000000317,TRE
Clec10a,ENSMUSG00000000318,TRE
Alox12,ENSMUSG00000000320,TRE
Arvcf,ENSMUSG00000000325,TRE
Rnf17,ENSMUSG00000000365,TRE
Wap,ENSMUSG00000000381,TRE
Mx1,ENSMUSG00000000386,TRE
Fap,ENSMUSG00000000392,TRE
Gcg,ENSMUSG00000000394,TRE
Egfl6,ENSMUSG00000000402,TRE
Lck,ENSMUSG00000000409,TRE
Tssk3,ENSMUSG00000000411,TRE
Sept1,ENSMUSG00000000486,TRE
Acvrl1,ENSMUSG00000000530,TRE
Grasp,ENSMUSG00000000531,TRE
Gpa33,ENSMUSG00000000544,TRE
Itga5,ENSMUSG00000000555,TRE
Gabra2,ENSMUSG00000000560,TRE
Adora3,ENSMUSG00000000562,TRE
Sema4f,ENSMUSG00000000627,TRE
Sez6,ENSMUSG00000000632,TRE
Haao,ENSMUSG00000000673,TRE
Abhd15,ENSMUSG00000000686,TRE
Hoxb6,ENSMUSG00000000690,TRE
Loxl3,ENSMUSG00000000693,TRE
Btn1a1,ENSMUSG00000000706,TRE
Cryba1,ENSMUSG00000000724,TRE
Dnmt3l,ENSMUSG00000000730,TRE
Icosl,ENSMUSG00000000732,TRE
Sult5a1,ENSMUSG00000000739,TRE
Tcf7,ENSMUSG00000000782,TRE
Slc5a5,ENSMUSG00000000792,TRE
Txnrd3,ENSMUSG00000000811,TRE
Fasl,ENSMUSG00000000817,TRE
Znf512b,ENSMUSG00000000823,TRE
Bcl11a,ENSMUSG00000000861,TRE
Il4,ENSMUSG00000000869,TRE
Gnb1l,ENSMUSG00000000884,TRE
Dbh,ENSMUSG00000000889,TRE
Mmp11,ENSMUSG00000000901,TRE
Vpreb3,ENSMUSG00000000903,TRE
Hoxa10,ENSMUSG00000000938,TRE
Hoxa4,ENSMUSG00000000942,TRE
Slc7a7,ENSMUSG00000000958,TRE
Ccl3,ENSMUSG00000000982,TRE
Expi,ENSMUSG00000000983,TRE
Icam4,ENSMUSG00000001014,TRE
S100a5,ENSMUSG00000001023,TRE
Scn4a,ENSMUSG00000001027,TRE
Icam2,ENSMUSG00000001029,TRE
B9d1,ENSMUSG00000001039,TRE
N4bp3,ENSMUSG00000001053,TRE
Slc13a2,ENSMUSG00000001095,TRE
Pcbp3,ENSMUSG00000001120,TRE
Cfp,ENSMUSG00000001128,TRE
Timp1,ENSMUSG00000001131,TRE
Ftcd,ENSMUSG00000001155,TRE
Oas1c,ENSMUSG00000001166,TRE
Slc26a3,ENSMUSG00000001225,TRE
Hpn,ENSMUSG00000001249,TRE
Gabrg1,ENSMUSG00000001260,TRE
Itgb7,ENSMUSG00000001281,TRE
Rnd2,ENSMUSG00000001313,TRE
Sync,ENSMUSG00000001333,TRE
Fndc5,ENSMUSG00000001334,TRE
Rhbg,ENSMUSG00000001417,TRE
Tmem79,ENSMUSG00000001420,TRE
Tbx21,ENSMUSG00000001444,TRE
Meox1,ENSMUSG00000001493,TRE
Sost,ENSMUSG00000001494,TRE
Pax9,ENSMUSG00000001497,TRE
Irx2,ENSMUSG00000001504,TRE
Itga3,ENSMUSG00000001507,TRE
Sgca,ENSMUSG00000001508,TRE
Foxm1,ENSMUSG00000001517,TRE
Nrip2,ENSMUSG00000001520,TRE
Fkbp10,ENSMUSG00000001555,TRE
Klhl10,ENSMUSG00000001558,TRE
Tcea3,ENSMUSG00000001604,TRE
Csn3,ENSMUSG00000001622,TRE
Tat,ENSMUSG00000001670,TRE
Cldn15,ENSMUSG00000001739,TRE
Tcirg1,ENSMUSG00000001750,TRE
Tspan33,ENSMUSG00000001763,TRE
Folh1,ENSMUSG00000001773,TRE
Hoxd13,ENSMUSG00000001819,TRE
Folr1,ENSMUSG00000001827,TRE
Cpa3,ENSMUSG00000001865,TRE
Vsig2,ENSMUSG00000001943,TRE
Spa17,ENSMUSG00000001948,TRE
Grik3,ENSMUSG00000001985,TRE
Gria3,ENSMUSG00000001986,TRE
Pdzd4,ENSMUSG00000002006,TRE
Srpk3,ENSMUSG00000002007,TRE
Pnck,ENSMUSG00000002012,TRE
Ltbp2,ENSMUSG00000002020,TRE
Cd3g,ENSMUSG00000002033,TRE
Ccne1,ENSMUSG00000002068,TRE
Hsf2bp,ENSMUSG00000002076,TRE
Mybpc3,ENSMUSG00000002100,TRE
