GeneID,p-value,FDR,FoldChange
Nkx2-1,4.60E-26,3.05E-23,0.05
Msc,1.58E-28,1.78E-25,0.05
Vsnl1,3.04E-42,1.11E-38,0.05
Nkx6-1,8.71E-21,2.54E-18,0.08
Pnliprp1,4.22E-10,1.50E-08,0.08
Ppp1r17,2.44E-14,2.34E-12,0.09
Thbs4,2.09E-12,1.28E-10,0.10
Epha8,3.34E-10,1.22E-08,0.11
Csrp3,1.15E-25,6.71E-23,0.11
Cxcl13,1.92E-27,1.56E-24,0.12
E030019B13Rik,2.53E-09,7.31E-08,0.12
Myl1,2.68E-08,5.72E-07,0.13
Uncx,1.26E-06,1.57E-05,0.13
Oacyl,1.85E-09,5.59E-08,0.13
Gja5,6.44E-18,1.24E-15,0.13
Smpx,2.42E-15,2.87E-13,0.13
Ftcd,3.29E-06,3.58E-05,0.16
Mybphl,2.95E-08,6.19E-07,0.16
Chit1,5.29E-05,3.81E-04,0.17
Pcsk9,2.70E-13,2.09E-11,0.17
Myog,9.12E-05,5.97E-04,0.18
Cacna2d2,1.14E-18,2.44E-16,0.18
Synpo2l,1.81E-16,2.74E-14,0.18
Tnnc1,2.64E-09,7.59E-08,0.19
Foxl1,2.47E-16,3.53E-14,0.19
Apobec2,7.57E-12,4.06E-10,0.19
Mfsd2a,1.04E-05,9.60E-05,0.19
Ppp1r3a,1.70E-04,1.01E-03,0.19
Lrrc10,8.18E-07,1.09E-05,0.19
Trim54,1.79E-04,1.05E-03,0.19
Cckar,1.54E-04,9.26E-04,0.19
Fam162b,2.22E-04,1.26E-03,0.20
Lhx9,3.06E-10,1.13E-08,0.20
Myh3,3.65E-04,1.92E-03,0.20
Actc1,1.06E-12,7.07E-11,0.20
Zfp663,4.86E-06,5.03E-05,0.20
Myo18b,6.58E-09,1.68E-07,0.21
D030025E07Rik,5.04E-11,2.23E-09,0.21
Casq1,6.22E-05,4.37E-04,0.21
Mybph,4.52E-05,3.34E-04,0.22
Gal,1.54E-04,9.28E-04,0.22
Tmem163,1.88E-05,1.60E-04,0.22
Rps6kl1,3.54E-05,2.73E-04,0.22
Ndst4,4.28E-06,4.52E-05,0.22
Fam19a1,8.39E-05,5.56E-04,0.22
Pgam2,7.40E-16,9.72E-14,0.22
Serpina6,1.19E-03,5.20E-03,0.23
Wnt16,2.44E-04,1.36E-03,0.23
Adora1,5.73E-08,1.10E-06,0.23
Myl4,3.78E-24,1.53E-21,0.23
Crhbp,5.51E-04,2.73E-03,0.23
Myh6,1.76E-05,1.51E-04,0.24
Jakmip2,1.46E-07,2.51E-06,0.24
Trdn,5.37E-04,2.67E-03,0.24
Klf1,4.65E-10,1.63E-08,0.24
Ankrd1,4.50E-14,4.00E-12,0.24
Nppa,1.75E-03,7.16E-03,0.24
C130080G10Rik,1.90E-04,1.11E-03,0.24
Meox2,8.09E-07,1.09E-05,0.24
Sh3bgr,3.86E-15,4.33E-13,0.24
Arhgap36,1.58E-05,1.38E-04,0.24
Epb4.2,1.33E-10,5.34E-09,0.25
Ppfia2,3.16E-04,1.70E-03,0.25
Saa1,1.83E-03,7.45E-03,0.25
Gm5127,1.28E-03,5.55E-03,0.25
Cd300e,2.71E-04,1.49E-03,0.25
Icam4,3.91E-04,2.04E-03,0.25
Hspb3,4.76E-04,2.41E-03,0.25
1110008P14Rik,2.36E-13,1.85E-11,0.25
Rspo2,1.65E-17,2.94E-15,0.25
Pirt,3.98E-04,2.06E-03,0.25
Fsd2,1.24E-05,1.12E-04,0.25
Pik3r3,6.07E-35,1.11E-31,0.26
Tnni3,3.00E-10,1.11E-08,0.26
Hcn1,1.46E-10,5.80E-09,0.26
Pcnxl2,7.25E-04,3.45E-03,0.26
Ihh,1.65E-05,1.43E-04,0.26
Actn2,4.24E-05,3.17E-04,0.26
Dbh,1.30E-03,5.63E-03,0.26
Kcng1,1.58E-08,3.66E-07,0.26
Shh,2.04E-17,3.59E-15,0.27
Tubb4a,9.53E-19,2.07E-16,0.27
Fitm1,7.18E-05,4.91E-04,0.27
Plg,6.77E-04,3.26E-03,0.27
Lect2,5.47E-03,1.83E-02,0.27
Etv2,3.37E-05,2.62E-04,0.28
Sstr4,2.87E-03,1.07E-02,0.28
Klhl41,2.00E-04,1.16E-03,0.28
Ap3b2,6.84E-07,9.38E-06,0.28
Ubc,5.57E-19,1.25E-16,0.28
Rasal1,5.54E-04,2.74E-03,0.28
Npy2r,3.04E-03,1.13E-02,0.28
Insc,4.45E-05,3.30E-04,0.28
Aldh1a1,1.18E-05,1.07E-04,0.28
Tdrd12,3.90E-04,2.03E-03,0.28
Fbxl22,8.61E-09,2.12E-07,0.29
Rhbg,4.09E-03,1.44E-02,0.29
Btn1a1,8.90E-04,4.09E-03,0.29
Tbx4,2.77E-06,3.09E-05,0.29
Lama3,2.19E-04,1.25E-03,0.29
Mybpc3,1.01E-06,1.30E-05,0.29
Gcg,7.81E-03,2.44E-02,0.29
Adamts20,4.07E-08,8.16E-07,0.29
Ces1d,3.15E-05,2.47E-04,0.29
Serpina1d,5.87E-03,1.93E-02,0.29
Fgg,2.56E-03,9.83E-03,0.29
Agmo,7.30E-03,2.31E-02,0.29
Cntnap2,3.64E-05,2.79E-04,0.29
Padi3,6.35E-04,3.08E-03,0.29
Afp,2.17E-03,8.59E-03,0.29
Mov10l1,7.86E-04,3.69E-03,0.29
AU021092,6.31E-03,2.05E-02,0.29
Heyl,3.46E-09,9.61E-08,0.29
Wnt2,1.54E-16,2.44E-14,0.30
Csf2rb,4.25E-07,6.30E-06,0.30
Foxj1,5.07E-04,2.55E-03,0.30
Tg,1.81E-04,1.06E-03,0.30
Mylpf,6.81E-06,6.66E-05,0.30
Myl7,1.46E-13,1.19E-11,0.30
Sfrp5,2.55E-04,1.42E-03,0.30
En1,7.31E-03,2.31E-02,0.30
Cited4,2.22E-08,4.89E-07,0.30
Zcchc5,5.22E-03,1.76E-02,0.30
Scd1,2.18E-06,2.52E-05,0.30
Shox2,1.11E-09,3.55E-08,0.30
Ccne1,9.28E-12,4.81E-10,0.31
Sc4mol,5.53E-11,2.40E-09,0.31
Nppb,2.01E-03,8.05E-03,0.31
Snord12,4.37E-07,6.47E-06,0.31
Hs3st2,9.30E-04,4.24E-03,0.31
Klhl30,3.02E-07,4.69E-06,0.31
6030408B16Rik,5.17E-04,2.59E-03,0.31
Steap3,3.23E-06,3.52E-05,0.31
Pcdh10,1.71E-06,2.04E-05,0.31
Fbxo32,4.69E-13,3.38E-11,0.32
Ifitm1,1.86E-07,3.10E-06,0.32
Sp5,4.89E-06,5.06E-05,0.32
Tmem158,2.89E-07,4.52E-06,0.32
Asgr2,7.82E-03,2.45E-02,0.32
Lin7a,8.15E-05,5.43E-04,0.32
Pnmt,1.36E-03,5.86E-03,0.32
Trim10,3.45E-09,9.61E-08,0.33
Ptch2,9.39E-08,1.68E-06,0.33
Pcdhac2,6.94E-03,2.22E-02,0.33
Gldc,1.63E-14,1.62E-12,0.33
Cldn13,9.60E-03,2.89E-02,0.33
Bmx,8.59E-03,2.64E-02,0.33
E130006D01Rik,2.04E-03,8.14E-03,0.33
Krt5,3.19E-03,1.17E-02,0.33
Tagln3,7.47E-10,2.47E-08,0.33
Prr15l,1.05E-02,3.11E-02,0.33
Pax1,8.88E-03,2.71E-02,0.33
Itih2,3.20E-03,1.17E-02,0.33
Xirp1,2.84E-03,1.07E-02,0.33
Grk4,2.10E-03,8.35E-03,0.33
9430076G02Rik,8.87E-04,4.09E-03,0.33
Mvd,4.02E-10,1.44E-08,0.33
Ctse,1.38E-03,5.92E-03,0.34
Mmd2,1.10E-02,3.21E-02,0.34
Ldlr,6.01E-12,3.31E-10,0.34
Fbxo40,2.67E-03,1.02E-02,0.34
Asb2,4.20E-04,2.16E-03,0.34
Myadml2,1.26E-02,3.59E-02,0.34
Hdhd3,3.98E-05,3.01E-04,0.34
Gmpr,5.43E-06,5.49E-05,0.34
Cfc1,1.42E-02,3.96E-02,0.34
Dhcr24,6.53E-20,1.61E-17,0.34
Gulo,7.99E-03,2.49E-02,0.34
Hfe2,5.50E-03,1.84E-02,0.34
Hmgcs2,1.29E-05,1.16E-04,0.34
Kcnn4,4.57E-05,3.37E-04,0.34
Foxd1,6.56E-09,1.68E-07,0.34
Hsd3b1,1.38E-02,3.89E-02,0.34
