,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gstm7,0.9992,0.0008000000000000229,7.13008602021168,2.1568638e-05,1.6526856e-07,0.0,0.25,7.0971985,7.221275,2.0684757,-1.2988281,14.205352,0.21643427,0.0016103059,0.08510638297872346,0.001610305958132045,0.14849357,0.00090326765,True,WT vs KO,WT,KO
Atp1a3,0.9996,0.00039999999999995595,7.823620941151559,2.266088e-05,2.988536e-07,0.0,0.25,6.212363,6.277981,1.6118071,-0.871748,11.771832,0.19882606,0.0,0.06016140865737348,0.0,0.11623312,0.0,True,WT vs KO,WT,KO
Gal,0.9992,0.0008000000000000229,7.13008602021168,9.805568e-05,2.138564e-06,0.0,0.25,5.984611,6.02446,1.7814988,-0.9645004,12.510221,2.8459277,0.038647342,0.13573000733675705,0.010735373054213635,1.6802863,0.023205306,True,WT vs KO,WT,KO
Nppa,0.9988,0.0011999999999999789,6.724224678325084,4.058026e-05,5.887486e-07,0.0,0.25,5.9602094,6.034405,1.5221008,-0.6052761,11.233346,0.76155514,0.0053676865,0.051357300073367605,0.005367686527106816,0.4585659,0.0035887798,True,WT vs KO,WT,KO
1810065E05Rik,0.9986,0.0013999999999999568,6.569874928627714,5.0564726e-05,8.8857274e-07,0.0,0.25,5.941332,5.9694405,1.8400084,-4.2692585,12.385666,0.890682,0.0016103059,0.06456346294937641,0.001610305958132045,0.5939075,0.0012035223,True,WT vs KO,WT,KO
Ngp,0.9992,0.0008000000000000229,7.13008602021168,3.828255e-05,5.856789e-07,0.0,0.25,5.89601,5.950974,1.7806255,-3.9046936,12.09769,0.67278045,0.00053676864,0.06456346294937641,0.0005367686527106817,0.41359684,0.00025350365,True,WT vs KO,WT,KO
Tff3,0.9996,0.00039999999999995595,7.823620941151559,0.00016084041,3.053169e-06,0.0,0.25,5.8805175,5.891741,1.3677212,-0.084070206,10.76974,2.9677196,0.005904455,0.2641232575201742,0.005904455179817497,1.8368112,0.00406483,True,WT vs KO,WT,KO
Pla2g1b,0.9998,0.00019999999999997797,8.516943182665639,7.8959085e-05,1.4083744e-06,0.0,0.25,5.87879,5.9204936,1.3478675,0.18631554,11.298257,1.2112998,0.0080515295,0.17608217168011656,0.0075147611379495416,0.7494654,0.0051600686,True,WT vs KO,WT,KO
Muc5ac,0.9964,0.0036000000000000476,5.623212170188158,5.853812e-05,1.6218332e-06,0.0,0.25,5.785667,5.782876,2.4288583,-2.6339083,13.683003,0.8297869,0.0016103059,0.08437270726338963,0.0010735373054213634,0.5436014,0.0009479648,True,WT vs KO,WT,KO
Plvap,1.0,0.0,18.420680753952368,5.4933673e-05,1.0031006e-06,0.0,0.25,5.7670608,5.785228,1.780597,-1.1157455,10.738524,0.4871605,0.0010735373,0.0799706529713867,0.0010735373054213634,0.33805695,0.00095913454,True,WT vs KO,WT,KO
Csn1s1,0.9984,0.0016000000000000458,6.4361441284049565,3.0489386e-05,5.3611967e-07,0.0,0.25,5.754775,5.848593,1.8787738,-0.81054497,11.287509,0.39691845,0.00053676864,0.07116654438738082,0.0005367686527106817,0.2372812,0.00033483165,True,WT vs KO,WT,KO
Akr1c18,0.9968,0.0031999999999999806,5.741396223264499,6.737419e-05,1.0542279e-06,0.0,0.25,5.7535243,5.8757586,1.7088661,-1.6395321,10.92926,1.315481,0.008588298,0.08730741012472493,0.008588298443370905,0.8435124,0.0050071985,True,WT vs KO,WT,KO
Spp2,0.9956,0.0043999999999999595,5.421738766888735,3.9550363e-05,1.0072318e-06,0.0,0.25,5.6334877,5.752853,2.0694761,-3.17626,11.939783,0.33015397,0.0,0.06823184152604553,0.0,0.21816479,0.0,True,WT vs KO,WT,KO
Kng1,0.9968,0.0031999999999999806,5.741396223264499,3.0434894e-05,8.6949404e-07,0.0,0.25,5.5765495,5.5674415,2.1612408,-3.3086834,12.523415,0.35729986,0.00053676864,0.0961115187087308,0.0005367686527106817,0.22405389,0.00042318561,True,WT vs KO,WT,KO
Crct1,0.9968,0.0031999999999999806,5.741396223264499,6.503518e-05,1.5498567e-06,0.0,0.25,5.575542,5.673126,1.9612758,-3.182747,13.676743,0.78870136,0.009661836,0.05282465150403525,0.008588298443370905,0.47537684,0.0071731666,True,WT vs KO,WT,KO
Gsdmc4,0.9992,0.0008000000000000229,7.13008602021168,2.604e-05,5.246408e-07,0.0,0.25,5.574593,5.629577,1.6997839,-0.7821388,10.85872,0.28539982,0.004294149,0.0674981658107117,0.004294149221685453,0.17605235,0.0026956415,True,WT vs KO,WT,KO
Defb3,0.9932,0.006800000000000028,4.984007980933258,6.9194364e-05,1.9565543e-06,0.0,0.25,5.52448,5.422899,2.4533374,-3.0849037,14.500914,1.2325753,0.0037573804,0.07776962582538523,0.0026838432635534083,0.7447081,0.0029318798,True,WT vs KO,WT,KO
Avp,0.9936,0.006399999999999961,5.0450351683792265,6.0747392e-05,1.3497247e-06,0.0,0.25,5.482939,5.525549,2.3552334,-3.5793285,17.822687,1.7057977,0.00053676864,0.07776962582538523,0.0005367686527106817,0.932178,0.0001483565,True,WT vs KO,WT,KO
Cck,0.9966,0.0033999999999999586,5.680571123087171,6.993441e-05,1.6066566e-06,0.0,0.25,5.465238,5.5565963,1.8365251,-3.8483696,11.867356,1.4746892,0.0021470746,0.09977989728539992,0.001610305958132045,0.8636585,0.0010291019,True,WT vs KO,WT,KO
Tff1,0.996,0.0040000000000000036,5.517450406507993,0.00012362371,2.9403818e-06,0.0,0.25,5.4415474,5.458815,2.002309,-1.8396835,12.709675,2.9376397,0.009125067,0.22157006603081272,0.008051529790660223,1.9455147,0.006265622,True,WT vs KO,WT,KO
Saa2,0.9996,0.00039999999999995595,7.823620941151559,0.00012823442,3.0260244e-06,0.0,0.25,5.437839,5.4528975,1.3543842,0.104828835,9.81474,1.7263412,0.0021470746,0.18341892883345465,0.0021470746108427268,1.0939672,0.0012540575,True,WT vs KO,WT,KO
Otof,0.9956,0.0043999999999999595,5.421738766888735,1.7884096e-05,4.5833207e-07,0.0,0.25,5.4253116,5.5228148,2.1212332,-4.3219013,12.483267,0.14600144,0.0,0.05942773294203966,0.0,0.08841863,0.0,True,WT vs KO,WT,KO
Crabp1,0.9988,0.0011999999999999789,6.724224678325084,0.00015382358,3.6416288e-06,0.0,0.25,5.401499,5.446338,1.4108136,-1.4558449,11.125425,3.2479827,0.0026838433,0.1870873074101237,0.0026838432635534083,1.9885933,0.0013322964,True,WT vs KO,WT,KO
Muc2,0.9954,0.0046000000000000485,5.377086199064927,2.6326203e-05,9.1462107e-07,0.0,0.25,5.3519826,5.3853807,2.1402402,-3.3339596,12.030503,0.33969173,0.0,0.056493030080704366,0.0,0.22190447,0.0,True,WT vs KO,WT,KO
Meltf,0.9994,0.0006000000000000449,7.417964066154244,3.13814e-05,8.3313284e-07,0.0,0.25,5.322164,5.3752875,1.5634226,-1.078352,11.024438,0.40939096,0.006441224,0.08290535583272199,0.006441223832528179,0.25597385,0.004717865,True,WT vs KO,WT,KO
Clec4f,0.9942,0.005800000000000027,5.144078762030087,4.9516253e-05,1.443269e-06,0.0,0.25,5.290498,5.337697,2.1555007,-2.1808376,12.465611,0.5099045,0.0,0.09391049156272933,0.0,0.32998043,0.0,True,WT vs KO,WT,KO
Vax2os,0.9974,0.0026000000000000467,5.949636611964186,4.453714e-05,1.9315883e-06,0.0,0.25,5.2626977,5.3815713,1.9887955,-1.7456093,12.607326,0.26192215,0.0016103059,0.070432868672047,0.001610305958132045,0.16734862,0.0012035985,True,WT vs KO,WT,KO
Pga5,0.9974,0.0026000000000000467,5.949636611964186,3.747562e-05,9.4315493e-07,0.0,0.25,5.215536,5.326186,1.7028575,-2.3190727,11.45195,0.36610392,0.004830918,0.09831254585473227,0.004830917874396134,0.22782148,0.0031304967,True,WT vs KO,WT,KO
Atp6v1b1,0.9986,0.0013999999999999568,6.569874928627714,2.1149022e-05,6.040752e-07,0.0,0.25,5.2032957,5.239395,1.7894219,-3.2080173,12.299987,0.14893615,0.00053676864,0.056493030080704366,0.0005367686527106817,0.088261485,0.0002344275,True,WT vs KO,WT,KO
Dppa5a,0.9996,0.00039999999999995595,7.823620941151559,3.586969e-05,9.5351015e-07,0.0,0.25,5.18164,5.263687,1.4084572,-2.6842823,10.081563,0.34629476,0.012345679,0.07116654438738082,0.011808910359635,0.21657054,0.0075497422,True,WT vs KO,WT,KO
Gip,0.998,0.0020000000000000018,6.212601105784058,6.132602e-05,1.9709607e-06,0.0,0.25,5.1596494,5.2688756,1.6195147,-1.5497417,10.373851,1.0755681,0.011272142,0.15333822450476847,0.006441223832528179,0.6845894,0.008282927,True,WT vs KO,WT,KO
Prss2,0.9916,0.008399999999999963,4.771086913921002,5.305944e-05,1.5657957e-06,0.0,0.25,5.141437,5.211399,2.425098,-3.913166,12.667751,0.57886994,0.0,0.05942773294203966,0.0,0.34709993,0.0,True,WT vs KO,WT,KO
Adgre1,0.9968,0.0031999999999999806,5.741396223264499,3.3428114e-05,8.472449e-07,0.0,0.25,5.1405754,5.176793,1.9491259,-3.226242,13.927637,0.28760076,0.004294149,0.06309611151870877,0.004294149221685453,0.1621588,0.002298521,True,WT vs KO,WT,KO
Clps,0.9974,0.0026000000000000467,5.949636611964186,5.211347e-05,1.6339599e-06,0.0,0.25,5.086678,5.134985,1.7818912,-1.6039448,10.295911,0.7549516,0.011272142,0.11885546588407932,0.008588298443370905,0.45321292,0.0068242303,True,WT vs KO,WT,KO
Il17b,0.9954,0.0046000000000000485,5.377086199064927,4.0562303e-05,1.0145952e-06,0.0,0.25,5.0817275,5.108494,1.8950038,-3.9084606,11.388259,0.47028577,0.00053676864,0.0990462215700661,0.0005367686527106817,0.31354925,0.00027939238,True,WT vs KO,WT,KO
Klk1b3,0.995,0.0050000000000000044,5.2933028347767435,3.886771e-05,1.6912207e-06,0.0,0.25,5.077168,5.1869516,1.9043232,-4.6625957,12.0625725,0.23330887,0.0037573804,0.05796038151137201,0.0032206119162640897,0.14771757,0.0024747727,True,WT vs KO,WT,KO
