,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Saa2,0.9646,0.03539999999999999,3.305001415376299,6.0488754e-05,3.4913655e-06,0.0,0.25,3.5587218,3.8492484,2.926006,-6.821559,13.450211,1.1588374,0.011509588,0.12553076969080246,0.005170975813177651,0.64971155,0.008879535,True,WT vs Aire_KO,WT,Aire_KO
Mucl1,0.972,0.028000000000000025,3.5471509474305067,5.5718123e-05,4.5995785e-06,0.0,0.25,3.3049133,3.509378,2.3353984,-5.856927,11.327784,1.3070363,0.22668879,0.10633335326834148,0.010842368640533786,0.71280205,0.074310444,True,WT vs Aire_KO,WT,Aire_KO
Gal,0.9612,0.038799999999999946,3.209762009904824,4.7345555e-05,3.1649108e-06,0.0,0.25,3.2819402,3.54742,2.81881,-5.845665,12.675248,1.2966326,0.016513757,0.0744572693020747,0.007172643869891581,0.7079329,0.010026936,True,WT vs Aire_KO,WT,Aire_KO
Crabp1,0.952,0.04800000000000004,2.987363826054364,4.104252e-05,2.2472948e-06,0.0,0.25,3.2549882,3.3088198,3.1363354,-5.5006733,13.54307,0.9614809,0.0041701416,0.0738592189462348,0.0025020850708924107,0.5386649,0.0016802072,True,WT vs Aire_KO,WT,Aire_KO
Csmd1,0.965,0.03500000000000003,3.316779764498021,0.00023454995,9.388815e-06,0.0,0.25,3.1861372,2.6351218,2.5185044,-3.9345865,10.630305,2.7784338,0.04937456,0.2776747802165088,0.040700583819849846,2.1045842,0.03328387,True,WT vs Aire_KO,WT,Aire_KO
Gpx2,0.9622,0.037799999999999945,3.236912972482433,4.309309e-05,5.0500526e-06,0.0,0.25,3.0980313,3.1735196,2.3524396,-5.490553,10.778746,0.39100534,0.023519583,0.1074696489444373,0.015346121768140129,0.23270185,0.017168915,True,WT vs Aire_KO,WT,Aire_KO
Tff1,0.9554,0.04459999999999997,3.0643960281814424,5.4995715e-05,3.8896114e-06,0.0,0.25,2.9738643,2.97724,2.760576,-5.5739937,13.791869,1.6323857,0.008507088,0.10053226481669443,0.004670558798999168,0.9425396,0.0060923644,True,WT vs Aire_KO,WT,Aire_KO
Grid2,0.9594,0.04059999999999997,3.16253978657807,3.6030175e-05,2.3781295e-06,0.0,0.25,2.886516,2.588068,2.1434832,-3.6076012,11.159649,0.4223444,0.021184301,0.09538903175647127,0.018682235195996648,0.26924962,0.013319589,True,WT vs Aire_KO,WT,Aire_KO
Pla2g1b,0.9508,0.04920000000000002,2.961409919253223,3.1105927e-05,2.8794875e-06,0.0,0.25,2.7715468,2.8399158,2.5258937,-4.70697,10.763014,0.6356058,0.008173475,0.0921595598349358,0.006338615512927443,0.3471078,0.005852143,True,WT vs Aire_KO,WT,Aire_KO
Saa3,0.9574,0.04259999999999997,3.112366799386283,0.0004038951,5.8240246e-05,0.0,0.25,2.765497,2.8803554,2.8320286,-7.4238834,12.703447,11.576771,0.76613885,0.37796782489088365,0.08040033361134247,6.3535495,0.5455584,True,WT vs Aire_KO,WT,Aire_KO
Tmc5,0.9654,0.034599999999999964,3.3286885625038165,3.916788e-05,6.091152e-06,0.0,0.25,2.7578785,2.8023615,1.9496039,-4.689145,10.012476,0.32097128,0.018348614,0.1321691286406269,0.013511259382819026,0.1967582,0.013628972,True,WT vs Aire_KO,WT,Aire_KO
