,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Csn2,0.946,0.05400000000000005,2.8632583478732596,0.00045293322,0.0013081174,0.0,0.25,-1.9790366,-1.901588,2.7278917,-9.543171,7.5551786,9.210668,21.756273,0.603672029184915,0.8974145120933862,5.3454285,14.852259,True,WT vs Aire_KO,WT,Aire_KO
S100g,0.9324,0.0676,2.6241537869087113,0.00037983118,0.0010958682,0.0,0.25,-1.9374523,-1.6494455,2.8509305,-12.527843,7.8672514,6.5375667,15.075874,0.5196459541893893,0.8463719766471826,3.8359632,11.753889,False,WT vs Aire_KO,WT,Aire_KO
Aire,0.9348,0.06520000000000004,2.662872991055349,0.00029705837,0.00076479156,0.0,0.25,-1.93265,-1.8250213,2.8017662,-9.289192,5.890394,5.160318,11.036801,0.5525985287961755,0.8617180984153222,2.9296064,7.4813595,False,WT vs Aire_KO,WT,Aire_KO
Cd52,0.9402,0.059799999999999964,2.755086801045413,0.000830257,0.0022144057,0.0,0.25,-1.9303129,-1.723691,2.8198676,-10.023277,7.4745955,16.74897,36.790314,0.7216673643921551,0.9314428690575219,9.772324,25.918093,False,WT vs Aire_KO,WT,Aire_KO
Tbata,0.9434,0.056599999999999984,2.813481219562552,0.0005002348,0.0014185143,0.0,0.25,-1.8902373,-1.8820443,2.8432987,-9.831209,8.652967,9.985294,20.09428,0.6071407212487873,0.8607172643869653,5.387982,13.717608,True,WT vs Aire_KO,WT,Aire_KO
Hal,0.9518,0.04820000000000002,2.982995710668006,0.00015804886,0.00050628535,0.0,0.25,-1.8200396,-1.8364964,2.352107,-8.266631,6.1358147,2.3043172,6.717151,0.46157526463732135,0.7773144286905541,1.3251884,4.617666,True,WT vs Aire_KO,WT,Aire_KO
Fgf21,0.9468,0.053200000000000025,2.879029303884215,0.00022109973,0.00065402477,0.0,0.25,-1.8058926,-1.8487039,2.6216745,-9.879122,6.587989,4.1030755,10.613795,0.45840559775136913,0.7449541284403466,2.3214786,6.9247975,True,WT vs Aire_KO,WT,Aire_KO
Cyp26a1,0.9384,0.06159999999999999,2.723514275118579,3.6159076e-05,9.2024784e-05,0.0,0.25,-1.7811531,-1.657968,3.1575246,-10.892766,8.766386,0.32557756,1.1102625,0.08707613181029664,0.22301918265220555,0.17512219,0.701042,False,WT vs Aire_KO,WT,Aire_KO
S100a14,0.934,0.06599999999999995,2.6498215553939164,0.0006197495,0.0017335692,0.0,0.25,-1.7461412,-1.7383933,2.04765,-7.2593975,5.319807,11.099515,23.081926,0.8206446982836818,0.9673060884069787,6.0901217,15.853016,False,WT vs Aire_KO,WT,Aire_KO
Dusp15,0.9398,0.06020000000000003,2.747994578881558,3.116094e-05,0.00011666967,0.0,0.25,-1.74583,-1.7794204,2.3672965,-9.767488,6.6300793,0.35374612,1.6173577,0.1644638478559891,0.4633861551292625,0.20570676,1.1594372,False,WT vs Aire_KO,WT,Aire_KO
Crhbp,0.9514,0.04859999999999998,2.974310857841264,6.191618e-05,0.0002185962,0.0,0.25,-1.6829572,-1.6787329,3.3872902,-11.287281,8.319231,0.82380587,2.715115,0.18114945278392625,0.39633027522934794,0.4513761,1.7489856,True,WT vs Aire_KO,WT,Aire_KO
Gm5086,0.9486,0.0514,2.9153488569717028,1.2420519e-05,3.1872685e-05,0.0,0.25,-1.6525778,-1.7615738,2.5295088,-9.609746,7.787485,0.07021155,0.3617989,0.04604987739967745,0.23052543786488255,0.043612443,0.27603734,True,WT vs Aire_KO,WT,Aire_KO
I830077J02Rik,0.933,0.06699999999999995,2.633712442920772,1.1864113e-05,3.803198e-05,0.0,0.25,-1.6177759,-1.6923361,2.2834642,-11.066891,6.0867033,0.05771214,0.3944929,0.038155612702589825,0.20200166805670994,0.03472858,0.29334036,False,WT vs Aire_KO,WT,Aire_KO
Nkx6-2,0.9294,0.0706,2.5775089412682624,5.1209678e-05,0.00015304571,0.0,0.25,-1.5843524,-1.5778608,1.951975,-8.136361,5.726755,0.6178407,2.1246147,0.19544285628850322,0.4550458715596214,0.33718115,1.4014546,False,WT vs Aire_KO,WT,Aire_KO
Calcb,0.9296,0.07040000000000002,2.5805609916455206,0.000256789,0.0006392175,0.0,0.25,-1.5727482,-1.508429,2.37273,-8.737747,6.703576,4.5387874,9.198739,0.5361521440105744,0.8256880733944726,2.510599,6.147561,False,WT vs Aire_KO,WT,Aire_KO
Il12a,0.9332,0.06679999999999997,2.636916320619904,0.00010845636,0.00022060427,0.0,0.25,-1.5610023,-1.5435214,2.6955266,-9.139485,8.087569,1.4924278,2.6100354,0.2977692721727342,0.5472894078398521,0.89189595,2.0315433,False,WT vs Aire_KO,WT,Aire_KO
1300017J02Rik,0.9248,0.07520000000000004,2.5094261447967527,2.9551504e-05,7.759215e-05,0.0,0.25,-1.5594447,-1.5766525,2.0143178,-7.661188,5.338172,0.33915257,1.0352088,0.16021769032952482,0.4086738949124168,0.18361624,0.70582116,False,WT vs Aire_KO,WT,Aire_KO
Ly9,0.9478,0.052200000000000024,2.8990608336247803,3.311688e-05,0.00010268924,0.0,0.25,-1.5234437,-1.7004967,2.5157247,-8.753391,10.376208,0.28748018,1.4328701,0.12684648047365055,0.42718932443702007,0.17340402,1.0217166,True,WT vs Aire_KO,WT,Aire_KO
Grin2c,0.9166,0.08340000000000003,2.397022753716137,3.2540298e-05,7.215172e-05,0.0,0.25,-1.4769169,-1.3479013,2.068077,-7.4590864,5.722948,0.46432495,0.97416544,0.27247174212070047,0.5140950792326805,0.27614895,0.69369364,False,WT vs Aire_KO,WT,Aire_KO
Cldn13,0.944,0.05600000000000005,2.8247743074321585,5.5059398e-05,9.989842e-05,0.0,0.25,-1.4728118,-1.4678922,3.064447,-9.299519,9.96461,0.8074162,1.4467149,0.19921057353029548,0.431025854879055,0.4612624,0.9914619,True,WT vs Aire_KO,WT,Aire_KO
Fabp4,0.9392,0.060799999999999965,2.7374385062754003,0.00095254584,0.0020906336,0.0,0.25,-1.4473139,-1.4377646,2.7656343,-9.332017,8.687317,23.099506,36.43583,0.6539680641110625,0.8530442035028954,12.893325,24.686571,False,WT vs Aire_KO,WT,Aire_KO
Slc22a7,0.9288,0.07120000000000004,2.568400482282903,4.3540473e-05,9.697629e-05,0.0,0.25,-1.4254324,-1.4250746,2.4505374,-10.383385,7.652829,0.41989028,1.1004274,0.13234854374737892,0.34178482068389504,0.23976482,0.8029668,False,WT vs Aire_KO,WT,Aire_KO
H2-Eb2,0.9136,0.08640000000000003,2.358405058296711,0.00021414271,0.0004460698,0.0,0.25,-1.4126792,-1.2782083,2.216739,-7.695863,5.6243057,3.6537225,6.279763,0.6262783326356686,0.8665554628857141,2.1034067,4.4214373,False,WT vs Aire_KO,WT,Aire_KO
Tnfrsf17,0.921,0.07899999999999996,2.456012068063779,2.1351423e-05,4.5558183e-05,0.0,0.25,-1.3981222,-1.2598653,2.326338,-8.798159,5.82996,0.29525414,0.59533083,0.16601877878117322,0.31659716430357887,0.1720504,0.43298507,False,WT vs Aire_KO,WT,Aire_KO
Amdhd1,0.9144,0.08560000000000001,2.368582723446614,2.5892601e-05,5.9850085e-05,0.0,0.25,-1.3848219,-1.2862926,2.0812025,-7.9261293,5.754616,0.27922627,0.7501343,0.1730757729800857,0.38899082568806376,0.16025592,0.5411794,False,WT vs Aire_KO,WT,Aire_KO
Prokr2,0.928,0.07199999999999995,2.556365485657129,9.364803e-05,0.0002069055,0.0,0.25,-1.3848188,-1.4161425,2.215907,-7.6545687,6.507432,1.1667835,2.4111967,0.30285270019737454,0.5991659716430199,0.69031936,1.8335148,False,WT vs Aire_KO,WT,Aire_KO
Fabp12,0.923,0.07699999999999996,2.4838236936132834,3.3336542e-05,7.6652905e-05,0.0,0.25,-1.3800246,-1.3568335,2.255648,-8.074686,5.3671274,0.39650607,0.90693456,0.18754859159141468,0.39482902418681254,0.24534105,0.72053516,False,WT vs Aire_KO,WT,Aire_KO
Vmo1,0.9314,0.0686,2.608396160780379,0.00016700008,0.00029915513,0.0,0.25,-1.3748473,-1.2902508,2.781112,-9.662352,8.004002,3.0774732,4.638921,0.41241552538727,0.642201834862368,1.7137706,3.147508,False,WT vs Aire_KO,WT,Aire_KO
Prg2,0.9322,0.06779999999999997,2.6209850522269886,0.00011500652,0.00023093143,0.0,0.25,-1.3681518,-1.2707429,2.9572682,-12.229452,9.216631,1.8725616,3.6410737,0.22492673883141723,0.5050875729774681,1.1136622,2.932505,False,WT vs Aire_KO,WT,Aire_KO
Lyz2,0.9202,0.07979999999999998,2.4450674188195327,0.0003347396,0.0006650276,0.0,0.25,-1.3612285,-1.2922087,2.4520044,-9.547091,8.443357,6.992512,10.117039,0.4578673524311131,0.6517097581317589,4.084648,7.561199,False,WT vs Aire_KO,WT,Aire_KO
Adm2,0.906,0.09399999999999997,2.26574442842753,2.3480863e-05,4.517775e-05,0.0,0.25,-1.3471063,-1.3317409,1.7143269,-6.635232,5.288289,0.28257504,0.56897455,0.16231086657496496,0.34045037531275246,0.15450664,0.37745756,False,WT vs Aire_KO,WT,Aire_KO
Ctla4,0.9312,0.06879999999999997,2.6052701974278807,1.9625468e-05,6.896277e-05,0.0,0.25,-1.3299297,-1.319592,2.5244992,-8.806765,6.4273634,0.12672737,0.7294451,0.0575324442318049,0.20200166805670994,0.08055495,0.58859026,False,WT vs Aire_KO,WT,Aire_KO
H2-Oa,0.9238,0.07620000000000005,2.49513401489517,0.0002297826,0.0004916337,0.0,0.25,-1.3237783,-1.2542968,1.8768156,-6.0911655,5.8494425,3.8585687,6.948997,0.6881765444651128,0.8902418682234948,2.2144358,4.860147,False,WT vs Aire_KO,WT,Aire_KO
Ncf1,0.9372,0.06279999999999997,2.702941484593913,0.00016102234,0.0004095501,0.0,0.25,-1.3193756,-1.4078712,2.5843325,-8.172986,7.804221,2.555928,5.989538,0.46313019556250545,0.6817347789824669,1.4916314,3.9876554,False,WT vs Aire_KO,WT,Aire_KO
Sult1c2,0.9138,0.08620000000000005,2.3609414463935625,3.299574e-05,6.9685215e-05,0.0,0.25,-1.3047345,-1.1758652,2.2890003,-9.8699875,5.717407,0.35362488,0.7936684,0.16924825070270944,0.32760633861550514,0.20829684,0.568095,False,WT vs Aire_KO,WT,Aire_KO
Rprm,0.922,0.07799999999999996,2.4698362795078697,3.3437384e-05,7.098641e-05,0.0,0.25,-1.2778841,-1.2861066,1.8819784,-6.832923,5.4944077,0.39818037,1.0081873,0.17355421326475773,0.41734778982484355,0.22393511,0.6799093,False,WT vs Aire_KO,WT,Aire_KO
Tm4sf5,0.916,0.08399999999999996,2.389199457700236,9.7801065e-05,0.00017131896,0.0,0.25,-1.2744337,-1.1148524,2.1754317,-7.669547,7.395237,1.4702386,2.5291424,0.41875485915917443,0.6982485404503563,0.8004049,1.7164246,False,WT vs Aire_KO,WT,Aire_KO
H2-Ob,0.92,0.07999999999999996,2.4423469212387783,4.91233e-05,0.00011086627,0.0,0.25,-1.2733605,-1.3105478,1.8293921,-6.0453405,4.5793743,0.67028135,1.4313762,0.3286884755696643,0.5929941618014855,0.39280882,1.0297979,False,WT vs Aire_KO,WT,Aire_KO
Rac2,0.9052,0.0948,2.256386410060462,0.00017227136,0.00034201832,0.0,0.25,-1.2723694,-1.1793017,1.7125666,-6.3599215,5.20854,2.801827,4.9089622,0.5924884875307063,0.8248540450375085,1.6448593,3.4634748,False,WT vs Aire_KO,WT,Aire_KO
Cdx1,0.9004,0.09960000000000002,2.201676855146598,0.00014067703,0.00026344034,0.0,0.25,-1.2712711,-1.148829,1.7510691,-6.4222097,5.527975,2.6499012,4.2255683,0.6003229471922108,0.8315262718932214,1.4799196,2.7479692,False,WT vs Aire_KO,WT,Aire_KO
Defb42,0.9008,0.09919999999999995,2.2061451533893965,2.122618e-05,4.5340334e-05,0.0,0.25,-1.2711749,-1.1344423,1.7654066,-7.813957,5.2970533,0.21128736,0.56213516,0.14293403504574764,0.3341117597998252,0.11823614,0.39827356,False,WT vs Aire_KO,WT,Aire_KO
Epyc,0.9358,0.06420000000000003,2.679398422659016,3.1080614e-05,8.63134e-05,0.0,0.25,-1.2487329,-1.1761026,2.5504975,-9.382801,7.130576,0.20638628,1.0000056,0.06369236289695647,0.20116763969974583,0.11882438,0.6650965,False,WT vs Aire_KO,WT,Aire_KO
