,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Dach1,0.9586,0.04139999999999999,3.1421927747802774,2.4850971e-05,2.7335432e-06,0.0,0.25,2.7521493,2.710916,1.9986547,-4.2450304,9.607735,0.23455228,0.011676389,0.08031816278930574,0.010008340283569648,0.15204515,0.007575518,True,WT vs Aire_KO,WT,Aire_KO
Esrrg,0.9332,0.06679999999999997,2.636916320619904,0.0001237849,6.2560675e-06,0.0,0.25,2.449412,2.0065312,2.6815598,-4.132141,12.063721,2.0996974,0.07956633,0.3084743735422709,0.07005838198498748,1.3555714,0.055525143,False,WT vs Aire_KO,WT,Aire_KO
Zfp804b,0.9234,0.0766,2.489465313607592,3.0225572e-05,1.5589668e-06,0.0,0.25,2.4226909,1.9102459,2.6922326,-3.5641098,10.957628,0.33060205,0.00083402835,0.05765205430297289,0.0008340283569641367,0.22551559,0.00056142895,False,WT vs Aire_KO,WT,Aire_KO
Mecom,0.9522,0.047799999999999954,2.9917492585600054,5.3036303e-05,1.0943842e-05,0.0,0.25,2.172418,2.2372603,1.7326679,-4.5591125,8.544538,0.5519388,0.0518766,0.16960708091621346,0.028690575479566195,0.37341988,0.034956217,True,WT vs Aire_KO,WT,Aire_KO
Zfpm2,0.9236,0.07640000000000002,2.4922962612450195,2.5563315e-05,3.305443e-06,0.0,0.25,2.0470603,1.7789583,1.8624018,-2.925888,8.285309,0.15447536,0.0056713913,0.0684169607080917,0.005337781484570478,0.12264591,0.0028992936,False,WT vs Aire_KO,WT,Aire_KO
Pknox2,0.9492,0.050799999999999956,2.9277229836619862,3.33822e-05,7.2235266e-06,0.0,0.25,1.9169102,1.8907723,1.3361619,-3.833006,7.2527018,0.25069642,0.05154307,0.15088810477842018,0.04487072560467058,0.17757335,0.032966387,True,WT vs Aire_KO,WT,Aire_KO
Rarb,0.935,0.06499999999999995,2.666159116242096,1.6345733e-05,2.3711164e-06,0.0,0.25,1.8684214,1.7530861,2.1681786,-5.4613266,8.959802,0.12493335,0.007839863,0.05980503558399679,0.007172643869891581,0.1017436,0.0065744463,False,WT vs Aire_KO,WT,Aire_KO
Nr6a1,0.8856,0.11439999999999995,2.0465642263279262,5.1802363e-05,7.3296274e-06,0.0,0.25,1.8209699,1.3017187,1.8709778,-2.2237997,7.802058,0.6563342,0.05821538,0.2872435859099495,0.05387823185988336,0.4754484,0.045598812,False,WT vs Aire_KO,WT,Aire_KO
Nr3c2,0.9158,0.08420000000000005,2.3866029711292898,2.493282e-05,4.5422667e-06,0.0,0.25,1.7743027,1.5779963,1.6539447,-3.6065197,8.145432,0.2683412,0.025688047,0.13964475808862742,0.023853211009174247,0.19104671,0.018656345,False,WT vs Aire_KO,WT,Aire_KO
Rfx3,0.9198,0.08020000000000005,2.439632626417011,5.6110865e-05,1.0837266e-05,0.0,0.25,1.7739552,1.5723882,1.6829057,-3.7471561,8.194456,0.6749936,0.08640531,0.28826027151487754,0.07222685571309417,0.46133536,0.060283568,False,WT vs Aire_KO,WT,Aire_KO
Ltf,0.9324,0.0676,2.6241537869087113,7.40072e-05,1.8042932e-05,0.0,0.25,1.7497962,1.7873058,2.5844593,-10.031596,11.493762,1.4323325,0.20683898,0.09168111955026388,0.010842368640533786,0.9730001,0.13989346,False,WT vs Aire_KO,WT,Aire_KO
Bnc2,0.9176,0.08240000000000003,2.4101760184385133,1.4942847e-05,1.6301863e-06,0.0,0.25,1.7215228,1.4747066,2.2253182,-4.5310087,9.725715,0.124754,0.00533778,0.06231684707852467,0.005170975813177651,0.108677015,0.003106507,False,WT vs Aire_KO,WT,Aire_KO
Klf12,0.9076,0.09240000000000004,2.2846766770510154,4.150459e-05,7.6142205e-06,0.0,0.25,1.7003688,1.3848519,1.6003711,-2.8297062,7.816777,0.52939045,0.10091728,0.2393995574427462,0.09057547956630463,0.34976566,0.06557846,False,WT vs Aire_KO,WT,Aire_KO
Setdb2,0.9472,0.05279999999999996,2.886998894581037,2.0779995e-05,5.5678183e-06,0.0,0.25,1.6804508,1.5522013,1.1064837,-3.2230473,5.929117,0.2980641,0.082402036,0.1848573649901345,0.07639699749791473,0.17790058,0.05616214,True,WT vs Aire_KO,WT,Aire_KO
Ikzf3,0.9304,0.0696,2.5928499009339956,2.0075759e-05,6.503625e-06,0.0,0.25,1.6728836,1.7647014,1.7437172,-5.057415,7.8490267,0.129359,0.030692218,0.06757969020991583,0.024020016680567073,0.08224963,0.023233712,False,WT vs Aire_KO,WT,Aire_KO
St18,0.9294,0.0706,2.5775089412682624,7.6114724e-05,1.7918399e-05,0.0,0.25,1.6148803,1.6170101,2.4377682,-6.750905,11.719557,0.69827324,0.083736494,0.1141080078942602,0.04253544620517097,0.51388794,0.065409504,False,WT vs Aire_KO,WT,Aire_KO
Stat4,0.9352,0.06479999999999997,2.669454663171554,4.927668e-05,1.6836691e-05,0.0,0.25,1.6073184,1.6192532,2.2727535,-6.5804253,8.260168,0.54745317,0.068724014,0.16015788529394082,0.034528773978315164,0.34935835,0.05328018,False,WT vs Aire_KO,WT,Aire_KO
Hivep2,0.9292,0.07079999999999997,2.5744648697155985,9.0322304e-05,2.8114084e-05,0.0,0.25,1.5729245,1.5289593,1.6458682,-4.223504,7.0442743,1.0435036,0.22735521,0.40846839303872573,0.1389491242702231,0.75043714,0.17109169,False,WT vs Aire_KO,WT,Aire_KO
Lcor,0.9406,0.05940000000000001,2.7622235854237056,4.6400983e-05,1.2979091e-05,0.0,0.25,1.5704143,1.4192538,1.0625621,-1.6114082,5.6975756,0.6382817,0.15929876,0.3916631780396206,0.13944954128440157,0.42479017,0.10818166,False,WT vs Aire_KO,WT,Aire_KO
Gtf2ird1,0.9348,0.06520000000000004,2.662872991055349,4.0342726e-05,1.4140569e-05,0.0,0.25,1.5644093,1.6118813,1.1029217,-3.3893557,5.3186913,0.555642,0.16113369,0.3346091740924807,0.13244370308590303,0.3540901,0.11237632,False,WT vs Aire_KO,WT,Aire_KO
L3mbtl3,0.9332,0.06679999999999997,2.636916320619904,3.2356842e-05,1.1147484e-05,0.0,0.25,1.5504631,1.5828819,1.251726,-3.040409,5.605791,0.36187845,0.106588766,0.2200825309491129,0.0829024186822348,0.24524881,0.071615316,False,WT vs Aire_KO,WT,Aire_KO
Meis1,0.916,0.08399999999999996,2.389199457700236,6.975891e-05,1.915891e-05,0.0,0.25,1.5463831,1.4537039,1.5638961,-4.122367,6.936677,0.8159432,0.22218397,0.38329047305786,0.1636363636363608,0.6023038,0.14973195,False,WT vs Aire_KO,WT,Aire_KO
Tshz2,0.9198,0.08020000000000005,2.439632626417011,4.475812e-05,1.6438626e-05,0.0,0.25,1.5419732,1.5770907,2.0072105,-5.9274263,9.017688,0.3115233,0.054378714,0.1123138568267405,0.032193494578815554,0.22727689,0.044519298,False,WT vs Aire_KO,WT,Aire_KO
Klf5,0.9342,0.06579999999999997,2.6530705684654103,0.00011339215,4.6258363e-05,0.0,0.25,1.5116824,1.6382074,2.0181606,-5.264105,6.7406282,1.5776505,0.42852128,0.46456551641652155,0.17080900750625216,1.0144933,0.30875942,False,WT vs Aire_KO,WT,Aire_KO
Pbx3,0.9036,0.09640000000000004,2.2378804903097573,3.3622604e-05,9.220983e-06,0.0,0.25,1.4882187,1.3503656,1.5308398,-3.4486723,6.585397,0.37976673,0.120099865,0.20722444829855202,0.09874895746455292,0.2625588,0.07526179,False,WT vs Aire_KO,WT,Aire_KO
Glis3,0.9248,0.07520000000000004,2.5094261447967527,5.2156687e-05,1.3269825e-05,0.0,0.25,1.470093,1.3892155,2.383318,-5.971246,10.3837385,0.5219181,0.057548065,0.19346929011423109,0.04253544620517097,0.37403393,0.046243027,False,WT vs Aire_KO,WT,Aire_KO
Setbp1,0.8934,0.10660000000000003,2.125950814570843,9.7396216e-05,2.655206e-05,0.0,0.25,1.4674966,1.2772074,1.6149414,-2.7360086,7.9956484,1.2872018,0.22435248,0.4346629986245195,0.16380316930775363,0.88932383,0.16672896,False,WT vs Aire_KO,WT,Aire_KO
Mxi1,0.9224,0.0776,2.4754114237409888,3.4515146e-05,1.1958963e-05,0.0,0.25,1.4576678,1.4649472,1.2399411,-3.5042992,6.0291424,0.35183036,0.10225189,0.21673344895640867,0.0844036697247702,0.22775269,0.068476565,False,WT vs Aire_KO,WT,Aire_KO
Nfat5,0.9172,0.08279999999999998,2.404897379722344,0.00016622317,5.880778e-05,0.0,0.25,1.4289408,1.458211,1.3548723,-2.8461628,5.661647,2.3880403,0.75163627,0.734704862149468,0.4251876563803062,1.6579354,0.55133915,False,WT vs Aire_KO,WT,Aire_KO
