,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Dppa1,0.991,0.009000000000000008,4.701488855974091,6.981722e-05,3.9298084e-06,0.0,0.25,5.6059895,5.686909,2.7690506,-3.679597,13.5275545,1.4936848,0.018810153,0.1710677382319178,0.008311461067366577,0.8032764,0.008760713,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Lcn8,0.9826,0.01739999999999997,4.033731348978669,5.409707e-05,5.4836464e-06,0.0,0.25,5.1802864,5.157625,3.091203,-4.276161,17.341866,1.0780706,0.03346457,0.16762342135476507,0.011373578302712167,0.5449262,0.020303197,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Cytl1,0.9824,0.01759999999999995,4.0220990973462705,5.1661325e-05,6.522832e-06,0.0,0.25,4.8759174,4.97554,2.8166332,-5.8277483,13.654345,1.8404127,0.10804899,0.10447761194029864,0.011154855643044624,0.928084,0.050960343,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Apol11b,0.9824,0.01759999999999995,4.0220990973462705,2.9133627e-05,3.156317e-06,0.0,0.25,5.4296556,5.746824,3.2027936,-5.683296,13.2440405,0.53616506,0.033027135,0.15269804822043664,0.015529308836395467,0.23716456,0.016451398,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Crybb2,0.9818,0.018199999999999994,3.9879654882761786,4.1286658e-05,3.7719406e-06,0.0,0.25,5.2016997,5.2506166,3.0990222,-4.579096,15.985284,0.56371963,0.024934387,0.11940298507462707,0.010498687664041998,0.29995802,0.012674372,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Fabp6,0.9818,0.018199999999999994,3.9879654882761786,0.0002622067,2.9258756e-05,0.0,0.25,4.6872754,4.8306,2.636605,-6.2221174,11.723235,14.452361,0.8759859,0.24110218140068965,0.08355205599300121,7.1537538,0.4693741,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Mroh4,0.981,0.019000000000000017,3.9441329642769505,3.4369965e-05,3.5717967e-06,0.0,0.25,4.36983,4.4356103,2.387497,-4.086033,11.664823,0.36280122,0.015966758,0.10447761194029864,0.00962379702537183,0.17872867,0.010321926,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Marco,0.9804,0.01959999999999995,3.9124305854134556,4.924822e-05,5.6964673e-06,0.0,0.25,4.434804,4.5300593,2.5615425,-4.2235785,13.302538,0.8381167,0.045931764,0.1423650975889785,0.010936132983377082,0.41556016,0.023226026,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Clec4f,0.9804,0.01959999999999995,3.9124305854134556,3.2562555e-05,4.8153797e-06,0.0,0.25,5.4813232,5.701259,3.5542815,-6.821518,15.005034,0.51779544,0.037839025,0.11136624569460407,0.01071741032370954,0.25462374,0.021358753,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Prdm16,0.9802,0.01980000000000004,3.9020741999265773,2.459025e-05,3.1523132e-06,0.0,0.25,3.2443886,3.299502,1.7612963,-3.7034264,9.023553,0.32376567,0.033902038,0.11481056257175679,0.02734033245844265,0.1584252,0.019595707,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
