,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ccl21a,0.9954,0.0046000000000000485,5.377086199064927,0.0073198103,0.00036966562,0.0,0.25,5.232475,5.3837595,1.6549145,-2.4040222,10.59614,113.9684,7.177598,0.9990393852065593,0.5740572467060483,110.05718,4.646976,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Gm21541,0.9924,0.007600000000000051,4.871976698813327,3.534481e-05,3.3105412e-06,0.0,0.25,4.2963276,4.1587367,2.1415427,-3.2092524,15.428316,0.2987518,0.016583364,0.22670509125840502,0.014766015447523845,0.27903035,0.009142014,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Tagln,0.99,0.010000000000000009,4.5951188602360995,0.0010250357,7.832588e-05,0.0,0.25,5.205826,5.478029,2.0824106,-3.3210745,11.480174,12.596548,0.768061,0.8309317963496815,0.16424352567014766,11.800419,0.5759128,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Wfikkn2,0.9886,0.011399999999999966,4.462675578395129,0.0002022747,2.7129967e-05,0.0,0.25,3.4902558,3.533072,1.421719,-1.5993271,8.238336,2.1392803,0.22875907,0.8049951969260489,0.11971830985915376,2.080003,0.1542561,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Acta2,0.9882,0.011800000000000033,4.427784737602169,0.00076738256,7.295243e-05,0.0,0.25,4.170277,4.404978,1.7194314,-5.2009573,8.934807,9.0336275,0.87096745,0.6474543707973177,0.18627896410722117,8.537163,0.56475693,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Gas1,0.9876,0.012399999999999967,4.3775804885343055,0.00032170408,9.760533e-05,0.0,0.25,3.171773,3.4474502,2.0439177,-5.841976,9.6280365,3.104699,0.771922,0.7953890489913702,0.11790095411176625,3.1093225,0.7219993,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Plod2,0.9872,0.012800000000000034,4.345426711105514,0.00014004965,2.5445464e-05,0.0,0.25,2.7365336,2.838739,1.0935719,-3.3318272,6.9161396,1.4053742,0.15265754,0.6042267050912634,0.09313948205361149,1.2718158,0.095754504,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Gem,0.986,0.014000000000000012,4.254598320843905,0.0008211693,0.0001585436,0.0,0.25,2.4293313,2.4701772,1.0529227,-1.5007706,5.9961634,7.7838683,2.321008,0.9231508165225973,0.5343025897319369,7.184918,1.210127,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Stmn2,0.9858,0.01419999999999999,4.240210835583005,0.00012557574,1.7580343e-05,0.0,0.25,3.5904863,3.417585,1.9915866,-2.9533749,12.660767,1.0192116,0.22194432,0.18443804034582104,0.06315311222171764,0.88794196,0.10860447,True,Ccl21a+ vs Rest,Ccl21a+,Rest
6030407O03Rik,0.9852,0.014800000000000035,4.198216819951087,0.00027192637,3.3482316e-05,0.0,0.25,3.3426113,3.3185139,1.6276972,-2.3809109,9.387562,2.5312147,0.1135846,0.5379442843419802,0.05043162199000473,2.3686037,0.066077195,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Lifr,0.9832,0.016800000000000037,4.069433086775562,0.00066819385,0.00011974431,0.0,0.25,3.5907023,3.813218,1.850406,-4.5469556,8.333332,7.871283,1.7037804,0.955811719500505,0.28668786915038086,7.4733176,1.1380858,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Shisa4,0.9832,0.016800000000000037,4.069433086775562,0.00013114893,2.5847838e-05,0.0,0.25,2.5536213,2.5267339,1.1869841,-2.225131,7.1594286,1.4207442,0.28805092,0.6791546589817575,0.18241708314402272,1.3388541,0.16083573,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Tpm2,0.9828,0.017199999999999993,4.045495685607447,0.0009931672,0.00017248861,0.0,0.25,2.9072583,3.007616,1.2635089,-2.6177664,6.93579,12.047077,3.1429136,0.9731027857829267,0.58587005906407,10.656484,1.6445282,True,Ccl21a+ vs Rest,Ccl21a+,Rest
