,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Sparcl1,0.9984,0.0016000000000000458,6.4361441284049565,0.00038365324,1.41554165e-05,0.0,0.25,5.7372084,5.683472,2.1272774,-1.5525303,14.5789585,5.4444447,0.037296906,0.5185185185185185,0.009416543574593799,6.937036,0.01935188,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Prrx1,0.9978,0.0021999999999999797,6.11709095964051,0.00030812417,1.0164655e-05,0.0,0.25,6.756107,7.0259886,2.534667,-2.054759,14.076713,3.1111114,0.041174296,0.8518518518518514,0.024187592319054638,3.407718,0.037919242,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Rhoj,0.9974,0.0026000000000000467,5.949636611964186,0.0002571251,1.3273327e-05,0.0,0.25,4.8767543,4.721468,2.0601275,-1.1588516,14.903117,3.2962966,0.074778385,0.7037037037037035,0.04320531757754789,3.8665762,0.059583202,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
B3gnt9,0.9974,0.0026000000000000467,5.949636611964186,1.3075194e-05,1.1216989e-06,0.0,0.25,4.154003,4.133315,1.7668328,-0.9139786,10.855348,0.11111111,0.012001482,0.1111111111111111,0.01200147710487446,0.105362765,0.00850975,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Gata6,0.9972,0.0028000000000000247,5.875328373074121,6.551126e-05,4.053509e-06,0.0,0.25,4.978094,4.7329807,2.2113583,-1.438323,17.855192,0.2962963,0.00978582,0.2222222222222222,0.007200886262924665,0.35611722,0.0065344707,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Zeb2,0.997,0.0030000000000000027,5.8061351579960405,0.00030845063,2.6194111e-05,0.0,0.25,4.1674137,4.124104,1.6038893,-1.3311148,10.505527,5.4814816,0.17356,0.8148148148148144,0.04948301329394372,5.9241123,0.10428223,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Fxyd1,0.9966,0.0033999999999999586,5.680571123087171,0.0002784408,1.111842e-05,0.0,0.25,5.4526877,5.4464087,2.153976,-1.7992468,14.824331,2.4074073,0.056314554,0.8518518518518514,0.03175775480059079,2.795061,0.03460413,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Dpt,0.9962,0.0038000000000000256,5.568944352369496,0.00031160496,4.6200385e-06,0.0,0.25,7.870811,7.7613964,3.379304,-2.4232569,19.925255,2.3703704,0.005908418,0.3333333333333333,0.004615952732644016,2.6500504,0.004564229,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Col3a1,0.996,0.0040000000000000036,5.517450406507993,0.0010507962,1.6420096e-05,0.0,0.25,7.154785,7.155377,2.8937368,-2.0374918,15.868937,19.703703,0.06610041,0.6666666666666665,0.02215657311669128,18.31007,0.052535884,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Fbn1,0.9954,0.0046000000000000485,5.377086199064927,0.0004819557,2.8450813e-05,0.0,0.25,4.205388,4.2479334,1.6092792,-1.1863041,10.092473,7.666667,0.24520051,0.7777777777777775,0.1394017725258498,6.8499002,0.17099684,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Twist1,0.9944,0.005600000000000049,5.179371166799013,0.00011845411,5.3592566e-06,0.0,0.25,5.249861,5.066623,2.6357,-1.0415773,14.690361,0.8518518,0.019387012,0.2962962962962963,0.014401772525849359,0.80517966,0.015357611,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Igfbp7,0.9928,0.007199999999999984,4.926446829052988,0.0008901507,5.7554615e-05,0.0,0.25,4.530632,4.6681724,1.900685,-2.8785706,11.190328,14.0,0.36152104,0.6296296296296295,0.08991875923190511,16.524609,0.25458956,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Cd300lg,0.9924,0.007600000000000051,4.871976698813327,4.5225966e-05,2.9502944e-06,0.0,0.25,4.8718877,4.7828336,2.3884635,-2.7900066,13.742193,0.6296296,0.014586413,0.18518518518518517,0.008493353028064992,0.7393826,0.0079191495,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
Hoxd3os1,0.9924,0.007600000000000051,4.871976698813327,3.166053e-05,1.5853815e-06,0.0,0.25,5.2287784,5.176343,2.4646158,-2.7829647,13.506507,0.1851852,0.0035081243,0.1111111111111111,0.00276957163958641,0.17234087,0.0018457077,True,KO Ccl21a+ vs Rest,KO Ccl21a+,Rest
