,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Fabp9,0.9796,0.020399999999999974,3.8716089442401334,0.00027748922,4.6210098e-05,0.0,0.25,4.2630415,4.637443,2.7245564,-5.729353,12.242457,9.580238,1.3079298,0.36998706338939485,0.07980497818835046,5.3204775,0.7904004,True,Late Aire vs Rest,Late Aire,Rest
Cfap53,0.9736,0.02639999999999998,3.607636163004399,0.00013612199,2.2110517e-05,0.0,0.25,3.540375,3.394742,2.352512,-4.317219,11.072237,1.6222503,0.2791894,0.17658473479948283,0.11393379522709855,1.0667576,0.15776865,True,Late Aire vs Rest,Late Aire,Rest
2200002J24Rik,0.9728,0.027200000000000002,3.5769611805425647,7.0540686e-05,8.072397e-06,0.0,0.25,4.15575,4.0682244,2.9947066,-6.6163588,18.261154,1.0446302,0.13086988,0.2697283311772331,0.05799332820118063,0.6610913,0.06845793,True,Late Aire vs Rest,Late Aire,Rest
Ces2c,0.972,0.028000000000000025,3.5471509474305067,0.00011661819,1.6050191e-05,0.0,0.25,3.3958383,3.5554843,2.2612238,-5.814975,10.118434,2.2257411,0.21786039,0.5278137128072494,0.11034128817038823,1.378136,0.1320671,True,Late Aire vs Rest,Late Aire,Rest
H1foo,0.9712,0.028800000000000048,3.5181566962377104,4.5473505e-05,6.447675e-06,0.0,0.25,3.491632,3.5035434,2.5484362,-5.733445,12.002635,0.5892621,0.051321574,0.18305304010349327,0.03130613292276107,0.3254063,0.029047612,True,Late Aire vs Rest,Late Aire,Rest
Tstd1,0.971,0.029000000000000026,3.5110303037759842,0.0001603999,2.4504523e-05,0.0,0.25,3.7214007,3.936841,2.9006863,-7.0976725,14.0151415,2.8195317,0.30305368,0.2904269081500665,0.07364639466256133,1.6416769,0.19149067,True,Late Aire vs Rest,Late Aire,Rest
Nos2,0.9696,0.030399999999999983,3.4624406882690915,0.0003319286,4.5729324e-05,0.0,0.25,3.5413988,3.495739,2.2341454,-3.737605,12.009894,6.0679636,0.5381053,0.758732212160422,0.1747498075442662,3.7455716,0.2930154,True,Late Aire vs Rest,Late Aire,Rest
Il12a,0.9692,0.03080000000000005,3.4489559846053557,0.00020562239,2.7991891e-05,0.0,0.25,3.583971,3.6100597,2.6422107,-7.576187,12.434173,3.3835666,0.4054402,0.49288486416559313,0.1352322299204526,2.037963,0.19776924,True,Late Aire vs Rest,Late Aire,Rest
C130074G19Rik,0.968,0.03200000000000003,3.409495882307477,7.1173585e-05,1.5569227e-05,0.0,0.25,3.219585,3.328877,2.3815866,-6.1565742,11.286355,0.95407385,0.12522444,0.44695989650711904,0.07467282525019285,0.6222295,0.07382736,True,Late Aire vs Rest,Late Aire,Rest
Gm11716,0.967,0.03300000000000003,3.377690641297818,3.2392498e-05,5.407147e-06,0.0,0.25,3.1245341,3.2176375,2.1413631,-5.4911814,10.707596,0.45730874,0.05825,0.20698576972833188,0.03772132409545808,0.26477817,0.03134652,True,Late Aire vs Rest,Late Aire,Rest
Sncg,0.9668,0.03320000000000001,3.371441482045512,0.00048829557,9.8404416e-05,0.0,0.25,3.0692136,3.0345435,2.0869353,-4.973236,10.431451,9.859698,1.6915617,0.6345407503234216,0.24172440338722298,6.311519,0.97655827,True,Late Aire vs Rest,Late Aire,Rest
Krt79,0.9668,0.03320000000000001,3.371441482045512,9.8826655e-05,5.1644085e-05,0.0,0.25,2.9221067,3.1151652,2.5532165,-6.109003,9.917115,1.4320811,0.8113913,0.3027166882276863,0.12676417757249256,0.9085165,0.53289634,True,Late Aire vs Rest,Late Aire,Rest
Slurp1,0.9666,0.033399999999999985,3.3652285703727176,5.1306986e-05,2.8646466e-05,0.0,0.25,2.685366,2.8603992,3.8179216,-9.155093,14.249208,0.842173,0.5060302,0.11254851228977979,0.07031049525275888,0.4514098,0.28984016,True,Late Aire vs Rest,Late Aire,Rest
Tm4sf20,0.9666,0.033399999999999985,3.3652285703727176,7.395492e-05,1.369807e-05,0.0,0.25,3.4297156,3.6405025,3.2044547,-8.168013,14.52743,1.0368688,0.15037213,0.1461836998706338,0.02771362586605079,0.59333295,0.072431564,True,Late Aire vs Rest,Late Aire,Rest
Fcer1g,0.9664,0.03359999999999996,3.359051472940072,0.0001079636,2.1938215e-05,0.0,0.25,3.3935552,3.541843,2.6642385,-5.2734375,10.421332,1.6442416,0.32640508,0.29107373868046754,0.11162432640492763,0.94643855,0.17442685,True,Late Aire vs Rest,Late Aire,Rest
1810006J02Rik,0.9662,0.03380000000000005,3.3529097641232113,0.00012827828,2.0897507e-05,0.0,0.25,3.1381972,3.1888652,2.394053,-6.6532717,11.435059,2.5692081,0.24044171,0.3855109961190199,0.07415960995637709,1.5285796,0.13304934,True,Late Aire vs Rest,Late Aire,Rest
Grap,0.966,0.03400000000000003,3.3468030258307184,0.00022140188,4.136087e-05,0.0,0.25,3.4947722,3.3879585,2.268875,-2.549532,9.328495,3.573734,0.68898743,0.8020698576972919,0.2676417757249189,2.1946132,0.353888,True,Late Aire vs Rest,Late Aire,Rest
Uts2b,0.966,0.03400000000000003,3.3468030258307184,4.8318787e-05,1.7384633e-05,0.0,0.25,3.7802935,4.1148,3.7364347,-9.332042,14.929088,0.6571793,0.24813971,0.14747736093143587,0.05003849114703634,0.42720953,0.13194977,True,Late Aire vs Rest,Late Aire,Rest
