,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Spink5,0.995,0.0050000000000000044,5.2933028347767435,0.0019623605,9.0105146e-05,0.0,0.25,5.470268,5.6226163,2.1816235,-3.0880728,11.968737,46.318527,1.1581738,0.8552123552123537,0.12812182741116881,29.583689,0.62660444,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Gsta4,0.9912,0.00880000000000003,4.724163482556559,0.0010786097,7.599396e-05,0.0,0.25,4.607378,4.781169,2.091246,-3.7777433,10.013793,19.320482,0.80040854,0.8687258687258672,0.15939086294416246,11.823962,0.44640017,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Krt6a,0.9886,0.011399999999999966,4.462675578395129,0.00022080156,8.641558e-06,0.0,0.25,5.381749,5.4862566,2.664959,-7.160142,13.941367,2.6003852,0.045482244,0.23745173745173714,0.011370558375634532,1.6133025,0.027120993,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Lratd1,0.9872,0.012800000000000034,4.345426711105514,0.00016490724,1.8752964e-05,0.0,0.25,3.7334003,3.7257829,1.8859938,-3.545638,10.818614,2.723933,0.16913672,0.611969111969111,0.0769543147208123,1.8239757,0.09949205,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Cyp2d12,0.985,0.015000000000000013,4.184590783555717,7.473326e-05,5.320041e-06,0.0,0.25,5.0550294,5.1582437,2.968577,-5.005189,16.168001,0.59845567,0.030659888,0.14864864864864852,0.014010152284263978,0.41237694,0.016579662,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Sbsn,0.9836,0.01639999999999997,4.093937375922709,0.0009807213,5.471441e-05,0.0,0.25,3.866834,4.006602,2.369625,-6.399992,11.71616,25.886105,0.6818326,0.7451737451737439,0.19492385786801888,16.344868,0.37265062,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Gm94,0.9834,0.016599999999999948,4.0816126673746895,0.0007231097,4.0906347e-05,0.0,0.25,4.8659225,5.1450834,3.2800436,-10.501528,14.565569,19.054047,0.37583724,0.5077220077220069,0.03999999999999986,11.46301,0.20323753,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Anxa8,0.9824,0.01759999999999995,4.0220990973462705,0.00019053694,2.4819708e-05,0.0,0.25,3.180924,3.1425729,1.6977444,-2.4577065,12.541826,2.214282,0.15309606,0.505791505791505,0.08446700507614245,1.474398,0.10676482,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Krt6b,0.9822,0.017800000000000038,4.010595944690734,0.000106292806,5.8300266e-06,0.0,0.25,5.27491,5.527953,3.8573136,-11.368938,18.048515,1.4459457,0.041624375,0.13127413127413118,0.006091370558375639,0.89693224,0.023550797,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Sorbs2,0.9822,0.017800000000000038,4.010595944690734,0.00036198922,4.224461e-05,0.0,0.25,3.2391374,3.2637768,1.6738591,-3.2335396,8.486304,3.9266381,0.35796812,0.5212355212355204,0.12243654822335162,2.8561418,0.20348474,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
