,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Cacna2d1,0.9994,0.0006000000000000449,7.417964066154244,0.002629241,0.00011651269,0.0,0.25,4.833439,4.9028687,1.2282985,-1.4140587,9.222002,80.94612,1.7858384,0.9940119760479076,0.407884761182729,60.24337,1.0378933,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Ptprn2,0.9986,0.0013999999999999568,6.569874928627714,0.0014189456,6.2476596e-05,0.0,0.25,5.1674147,5.12379,1.8366481,-0.8260975,10.709627,27.688627,0.5604642,0.9580838323353325,0.14840788476118408,21.128082,0.31672558,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Stxbp5l,0.9986,0.0013999999999999568,6.569874928627714,0.0015365189,3.8529986e-05,0.0,0.25,6.3436556,6.480853,2.0552244,-2.1977777,12.697408,48.60479,0.48142618,0.9161676646706615,0.09268385140257877,36.06116,0.2510342,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Appl2,0.9976,0.0023999999999999577,6.029879500378016,0.00017352997,1.575789e-05,0.0,0.25,3.7415152,3.8771048,1.187765,-2.2924976,7.124712,2.2934139,0.20072095,0.7784431137724568,0.14651250947687786,1.6855378,0.13201219,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Rfx6,0.997,0.0030000000000000027,5.8061351579960405,0.00014767046,3.60169e-06,0.0,0.25,6.8896537,7.075698,2.6330385,-2.8945093,18.797049,1.628742,0.009476877,0.425149700598802,0.005307050796057617,1.3502601,0.0049196985,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Rap1gap2,0.9964,0.0036000000000000476,5.623212170188158,0.00055754755,4.472043e-05,0.0,0.25,4.294978,4.2702074,1.7407067,-1.6164446,9.978069,7.419163,0.41470987,0.9281437125748532,0.16717210007581568,5.590268,0.2567914,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Myt1,0.9964,0.0036000000000000476,5.623212170188158,3.9780105e-05,2.0455393e-06,0.0,0.25,5.4522448,5.473694,2.1751199,-1.9920225,11.927035,0.5748503,0.011751324,0.3592814371257482,0.010235026535253976,0.4456066,0.007068187,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Cd177,0.9962,0.0038000000000000256,5.568944352369496,0.00044823633,8.910898e-06,0.0,0.25,6.899182,6.486877,3.238255,-2.1428032,17.693985,5.5089836,0.04965889,0.5269461077844309,0.021986353297952985,5.0415893,0.02565731,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Rph3al,0.9962,0.0038000000000000256,5.568944352369496,0.0001729949,2.0368785e-05,0.0,0.25,3.3887985,3.376081,1.2382962,-1.3353567,7.7874317,2.4011974,0.17797618,0.7784431137724568,0.12585291887794003,1.8805984,0.10530623,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Elavl4,0.996,0.0040000000000000036,5.517450406507993,0.0002632002,1.3713393e-05,0.0,0.25,4.985804,4.966605,2.0450168,-2.9826012,12.881111,2.8622763,0.03506445,0.6826347305389231,0.010045489006823347,2.2809212,0.016760983,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Snap25,0.9958,0.0041999999999999815,5.468459538011395,0.00045001664,2.547451e-05,0.0,0.25,5.623793,5.140759,2.8316095,-2.165845,15.586689,4.8323364,0.083206974,0.8083832335329361,0.03942380591357087,3.9175184,0.04645723,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Trim24,0.9958,0.0041999999999999815,5.468459538011395,0.00023021802,5.3556134e-05,0.0,0.25,2.175051,2.1762538,0.7857038,-1.2276487,5.4718943,2.814372,0.808578,0.7964071856287444,0.4478771796815961,2.1007123,0.4938886,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Ica1,0.9958,0.0041999999999999815,5.468459538011395,0.00025659014,2.9466786e-05,0.0,0.25,3.3703876,3.471356,1.1978666,-1.554038,7.1558094,4.2455106,0.35803846,0.8562874251497029,0.19768764215314585,3.3387425,0.21136259,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Clca3b,0.9956,0.0043999999999999595,5.421738766888735,0.00083152857,3.378369e-05,0.0,0.25,5.869697,5.801479,2.4027576,-2.458171,13.758084,19.191612,0.3208876,0.7604790419161692,0.06880212282031863,13.801019,0.16746087,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Gm609,0.9956,0.0043999999999999595,5.421738766888735,0.00041142816,2.1926771e-05,0.0,0.25,5.1885242,5.3657923,1.9454393,-1.284792,10.62404,4.6287436,0.08150118,0.7065868263473065,0.03677028051554206,3.8165488,0.057029933,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Dcaf7,0.9954,0.0046000000000000485,5.377086199064927,0.00014949843,3.793891e-05,0.0,0.25,2.0153027,2.010344,0.6605356,-1.0248508,4.462593,1.8862267,0.57904524,0.7604790419161692,0.39556482183473674,1.3987107,0.3486838,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Cacnb2,0.9952,0.0048000000000000265,5.334325730788133,0.00055309286,2.5262088e-05,0.0,0.25,4.6728396,4.761987,1.7295545,-1.4007883,10.434293,12.928143,0.23483738,0.646706586826348,0.07240333586050071,10.541263,0.138711,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Cyp7b1,0.9952,0.0048000000000000265,5.334325730788133,0.00032420282,5.2570933e-05,0.0,0.25,2.7630532,2.7687583,0.95651865,-1.4206915,6.424656,4.742516,0.54359704,0.7964071856287444,0.2611827141774059,3.7469547,0.35246247,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
1810008I18Rik,0.9952,0.0048000000000000265,5.334325730788133,6.63872e-05,1.9310567e-06,0.0,0.25,8.411007,8.003149,4.116231,-2.8648882,18.898138,0.35928154,0.0037907506,0.15568862275449102,0.002843062926459438,0.27781996,0.002094997,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Mpzl1,0.995,0.0050000000000000044,5.2933028347767435,0.00013998816,2.6049764e-05,0.0,0.25,2.6066608,2.640359,0.93398017,-1.0402727,7.1553373,1.4311371,0.24128254,0.5868263473053894,0.16717210007581568,1.0309951,0.14987971,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Gm16035,0.9948,0.005199999999999982,5.253881173319069,1.4347314e-05,4.2522927e-07,0.0,0.25,6.534002,6.6056542,2.8539782,-3.8912888,18.683218,0.16167668,0.0022744504,0.13173652694610782,0.0020849128127369216,0.12683906,0.0012873464,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
