,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Serpinb6a,0.9994,0.0006000000000000449,7.417964066154244,0.0048788134,0.0002472889,0.0,0.25,4.1829624,4.237751,1.1999711,-0.013422012,8.045552,138.7317,3.8803558,0.9878048780487811,0.8160790897220993,81.39728,2.4323235,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Gm37800,0.9992,0.0008000000000000229,7.13008602021168,0.00032326637,2.7747515e-06,0.0,0.25,8.8712845,8.986904,3.015683,-1.5879917,19.513828,2.4146338,0.0076478254,0.26829268292682934,0.0037306472673008773,1.3453493,0.0047545554,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Gm50069,0.9992,0.0008000000000000229,7.13008602021168,0.00027326195,6.925805e-06,0.0,0.25,5.6020427,5.718938,1.4824911,-0.9358101,11.229529,4.4512186,0.05185607,0.6707317073170735,0.044581234844245296,2.6016681,0.032626715,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Tnfaip2,0.9988,0.0011999999999999789,6.724224678325084,0.0007835703,4.5318593e-05,0.0,0.25,4.4245524,4.479556,1.3784013,-1.4963064,9.423496,15.378055,0.6513653,0.9634146341463421,0.27588136541690217,9.620884,0.38702464,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Spib,0.9986,0.0013999999999999568,6.569874928627714,0.00095173856,7.177419e-05,0.0,0.25,3.983893,3.98876,1.3538359,-0.9614048,8.293982,14.804878,1.0559416,1.0000000000000007,0.4055213579555923,9.073897,0.60768527,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Gm5930,0.998,0.0020000000000000018,6.212601105784058,0.00018158305,2.8035254e-06,0.0,0.25,7.1848416,7.1287894,2.661903,-3.4464006,19.295918,1.987805,0.018653248,0.19512195121951223,0.008393956351426967,1.2710876,0.01002773,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Ccl9,0.9978,0.0021999999999999797,6.11709095964051,0.002071524,6.6886256e-05,0.0,0.25,6.31059,6.153838,2.6163688,-1.6377993,15.210876,31.048784,0.8058155,0.9878048780487811,0.1341167692594684,17.80599,0.48826665,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Ccl6,0.9976,0.0023999999999999577,6.029879500378016,0.0014850694,5.0317783e-05,0.0,0.25,6.498754,6.40513,2.638644,-1.0170574,14.956606,28.621956,0.3146803,0.7926829268292688,0.056705838462973064,16.384617,0.20672338,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Abca13,0.9964,0.0036000000000000476,5.623212170188158,0.0009180177,3.705295e-05,0.0,0.25,5.352039,4.987773,2.3542087,-1.2740927,13.830053,24.92683,0.47453892,0.7926829268292688,0.10800223838836147,17.407986,0.27415603,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Ccr5,0.9958,0.0041999999999999815,5.468459538011395,0.00016409664,8.067406e-06,0.0,0.25,5.525271,5.528031,2.3479836,-2.7099018,13.888442,3.4024382,0.07125543,0.5853658536585369,0.03786606976310376,2.1634405,0.0427449,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Cr2,0.9956,0.0043999999999999595,5.421738766888735,0.0004059022,1.5903057e-05,0.0,0.25,5.4952445,5.5056696,2.2093902,-2.4108028,13.427056,7.2195096,0.1522106,0.7560975609756102,0.07162842753217681,5.0781307,0.07557766,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
1700003P14Rik,0.9952,0.0048000000000000265,5.334325730788133,0.00020655029,8.326924e-06,0.0,0.25,5.710695,5.4568663,2.7839212,-3.7558575,19.067886,3.353658,0.0557732,0.26829268292682934,0.015109121432568562,2.076451,0.03280805,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Ccl20,0.9948,0.005199999999999982,5.253881173319069,0.002532122,0.00010637313,0.0,0.25,6.0079966,5.9898205,2.639501,-1.9064922,14.946039,131.57315,2.6278558,0.939024390243903,0.1688117888453676,79.45807,1.413307,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
