,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Dynlrb2,1.0,0.0,18.420680753952368,0.0007483515,7.5735056e-06,0.0,0.25,7.035122,7.069781,1.9466679,-1.1278343,15.866377,15.681819,0.026594773,0.9090909090909084,0.018969685698344806,6.868045,0.017447783,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Pih1d2,0.9998,0.00019999999999997797,8.516943182665639,0.00013006468,5.0077224e-06,0.0,0.25,4.8242283,4.866493,1.265731,-0.039725304,10.218746,2.5454538,0.07197316,0.863636363636363,0.0649060814580624,1.2903911,0.040655516,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Spata18,0.9998,0.00019999999999997797,8.516943182665639,0.00010368058,5.514999e-07,0.0,0.25,8.012153,8.153059,2.3561893,-0.3809662,15.977514,1.7121208,0.0022317276,0.6060606060606056,0.001859773107680863,0.93150824,0.0012610176,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Foxj1,0.9996,0.00039999999999995595,7.823620941151559,0.00048215932,2.5429126e-05,0.0,0.25,4.6557918,4.5608053,1.574908,-0.46451283,10.038955,8.257573,0.2648316,0.9999999999999992,0.1565928956667267,4.1855474,0.1584858,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Cfap45,0.9996,0.00039999999999995595,7.823620941151559,0.00026086945,1.4529422e-05,0.0,0.25,4.4560013,4.446449,1.2810707,-0.30273533,9.217878,5.333332,0.13167143,0.9090909090909084,0.08982704110098536,2.601152,0.083988234,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Nme5,0.9996,0.00039999999999995595,7.823620941151559,0.00037094625,1.6932405e-05,0.0,0.25,4.669177,4.7273755,1.3710603,-1.200819,8.412611,5.833332,0.112329744,0.9242424242424235,0.08592151757485564,2.8389227,0.07039872,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
1700016K19Rik,0.9996,0.00039999999999995595,7.823620941151559,0.0003332252,7.861312e-06,0.0,0.25,6.1332545,5.872306,2.1833928,0.18528748,14.340109,6.5606036,0.051515784,0.9090909090909084,0.039613167193602423,3.0410907,0.028552433,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Rsph1,0.9996,0.00039999999999995595,7.823620941151559,0.00045408536,1.139987e-05,0.0,0.25,5.806021,5.838337,1.79375,-0.21742535,13.662108,9.075759,0.101171315,0.969696969696969,0.07253115119955375,3.9265323,0.059432354,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
C230072F16Rik,0.9994,0.0006000000000000449,7.417964066154244,0.00020088215,1.1784249e-06,0.0,0.25,9.441168,8.9876,3.5460627,-2.1305408,22.945274,3.1212115,0.002603682,0.6666666666666662,0.0005579319323042589,1.7743632,0.0010726101,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Oscp1,0.9994,0.0006000000000000449,7.417964066154244,0.000112378584,8.422592e-06,0.0,0.25,3.9107497,3.9650974,1.2226381,-1.017704,8.17767,2.3181813,0.09057066,0.7878787878787873,0.07662265203645155,1.024585,0.05346652,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
