,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Wnt10b,0.9784,0.021599999999999953,3.813224816940758,6.1506944e-05,1.19197975e-05,0.0,0.25,3.0147474,2.8049846,1.8644394,-3.1778355,11.02842,1.686459,0.13002807,0.6959619952494079,0.0921943448825163,0.62830746,0.07157339,True,TAC-TECs vs Rest,TAC-TECs,Rest
Ccna2,0.9782,0.02180000000000004,3.8038037298175786,5.182485e-05,3.988734e-06,0.0,0.25,4.058266,4.0824785,2.636748,-5.090145,12.359399,1.2351545,0.011748311,0.3610451306413308,0.00776583034647551,0.3948725,0.0061634276,True,TAC-TECs vs Rest,TAC-TECs,Rest
Selenoh,0.9768,0.0232,3.740129223327351,0.00026147073,5.170191e-05,0.0,0.25,2.2864468,2.290923,1.156105,-1.3542128,6.2253523,7.6056986,0.72480476,0.9358669833729242,0.4129828753484768,2.6782055,0.4557381,True,TAC-TECs vs Rest,TAC-TECs,Rest
Aurkb,0.9752,0.024800000000000044,3.671798532024705,3.2308883e-05,2.0727546e-06,0.0,0.25,3.7567606,3.7332687,2.4862266,-3.582676,11.718217,0.81947756,0.014137796,0.27078384798099797,0.010752688172043005,0.23513806,0.005901493,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cenpa,0.9746,0.025399999999999978,3.6472775729448257,7.1526665e-05,7.729887e-06,0.0,0.25,3.3889465,3.335456,2.0348964,-2.7751331,10.6598425,1.2897863,0.05456,0.2850356294536821,0.038430904022301975,0.46774188,0.029553121,True,TAC-TECs vs Rest,TAC-TECs,Rest
Stmn1,0.9734,0.026599999999999957,3.599883515945192,0.0004464695,4.6607685e-05,0.0,0.25,3.0374768,3.1099925,1.7124351,-3.0269318,8.177986,14.030884,0.53384596,0.912114014251784,0.24113898845081952,4.8851256,0.31109908,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cdca3,0.9734,0.026599999999999957,3.599883515945192,4.9641134e-05,4.9915448e-06,0.0,0.25,3.6483555,3.7191558,2.4090815,-5.3927355,11.085849,1.2209024,0.023894878,0.45130641330166366,0.01453604141776183,0.41500372,0.0113464985,True,TAC-TECs vs Rest,TAC-TECs,Rest
Eif5a,0.973,0.027000000000000024,3.5845468560888656,0.0010952393,0.00030524135,0.0,0.25,1.8846494,1.9030938,0.9285257,-1.7503977,5.721196,30.893093,4.9191523,1.0000000000000027,0.9084030266826266,10.964344,2.9385834,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cdca8,0.972,0.028000000000000025,3.5471509474305067,9.721445e-05,8.960508e-06,0.0,0.25,3.4509141,3.4603739,2.2231987,-4.321334,10.634445,2.4536803,0.063122325,0.47268408551068986,0.03663878932696146,0.8074628,0.030774271,True,TAC-TECs vs Rest,TAC-TECs,Rest
Pclaf,0.9716,0.02839999999999998,3.532554710140545,0.00014963203,9.223632e-06,0.0,0.25,3.492456,3.3864646,2.2857559,-3.8530693,10.6026125,5.178144,0.046196777,0.5463182897862245,0.027678215850258907,1.5783298,0.02448029,True,TAC-TECs vs Rest,TAC-TECs,Rest
Tmem158,0.9714,0.02859999999999996,3.525331272729971,0.00042501456,8.2628205e-05,0.0,0.25,2.5034308,2.6210861,1.2952774,-2.9404001,6.50305,14.004745,1.3359079,0.9453681710213803,0.4259259259259365,5.1122875,0.7798026,True,TAC-TECs vs Rest,TAC-TECs,Rest
Rbm3,0.9698,0.030200000000000005,3.469247619476059,0.0005838766,0.00019267415,0.0,0.25,1.6775584,1.6887717,0.80360585,-1.474967,5.1207705,16.415684,2.9973683,0.9976247030878888,0.8022700119474571,5.8998847,1.8148004,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cdc20,0.9694,0.03059999999999996,3.4556769979712687,8.098034e-05,6.992384e-06,0.0,0.25,3.5480595,3.3967104,2.7447095,-5.2741814,13.618733,1.5890732,0.0531661,0.2945368171021382,0.021107128634010364,0.544087,0.022087108,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hnrnpa1,0.9694,0.03059999999999996,3.4556769979712687,0.0005813136,0.00016574959,0.0,0.25,1.9449301,1.9415197,0.9740268,-1.0219269,5.736475,16.55107,2.413942,0.9976247030878888,0.7686180804460618,5.970637,1.604887,True,TAC-TECs vs Rest,TAC-TECs,Rest
Fbxo5,0.9688,0.031200000000000006,3.4356397872327245,3.677449e-05,5.4693446e-06,0.0,0.25,2.7952278,2.7436361,1.7030338,-2.6902084,8.817702,0.7387174,0.028275615,0.2517814726840858,0.024492234169653553,0.22679593,0.018666875,True,TAC-TECs vs Rest,TAC-TECs,Rest
Tcp1,0.9688,0.031200000000000006,3.4356397872327245,0.0002573915,0.000103829,0.0,0.25,1.3321444,1.3177638,0.6411721,-2.0688686,4.3612814,7.0356293,1.6425408,0.9714964370546345,0.7041019514138012,2.5148509,1.0162185,True,TAC-TECs vs Rest,TAC-TECs,Rest
Erh,0.9686,0.031399999999999983,3.429043528907814,0.00018107521,5.7369565e-05,0.0,0.25,1.7410675,1.7247863,0.9020607,-2.1156387,5.905078,4.9358654,0.9052121,0.9477434679334943,0.5197132616487599,1.7475574,0.57572645,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cct2,0.9684,0.03159999999999996,3.4224877983417037,0.00032764825,0.00013382992,0.0,0.25,1.3472242,1.3536205,0.6127428,-0.97680473,4.405115,8.933487,2.1937094,0.9881235154394327,0.764635603345305,3.2362611,1.3319575,True,TAC-TECs vs Rest,TAC-TECs,Rest
Anln,0.9682,0.03180000000000005,3.4159720835825462,3.9841005e-05,9.288302e-06,0.0,0.25,3.3326957,3.2988524,2.7056653,-5.798911,12.648073,0.84560573,0.042214286,0.3254156769596205,0.0213062524890482,0.28852934,0.023378829,True,TAC-TECs vs Rest,TAC-TECs,Rest
Birc5,0.9682,0.03180000000000005,3.4159720835825462,0.0001216539,8.430443e-06,0.0,0.25,3.5978155,3.654408,2.6396637,-4.8755856,10.864792,3.2042751,0.06431706,0.4560570071258917,0.038829151732377644,1.0055418,0.035490565,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hspd1,0.9662,0.03380000000000005,3.3529097641232113,0.00052649615,0.00018188085,0.0,0.25,1.555344,1.5535774,0.777379,-1.1355524,5.029503,17.021378,3.1602588,0.9952494061757747,0.7939068100358677,5.9490166,1.9084013,True,TAC-TECs vs Rest,TAC-TECs,Rest
Phgdh,0.9658,0.03420000000000001,3.3407308473273742,0.00043408127,0.000111089656,0.0,0.25,2.226224,2.203847,1.2681408,-2.3272686,6.288887,14.111639,1.9223168,0.9714964370546345,0.5153325368379273,5.0687366,1.0907682,True,TAC-TECs vs Rest,TAC-TECs,Rest
Kif2c,0.965,0.03500000000000003,3.316779764498021,2.9194656e-05,6.467662e-06,0.0,0.25,3.5404289,3.601139,2.685796,-5.4735174,13.238434,0.47980976,0.028076481,0.24703087885985775,0.014336917562723997,0.1704821,0.012181837,True,TAC-TECs vs Rest,TAC-TECs,Rest
Ybx1,0.9648,0.03520000000000001,3.310874469642843,0.0010145062,0.0004016963,0.0,0.25,1.3843769,1.3781719,0.67655134,-1.317585,4.6488724,29.72684,6.3966684,0.9976247030878888,0.94683393070493,10.540112,3.9001684,True,TAC-TECs vs Rest,TAC-TECs,Rest
Utf1,0.9644,0.035599999999999965,3.2991602379193363,0.0003682247,8.667685e-05,0.0,0.25,2.8764534,2.8020258,2.0278912,-4.521056,9.258968,10.938241,1.5507612,0.9429928741092662,0.3805256869773086,4.0149293,0.83524793,True,TAC-TECs vs Rest,TAC-TECs,Rest
Spc24,0.964,0.03600000000000003,3.2875720887501396,6.58451e-05,1.0041799e-05,0.0,0.25,2.6867769,2.71321,1.8122791,-4.151161,8.635705,1.8883599,0.07248118,0.5225653206650843,0.05455993628036658,0.6134854,0.040944543,True,TAC-TECs vs Rest,TAC-TECs,Rest
Aspm,0.9632,0.036800000000000055,3.264762968022636,7.6120254e-05,1.2763036e-05,0.0,0.25,3.1863952,3.220285,2.485532,-5.245414,11.248782,1.8337283,0.10613315,0.47268408551068986,0.060732775786539454,0.6085971,0.053917527,True,TAC-TECs vs Rest,TAC-TECs,Rest
Exo1,0.962,0.038000000000000034,3.23142803817647,1.542891e-05,3.8380276e-06,0.0,0.25,3.1718524,2.9837914,2.5847354,-5.209051,12.73235,0.20665072,0.012345682,0.1353919239904987,0.008761449621664676,0.06606712,0.006687688,True,TAC-TECs vs Rest,TAC-TECs,Rest
Dut,0.9618,0.03820000000000001,3.225970761848134,0.00025676546,4.1717984e-05,0.0,0.25,2.4258814,2.3548932,1.4600917,-2.0862598,7.4362984,8.942993,0.58740854,0.914489311163898,0.3249701314217508,2.9757555,0.37916505,True,TAC-TECs vs Rest,TAC-TECs,Rest
Pabpn1,0.9608,0.03920000000000001,3.199089279275342,0.00030614217,0.00014120934,0.0,0.25,1.1346741,1.1426868,0.5210979,-0.96044636,3.913353,8.2399025,2.1566732,0.9833729216152046,0.7791716447630674,3.025098,1.3861768,True,TAC-TECs vs Rest,TAC-TECs,Rest
Kcnj5,0.9602,0.03979999999999995,3.1832744429646964,1.0913785e-05,3.1350196e-06,0.0,0.25,2.7200904,2.5727987,2.7665036,-9.371315,12.240026,0.14726838,0.020708892,0.10213776722090254,0.016527279968140168,0.05495096,0.014929986,True,TAC-TECs vs Rest,TAC-TECs,Rest
Lrr1,0.9598,0.040200000000000014,3.172857695461819,1.0140326e-05,1.6760831e-06,0.0,0.25,2.804368,2.7351542,2.191081,-4.304306,12.67098,0.22327778,0.0041816,0.1567695961995249,0.003584229390681002,0.07680482,0.002015605,True,TAC-TECs vs Rest,TAC-TECs,Rest
Irx4,0.9598,0.040200000000000014,3.172857695461819,2.7728203e-05,6.2864406e-06,0.0,0.25,3.1659844,2.9051728,2.7070727,-5.431079,13.00921,0.39904973,0.015929911,0.20665083135391937,0.009159697331740341,0.13886946,0.008806875,True,TAC-TECs vs Rest,TAC-TECs,Rest
Nme1,0.9598,0.040200000000000014,3.172857695461819,0.00048069944,0.0001492634,0.0,0.25,1.7505445,1.750586,0.92742646,-1.2669973,5.9595404,14.32067,2.3866632,0.9881235154394327,0.7238152130625475,5.071589,1.4038138,True,TAC-TECs vs Rest,TAC-TECs,Rest
Banf1,0.9594,0.04059999999999997,3.16253978657807,0.00031180744,0.00010535963,0.0,0.25,1.6536543,1.6535468,0.86158776,-1.3843136,5.451851,7.935868,1.539003,0.9738717339667485,0.6328156113102539,2.820675,0.917232,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cct6a,0.9594,0.04059999999999997,3.16253978657807,0.0002890764,0.00011777035,0.0,0.25,1.3167311,1.294445,0.6650464,-0.63800526,4.4819593,7.6983414,1.7172132,0.9809976247030906,0.7170450019912609,2.7520146,1.1001678,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cntnap1,0.9582,0.04179999999999995,3.132159956120126,3.259005e-05,8.571129e-06,0.0,0.25,2.0732145,2.131074,1.4291838,-2.9708996,6.929186,0.78384864,0.11728413,0.46080760095011974,0.0894066109119867,0.2828797,0.06398098,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hist1h2af,0.958,0.04200000000000004,3.127177932030695,7.784296e-06,5.9568237e-07,0.0,0.25,3.2899973,3.2678547,3.1031835,-6.4378986,13.355933,0.16864598,0.00059737155,0.11401425178147258,0.0005973715651135006,0.049206413,0.00028055144,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hes6,0.9578,0.042200000000000015,3.122218540340339,0.0003256458,8.47813e-05,0.0,0.25,2.3695226,2.409803,1.6010753,-3.6212006,7.187088,9.558194,1.156302,0.9429928741092662,0.4275189167662392,3.6064901,0.8045645,True,TAC-TECs vs Rest,TAC-TECs,Rest
Plk1,0.9578,0.042200000000000015,3.122218540340339,3.0276682e-05,2.184204e-06,0.0,0.25,2.960708,2.897708,3.5185325,-9.490041,14.013707,0.72209036,0.014336919,0.2541567695961998,0.006969334926324175,0.24217986,0.0056657568,True,TAC-TECs vs Rest,TAC-TECs,Rest
Dnph1,0.9576,0.04239999999999999,3.1172815665995963,4.228256e-05,1.5386377e-05,0.0,0.25,3.1529794,3.3639464,2.739042,-4.796891,11.414872,0.85273224,0.10374361,0.46080760095011974,0.04978096375945855,0.29115948,0.050998274,True,TAC-TECs vs Rest,TAC-TECs,Rest
Snrpa1,0.9576,0.04239999999999999,3.1172815665995963,0.0001233622,3.530951e-05,0.0,0.25,1.8414408,1.842422,1.0352484,-1.2942209,6.4768143,3.2446525,0.5067614,0.8574821852731614,0.349860613301481,1.1424413,0.32858363,True,TAC-TECs vs Rest,TAC-TECs,Rest
Pcbp4,0.9576,0.04239999999999999,3.1172815665995963,9.525187e-05,2.9931292e-05,0.0,0.25,1.7685449,1.8031783,0.9561251,-2.3635082,5.653491,2.5629427,0.47549993,0.8337292161520212,0.3144165671047452,0.9223112,0.29594985,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cep55,0.9572,0.04279999999999995,3.1074740302487736,3.1387026e-05,6.7506426e-06,0.0,0.25,2.8380678,2.8863778,2.4037035,-5.625325,11.675556,0.52494055,0.02090801,0.273159144893112,0.011350059737156503,0.1743482,0.00987723,True,TAC-TECs vs Rest,TAC-TECs,Rest
Ccr10,0.9568,0.043200000000000016,3.0977536669163523,3.172653e-05,7.1054606e-06,0.0,0.25,2.666507,2.762199,2.559464,-7.700322,9.792554,0.69596213,0.06730394,0.36342042755344484,0.04420549581839918,0.2500014,0.033734456,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cdk1,0.9568,0.043200000000000016,3.0977536669163523,0.0001611151,1.54393e-05,0.0,0.25,3.1149402,2.9866624,2.7266212,-4.660187,11.938299,4.444182,0.15232992,0.5154394299287423,0.072879330943847,1.3479426,0.07304468,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hist1h1b,0.9564,0.04359999999999997,3.088118866327286,0.00010756672,3.5673652e-06,0.0,0.25,3.5317702,3.2507615,3.0652666,-5.36862,13.834677,4.028504,0.019713271,0.28978622327791015,0.01712465153325367,1.1394812,0.010700285,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cks1b,0.9562,0.04379999999999995,3.0833330609571905,0.00016929902,2.8879034e-05,0.0,0.25,2.357228,2.3218637,1.4569176,-2.4098358,7.3632135,4.8147264,0.3219809,0.7909738717339688,0.20888092393468918,1.6214042,0.19940329,True,TAC-TECs vs Rest,TAC-TECs,Rest
Ticam2,0.956,0.04400000000000004,3.078568062320689,6.6627217e-06,1.7423266e-06,0.0,0.25,2.47203,2.4777832,1.8535073,-4.537712,9.177885,0.13064133,0.012943055,0.11638954869358659,0.012146555157307835,0.05117994,0.00714791,True,TAC-TECs vs Rest,TAC-TECs,Rest
