,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Mctp1,0.9998,0.00019999999999997797,8.516943182665639,0.0037102115,7.762739e-05,0.0,0.25,5.796394,5.858428,1.5086069,-0.30292988,10.893079,101.52902,0.9093009,0.9877675840978635,0.16555903049257353,73.70957,0.48673818,True,Tuft vs Rest,Tuft,Rest
Rgs13,0.9996,0.00039999999999995595,7.823620941151559,0.0016748089,2.1257074e-05,0.0,0.25,7.4551797,7.4540343,2.1357644,-0.563447,16.388397,23.20184,0.086004734,0.9204892966360894,0.025801407349491753,16.64839,0.039442282,True,Tuft vs Rest,Tuft,Rest
Lrmp,0.9994,0.0006000000000000449,7.417964066154244,0.0017675781,3.001199e-05,0.0,0.25,6.130712,6.217022,1.5423673,-0.93944454,11.550772,28.709486,0.11806109,0.9449541284403709,0.04319781078967957,20.145596,0.05876634,True,Tuft vs Rest,Tuft,Rest
Avil,0.9994,0.0006000000000000449,7.417964066154244,0.0013909896,4.8717982e-05,0.0,0.25,5.0692043,5.1691246,1.4877357,-1.2184601,9.684542,15.3241625,0.18334587,0.9694189602446524,0.0887412040656762,11.455032,0.107392035,True,Tuft vs Rest,Tuft,Rest
A630073D07Rik,0.9992,0.0008000000000000229,7.13008602021168,0.00052266504,4.213488e-06,0.0,0.25,7.777991,7.8082933,2.2297966,-2.003271,17.558474,6.4220195,0.014268957,0.4770642201834873,0.00820953870211103,4.45501,0.007901507,True,Tuft vs Rest,Tuft,Rest
Cap1,0.9992,0.0008000000000000229,7.13008602021168,0.0007737438,6.791438e-05,0.0,0.25,3.4265382,3.5057683,0.9358631,-0.12336254,6.343169,13.082578,1.244913,0.9663608562691172,0.6098514464425371,9.308719,0.75245714,True,Tuft vs Rest,Tuft,Rest
Cyfip1,0.9992,0.0008000000000000229,7.13008602021168,0.0006923305,6.964296e-05,0.0,0.25,3.228327,3.2509365,0.87624437,-0.1743269,6.085289,8.944955,1.0001831,0.9755351681957227,0.5502345582486241,6.4624124,0.60423756,True,Tuft vs Rest,Tuft,Rest
Tmem245,0.9992,0.0008000000000000229,7.13008602021168,0.00071328325,4.24931e-05,0.0,0.25,4.1068263,4.1924405,1.0741127,-0.96968174,7.6992197,8.165137,0.52247757,0.9694189602446524,0.33189992181391514,6.184862,0.34054363,True,Tuft vs Rest,Tuft,Rest
Trpm5,0.999,0.0010000000000000009,6.906744788708563,0.0005382812,1.9215644e-05,0.0,0.25,5.141758,5.16852,1.433633,-0.6243067,9.480415,6.0856276,0.04867088,0.948012232415906,0.02443315089913992,4.782542,0.026103085,True,Tuft vs Rest,Tuft,Rest
4930556N09Rik,0.999,0.0010000000000000009,6.906744788708563,6.4137515e-05,5.0633173e-07,0.0,0.25,7.524583,7.616566,2.6835568,-3.4734201,17.412893,0.43425092,0.0015637216,0.17737003058103967,0.0015637216575449568,0.3546826,0.0009306318,True,Tuft vs Rest,Tuft,Rest
St18,0.9986,0.0013999999999999568,6.569874928627714,0.0015503779,6.609666e-05,0.0,0.25,4.900268,5.031896,1.5138646,-0.94449997,10.499545,19.9786,0.35066417,0.865443425076456,0.07193119624706826,15.139325,0.23252238,True,Tuft vs Rest,Tuft,Rest
1810046K07Rik,0.9986,0.0013999999999999568,6.569874928627714,0.000359068,1.4485431e-05,0.0,0.25,5.771491,5.6899495,2.1270506,-1.2126102,14.0228405,5.7308874,0.033424553,0.914373088685019,0.013878029710711485,4.0348506,0.01685408,True,Tuft vs Rest,Tuft,Rest
Tas2r113,0.9986,0.0013999999999999568,6.569874928627714,4.3039523e-05,2.4953695e-07,0.0,0.25,9.051792,9.165993,2.8908982,-3.5193481,19.28479,0.262997,0.00039093042,0.1376146788990826,0.00039093041438623924,0.20219865,0.0005958695,True,Tuft vs Rest,Tuft,Rest
Bmx,0.9986,0.0013999999999999568,6.569874928627714,0.0010741734,3.7492533e-05,0.0,0.25,5.696487,5.7717323,1.8830104,-1.6469288,11.484754,15.006124,0.1313527,0.9327217125382301,0.040070367474589606,10.718952,0.079060145,True,Tuft vs Rest,Tuft,Rest
Gng13,0.9986,0.0013999999999999568,6.569874928627714,0.0013998607,4.6007433e-05,0.0,0.25,5.344585,5.3667226,1.6738801,-0.7690277,10.150592,24.052,0.4790855,0.9694189602446524,0.17709147771696818,17.143574,0.25314105,True,Tuft vs Rest,Tuft,Rest
Alox5,0.9986,0.0013999999999999568,6.569874928627714,0.00040072307,1.9977399e-05,0.0,0.25,4.498791,4.550084,1.2681252,-0.78912926,9.2218895,5.2874627,0.093041636,0.8868501529052023,0.06391712275215052,4.0177665,0.06894736,True,Tuft vs Rest,Tuft,Rest
Gm35430,0.9986,0.0013999999999999568,6.569874928627714,9.847065e-05,1.1255694e-06,0.0,0.25,7.6299796,7.522067,2.6155088,-2.5675993,17.050093,0.54128456,0.0029319786,0.19266055045871547,0.0017591868647380763,0.41840202,0.0013140272,True,Tuft vs Rest,Tuft,Rest
Plcb2,0.9984,0.0016000000000000458,6.4361441284049565,0.00037574742,1.3154859e-05,0.0,0.25,5.348096,5.4143767,1.5754585,-0.5355377,12.585755,4.636088,0.033620045,0.8715596330275264,0.019351055512118822,3.4950438,0.017479219,True,Tuft vs Rest,Tuft,Rest
Gnb3,0.9984,0.0016000000000000458,6.4361441284049565,0.0009164828,2.2946939e-05,0.0,0.25,5.646003,5.605821,1.9669139,-2.135333,12.591291,15.183493,0.09558261,0.8348623853211041,0.04495699765441767,10.195843,0.052829303,True,Tuft vs Rest,Tuft,Rest
Oxr1,0.9982,0.0018000000000000238,6.318161446611285,0.001866234,8.383673e-05,0.0,0.25,4.5043,4.6044607,1.3683354,-0.58763695,8.735704,27.207947,1.1180557,0.9510703363914412,0.4601250977325899,20.634695,0.7380761,True,Tuft vs Rest,Tuft,Rest
Gnat3,0.9982,0.0018000000000000238,6.318161446611285,0.0014621939,1.8633198e-05,0.0,0.25,6.8649945,6.851607,2.267485,-1.8435946,15.292078,30.278286,0.079554394,0.7003058103975559,0.019155590304925703,20.64175,0.042878818,True,Tuft vs Rest,Tuft,Rest
Ivns1abp,0.9982,0.0018000000000000238,6.318161446611285,0.0008653345,7.4660136e-05,0.0,0.25,3.6384895,3.672443,1.0907016,-0.26851845,6.9651794,11.614686,1.1039802,0.996941896024469,0.5076231430805158,9.033098,0.70464575,True,Tuft vs Rest,Tuft,Rest
Vav1,0.998,0.0020000000000000018,6.212601105784058,0.00033081928,1.8145583e-05,0.0,0.25,4.3798275,4.409726,1.4406413,-1.0184708,9.842462,3.6544318,0.048866358,0.899082568807343,0.031665363565285334,2.9518516,0.026700256,True,Tuft vs Rest,Tuft,Rest
Rgs21,0.998,0.0020000000000000018,6.212601105784058,0.0005901916,5.7224674e-06,0.0,0.25,7.716222,7.558375,2.9520998,-4.069191,18.482178,6.706421,0.021696642,0.3944954128440373,0.005082095387021112,4.846851,0.012926248,True,Tuft vs Rest,Tuft,Rest
Ly6g6f,0.998,0.0020000000000000018,6.212601105784058,0.0004746284,1.3512102e-05,0.0,0.25,5.7663198,5.8035836,2.1116958,-2.1088705,12.54355,5.2629952,0.03596562,0.8776758409785967,0.02228303362001561,4.0853825,0.018320195,True,Tuft vs Rest,Tuft,Rest
Smim10l1,0.9978,0.0021999999999999797,6.11709095964051,0.00051833224,5.917089e-05,0.0,0.25,3.0299551,3.0860653,1.0137672,-0.7882652,6.698042,7.0244627,0.9006929,0.8501529051987801,0.5099687255668337,4.8861165,0.5509488,True,Tuft vs Rest,Tuft,Rest
