,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gm13629,0.996,0.0040000000000000036,5.517450406507993,0.00015762492,4.419132e-06,0.0,0.25,6.409206,6.1690087,2.8638098,-2.1455889,18.871685,1.172415,0.0136202155,0.4854111405835535,0.01065929727595735,1.0001749,0.0068590217,True,cTECs vs Rest,cTECs,Rest
Scn1a,0.995,0.0050000000000000044,5.2933028347767435,0.00035474956,1.7476392e-05,0.0,0.25,5.1511827,5.0503626,2.2914,-1.7979918,16.439308,3.2413776,0.03474142,0.7294429708222844,0.015396762731938391,2.8939986,0.023533605,True,cTECs vs Rest,cTECs,Rest
Kcnk2,0.993,0.007000000000000006,4.954819096489944,0.00029141537,2.0433165e-05,0.0,0.25,4.558688,4.5119133,1.9353251,-2.06565,11.30265,3.9549031,0.12889883,0.7904509283819672,0.08014212396367984,3.0766714,0.099555895,True,cTECs vs Rest,cTECs,Rest
Gm13630,0.9928,0.007199999999999984,4.926446829052988,2.6134467e-05,1.3627508e-06,0.0,0.25,5.3676763,5.461738,2.3444118,-2.7946196,13.739299,0.22281173,0.0029609154,0.14323607427055712,0.002368732727990525,0.20167632,0.0019270949,True,cTECs vs Rest,cTECs,Rest
Ackr4,0.9926,0.007399999999999962,4.8988464216673355,0.00017427398,1.4083479e-05,0.0,0.25,4.3616447,4.3126802,2.0608885,-1.5823355,12.853961,1.9840876,0.08586673,0.6710875331565008,0.05684958547177286,1.8313948,0.060646024,True,cTECs vs Rest,cTECs,Rest
2310065F04Rik,0.9922,0.007800000000000029,4.845799694199552,3.9244005e-05,2.4710514e-06,0.0,0.25,5.5578647,5.3734202,2.8555024,-3.2175026,16.30072,0.2519895,0.00454007,0.18567639257294427,0.0033557046979865775,0.21770597,0.0023083678,True,cTECs vs Rest,cTECs,Rest
Mdga1,0.9878,0.012199999999999989,4.394043486819026,9.0298236e-05,1.1879342e-05,0.0,0.25,3.1206722,3.101241,1.3320892,-2.3729305,9.118774,1.1114069,0.0933678,0.4933687002652511,0.072838531385709,0.9124578,0.06492145,True,cTECs vs Rest,cTECs,Rest
Diras2,0.9878,0.012199999999999989,4.394043486819026,0.0001575624,1.7658187e-05,0.0,0.25,3.4724524,3.4622307,1.7200514,-2.848341,9.267336,1.9442987,0.1010661,0.6021220159151203,0.06494275562574053,1.3207582,0.07761313,True,cTECs vs Rest,cTECs,Rest
Isoc1,0.9874,0.012599999999999945,4.361377628344464,0.00015261937,2.6862826e-05,0.0,0.25,2.8634264,2.9291716,1.2834584,-1.5407,6.926117,2.1405842,0.37919143,0.7480106100795791,0.24772996446901063,1.7567835,0.24941766,True,cTECs vs Rest,cTECs,Rest
Igfbp7,0.9872,0.012800000000000034,4.345426711105514,0.00028175692,4.116792e-05,0.0,0.25,3.2185805,3.2237582,1.5628742,-4.642606,9.134544,3.5278475,0.19857898,0.6843501326259971,0.048559020923805964,2.6264296,0.16479614,True,cTECs vs Rest,cTECs,Rest
Pltp,0.9866,0.013399999999999967,4.2990092457102165,0.00056263385,6.366191e-05,0.0,0.25,3.743407,3.8548064,1.5926739,-2.1917706,9.213714,8.281158,0.60994554,0.9442970822281238,0.24417686537702482,5.7927136,0.46594822,True,cTECs vs Rest,cTECs,Rest
Pygb,0.986,0.014000000000000012,4.254598320843905,9.0049245e-05,1.9995821e-05,0.0,0.25,2.3583763,2.329379,1.0777491,-1.1893291,6.595174,1.13528,0.2143713,0.5623342175066315,0.16304776944334878,0.86373883,0.13861069,True,cTECs vs Rest,cTECs,Rest
Gas6,0.9858,0.01419999999999999,4.240210835583005,0.0006853481,0.00014787869,0.0,0.25,2.4825802,2.4667192,1.1365565,-1.1549616,5.9082365,8.74535,1.875066,0.9893899204244111,0.6275167785234769,6.832393,1.3130505,True,cTECs vs Rest,cTECs,Rest
Rbms3,0.9856,0.014399999999999968,4.226021701899203,0.001204004,0.00014636609,0.0,0.25,3.4854245,3.6226845,1.5773046,-1.7940302,8.056381,15.4907055,1.4358518,0.9893899204244111,0.38156336360045773,12.636913,1.1271635,True,cTECs vs Rest,cTECs,Rest
Tfdp2,0.9854,0.014599999999999946,4.212025446612466,0.00032842264,5.6360866e-05,0.0,0.25,2.7267458,2.780231,1.194992,-1.2980928,6.5157547,3.7877936,0.6340262,0.8461538461538515,0.3412949072246242,2.94255,0.43126115,True,cTECs vs Rest,cTECs,Rest
Nfib,0.9848,0.015199999999999991,4.171142499277839,0.00057467923,9.6425065e-05,0.0,0.25,2.9055116,2.89354,1.3548727,-1.6216497,7.139038,6.493363,1.0069063,0.9549071618037208,0.3647848401105271,5.658125,0.7181528,True,cTECs vs Rest,cTECs,Rest
