,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Bpifa1,0.9974,0.0026000000000000467,5.949636611964186,0.016654879,0.0006370121,0.0,0.25,6.4965773,6.723149,2.5016809,-4.6714177,13.701372,9.690141,1.9976368,0.9295774647887316,0.11686953214149765,183.20683,6.3983636,True,15 vs Rest,15,Rest
Lgals7,0.9878,0.012199999999999989,4.394043486819026,0.0010125636,0.00011250408,0.0,0.25,5.0362334,4.9231043,2.8293946,-3.8397346,13.842545,0.8591552,0.1609929,0.52112676056338,0.0342335488779002,21.758905,0.73347837,True,15 vs Rest,15,Rest
Mylpf,0.9788,0.021199999999999997,3.83232568840914,0.0005738753,0.00014478044,0.0,0.25,2.4866703,2.4269862,1.4003632,-4.67417,10.333216,0.35211268,0.3834219,0.21126760563380287,0.14083301635602763,5.494763,1.5283595,True,15 vs Rest,15,Rest
Myog,0.9744,0.025599999999999956,3.6392291651079196,0.00069290394,0.00015680757,0.0,0.25,2.7558415,2.7163,1.6869967,-3.8838482,11.259469,0.38028166,0.21281953,0.29577464788732394,0.08054393305439267,7.9614654,1.1368392,True,15 vs Rest,15,Rest
Cryab,0.974,0.026000000000000023,3.623314391272682,0.000670717,0.000178715,0.0,0.25,2.2301037,2.2254252,1.19688,-2.6053114,6.596978,0.45070434,0.29412776,0.30985915492957744,0.1817230886268526,7.3595057,1.5204618,True,15 vs Rest,15,Rest
Bex4,0.9738,0.0262,3.6154461615712816,0.00026558814,7.208547e-05,0.0,0.25,3.1884394,3.183795,2.2668827,-6.7245684,13.165106,0.12676054,0.05981352,0.1267605633802817,0.0257702548497527,2.68475,0.3511368,True,15 vs Rest,15,Rest
Igfbp7,0.9718,0.028200000000000003,3.539827699708052,0.00026828985,5.2876818e-05,0.0,0.25,3.2495928,3.2637873,2.104745,-5.578264,14.184744,0.11267604,0.039653845,0.11267605633802816,0.013313046785850166,2.3855295,0.14340636,True,15 vs Rest,15,Rest
Cox8b,0.97,0.030000000000000027,3.476098366811273,0.00048203868,9.365367e-05,0.0,0.25,3.191235,3.161561,2.2655401,-4.258361,11.887234,0.22535208,0.0605743,0.19718309859154934,0.0281475846329402,4.204835,0.31345433,True,15 vs Rest,15,Rest
Ccl11,0.9668,0.03320000000000001,3.371441482045512,0.00019477503,9.6374264e-05,0.0,0.25,3.122119,3.1813817,2.7824411,-9.6047125,12.525642,0.14084505,0.13379602,0.14084507042253522,0.0288132369722327,2.7366357,0.60544205,True,15 vs Rest,15,Rest
Krtdap,0.9642,0.035800000000000054,3.293350579606588,0.00063761947,0.00042535333,0.0,0.25,3.2122416,3.5111923,2.6202931,-9.356565,12.391394,0.2957746,1.1168648,0.23943661971830993,0.09119437048307266,7.071494,4.254974,True,15 vs Rest,15,Rest
Dapl1,0.964,0.03600000000000003,3.2875720887501396,0.0021307643,0.00069682766,0.0,0.25,2.5083928,2.4441166,1.8023012,-3.9016113,10.110636,1.3521127,1.287939,0.7323943661971826,0.1973183720045626,36.007256,5.9441423,True,15 vs Rest,15,Rest
Wfdc2,0.9612,0.038799999999999946,3.209762009904824,0.003127367,0.00084393227,0.0,0.25,2.9477508,2.765663,2.0437987,-4.808632,9.137844,1.3943661,1.8807555,0.6760563380281686,0.3403385317611225,27.531227,8.299139,True,15 vs Rest,15,Rest
Ccl21a,0.953,0.04700000000000004,3.0094670996713875,0.002979738,0.0014397339,0.0,0.25,2.4577394,2.419236,2.252284,-6.108273,9.510523,1.9577459,2.9612405,0.7183098591549291,0.342906047926965,36.68952,14.83243,True,15 vs Rest,15,Rest
Ifi27l2a,0.952,0.04800000000000004,2.987363826054364,0.004046574,0.0014659308,0.0,0.25,2.502861,2.47443,1.9530866,-4.7196355,9.958744,2.5070422,2.8181322,0.8873239436619711,0.4625332826169599,50.88341,15.170597,True,15 vs Rest,15,Rest
Gsta4,0.9518,0.04820000000000002,2.982995710668006,0.00048020566,0.00020970144,0.0,0.25,2.5422943,2.6099133,2.4105222,-5.84072,11.693184,0.25352108,0.33377907,0.2253521126760564,0.08805629516926516,5.1609225,1.7729639,True,15 vs Rest,15,Rest
Wfdc18,0.9514,0.04859999999999998,2.974310857841264,0.008916642,0.0026841685,0.0,0.25,2.9047632,2.869206,2.141205,-5.512085,9.126851,5.760563,8.019501,0.9154929577464781,0.5525865348041024,109.548096,35.28419,True,15 vs Rest,15,Rest
Ppp1r27,0.9508,0.04920000000000002,2.961409919253223,0.00031157146,0.00012013334,0.0,0.25,2.4344223,2.2943606,2.170706,-6.828924,10.735734,0.12676054,0.09366654,0.11267605633802816,0.04459870673259769,2.5186324,0.5097731,True,15 vs Rest,15,Rest
Clasrp,0.9506,0.0494,2.9571427480765746,0.00023082523,7.246435e-05,0.0,0.25,2.0112765,2.0585246,1.5211536,-4.4287567,8.7890415,0.16901407,0.0889116,0.15492957746478875,0.06837200456447268,2.4090576,0.43545592,True,15 vs Rest,15,Rest
Selenom,0.9496,0.0504,2.936049480336206,0.0010730455,0.00039288827,0.0,0.25,1.9689976,1.8939834,1.472738,-3.1358361,7.150423,0.71831,0.5787383,0.49295774647887297,0.22441993153290007,16.359388,2.9675858,True,15 vs Rest,15,Rest
Saa3,0.9492,0.050799999999999956,2.9277229836619862,0.00043431827,0.00024849654,0.0,0.25,2.2878504,2.3364768,2.4235709,-6.318153,11.683196,0.35211268,0.50304604,0.1830985915492958,0.08434766070749267,5.479697,2.186479,True,15 vs Rest,15,Rest
Myl7,0.9478,0.052200000000000024,2.8990608336247803,0.0005215127,0.00017122406,0.0,0.25,2.1764245,2.0148153,1.7339702,-2.687416,11.398091,0.23943658,0.19427633,0.19718309859154934,0.09309623430962266,4.649365,0.9265418,True,15 vs Rest,15,Rest
Dmkn,0.9476,0.0524,2.8950257006709337,0.00081061316,0.00043676366,0.0,0.25,2.2468226,2.1285357,2.0855153,-5.00417,9.117068,0.4929578,0.7919323,0.35211267605633795,0.14473183720045513,12.689302,3.6870885,True,15 vs Rest,15,Rest
S100a5,0.946,0.05400000000000005,2.8632583478732596,0.00029320383,0.00012475514,0.0,0.25,2.2490118,2.0619125,2.0873961,-4.1869373,11.23099,0.22535206,0.23307502,0.2253521126760564,0.10422213769494015,4.871588,1.1139355,True,15 vs Rest,15,Rest
Timp2,0.9458,0.054200000000000026,2.859350047835406,0.00026810085,0.00012153139,0.0,0.25,2.0145648,1.954709,1.8135413,-4.8029294,9.960583,0.14084506,0.14130838,0.11267605633802816,0.06799163179916268,3.3340535,0.7010681,True,15 vs Rest,15,Rest
Gnb3,0.9456,0.054400000000000004,2.8554553195417203,0.0008355191,0.00044044462,0.0,0.25,2.2293603,2.3278694,1.9634835,-6.47352,7.8686485,0.4084507,0.83462703,0.33802816901408445,0.1837200456447301,8.476904,4.2075467,True,15 vs Rest,15,Rest
Fxyd3,0.9444,0.05559999999999998,2.8323664346874557,0.0009881828,0.0004328009,0.0,0.25,1.9714953,2.0356908,1.5771946,-4.168676,8.185138,0.50704235,0.7039719,0.40845070422535196,0.20844427538988008,9.392551,3.5805225,True,15 vs Rest,15,Rest
Gng13,0.943,0.05700000000000005,2.806014849964779,0.0027612492,0.001628395,0.0,0.25,1.7848023,1.9533858,1.734645,-6.4210243,7.639907,1.591549,2.9818017,0.6901408450704221,0.4991441612780474,32.175842,15.904709,True,15 vs Rest,15,Rest
Krt19,0.943,0.05700000000000005,2.806014849964779,0.00057100324,0.0003582569,0.0,0.25,2.1508079,2.131331,2.2994127,-5.4765663,9.214483,0.25352108,0.5409873,0.23943661971830993,0.12029288702928764,5.6103234,2.7813458,True,15 vs Rest,15,Rest
Ckb,0.9428,0.05720000000000003,2.8023001084577674,0.0002964335,0.00013288477,0.0,0.25,2.0865526,2.0412621,1.9577976,-4.855871,9.453459,0.14084506,0.17772979,0.11267605633802816,0.06618486116394018,3.3622918,0.9643499,True,15 vs Rest,15,Rest
Ovol3,0.9418,0.05820000000000003,2.7839074218687356,0.00039482984,0.0001909124,0.0,0.25,2.1359456,2.1305976,1.9545212,-5.6685405,12.185453,0.16901405,0.28385457,0.16901408450704228,0.08158995815899517,3.5781722,1.5989765,True,15 vs Rest,15,Rest
Psors1c2,0.9408,0.05920000000000003,2.7658088769647486,0.0009234333,0.00036664258,0.0,0.25,2.3263538,2.0871015,2.091218,-5.2530856,10.595952,0.5211268,0.7120543,0.40845070422535196,0.20910992772917258,9.70575,3.3858106,True,15 vs Rest,15,Rest
Reg3g,0.94,0.06000000000000005,2.751535157013593,0.0059042037,0.002436319,0.0,0.25,2.201598,2.129516,1.9083081,-3.7334633,8.676833,4.394365,4.9412365,0.9295774647887316,0.5620007607455249,84.24701,23.49933,True,15 vs Rest,15,Rest
Ly6a,0.9398,0.06020000000000003,2.747994578881558,0.0023632245,0.0009941636,0.0,0.25,2.2189145,1.9944506,1.8949603,-4.636445,8.071101,1.2112675,1.7796745,0.6478873239436616,0.314758463294025,21.753736,7.893815,True,15 vs Rest,15,Rest
Sprr2a3,0.9392,0.060799999999999965,2.7374385062754003,0.00017880513,0.00014765908,0.0,0.25,2.090301,2.145134,2.6192799,-8.122567,12.428556,0.15492955,0.14368577,0.15492957746478875,0.0276721186763027,2.54062,0.6460603,True,15 vs Rest,15,Rest
Sardh,0.939,0.061000000000000054,2.7339414617501654,0.000323233,0.00012878634,0.0,0.25,1.92103,1.8406849,1.6716435,-4.064515,8.912162,0.12676054,0.18277009,0.11267605633802816,0.10897679726131515,2.5274887,0.90876067,True,15 vs Rest,15,Rest
Isg15,0.9362,0.06379999999999997,2.6860757924569056,0.0006402592,0.00028823415,0.0,0.25,1.8727998,1.8870187,1.5764656,-4.528866,7.165347,0.28169012,0.53176594,0.23943661971830993,0.1924686192468601,6.2678876,2.612031,True,15 vs Rest,15,Rest
Krt79,0.936,0.06399999999999995,2.682732247551694,0.00045477584,0.00021364381,0.0,0.25,1.7570766,1.7571678,1.5407519,-4.5354066,8.646602,0.30985913,0.31970596,0.21126760563380287,0.12913655382274514,4.453633,1.5963885,True,15 vs Rest,15,Rest
