,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Epyc,0.9512,0.048799999999999955,2.969993838112496,0.0009938927,0.00022834491,0.0,0.25,2.3054008,2.2467246,2.2201695,-5.6664944,11.977264,2.4025378,0.2762588,0.40555220277610493,0.1082866741321384,6.898898,1.4734484,True,Aire+ 2 vs Rest,Aire+ 2,Rest
Ncf1,0.9456,0.054400000000000004,2.8554553195417203,0.0033488753,0.0010150716,0.0,0.25,2.0772543,1.9802301,1.6360873,-3.37072,8.603851,11.799051,2.1356828,0.9227519613759916,0.4659574468084878,32.281425,9.757792,True,Aire+ 2 vs Rest,Aire+ 2,Rest
S100a8,0.9416,0.05840000000000001,2.780264505499244,0.0017447803,0.0005192934,0.0,0.25,1.4401205,1.3351488,2.9896712,-7.15501,13.106796,3.543754,0.40559557,0.3349426674713363,0.13863381858902604,12.658217,3.8426247,True,Aire+ 2 vs Rest,Aire+ 2,Rest
Dgkk,0.939,0.061000000000000054,2.7339414617501654,0.00018136107,8.597665e-05,0.0,0.25,1.4903711,1.6254263,2.3897803,-8.002395,9.133373,0.32588968,0.064165786,0.13458056729028336,0.031466965285554316,0.8611941,0.27717593,True,Aire+ 2 vs Rest,Aire+ 2,Rest
Neurod4,0.9372,0.06279999999999997,2.702941484593913,0.0002007016,0.000120275734,0.0,0.25,1.5053043,1.5766888,2.4221861,-7.887049,9.763646,0.2504524,0.08936177,0.10078455039227499,0.03650615901455783,0.6631558,0.36168444,False,Aire+ 2 vs Rest,Aire+ 2,Rest
Ccl25,0.9368,0.06320000000000003,2.6961653635774967,0.004603713,0.004150783,0.0,0.25,0.4215094,0.3376832,3.0936644,-9.71124,9.870334,13.363344,6.8830943,0.6113458056729093,0.5375139977603429,36.08974,36.953194,False,Aire+ 2 vs Rest,Aire+ 2,Rest
Apoa4,0.9356,0.06440000000000001,2.676074257008553,9.826672e-05,0.00021134109,0.0,0.25,0.01049173,-0.039812088,2.986711,-10.350561,10.54116,0.20458616,0.42564067,0.13940856970428464,0.07368421052631641,0.5839851,1.8999366,False,Aire+ 2 vs Rest,Aire+ 2,Rest
Fabp6,0.9332,0.06679999999999997,2.636916320619904,0.00047576078,0.00017463168,0.0,0.25,1.3183229,1.2370186,2.6797853,-8.701428,11.033744,0.5654792,0.12004488,0.1267350633675313,0.046472564389698115,1.557911,0.8254075,False,Aire+ 2 vs Rest,Aire+ 2,Rest
Cdh9,0.9312,0.06879999999999997,2.6052701974278807,0.00049816736,0.00014944575,0.0,0.25,1.7564914,1.7673941,2.0196798,-6.2880354,9.533767,1.2975277,0.18577848,0.37718768859384744,0.09552071668533028,3.9247367,1.0347964,False,Aire+ 2 vs Rest,Aire+ 2,Rest
Crhbp,0.9312,0.06879999999999997,2.6052701974278807,0.0018005157,0.0005513778,0.0,0.25,2.2356436,1.9406836,2.2429037,-4.9949036,10.519896,6.144856,0.91824764,0.6940253470126811,0.2729003359462557,17.125134,5.1889195,False,Aire+ 2 vs Rest,Aire+ 2,Rest
Ripply2,0.9308,0.06920000000000004,2.5990434350392984,0.0007374604,0.00033449,0.0,0.25,1.3135144,1.2282338,2.695159,-7.356329,11.802565,2.0736322,0.4795013,0.3313216656608353,0.1547592385218383,6.0567226,2.6678133,False,Aire+ 2 vs Rest,Aire+ 2,Rest
Tmprss11d,0.9302,0.06979999999999997,2.5897654745055814,0.00030883914,9.772709e-05,0.0,0.25,1.7534403,1.7817135,2.0516646,-5.216754,9.801617,0.65057206,0.096976586,0.2263126131563076,0.05274356103023582,1.8468294,0.50155336,False,Aire+ 2 vs Rest,Aire+ 2,Rest
1700003P14Rik,0.9296,0.07040000000000002,2.5805609916455206,0.0003152858,0.00011368879,0.0,0.25,1.8326529,1.6514425,2.310854,-5.257965,14.171816,0.38382566,0.09395306,0.12130356065177994,0.0446808510638302,1.1083932,0.5129465,False,Aire+ 2 vs Rest,Aire+ 2,Rest
