,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Lifr,0.9926,0.007399999999999962,4.8988464216673355,0.0011534375,7.9251775e-05,0.0,0.25,4.41345,4.41442,1.9723076,-2.5018024,12.228508,2.4635575,0.088246465,0.7317784256559742,0.058961343225302484,10.2960205,0.46630746,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Zfp36l1,0.9904,0.009600000000000053,4.636344771887343,0.0026700743,0.00022684677,0.0,0.25,4.046308,4.0807867,1.6507397,-2.437827,10.180281,6.5160336,0.32682765,0.8717201166180727,0.13129636860601784,24.567898,1.4758651,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Krt5,0.9872,0.012800000000000034,4.345426711105514,0.0046066195,0.00035505675,0.0,0.25,4.440467,4.447741,2.52131,-5.193446,11.523639,11.696787,0.5742961,0.7842565597667611,0.14837953924248914,43.949223,2.8050015,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Sprr2a3,0.987,0.013000000000000012,4.329719922873182,0.002010269,9.554741e-05,0.0,0.25,5.1109695,5.1847787,2.9360216,-6.03747,15.957969,3.03207,0.047051862,0.16618075801749257,0.023916438891058135,8.203477,0.40614638,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Cald1,0.986,0.014000000000000012,4.254598320843905,0.0025327865,0.00020808606,0.0,0.25,4.017603,4.1973433,2.0065224,-4.9099836,10.327536,5.586004,0.31677273,0.8425655976676355,0.13100351425224976,24.179192,1.4289249,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Ccl11,0.9856,0.014399999999999968,4.226021701899203,0.0015292844,5.1252257e-05,0.0,0.25,5.325623,5.2890735,3.1361103,-5.864193,15.864597,3.0,0.037875764,0.2711370262390665,0.02147598594299098,11.9895935,0.23903725,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Tagln,0.983,0.017000000000000015,4.057395198028768,0.0020628625,8.190907e-05,0.0,0.25,4.579499,4.8206167,3.1290314,-7.2856197,13.732981,4.055393,0.0878561,0.4723032069970831,0.040413900819992105,17.328146,0.45119554,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Smoc2,0.9814,0.01859999999999995,3.965818015491911,0.00028734008,1.8135048e-05,0.0,0.25,4.630211,4.7483325,2.9535124,-9.696677,14.618787,0.2857143,0.011616564,0.14577259475218654,0.009664193674345949,1.5436927,0.06430257,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Flna,0.98,0.020000000000000018,3.8918198083148323,0.0010955,0.00012763699,0.0,0.25,3.3137765,3.4242368,1.671428,-3.3245401,10.922186,2.4577262,0.2325252,0.7346938775510179,0.1434010152284318,11.129173,1.0892005,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Ifi27l2a,0.978,0.02200000000000002,3.794466772356098,0.0121842995,0.0012231786,0.0,0.25,3.6743495,3.7022614,2.316794,-5.335702,10.438677,33.728867,1.7809963,0.9183673469387722,0.45021475985945636,130.53412,11.555445,True,Ccl21a+ vs Rest,Ccl21a+,Rest
