,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Serpina7,0.9572,0.04279999999999995,3.1074740302487736,0.00077730854,0.0001962795,0.0,0.25,2.5100687,2.5387669,3.066195,-9.954247,12.164241,0.83608043,0.118613414,0.15091066782307044,0.048653805384778155,2.898617,0.73893815,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Tmem45a,0.9554,0.04459999999999997,3.0643960281814424,0.0004493559,7.9418955e-05,0.0,0.25,2.2942488,2.2956872,2.7829216,-7.7561455,11.212596,0.78144026,0.041869793,0.12142237640936726,0.026181895272419025,1.9332167,0.42558944,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Myh4,0.955,0.04500000000000004,3.0550486389594163,0.000353517,9.810566e-05,0.0,0.25,2.7811334,2.7157235,2.4404185,-8.063088,12.524714,0.6296625,0.117129385,0.2289679098005199,0.061691753232986424,2.06253,0.6285189,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Flg,0.9548,0.04520000000000002,3.0504045968609734,0.0013056861,0.00027749952,0.0,0.25,1.6668742,1.6407881,3.7767704,-10.922966,13.565008,2.626192,0.21009202,0.12662619254119728,0.05299978800084758,5.646913,1.7390828,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Tgm3,0.9516,0.0484,2.978644768603285,0.00063624774,0.00012147212,0.0,0.25,2.474084,2.4344082,2.6705334,-6.713191,15.770737,1.1205553,0.15030791,0.24978317432783975,0.07207971168115299,3.80984,0.87756115,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Il4,0.9506,0.0494,2.9571427480765746,0.00072997774,0.00016372786,0.0,0.25,2.2248447,2.262444,2.8517566,-10.149466,13.75024,1.2211624,0.26648545,0.1812662619254119,0.09497562009752022,3.5550382,1.2036966,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Calm4,0.9506,0.0494,2.9571427480765746,0.0011748732,0.00021070175,0.0,0.25,1.9033105,1.842833,3.506551,-10.440948,12.11434,3.873374,0.18592447,0.17953165654813524,0.0770616917532329,8.855814,1.49736,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Ccl25,0.9504,0.04959999999999998,2.9528919237865017,0.009365639,0.003480883,0.0,0.25,0.89338905,0.9096589,3.4493933,-8.698191,12.343702,26.790121,5.5882044,0.6374674761491721,0.5382658469366317,89.3677,30.395548,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Rptn,0.9486,0.0514,2.9153488569717028,0.0010487909,0.00030901388,0.0,0.25,1.976829,2.041678,2.8915808,-8.160297,12.68549,2.7684283,0.4118125,0.2645273200346913,0.11543353826584836,8.330196,2.1149867,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Calml3,0.9478,0.052200000000000024,2.8990608336247803,0.00070111663,0.00017141283,0.0,0.25,2.3089314,2.3107414,2.3849547,-6.8314466,12.04541,1.3859489,0.15592602,0.22983521248915822,0.07621369514521929,4.147983,1.0015002,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Krt23,0.947,0.05300000000000005,2.88300700151439,0.0004419715,9.7909375e-05,0.0,0.25,2.4197502,2.3545566,2.4195192,-5.9197893,16.878462,0.6530795,0.05342373,0.1587163920208154,0.033283866864532635,2.073285,0.38867503,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Ifi202b,0.9468,0.053200000000000025,2.879029303884215,0.00026463083,5.754841e-05,0.0,0.25,1.8044924,1.8706412,3.1757252,-10.077734,14.050083,0.31049442,0.060207702,0.10667823070251546,0.03466186135255465,0.8881731,0.27368888,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Gsta4,0.9464,0.05359999999999998,2.871116068586631,0.00045367223,0.00018081602,0.0,0.25,0.51840734,0.3899374,3.312083,-10.3252325,10.987755,1.5533385,0.18412252,0.1812662619254119,0.0776976892092431,4.267276,1.4936137,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Fabp9,0.945,0.05500000000000005,2.843851571025116,0.0006322985,0.00020764672,0.0,0.25,1.7278212,1.7113419,3.2129517,-10.131158,13.661273,2.085862,0.2884271,0.15091066782307044,0.07419970320118699,5.3454595,1.841897,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Serpina3j,0.945,0.05500000000000005,2.843851571025116,0.00029281052,9.425426e-05,0.0,0.25,1.9232312,1.9480991,3.0067804,-9.112679,12.285339,0.4830879,0.074305624,0.13443191673894223,0.03964384142463423,1.6458759,0.46688932,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Ripply2,0.9436,0.056400000000000006,2.817233022322269,0.00065208424,0.00035165672,0.0,0.25,0.2972437,0.35950327,3.3008742,-11.047553,12.5967455,1.5810916,0.6248702,0.29141370338247946,0.1690693237227029,4.9883575,2.9794347,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Pck1,0.9434,0.056599999999999984,2.813481219562552,0.0002828819,7.842053e-05,0.0,0.25,2.3190556,2.201446,3.0180933,-8.08542,13.896922,0.62272364,0.10239551,0.10147441457068541,0.034237863048547874,1.8583896,0.5434043,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Map3k6,0.9424,0.057599999999999985,2.794907082195586,0.0001703593,4.9351842e-05,0.0,0.25,2.0963376,1.9902506,1.9064604,-5.14487,10.405148,0.27927163,0.057027698,0.1526452732003471,0.04653381386474429,0.83922,0.36803722,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Tex14,0.9414,0.058599999999999985,2.776633272358103,0.00016040944,4.4602515e-05,0.0,0.25,1.8763608,1.8889503,2.2984407,-8.944251,12.072418,0.27753708,0.058723696,0.11882046834345224,0.03943184227263084,0.9313715,0.24940453,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
BC037156,0.941,0.05900000000000005,2.7694055368151407,0.00048278747,0.0002583099,0.0,0.25,0.8248622,0.7469673,3.4135563,-10.709361,12.616823,0.99392927,0.21677028,0.10494362532523878,0.06550773796904757,2.5575955,1.218241,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Krtdap,0.941,0.05900000000000005,2.7694055368151407,0.0014483504,0.00028098215,0.0,0.25,0.28080264,-0.0435853,4.0519667,-11.427448,14.152675,7.895928,0.28217426,0.12055507372072892,0.08872164511341991,16.263672,2.8084955,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
Prkg2,0.9402,0.059799999999999964,2.755086801045413,0.0002677275,7.998009e-05,0.0,0.25,1.8163998,1.8993912,2.4832153,-6.8952217,9.830107,0.2957504,0.04102179,0.11621856027753721,0.0270298918804326,0.9297186,0.23095538,True,Late_Post Aire 1 vs Rest,Late_Post Aire 1,Rest
