,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Cdca8,0.9968,0.0031999999999999806,5.741396223264499,0.0015797316,9.558194e-05,0.0,0.25,4.6656795,4.6447964,1.9475529,-1.7261705,11.553617,5.0621157,0.079396114,0.909937888198752,0.05776911836337134,15.048796,0.66225815,True,TAC-TECs vs Rest,TAC-TECs,Rest
Mki67,0.9954,0.0046000000000000485,5.377086199064927,0.002499073,0.00013149336,0.0,0.25,4.4595666,4.5219026,1.673671,-3.3367643,10.856931,8.583856,0.1134923,0.9068322981366402,0.07228446176327435,23.285135,0.65007013,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hmgb2,0.9948,0.005199999999999982,5.253881173319069,0.020217828,0.001288809,0.0,0.25,4.251022,4.3735785,1.4020447,-2.9741669,8.342183,72.31988,2.2011359,0.9999999999999928,0.6423770092547672,216.26808,13.385041,True,TAC-TECs vs Rest,TAC-TECs,Rest
Spc24,0.9932,0.006800000000000028,4.984007980933258,0.00078862614,8.124599e-05,0.0,0.25,3.9219086,3.8792357,1.6604909,-2.162157,10.462765,2.8385115,0.07959094,0.8385093167701817,0.06390647832440416,8.193922,0.62328506,True,TAC-TECs vs Rest,TAC-TECs,Rest
Stmn1,0.9928,0.007199999999999984,4.926446829052988,0.006587416,0.0005781621,0.0,0.25,4.541818,4.6074295,1.9791431,-2.7092667,10.65141,22.431675,0.7621947,0.9937888198757693,0.2815392109108695,65.39591,5.4369135,True,TAC-TECs vs Rest,TAC-TECs,Rest
Birc5,0.992,0.008000000000000007,4.820280325686463,0.001516955,0.00010174669,0.0,0.25,5.0079365,4.9732337,2.311277,-2.6992273,15.004958,5.26087,0.076278776,0.8540372670807405,0.05348270823185636,14.914371,0.72322243,True,TAC-TECs vs Rest,TAC-TECs,Rest
Nusap1,0.991,0.009000000000000008,4.701488855974091,0.0022305632,0.00010889505,0.0,0.25,5.0163093,4.9617624,2.3984077,-4.3638477,14.094418,8.248451,0.08163675,0.8385093167701817,0.05465172917681499,21.20179,0.74307287,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cdca3,0.9906,0.009399999999999964,4.6576000771438535,0.00069937936,6.0093276e-05,0.0,0.25,4.342212,4.208805,2.1258938,-2.6531649,10.999241,2.0465848,0.04617644,0.7639751552794997,0.03565513882123722,6.157979,0.37187663,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cks2,0.9896,0.010399999999999965,4.555494063498048,0.002558369,0.00029897888,0.0,0.25,3.2120504,3.2449365,1.4434608,-2.2575226,9.76544,9.0528,0.40059167,0.9409937888198695,0.2535801266439422,27.15713,2.665502,True,TAC-TECs vs Rest,TAC-TECs,Rest
Nuf2,0.9894,0.010600000000000054,4.536243764386936,0.00030447528,3.1375912e-05,0.0,0.25,3.6403706,3.6049905,1.6434758,-2.90059,11.241776,0.90993685,0.017048197,0.5186335403726713,0.015781782756941025,2.8257034,0.12959811,True,TAC-TECs vs Rest,TAC-TECs,Rest
