,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Cyfip1,0.9974,0.0026000000000000467,5.949636611964186,0.0024048174,0.0002581331,0.0,0.25,3.1706676,3.1969533,1.0517228,-1.7902327,7.2774734,7.2037406,0.5596804,0.9252336448598206,0.34818941504177753,24.254742,2.4772863,True,Tuft vs Rest,Tuft,Rest
Mctp1,0.996,0.0040000000000000036,5.517450406507993,0.0031991152,0.00011930751,0.0,0.25,5.167172,5.2088404,1.8736875,-5.417821,10.882586,10.777577,0.13151553,0.9214953271028112,0.08505769996020722,36.07177,1.0993581,True,Tuft vs Rest,Tuft,Rest
Cdh2,0.9952,0.0048000000000000265,5.334325730788133,0.0012983772,0.00012279094,0.0,0.25,3.4533308,3.529378,1.3028626,-3.961461,8.823762,3.4112165,0.11490203,0.7383177570093511,0.08396339037007594,11.206559,0.59233195,True,Tuft vs Rest,Tuft,Rest
1810046K07Rik,0.9942,0.005800000000000027,5.144078762030087,0.0012320222,9.206331e-05,0.0,0.25,4.271045,4.1776686,1.8412786,-2.793746,10.925867,4.128972,0.05600884,0.8654205607476704,0.040787902904894875,14.302093,0.525783,True,Tuft vs Rest,Tuft,Rest
Ivns1abp,0.9938,0.006199999999999983,5.076985084277639,0.0030114567,0.00030603685,0.0,0.25,3.4669468,3.465549,1.321502,-3.5618525,8.04259,9.781316,0.58823264,0.953271028037391,0.3209311579785113,33.628387,3.008422,True,Tuft vs Rest,Tuft,Rest
Rgs13,0.9938,0.006199999999999983,5.076985084277639,0.0035248543,0.00014169804,0.0,0.25,5.2592907,5.1672153,2.5467968,-4.667449,13.878337,9.525244,0.11450412,0.8112149532710342,0.06595702347791581,35.35906,1.0837322,True,Tuft vs Rest,Tuft,Rest
Rgs2,0.9928,0.007199999999999984,4.926446829052988,0.003065408,0.00018611026,0.0,0.25,4.4551125,4.4429574,1.9801818,-6.036477,10.879342,9.020571,0.2031423,0.7626168224299121,0.10704337445284473,28.589233,1.3346523,True,Tuft vs Rest,Tuft,Rest
Gm35392,0.9928,0.007199999999999984,4.926446829052988,0.00034067858,7.5203816e-06,0.0,0.25,6.2450123,6.1245956,3.2455394,-6.212677,19.87793,0.36822444,0.0024870676,0.11588785046728961,0.0021886191802626344,1.2614422,0.01605973,True,Tuft vs Rest,Tuft,Rest
Fyb,0.9928,0.007199999999999984,4.926446829052988,0.0033255043,0.00021494467,0.0,0.25,4.0177717,4.1492867,1.4567684,-3.3854342,8.322006,9.205609,0.26034385,0.8598130841121563,0.15897333863907925,32.712845,1.4916483,True,Tuft vs Rest,Tuft,Rest
Avil,0.9924,0.007600000000000051,4.871976698813327,0.0044581974,0.00018019916,0.0,0.25,5.048234,5.0904236,2.154075,-6.1497793,10.636238,12.272906,0.14484587,0.8934579439252408,0.0925189017111023,43.439453,1.4682553,True,Tuft vs Rest,Tuft,Rest
