,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Tbc1d4,0.976,0.02400000000000002,3.705408349644468,0.0063164323,0.000997293,0.0,0.25,3.4841964,3.540119,2.0430608,-4.3162603,10.430101,11.768892,2.2377272,0.8664323374341123,0.42839365342738056,68.12122,9.915754,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Thrsp,0.9732,0.026800000000000046,3.592187360533676,0.002807932,0.00045809674,0.0,0.25,2.8716466,2.8087287,1.7051688,-3.3127565,10.157172,5.579098,0.842282,0.5544815465729349,0.2733589132012785,31.181374,3.5936134,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Ly6h,0.9724,0.027599999999999958,3.561951117683924,0.0021724554,0.00038890878,0.0,0.25,3.3033957,3.0732803,2.1286893,-2.0842228,11.455451,3.500878,0.58892953,0.6818980667838384,0.18438245359327224,19.890001,2.5452645,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Fgf21,0.9698,0.030200000000000005,3.469247619476059,0.0074352524,0.0013862399,0.0,0.25,3.4672918,3.248362,2.2453027,-2.1881914,10.557764,14.385771,2.8306024,0.9340949033392127,0.43440837913514907,84.17139,12.585212,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Tmem158,0.9696,0.030399999999999983,3.4624406882690915,0.0042201597,0.0008504632,0.0,0.25,2.6720772,2.6964865,1.7826933,-4.162421,9.557546,7.187189,1.4989486,0.8822495606327072,0.42880846209688184,45.56214,7.266511,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Iglon5,0.9688,0.031200000000000006,3.4356397872327245,0.00043591257,7.382964e-05,0.0,0.25,4.125558,3.956478,2.819239,-3.9620867,13.173521,0.41476274,0.08659133,0.10456942003514912,0.029140309032458817,2.409629,0.35431966,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Cth,0.9676,0.032399999999999984,3.3966600576305104,0.00050690956,9.283584e-05,0.0,0.25,4.058033,4.044031,2.8256416,-3.8404684,12.812371,0.31985942,0.08845812,0.10896309314586965,0.045732655812506545,1.7532876,0.36602396,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Slc17a8,0.9646,0.03539999999999999,3.305001415376299,0.00041494708,8.500214e-05,0.0,0.25,3.851653,3.8720303,3.1845577,-6.236803,12.8249035,0.50527203,0.11925768,0.1423550087873457,0.04314010162812409,2.7402408,0.4810855,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Gm43569,0.964,0.03600000000000003,3.2875720887501396,0.0018181732,0.00039248075,0.0,0.25,3.3447082,3.259972,2.4684646,-5.139594,11.915231,2.9613318,0.7435548,0.7478031634446505,0.2707663590168955,16.428572,3.237976,True,Aire+ 1 vs Rest,Aire+ 1,Rest
Sfrp5,0.9628,0.03720000000000001,3.2535366861990203,0.0004979907,0.00011227677,0.0,0.25,3.4868157,3.5216246,2.8652308,-6.544466,13.887035,0.33655506,0.09799866,0.1028119507908609,0.043969718967126474,1.9512838,0.5189087,True,Aire+ 1 vs Rest,Aire+ 1,Rest
