,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ccl21a,0.994,0.006000000000000005,5.1099760808236026,0.04750885,0.0019477257,0.0,0.25,5.0663753,5.165811,2.0141082,-3.767146,13.075135,101.43708,5.013139,0.9768009768009737,0.5713712106002652,597.93085,20.785467,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Lifr,0.9928,0.007199999999999984,4.926446829052988,0.0039627966,0.00035596074,0.0,0.25,4.1051393,4.1984577,1.7741286,-3.7211456,9.308512,6.0476427,0.6109095,0.9352869352869323,0.22585826139330176,37.211323,2.5249448,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Tagln,0.9924,0.007600000000000051,4.871976698813327,0.0061631906,0.00020146041,0.0,0.25,5.597279,5.813799,2.199817,-5.0969763,12.585683,8.453007,0.24151602,0.6691086691086671,0.0933547480425627,51.398098,1.0646192,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Ifi27l2a,0.9828,0.017199999999999993,4.045495685607447,0.023179969,0.0027601852,0.0,0.25,3.4796226,3.62758,1.8814393,-5.0461664,9.756649,31.989035,5.4508424,0.9816849816849785,0.6230676570969265,195.28503,23.036032,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Gm21541,0.9814,0.01859999999999995,3.965818015491911,0.009093653,0.0007450778,0.0,0.25,3.9323332,3.9658282,2.2801518,-5.7195168,12.37842,13.759476,1.1619002,0.7716727716727693,0.23800441678378617,84.21601,4.866489,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Slitrk4,0.9804,0.01959999999999995,3.9124305854134556,0.00016469994,3.8416674e-05,0.0,0.25,4.38459,4.5145016,3.176611,-7.461155,14.111287,0.22100122,0.017265616,0.14529914529914506,0.0050190724754065495,1.4702142,0.06663231,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Ctsl,0.9778,0.022199999999999998,3.7852124210430027,0.013323567,0.0020687424,0.0,0.25,3.1762302,3.327792,1.8140123,-6.012802,9.240154,20.40905,5.6000714,0.9768009768009737,0.5918490262999135,123.572556,19.43779,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Acta2,0.9778,0.022199999999999998,3.7852124210430027,0.002020137,0.00024058291,0.0,0.25,3.7475426,3.7430038,2.4911978,-6.966347,11.9595375,3.6581268,0.4060388,0.39316239316239204,0.11674362577795831,22.671244,1.7302951,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Tpm2,0.9774,0.022599999999999953,3.766945646311264,0.008780004,0.0012904834,0.0,0.25,3.3329222,3.5183032,1.8751171,-4.6560097,9.796942,12.4957485,2.213659,0.9548229548229518,0.5269022284681857,76.997826,10.728132,True,Ccl21a+ vs Rest,Ccl21a+,Rest
Gm8113,0.9772,0.022800000000000042,3.757930375060113,0.003320372,0.0005022697,0.0,0.25,3.212162,3.3034902,1.9477218,-5.0363197,10.0435915,4.9450655,0.75365573,0.5421245421245405,0.17014655691628647,30.216148,3.0677607,True,Ccl21a+ vs Rest,Ccl21a+,Rest
