,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Fabp9,0.9672,0.03280000000000005,3.3839764893716042,0.002049712,0.00040035625,0.0,0.25,3.491961,3.700324,2.7496085,-5.813485,12.201841,6.1909795,1.2581922,0.3800904977375553,0.1352234278380586,23.291853,3.5817575,True,Late Aire vs Rest,Late Aire,Rest
Ces2c,0.959,0.041000000000000036,3.152318774704249,0.0008043478,0.00020964585,0.0,0.25,2.7214005,2.8497562,2.334513,-6.0472355,10.861977,1.8887057,0.63376474,0.528506787330315,0.19845992299614987,8.809685,1.9974471,True,Late Aire vs Rest,Late Aire,Rest
Resp18,0.9578,0.042200000000000015,3.122218540340339,0.0032133262,0.00082805,0.0,0.25,2.5148122,2.5222602,2.2402806,-7.64704,9.543196,7.436696,1.6557025,0.6004524886877808,0.2840975382102439,34.008766,7.0044284,True,Late Aire vs Rest,Late Aire,Rest
Cfap53,0.9538,0.04620000000000002,3.0274740018106154,0.00079567346,0.0002077592,0.0,0.25,2.6496096,2.709867,2.538544,-6.1413145,10.774273,0.8660665,0.40835628,0.15158371040723936,0.10057169525142927,4.1659136,1.5517768,True,Late Aire vs Rest,Late Aire,Rest
Gsta2,0.9536,0.0464,3.0229446320482345,0.003894377,0.0009813667,0.0,0.25,2.6275835,2.4499285,2.185854,-4.9108157,10.909123,8.64799,2.504949,0.5828054298642514,0.3427838058569596,36.8607,8.362332,True,Late Aire vs Rest,Late Aire,Rest
Dppa3,0.9532,0.04679999999999995,3.0139413391167738,0.0009597111,0.0003034712,0.0,0.25,1.7640297,1.837326,3.1282196,-10.071299,13.294177,4.323086,1.4573581,0.15022624434389095,0.10453856026134643,18.259193,5.342612,True,Late Aire vs Rest,Late Aire,Rest
Smtnl1,0.9532,0.04679999999999995,3.0139413391167738,0.0019465553,0.00045848178,0.0,0.25,2.5960155,2.5346417,2.6220012,-7.4952874,12.01799,4.688266,1.1265849,0.5470588235294099,0.2032434955081088,22.682468,3.9511008,True,Late Aire vs Rest,Late Aire,Rest
Ifi205,0.9528,0.04720000000000002,3.005010924080578,0.0006732461,0.00016102711,0.0,0.25,2.6015196,2.5159602,1.9848064,-3.761323,10.952709,1.2959402,0.25283128,0.3999999999999987,0.10465523276163811,6.079286,0.84281206,True,Late Aire vs Rest,Late Aire,Rest
Prokr2,0.9526,0.0474,3.0005726591928727,0.0016211376,0.00038258446,0.0,0.25,2.689113,2.4875026,2.359853,-5.1112394,11.089604,3.3769555,0.7278008,0.6398190045248847,0.24792906311982274,16.347,3.033165,True,Late Aire vs Rest,Late Aire,Rest
Hamp,0.9524,0.047599999999999976,2.996152153791112,0.0027970315,0.00097556104,0.0,0.25,2.3634236,2.4259095,2.5215087,-6.7039385,10.10327,7.4670024,3.5206718,0.46696832579185366,0.276747170691868,31.234072,11.313844,True,Late Aire vs Rest,Late Aire,Rest
Serpina7,0.9522,0.047799999999999954,2.9917492585600054,0.00084222737,0.00041708065,0.0,0.25,2.0296695,2.103539,3.4161718,-9.849676,12.769598,1.4380144,0.8576575,0.17556561085972797,0.10150507525376272,5.368511,2.4212143,True,Late Aire vs Rest,Late Aire,Rest
Nos2,0.952,0.04800000000000004,2.987363826054364,0.0031469914,0.0007069537,0.0,0.25,2.644288,2.6068947,2.5797567,-5.919199,11.254903,7.134448,1.8435434,0.7565610859728481,0.37370201843425516,34.748253,6.7924604,True,Late Aire vs Rest,Late Aire,Rest
Igfbp6,0.9516,0.0484,2.978644768603285,0.00039581212,0.0005236638,0.0,0.25,0.7732102,0.8438282,3.1685083,-8.077129,8.926754,0.6429877,1.4141855,0.18597285067873245,0.12425621281064057,2.836386,5.5403805,True,Late Aire vs Rest,Late Aire,Rest
Il12a,0.9504,0.04959999999999998,2.9528919237865017,0.0020343978,0.00045628886,0.0,0.25,2.8636296,2.7183394,2.5910666,-6.12996,11.458772,4.1579475,0.9936883,0.5742081447963782,0.2679967331699919,20.466513,4.202521,True,Late Aire vs Rest,Late Aire,Rest
Il13,0.9502,0.049799999999999955,2.948657314443122,0.0016917399,0.00059942936,0.0,0.25,2.2913566,2.1840205,3.1366253,-7.6032763,11.168814,3.0231001,1.3718336,0.5393665158371023,0.3080154007700386,15.460479,5.9611063,True,Late Aire vs Rest,Late Aire,Rest
Rptn,0.9492,0.050799999999999956,2.9277229836619862,0.0033335541,0.0014954946,0.0,0.25,2.2223475,2.3478355,2.9293122,-8.412535,11.02549,6.9697194,4.257355,0.48914027149321104,0.2840975382102439,29.356628,12.82426,True,Late Aire vs Rest,Late Aire,Rest
Dapl1,0.949,0.051000000000000045,2.9235829803445967,0.0035815919,0.0016717011,0.0,0.25,1.8996904,2.008695,2.8124812,-8.635754,12.391649,12.198613,6.3270607,0.5117647058823512,0.35631781589079464,46.957592,18.05584,True,Late Aire vs Rest,Late Aire,Rest
Ly6i,0.948,0.052000000000000046,2.903110601914443,0.0009873945,0.00027152454,0.0,0.25,2.3310897,2.2707772,2.2852917,-5.6968994,9.55934,2.2298784,0.73561656,0.3628959276018088,0.1970598529926497,10.29058,2.4660454,True,Late Aire vs Rest,Late Aire,Rest
Camp,0.948,0.052000000000000046,2.903110601914443,0.00029961995,0.00031830568,0.0,0.25,0.77303416,0.7424288,3.3278828,-8.812856,11.958956,1.0610889,0.9219441,0.10090497737556532,0.061019717652549314,3.8059735,3.0686443,True,Late Aire vs Rest,Late Aire,Rest
Klk1b16,0.9474,0.05259999999999998,2.8910050911871408,0.0010410914,0.00036281827,0.0,0.25,1.8926158,1.8604989,3.2119641,-10.745455,14.415316,3.535755,0.9364095,0.1904977375565605,0.08342083770855212,14.075734,3.18155,True,Late Aire vs Rest,Late Aire,Rest
Anxa10,0.9472,0.05279999999999996,2.886998894581037,0.00075254677,0.00020032654,0.0,0.25,2.1810892,2.2115035,2.1979585,-5.887024,9.761247,1.0905039,0.28888312,0.2574660633484155,0.10150507525376272,5.43524,1.0183966,True,Late Aire vs Rest,Late Aire,Rest
Klk1b26,0.9472,0.05279999999999996,2.886998894581037,0.0017438633,0.00038012213,0.0,0.25,2.179314,2.1920023,2.9076605,-7.9431887,12.959084,6.36065,0.9950947,0.2846153846153837,0.1122389452805974,25.421347,3.3604364,True,Late Aire vs Rest,Late Aire,Rest
Serpina3j,0.9468,0.053200000000000025,2.879029303884215,0.0007348068,0.00031600942,0.0,0.25,1.9616941,2.1042619,2.4993675,-6.565268,9.071309,1.3325882,0.59281355,0.30045248868778185,0.14910745537276868,5.8641577,2.2826576,True,Late Aire vs Rest,Late Aire,Rest
H1foo,0.9456,0.054400000000000004,2.8554553195417203,0.0003270332,9.289379e-05,0.0,0.25,2.3103325,2.2218337,2.181396,-6.2874107,11.838337,0.56923157,0.13254076,0.2018099547511306,0.06148640765371604,2.3815308,0.44236597,True,Late Aire vs Rest,Late Aire,Rest
Ccr7,0.9454,0.05459999999999998,2.8515740630356436,0.00074290106,0.00023943272,0.0,0.25,2.231874,2.1827073,2.7214065,-7.1326504,11.58831,1.308153,0.51056206,0.2819004524886869,0.13907362034768408,6.680328,1.9860142,True,Late Aire vs Rest,Late Aire,Rest
Cnmd,0.9454,0.05459999999999998,2.8515740630356436,0.00036236586,0.00017425175,0.0,0.25,1.456903,1.3549228,3.3728335,-11.533627,12.232512,0.582806,0.28806552,0.11357466063348383,0.0729203126823008,2.8041158,1.2574934,True,Late Aire vs Rest,Late Aire,Rest
Ccdc184,0.945,0.05500000000000005,2.843851571025116,0.00066586566,0.00017938789,0.0,0.25,2.2031503,2.1013803,1.9232377,-3.8786545,9.946918,1.1122261,0.32936993,0.39638009049773626,0.14549060786372656,5.4891467,1.1694355,True,Late Aire vs Rest,Late Aire,Rest
