,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Spink5,0.99,0.010000000000000009,4.5951188602360995,0.026408445,0.0016711616,0.0,0.25,4.7563577,4.9739733,2.094712,-4.204209,11.298569,83.31095,2.5416725,0.8997240110395434,0.2777088502894774,406.59384,17.909573,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Gsta4,0.9798,0.020199999999999996,3.8816653799540974,0.007033072,0.00081505213,0.0,0.25,3.601872,3.6637082,1.9010321,-4.3067393,9.445587,14.965989,0.7605464,0.8785648574056892,0.1719396195202598,73.67911,5.318491,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Gm94,0.9752,0.024800000000000044,3.671798532024705,0.00415083,0.000373578,0.0,0.25,3.3267539,3.613903,2.8355343,-8.467015,12.436989,11.344074,0.2605445,0.4572217111315506,0.06151778329197722,49.74065,1.809989,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Ugt2b34,0.9748,0.0252,3.65538794066687,0.0019084705,0.0002134421,0.0,0.25,3.7745898,3.8154936,2.6400852,-7.992201,12.99008,2.3045075,0.15115778,0.19687212511499608,0.040736145574855435,11.253406,0.9691805,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Cyp2f2,0.9722,0.027800000000000047,3.5545251744885458,0.0048549925,0.00049108255,0.0,0.25,3.6441224,3.7357588,2.7001815,-7.0062885,12.614827,7.947564,0.35669753,0.4645814167433259,0.08808933002481452,43.343105,3.3011012,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Krt6a,0.9716,0.02839999999999998,3.532554710140545,0.0025847955,0.00016572306,0.0,0.25,4.243679,4.30212,3.171896,-8.93318,15.534149,3.3081892,0.049214244,0.23643054277828976,0.015612076095947013,16.94248,0.39314952,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Gc,0.9706,0.02939999999999998,3.4969194327933892,0.0021232222,0.00026589396,0.0,0.25,3.4949422,3.4832983,2.420844,-5.6567435,12.766413,3.1149945,0.1758683,0.18215271389144494,0.03804797353184466,12.132309,1.2630364,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Krt6b,0.969,0.031000000000000028,3.4422770951449433,0.0011368261,0.0001127583,0.0,0.25,3.722067,3.7101946,3.1493993,-7.0739756,14.972745,2.836247,0.056348257,0.129714811407544,0.013957816377171178,10.653528,0.37770087,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Ly6d,0.9638,0.03620000000000001,3.2818244195070476,0.017444154,0.0035397725,0.0,0.25,2.3825548,2.4053876,1.5762496,-3.9488287,7.476108,41.441555,4.71894,0.9199632014719256,0.47725392886678913,214.14973,38.64402,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Ivl,0.9636,0.03639999999999999,3.276107231750535,0.00079072354,0.00017867847,0.0,0.25,2.2774303,2.3757558,3.6406362,-9.301053,14.814867,1.6255742,0.0735112,0.20607175712971554,0.02109181141439206,7.491841,0.5985136,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Krt78,0.9632,0.036800000000000055,3.264762968022636,0.002137852,0.000383876,0.0,0.25,2.8850265,2.9486184,2.4072475,-6.014104,11.568367,3.8445268,0.29486933,0.5482980680772706,0.09884201819685763,19.350191,2.345137,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Sdr16c6,0.9632,0.036800000000000055,3.264762968022636,0.0010553385,0.00032869237,0.0,0.25,2.2252522,2.5360227,3.6378794,-13.383851,14.251757,1.4158217,0.110111766,0.29070837166513336,0.02533085194375521,7.1152453,0.7991085,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Clca1,0.9618,0.03820000000000001,3.225970761848134,0.0020059817,0.00031112216,0.0,0.25,2.7706277,2.8209772,2.6922805,-7.593641,15.734816,5.1674304,0.445511,0.23183072677093003,0.0629652605459061,19.87773,3.0028548,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Bpifa1,0.9616,0.03839999999999999,3.2205408541699643,0.011306353,0.0013822013,0.0,0.25,2.4675806,2.59269,2.8687716,-8.608574,11.667849,46.0533,2.737194,0.41582336706531425,0.25475599669146537,186.21645,18.257175,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
Dapl1,0.96,0.040000000000000036,3.1780535907646423,0.01516116,0.0028956519,0.0,0.25,2.688733,2.8981576,2.5127003,-6.913222,9.8291855,41.608032,3.6756077,0.7488500459981488,0.3483250620347126,202.999,33.623184,True,PA 2 (Tspan8) vs Rest,PA 2 (Tspan8),Rest
