,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Stxbp5l,0.9956,0.0043999999999999595,5.421738766888735,0.009969873,0.0002859566,0.0,0.25,5.473216,5.4992676,2.2234497,-3.0024724,13.454756,9.60241,0.15574226,0.8024096385542139,0.07066898685228129,122.226326,1.3421842,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Car8,0.995,0.0050000000000000044,5.2933028347767435,0.015589497,0.0005014156,0.0,0.25,5.6836233,5.7586603,2.152191,-2.499597,13.774271,15.997589,0.4411268,0.7662650602409614,0.07608275328692904,192.79613,2.4848151,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Clca3b,0.9942,0.005800000000000027,5.144078762030087,0.017770264,0.0005413622,0.0,0.25,5.5663433,5.6398516,2.3887916,-5.994009,15.584321,26.75903,0.53451496,0.6891566265060228,0.10856535189481553,327.50897,4.997988,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Fmo3,0.9912,0.00880000000000003,4.724163482556559,0.007309469,0.00045525632,0.0,0.25,4.800246,4.8384933,2.1846435,-4.2436304,11.924181,8.807232,0.4277852,0.50120481927711,0.06312838360402193,86.61135,2.9182916,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Cd177,0.9908,0.009199999999999986,4.679308136697134,0.008547828,0.00016200311,0.0,0.25,5.8805428,6.0371833,2.9154599,-5.5133314,17.08849,5.686748,0.074729286,0.4409638554216879,0.026682134570765764,80.428345,0.5636019,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Cacna2d1,0.989,0.01100000000000001,4.498798159845069,0.011993006,0.0005171654,0.0,0.25,4.485487,4.569126,2.0697682,-3.0526228,12.6841755,9.438555,0.3532511,0.7686746987951782,0.1657965970610976,140.2375,3.7484927,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Ceacam10,0.983,0.017000000000000015,4.057395198028768,0.006187844,0.0005549019,0.0,0.25,3.4962227,3.5378375,1.7794784,-3.701458,11.450293,4.913256,0.35682797,0.6626506024096377,0.16550657385924142,65.142654,3.6900258,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Cib3,0.9826,0.01739999999999997,4.033731348978669,0.0034120742,0.00033936993,0.0,0.25,3.5630145,3.650906,1.8696703,-4.434408,11.972049,2.5614483,0.26604885,0.4843373493975919,0.10991879350347747,35.282364,2.135944,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Klk1,0.9802,0.01980000000000004,3.9020741999265773,0.013905905,0.001073778,0.0,0.25,4.319323,4.3200817,2.402615,-4.825623,13.128137,27.744566,1.5889482,0.6795180722891555,0.1396945088940422,297.77344,13.4309,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Speer4c,0.9798,0.020199999999999996,3.8816653799540974,0.004716708,0.00022942142,0.0,0.25,4.933769,4.985572,3.2343595,-9.08647,16.943794,3.014461,0.03837976,0.4987951807228932,0.014114462490332588,45.066204,0.3689577,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Serpina3j,0.9784,0.021599999999999953,3.813224816940758,0.004428915,0.00063222816,0.0,0.25,3.77489,3.8399727,2.2397983,-4.6516485,12.138333,3.2216907,0.6223953,0.4048192771084346,0.1707269914926525,37.9317,5.555067,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Fmo2,0.976,0.02400000000000002,3.705408349644468,0.006170712,0.0008827871,0.0,0.25,3.8425312,3.7630339,2.3342254,-3.8156757,16.558022,5.4313307,0.6966381,0.6819277108433723,0.10160479505026843,63.556843,5.29368,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Snap25,0.975,0.025000000000000022,3.663561256386136,0.0048964866,0.00029964812,0.0,0.25,3.9556906,4.1614285,2.4942348,-6.28298,12.786392,3.457838,0.08178651,0.6819277108433723,0.04302010827532889,49.471874,0.76470286,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Resp18,0.9746,0.025399999999999978,3.6472775729448257,0.010007956,0.001698476,0.0,0.25,3.4509888,3.4692833,1.9971805,-3.484373,10.821195,11.684341,2.491554,0.7132530120481911,0.3345901005413891,124.317055,24.824713,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Col8a1,0.9746,0.025399999999999978,3.6472775729448257,0.002647373,0.00018529141,0.0,0.25,3.9077554,3.9754653,2.9381592,-8.086647,13.86348,1.8168687,0.052494258,0.3397590361445787,0.01817478731631869,27.141495,0.447386,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Itln1,0.9744,0.025599999999999956,3.6392291651079196,0.0046549006,0.00048387708,0.0,0.25,3.6025703,3.4320107,2.3153622,-3.41889,14.054558,6.5975895,0.5315216,0.39759036144578397,0.21432714617169688,48.52594,4.1600204,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Gsdma,0.9738,0.0262,3.6154461615712816,0.002917204,0.00048228854,0.0,0.25,3.036423,2.8956752,2.3219893,-5.2674236,11.105677,2.534945,0.40535802,0.5349397590361457,0.1311871616395945,34.059887,2.906051,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Igfbp5,0.9736,0.02639999999999998,3.607636163004399,0.025368303,0.00413638,0.0,0.25,3.7533126,3.907912,2.3278062,-4.174261,10.722645,32.503628,3.161009,0.7903614457831297,0.30742459396752775,420.4297,41.62618,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Chgb,0.972,0.028000000000000025,3.5471509474305067,0.0053733354,0.00028047196,0.0,0.25,4.3021755,4.3810353,3.155862,-7.03446,14.188212,9.127717,0.31061527,0.41686746987951906,0.03480278422273797,109.38942,2.3119729,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Cd55,0.9712,0.028800000000000048,3.5181566962377104,0.0054812715,0.0006981902,0.0,0.25,3.2137704,3.2106404,2.048044,-5.716532,11.312556,4.209644,0.67102325,0.6626506024096377,0.19963263727765088,42.218273,5.058426,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Pigr,0.9708,0.029200000000000004,3.5039514324132983,0.0076185,0.0019556105,0.0,0.25,3.2418487,3.427941,2.4542096,-8.9280405,12.745214,8.419277,2.8822193,0.6265060240963852,0.2438128383604076,86.45662,19.381552,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Fam183b,0.9704,0.02959999999999996,3.4899336687670752,0.0042046267,0.0005133935,0.0,0.25,3.6302516,3.678228,2.8308167,-9.065041,14.951126,1.898798,0.22186787,0.48915662650602565,0.05017401392111393,29.925486,1.8659346,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Cited1,0.9686,0.031399999999999983,3.429043528907814,0.0013011646,0.00022653797,0.0,0.25,3.4905655,3.4362364,2.4764187,-4.692197,13.050544,1.0216864,0.16086628,0.23373493975903586,0.03895978344934279,12.123021,1.4009775,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Tspan1,0.9676,0.032399999999999984,3.3966600576305104,0.005553409,0.0010909889,0.0,0.25,3.0499747,3.1114562,1.861373,-3.474802,9.364998,5.1831393,1.1264641,0.8771084337349356,0.27890564578500426,58.21515,8.868258,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Fam46a,0.9652,0.03480000000000005,3.322717669974713,0.006985993,0.0014809262,0.0,0.25,2.3483653,2.4945126,1.646756,-4.6356974,7.3286695,6.0867515,1.23484,0.7445783132530099,0.33845707656613805,74.586655,12.066355,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Hepacam2,0.965,0.03500000000000003,3.316779764498021,0.0045174924,0.0010522278,0.0,0.25,2.9804654,3.161541,2.236817,-5.127675,9.011852,3.6578352,0.82483214,0.6120481927710842,0.19189868522815298,41.519802,8.687652,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Chga,0.9648,0.03520000000000001,3.310874469642843,0.009180042,0.00079945347,0.0,0.25,3.720885,3.6613398,2.9082425,-6.8518987,15.682522,9.710843,1.3525832,0.657831325301204,0.1732405259087393,135.36337,7.8090997,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Ascl1,0.964,0.03600000000000003,3.2875720887501396,0.021552123,0.005389439,0.0,0.25,3.3192332,3.5089216,2.6854048,-6.002171,11.887185,17.200006,3.40131,0.8650602409638515,0.44905259087395794,238.48775,52.803577,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Peg3,0.9636,0.03639999999999999,3.276107231750535,0.0038529143,0.00046982116,0.0,0.25,2.996549,3.0728288,2.4318435,-5.849495,12.302818,2.6867497,0.3160306,0.4144578313253022,0.1315738592420694,39.382824,3.509317,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Scg2,0.9628,0.03720000000000001,3.2535366861990203,0.002090557,0.00016769428,0.0,0.25,3.296533,3.411633,3.4839373,-9.917736,14.092009,3.180724,0.21007358,0.13012048192771095,0.018271461716937408,42.04791,1.4280254,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Clca1,0.9614,0.03859999999999997,3.2151380303232497,0.0018833433,0.000423213,0.0,0.25,3.006952,3.005416,2.5758793,-10.3502865,14.91346,3.3397613,0.82560205,0.24819277108433702,0.07327919566898645,24.007425,3.9334521,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Ces1c,0.9612,0.038799999999999946,3.209762009904824,0.00080040295,0.00014987054,0.0,0.25,3.773255,3.6432557,3.5087585,-6.112405,15.033848,1.0650603,0.102088176,0.17108433734939754,0.02416860015467913,9.285778,0.79227114,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Lipc,0.96,0.040000000000000036,3.1780535907646423,0.0016831853,0.000556692,0.0,0.25,2.3466008,2.3583279,1.845296,-4.813927,9.733213,1.609641,0.4274006,0.4433734939759048,0.15612915699922522,16.1555,4.6183743,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Iglc1,0.9574,0.04259999999999997,3.112366799386283,0.002637012,0.0005871252,0.0,0.25,2.845149,2.8250651,2.441931,-5.0902643,12.533171,1.6024104,0.31119603,0.31084337349397606,0.08739365815931809,20.525917,3.4474664,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Sox11,0.9572,0.04279999999999995,3.1074740302487736,0.0011779955,0.0003037914,0.0,0.25,2.3755972,2.3873382,3.1860158,-10.618867,17.926628,0.73493963,0.18484169,0.1325301204819278,0.06022815158546047,13.021789,2.4770973,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Dynlrb2,0.9562,0.04379999999999995,3.0833330609571905,0.00025429865,0.00019621993,0.0,0.25,2.000126,2.1565046,3.1408556,-13.067314,13.860346,0.15421681,0.13582742,0.110843373493976,0.02117169373549891,2.235395,1.1656144,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
2210407C18Rik,0.956,0.04400000000000004,3.078568062320689,0.010530853,0.0025641785,0.0,0.25,2.9613624,2.815479,2.508551,-5.825514,11.803726,11.195179,3.4849591,0.8265060240963822,0.2762954369682987,113.32216,26.083801,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Ambp,0.9558,0.04420000000000002,3.0738236812785265,0.001013868,0.00019724772,0.0,0.25,2.88931,2.7772174,3.1139104,-9.059884,13.489998,0.94216835,0.15728927,0.20722891566265042,0.04011987625676739,14.580512,1.1446506,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Hpgd,0.9554,0.04459999999999997,3.0643960281814424,0.0037414879,0.0013987086,0.0,0.25,2.1346083,2.2588086,1.9216425,-4.9716883,7.7329783,2.7277136,1.1091561,0.4240963855421697,0.24893658159319995,33.902103,11.301646,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Gp2,0.9546,0.045399999999999996,3.0457800897357927,0.0037966396,0.0015130944,0.0,0.25,2.2398028,2.406063,2.7015905,-7.262847,10.124029,10.4747,3.2211413,0.31566265060240983,0.1801044083526687,60.102886,18.660501,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Smim24,0.9542,0.04579999999999995,3.036588994101264,0.0020281414,0.000649451,0.0,0.25,1.9566473,1.9798393,1.5409318,-6.262948,7.5279875,1.631328,0.8198102,0.5686746987951813,0.2953402938901873,17.574783,6.267913,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Klk1b16,0.9538,0.04620000000000002,3.0274740018106154,0.0030899404,0.00079498126,0.0,0.25,2.3296087,2.3781033,3.0651183,-9.483738,13.344591,6.019275,1.2901237,0.269879518072289,0.09928460943541939,48.387684,8.621688,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
Clps,0.9538,0.04620000000000002,3.0274740018106154,0.001649616,0.00028876695,0.0,0.25,3.056495,2.871996,3.2615952,-6.673773,17.282394,4.7662654,0.39626914,0.19999999999999984,0.05877803557617972,30.532646,2.7637734,True,PA 3 (Ascl1) vs Rest,PA 3 (Ascl1),Rest
