,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Tmem212,0.998,0.0020000000000000018,6.212601105784058,0.009879254,8.318648e-05,0.0,0.25,8.031878,7.980864,3.2247415,-2.567327,19.95185,8.537736,0.010419597,0.6226415094339622,0.007603491974091807,66.363266,0.11027502,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
Ccdc153,0.9974,0.0026000000000000467,5.949636611964186,0.012126477,0.00013518942,0.0,0.25,7.4285374,7.2844048,3.0720685,-2.936596,18.796457,11.537735,0.01896177,0.7075471698113207,0.0135173190650521,97.35923,0.21519946,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
Dynlrb2,0.997,0.0030000000000000027,5.8061351579960405,0.010356428,6.0539765e-05,0.0,0.25,7.77542,8.030281,2.942825,-3.385172,17.789871,11.264148,0.025814269,0.7924528301886792,0.01699051910260021,97.22353,0.25148955,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
Ccdc39,0.9928,0.007199999999999984,4.926446829052988,0.011386542,0.00020443728,0.0,0.25,6.167881,6.3139334,2.7963848,-5.384992,15.591927,10.113209,0.040270273,0.8018867924528301,0.023936919177696428,98.3789,0.43475887,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
Meig1,0.9906,0.009399999999999964,4.6576000771438535,0.0057955217,0.00015667474,0.0,0.25,5.627487,5.659983,2.8101203,-4.555774,15.369275,7.226414,0.052661102,0.7547169811320754,0.03351168684877492,63.08828,0.47408557,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
BC051019,0.9888,0.011199999999999988,4.480577425658903,0.0030642706,0.00014394293,0.0,0.25,5.2986436,5.313781,2.8723216,-5.6133966,15.06373,4.216982,0.022904322,0.6698113207547169,0.007321881160236555,33.3935,0.19265811,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
Gm19935,0.9878,0.012199999999999989,4.394043486819026,0.0037078643,6.183527e-05,0.0,0.25,6.482766,6.616721,3.5273285,-5.6208944,19.01268,4.4150944,0.009950246,0.5377358490566038,0.0070402703463813025,37.41693,0.089056,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
1700016K19Rik,0.9876,0.012399999999999967,4.3775804885343055,0.008928266,0.0003231876,0.0,0.25,4.7953954,4.982485,2.093036,-2.9331374,12.289988,12.21698,0.13310793,0.830188679245283,0.08626677931099196,110.47002,1.5892881,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
Rsph1,0.9874,0.012599999999999945,4.361377628344464,0.0067961295,0.00027343334,0.0,0.25,4.714843,4.771392,2.1514647,-2.8514633,11.496679,10.103774,0.14324637,0.8396226415094339,0.09490284426922001,89.35967,1.559324,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
Gm867,0.9864,0.013599999999999945,4.28399143395216,0.0040591033,5.8702277e-05,0.0,0.25,6.0848417,6.278194,3.7571807,-6.0315676,16.56724,3.9811327,0.0077912365,0.6037735849056604,0.006101567633530462,32.38485,0.08524103,True,PA 4 (Foxj1) vs Rest,PA 4 (Foxj1),Rest
