,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Spink5,0.9898,0.010199999999999987,4.575114211938937,0.019760996,0.0011222505,0.0,0.25,5.246892,5.4435787,2.2593982,-4.2082205,13.175264,85.62333,2.9222674,0.9028459273798037,0.2820118828108979,221.6023,9.360614,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Gsta4,0.982,0.018000000000000016,3.9992190050861978,0.0037898365,0.00040045715,0.0,0.25,3.896741,3.951386,2.1804812,-4.0817385,11.103075,14.893971,0.87267023,0.8635917566241589,0.1784470395410767,40.62409,2.7547302,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Krt6a,0.9804,0.01959999999999995,3.9124305854134556,0.0014481766,9.9460754e-05,0.0,0.25,4.8105397,4.7145863,3.2977977,-7.6400433,17.802774,3.5122652,0.050501946,0.24631992149165788,0.016082769924195828,10.177302,0.1591578,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Ugt2b34,0.9772,0.022800000000000042,3.757930375060113,0.0014290664,0.00013295487,0.0,0.25,4.017308,4.028534,2.6904023,-7.326413,12.987366,2.4946012,0.14761281,0.20314033366045098,0.04097520999795107,6.6208453,0.48286337,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Gc,0.9764,0.023599999999999954,3.722625213000223,0.001163323,0.00013734387,0.0,0.25,4.5508385,4.331576,3.0544577,-5.281126,16.115911,3.3719318,0.2237241,0.19921491658488671,0.03841425937307913,8.154619,0.7418355,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Gm94,0.9754,0.024599999999999955,3.6801008040858587,0.0025507512,0.0002289188,0.0,0.25,3.618456,3.8973703,2.913865,-9.852972,11.741363,11.829223,0.28999984,0.47399411187438517,0.06258963327187023,28.350266,0.9200336,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Aqp4,0.9732,0.026800000000000046,3.592187360533676,0.0013349402,0.00016015519,0.0,0.25,3.2369497,3.2120004,2.2391002,-4.5136337,12.502974,2.309126,0.078467526,0.25024533856722214,0.037799631223109864,6.6326003,0.33886638,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Irx2,0.9714,0.02859999999999996,3.525331272729971,0.0003292529,7.329019e-05,0.0,0.25,3.8217442,3.8618069,2.8791747,-7.272024,14.926231,0.4828267,0.025609506,0.18940137389597606,0.013624257324318765,1.4391308,0.13828702,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Krt6b,0.97,0.030000000000000027,3.476098366811273,0.0009816207,7.573905e-05,0.0,0.25,4.326625,4.2908316,3.468677,-6.6691093,18.604805,2.9067702,0.068121284,0.12855740922472997,0.014751075599262418,6.2153525,0.21443987,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Teddm3,0.9688,0.031200000000000006,3.4356397872327245,0.0003774195,5.8447957e-05,0.0,0.25,3.365441,3.4170804,2.716146,-7.5135975,13.472634,0.5878313,0.024994878,0.1481844946025513,0.012395001024380235,1.2320498,0.08269778,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Dapl1,0.9688,0.031200000000000006,3.4356397872327245,0.008578914,0.001335796,0.0,0.25,3.1980655,3.4263337,2.7892778,-8.599691,12.201738,39.965733,4.144999,0.7526987242394622,0.35013316943249145,101.35181,15.904089,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Cyp2f2,0.9678,0.032200000000000006,3.4030587015826104,0.0029921294,0.00030177017,0.0,0.25,3.3871937,3.4361668,2.6569002,-5.9268994,12.809184,8.153079,0.37676376,0.4651619234543656,0.08922351977053838,25.16539,1.4136617,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Fam84a,0.9666,0.033399999999999985,3.3652285703727176,0.0011225346,0.000207007,0.0,0.25,2.669916,2.700305,1.6997184,-4.209424,8.769619,3.1305108,0.23355603,0.6457311089303299,0.1000819504199954,8.855744,0.84568816,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
Ly6d,0.965,0.03500000000000003,3.316779764498021,0.008783383,0.0015619516,0.0,0.25,2.7091932,2.6635783,1.7894169,-4.264561,9.339058,42.87832,4.876613,0.9165848871442794,0.4820733456258937,116.86884,18.186625,True,PA1 (Tspan8) vs Rest,PA1 (Tspan8),Rest
