,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Stxbp5l,0.9976,0.0023999999999999577,6.029879500378016,0.0073315995,0.00017567365,0.0,0.25,5.92875,5.9977956,1.9368067,-1.8185883,12.259539,10.705379,0.17433766,0.8385269121813083,0.07374376678174152,65.12555,0.6190629,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Cacna2d1,0.9968,0.0031999999999999806,5.741396223264499,0.0068293526,0.00024369817,0.0,0.25,4.99124,5.067039,1.8488228,-3.120184,11.983505,10.433425,0.3730341,0.8356940509915065,0.1670502493287244,72.33151,1.5824606,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Car8,0.9968,0.0031999999999999806,5.741396223264499,0.009935574,0.00035443087,0.0,0.25,6.2164316,6.3425446,2.3207178,-2.7612934,14.554752,16.88384,0.5023974,0.784702549575075,0.07930571538166481,100.39802,1.4878157,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Cd177,0.996,0.0040000000000000036,5.517450406507993,0.0041252226,8.354288e-05,0.0,0.25,6.295083,6.379868,2.6252842,-6.011363,15.313401,6.4305987,0.082949854,0.4815864022662882,0.02780974299961644,43.459263,0.26798368,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Clca3b,0.9948,0.005199999999999982,5.253881173319069,0.015904566,0.00035086332,0.0,0.25,6.356574,6.392209,2.4741063,-4.075044,14.624657,29.685547,0.58995163,0.7252124645892383,0.11037591100882249,186.29088,2.39495,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Fmo3,0.9904,0.009600000000000053,4.636344771887343,0.0047197184,0.0004003458,0.0,0.25,4.489863,4.4256644,2.2482874,-3.1988306,13.575092,7.8781896,0.5083432,0.4815864022662882,0.06635980053701578,43.30925,1.7765791,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Klk1,0.9902,0.009800000000000031,4.6155235469421205,0.012126524,0.0006764837,0.0,0.25,4.753309,4.6996365,2.3520045,-3.5028372,13.833454,28.685524,1.6546701,0.7138810198300313,0.14106252397391417,166.11703,6.9628234,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Speer4c,0.9902,0.009800000000000031,4.6155235469421205,0.0033689896,0.0001762513,0.0,0.25,5.6937327,5.5508947,2.9181373,-4.0992117,18.489992,3.5014205,0.039125457,0.569405099150142,0.014480245492903733,23.899025,0.15732735,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Ceacam10,0.99,0.010000000000000009,4.5951188602360995,0.0031300765,0.00021184293,0.0,0.25,4.047352,4.035752,1.8004466,-3.5704422,11.633246,5.1643114,0.37504783,0.6770538243626085,0.16791331031836754,33.06688,1.6178514,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
Cplx2,0.9882,0.011800000000000033,4.427784737602169,0.003621604,0.00017371612,0.0,0.25,4.3353987,4.4148,2.0473807,-2.7150488,13.039909,4.541083,0.16781636,0.8101983002832908,0.110951285001918,32.394802,0.8055133,True,PA2 (Ascl1) vs Rest,PA2 (Ascl1),Rest
