,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Clca4b,0.988,0.01200000000000001,4.410775224748337,0.001464598,9.264357e-05,0.0,0.25,5.1920123,5.1381865,2.7845469,-6.3053675,14.814968,3.0385904,0.07128134,0.2919463087248325,0.01786941580756009,8.350575,0.21118441,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
2200002D01Rik,0.9834,0.016599999999999948,4.0816126673746895,0.003561382,0.0005081379,0.0,0.25,3.2341452,3.322536,1.5986563,-3.6136303,9.023594,16.82885,1.4825662,0.9446308724832316,0.38595974472263,43.430416,5.2782135,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Ccl6,0.9814,0.01859999999999995,3.965818015491911,0.0049762866,0.00018326999,0.0,0.25,4.6994057,4.7891483,2.877264,-5.260023,14.780209,22.567122,0.24879746,0.5520134228187962,0.06480117820323986,51.068783,0.7711978,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Muc13,0.9802,0.01980000000000004,3.9020741999265773,0.0030276945,0.0003743207,0.0,0.25,3.7927735,3.8100116,2.1255465,-3.8287163,10.563292,10.956371,0.67568797,0.8590604026845726,0.16190476190476136,28.8639,2.2359583,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Ccl20,0.9792,0.02080000000000004,3.8517824544940904,0.013904077,0.00068029214,0.0,0.25,4.588916,4.6899724,2.9844787,-6.0133753,13.647299,82.630905,2.1625051,0.7818791946308802,0.22385861561119216,203.08508,7.20419,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
C4bp,0.9788,0.021199999999999997,3.83232568840914,0.00055639027,7.275589e-05,0.0,0.25,3.6211567,3.6230822,2.2773583,-4.4109135,12.559015,1.4362427,0.06224848,0.3473154362416119,0.03583701521845841,3.49428,0.21903251,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Ccl9,0.978,0.02200000000000002,3.794466772356098,0.003585022,0.00026150545,0.0,0.25,4.1138625,4.1675158,2.3516228,-4.8233194,12.098383,14.932876,0.4706859,0.7919463087248401,0.1356897398134507,39.8876,1.5796049,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Lgals4,0.9768,0.0232,3.740129223327351,0.0026424108,0.00041703964,0.0,0.25,3.1025484,3.22359,2.260797,-6.5018144,9.848253,9.4815445,0.9312577,0.7130872483221543,0.17604320078546823,24.515228,2.913332,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
1810028F09Rik,0.9718,0.028200000000000003,3.539827699708052,0.00012021377,1.652506e-05,0.0,0.25,3.609734,3.617528,3.7347302,-7.0898046,19.262268,0.29865777,0.013549348,0.12416107382550323,0.00962199312714775,0.74443936,0.039047763,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Fabp1,0.9708,0.029200000000000004,3.5039514324132983,0.0029195747,0.0002490798,0.0,0.25,4.035947,4.009269,3.03408,-7.055024,14.301956,14.479853,0.34805915,0.5285234899328898,0.06293568973981326,38.436565,1.387648,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Cr2,0.9694,0.03059999999999996,3.4556769979712687,0.0011220872,0.00016673627,0.0,0.25,1.0801204,1.5054169,4.1228237,-12.543745,11.829897,3.7986577,0.18321083,0.3355704697986587,0.0942562592047125,12.196254,0.90217173,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Spink1,0.9686,0.031399999999999983,3.429043528907814,0.006459762,0.0013082111,0.0,0.25,3.1629407,3.247961,2.4656775,-6.335201,10.363205,50.661102,7.5041895,0.6912751677852412,0.3080019636720657,97.70039,18.160215,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
AW112010,0.9682,0.03180000000000005,3.4159720835825462,0.011368813,0.0026699232,0.0,0.25,2.9570339,3.0478382,2.0178277,-4.4730773,10.775141,50.06542,8.50536,0.9865771812080645,0.6903289150711808,139.01396,33.27691,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Sis,0.967,0.03300000000000003,3.377690641297818,0.0014031386,0.0001415887,0.0,0.25,3.7295313,3.6207418,3.5828276,-8.843474,16.995926,5.6375837,0.15139925,0.3724832214765116,0.047815414825723955,15.720911,0.63330626,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
Prap1,0.9668,0.03320000000000001,3.371441482045512,0.0037229343,0.0005123052,0.0,0.25,3.3327758,3.3052602,2.4403372,-5.7139378,10.962872,15.518452,1.2700992,0.5956375838926223,0.14403534609720128,39.926136,3.8416004,True,PA3 (Gp2) vs Rest,PA3 (Gp2),Rest
