,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Dynlrb2,0.9996,0.00039999999999995595,7.823620941151559,0.0076912134,4.11244e-05,0.0,0.25,8.259815,8.183935,2.7044408,-1.9778547,17.56863,13.942532,0.023845147,0.942528735632183,0.017018889096689697,50.376793,0.109141015,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Ccdc39,0.9986,0.0013999999999999568,6.569874928627714,0.0055988776,0.000115044066,0.0,0.25,6.446552,6.33666,2.4309158,-0.7691984,15.038746,12.379309,0.03964849,0.9655172413793094,0.023938657190948138,45.95993,0.17542806,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Gm19935,0.9984,0.0016000000000000458,6.4361441284049565,0.0037290726,4.9556555e-05,0.0,0.25,8.177326,8.244652,3.2675939,-4.582345,18.18251,5.206897,0.011501777,0.6436781609195397,0.00729380961286702,16.49332,0.049237013,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Dnah12,0.9972,0.0028000000000000247,5.875328373074121,0.0022266803,0.00012343236,0.0,0.25,4.953659,4.9213986,1.9827813,-1.5376034,12.108374,6.0804605,0.05358166,0.9195402298850566,0.03328969515616225,20.53771,0.23228735,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Cdhr3,0.9958,0.0041999999999999815,5.468459538011395,0.00273302,6.676253e-05,0.0,0.25,6.101532,6.115952,2.4338598,-3.0039473,17.186234,5.2643666,0.018047504,0.8390804597701141,0.01402655694782118,16.876022,0.08308353,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Wdr66,0.9958,0.0041999999999999815,5.468459538011395,0.0015028843,4.9131097e-05,0.0,0.25,5.2089186,5.252501,2.397883,-3.975377,14.139704,3.9999995,0.0322611,0.8390804597701141,0.027024499719468794,14.464444,0.14995134,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Ccdc153,0.9958,0.0041999999999999815,5.468459538011395,0.004657431,8.006867e-05,0.0,0.25,7.076803,6.9754486,3.0223389,-1.8813705,17.688046,13.919542,0.020291753,0.8275862068965509,0.01402655694782118,47.19944,0.08910467,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Cfap44,0.9956,0.0043999999999999595,5.421738766888735,0.002909937,0.000101562044,0.0,0.25,5.852514,5.860611,2.3991938,-4.724908,13.835594,7.0459776,0.03880688,0.8965517241379302,0.023564615672339573,23.852308,0.16788857,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Rsph1,0.9956,0.0043999999999999595,5.421738766888735,0.003940393,0.0001367831,0.0,0.25,4.9921994,5.041848,1.9192694,-2.1679344,11.0275955,12.471268,0.14101441,0.9770114942528726,0.09472601458762134,46.17516,0.6787964,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Cfap206,0.9948,0.005199999999999982,5.253881173319069,0.0022646242,9.6657845e-05,0.0,0.25,4.9843545,4.901929,2.2539551,-2.7446566,13.84123,4.367816,0.020198243,0.8620689655172405,0.010847204039648383,14.90876,0.087710805,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Dnali1,0.9946,0.00539999999999996,5.215939850914573,0.0022218537,5.7118745e-05,0.0,0.25,5.4581814,5.461837,2.320845,-3.3783464,13.09875,4.390805,0.01692538,0.8275862068965509,0.013933046568169039,15.320173,0.07051345,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Meig1,0.9942,0.005800000000000027,5.144078762030087,0.0028614134,7.699637e-05,0.0,0.25,5.339091,5.352262,2.171059,-2.9328985,12.381331,9.333336,0.048158053,0.9310344827586198,0.03328969515616225,33.851475,0.20667192,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
1700016K19Rik,0.994,0.006000000000000005,5.1099760808236026,0.003919124,0.0001935065,0.0,0.25,4.50584,4.5265694,1.7204295,-1.7787704,11.241904,14.701149,0.13409474,0.9885057471264358,0.08612305965962372,53.921906,0.6594113,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Foxj1,0.9938,0.006199999999999983,5.076985084277639,0.006273605,0.00042809802,0.0,0.25,4.0170646,4.05729,1.4455394,-2.084752,9.406651,15.206897,0.69703794,0.9885057471264358,0.3034411819712051,55.985962,3.2492294,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Lrrc23,0.9938,0.006199999999999983,5.076985084277639,0.006007933,0.00010228064,0.0,0.25,5.38417,5.359552,2.465024,-3.2366333,13.440799,16.689657,0.11006278,0.9195402298850566,0.07452777258275736,62.762066,0.51295507,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Fam216b,0.993,0.007000000000000006,4.954819096489944,0.001382285,1.9310224e-05,0.0,0.25,6.948371,6.8902082,3.2164974,-4.4237976,19.871553,3.3333335,0.00243127,0.5977011494252868,0.0015896764540864034,11.071215,0.008851038,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Ccdc146,0.9928,0.007199999999999984,4.926446829052988,0.0022179212,9.3631694e-05,0.0,0.25,5.3294945,5.3529983,2.3382785,-3.467579,14.52717,4.5402303,0.035814498,0.8620689655172405,0.02253600149616602,15.556973,0.15685222,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Nme5,0.992,0.008000000000000007,4.820280325686463,0.0025536083,0.00011982158,0.0,0.25,4.3745975,4.393173,1.8495806,-2.5627165,11.161636,5.6436787,0.07471538,0.942528735632183,0.057602393865718936,20.052856,0.34653333,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Mlf1,0.992,0.008000000000000007,4.820280325686463,0.002938068,0.00017813497,0.0,0.25,4.619862,4.565879,2.1293926,-3.6299276,11.521011,8.724139,0.23957272,0.9655172413793094,0.1226856181036136,30.765638,1.103986,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
1700001C02Rik,0.9914,0.008600000000000052,4.74735472962373,0.0010352137,2.0882388e-05,0.0,0.25,6.4839005,6.4462314,3.0472288,-3.6863298,21.620932,2.5287352,0.0036469048,0.6666666666666661,0.003085842528520667,8.30917,0.016590316,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Tekt1,0.9912,0.00880000000000003,4.724163482556559,0.0022053677,0.00010770907,0.0,0.25,5.454026,5.2784643,2.7448294,-5.035326,17.507593,4.7701154,0.02683748,0.8965517241379302,0.013746025808864757,16.75382,0.11263325,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Dnah6,0.9912,0.00880000000000003,4.724163482556559,0.0029792406,0.00014642194,0.0,0.25,4.9021735,4.951695,2.0429518,-2.5508938,11.606001,7.563217,0.0666733,0.9310344827586198,0.04460445109407132,25.783829,0.28459257,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
2610028H24Rik,0.991,0.009000000000000008,4.701488855974091,0.0016972908,4.7876518e-05,0.0,0.25,6.0245833,5.830354,3.211989,-2.4328718,19.057623,3.5862064,0.0118758185,0.7126436781609189,0.008415934168692714,11.944338,0.04702599,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Ccna1,0.9906,0.009399999999999964,4.6576000771438535,0.00064907764,8.357304e-06,0.0,0.25,6.682283,6.5161715,3.404588,-4.159685,18.799522,0.9080462,0.002711801,0.26436781609195387,0.0022442491116513932,3.4918134,0.013686908,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
Morn5,0.9904,0.009600000000000053,4.636344771887343,0.0015108677,3.6134796e-05,0.0,0.25,5.442235,5.4209743,2.8239512,-5.764414,16.361593,2.114943,0.015055171,0.5287356321839076,0.013839536188516898,7.5558767,0.07079001,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
6820408C15Rik,0.9904,0.009600000000000053,4.636344771887343,0.0015451123,6.98278e-05,0.0,0.25,5.746207,5.603978,3.2317626,-5.421689,16.9108,3.7701151,0.028894708,0.7816091954022981,0.015429212642603296,12.479881,0.11252943,True,PA4 (Foxj1) vs Rest,PA4 (Foxj1),Rest
