,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Hist1h3c,0.9988,0.0011999999999999789,6.724224678325084,0.007374534,9.595664e-05,0.0,0.25,7.410246,7.5488033,2.5141292,-6.8351946,16.407522,8.081558,0.036938075,0.8865248226950305,0.02748878495752587,78.39888,0.44505328,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hist1h2ap,0.9986,0.0013999999999999568,6.569874928627714,0.019458018,0.00040112718,0.0,0.25,5.882338,6.15018,2.0269926,-7.381261,12.056076,23.131197,0.2376613,0.9361702127659518,0.161687505965446,238.38818,2.841797,True,TAC-TECs vs Rest,TAC-TECs,Rest
Pbk,0.998,0.0020000000000000018,6.212601105784058,0.0055520865,0.00019436148,0.0,0.25,5.983423,6.032897,2.420757,-6.956252,16.235924,5.879434,0.061277036,0.9184397163120513,0.031211224587190795,60.92293,0.8630913,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hist1h1e,0.9976,0.0023999999999999577,6.029879500378016,0.012514679,0.0007158295,0.0,0.25,4.388765,4.493617,1.6612295,-4.6439323,9.5991955,17.730488,0.53269386,0.9539007092198523,0.3215615157010758,176.4009,7.0192513,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hist1h1b,0.9976,0.0023999999999999577,6.029879500378016,0.033020113,0.00043753313,0.0,0.25,6.8085985,6.961423,2.0582309,-3.3731642,12.961285,43.95391,0.19318447,0.9574468085106324,0.09821513792115946,438.93396,2.35857,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hist1h2ae,0.9974,0.0026000000000000467,5.949636611964186,0.015728878,0.0003077534,0.0,0.25,6.071191,6.2397323,2.0095801,-4.3095427,12.211031,18.815598,0.18688442,0.9184397163120513,0.1351531927078345,187.86502,2.2670941,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hist1h1a,0.997,0.0030000000000000027,5.8061351579960405,0.004494942,9.083885e-05,0.0,0.25,6.2698817,6.366367,2.4506469,-6.24452,14.130693,4.847517,0.043714758,0.8156028368794287,0.03522000572682995,49.115284,0.5046483,True,TAC-TECs vs Rest,TAC-TECs,Rest
Top2a,0.9968,0.0031999999999999806,5.741396223264499,0.030264933,0.0009043561,0.0,0.25,5.942224,6.124015,2.1048322,-6.954077,12.708093,34.347504,0.6656455,0.9858156028368731,0.20215710604180315,362.7824,8.1130905,True,TAC-TECs vs Rest,TAC-TECs,Rest
Mki67,0.9958,0.0041999999999999815,5.468459538011395,0.02323594,0.0011147917,0.0,0.25,5.3682666,5.5113325,2.417588,-8.514592,13.906691,22.397161,0.5786958,0.9787234042553129,0.16674620597499065,240.38345,7.8934565,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cdk1,0.9958,0.0041999999999999815,5.468459538011395,0.009245189,0.0004247715,0.0,0.25,5.4340844,5.5398893,2.464984,-10.744795,14.355286,7.68795,0.23346278,0.9539007092198523,0.10566001718048931,81.87562,3.0780416,True,TAC-TECs vs Rest,TAC-TECs,Rest
Ube2c,0.9948,0.005199999999999982,5.253881173319069,0.0053021475,0.00024953732,0.0,0.25,5.76199,6.011219,2.7903216,-8.911689,14.604708,5.9609966,0.20902893,0.7801418439716278,0.05822277369475936,56.67438,2.5915482,True,TAC-TECs vs Rest,TAC-TECs,Rest
