,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Lrmp,0.9978,0.0021999999999999797,6.11709095964051,0.025678204,0.0004603129,0.0,0.25,6.375671,6.4595466,1.8057756,-3.0863237,13.722919,23.315725,0.26859334,0.9373454245671984,0.11795516446679472,303.91983,2.4615872,True,Tuft vs Rest,Tuft,Rest
Sh2d7,0.9978,0.0021999999999999797,6.11709095964051,0.007123377,0.00014407326,0.0,0.25,6.0618963,6.1815524,2.1434207,-3.659072,13.775816,4.41468,0.05960595,0.8037922506183091,0.03991200502828416,63.20053,0.5800252,True,Tuft vs Rest,Tuft,Rest
Trpm5,0.9978,0.0021999999999999797,6.11709095964051,0.012102449,0.00035943024,0.0,0.25,5.4331083,5.5276704,1.6829376,-2.847662,11.256332,8.495464,0.13429663,0.9431162407254837,0.07395767860884161,119.586555,1.2905382,True,Tuft vs Rest,Tuft,Rest
Pik3cg,0.9978,0.0021999999999999797,6.11709095964051,0.008091773,0.00017604504,0.0,0.25,6.017339,6.099758,1.9291759,-3.1114225,12.700781,4.622431,0.05468247,0.7081615828524377,0.03331238214959163,63.743835,0.49736992,True,Tuft vs Rest,Tuft,Rest
Rgs13,0.9976,0.0023999999999999577,6.029879500378016,0.021368813,0.00032388594,0.0,0.25,6.837853,6.926461,2.0576618,-3.8327274,13.40589,15.341284,0.1553526,0.9258037922506277,0.066939032055311,210.55293,1.4969574,True,Tuft vs Rest,Tuft,Rest
Mctp1,0.9974,0.0026000000000000467,5.949636611964186,0.02232992,0.0006589822,0.0,0.25,5.4819937,5.5909567,1.7451382,-5.2364454,12.008942,15.662813,0.24376613,0.9571310799670338,0.11229834485648646,222.1745,2.365051,True,Tuft vs Rest,Tuft,Rest
Plcb2,0.9974,0.0026000000000000467,5.949636611964186,0.010843802,0.00031072172,0.0,0.25,5.68924,5.7242846,1.8755157,-3.6439695,12.557682,7.8491397,0.11135524,0.9101401483924246,0.0568824638592078,109.024925,1.0050036,True,Tuft vs Rest,Tuft,Rest
Ly6g6f,0.9972,0.0028000000000000247,5.875328373074121,0.0083181495,0.00024807607,0.0,0.25,5.307886,5.3909936,1.7331661,-5.786865,11.287455,5.513613,0.08579482,0.8746908491343861,0.05300649486695981,77.07884,0.80218196,True,Tuft vs Rest,Tuft,Rest
Avil,0.9972,0.0028000000000000247,5.875328373074121,0.02807345,0.0008488283,0.0,0.25,5.3396997,5.4462166,1.6938949,-3.4891577,11.501013,19.636433,0.320971,0.967848309975278,0.1270689293945133,269.01288,2.7859588,True,Tuft vs Rest,Tuft,Rest
A630073D07Rik,0.9972,0.0028000000000000247,5.875328373074121,0.004874598,0.00010767783,0.0,0.25,6.0570197,6.141985,2.1315522,-5.9388885,13.201132,3.2118764,0.03928341,0.41137675185490585,0.018960821286402713,43.92026,0.3519899,True,Tuft vs Rest,Tuft,Rest
