,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Scn1a,0.9836,0.01639999999999997,4.093937375922709,0.001514712,0.00014916883,0.0,0.25,5.775689,5.904916,4.4044695,-14.415934,24.855007,1.035928,0.017335596,0.3772455089820356,0.006500847936687387,5.952517,0.0873099,True,cTECs vs Rest,cTECs,Rest
St8sia4,0.9786,0.021399999999999975,3.822731599756288,0.0006134728,5.859782e-05,0.0,0.25,4.813678,4.7149525,3.4934833,-8.784242,17.569069,0.40119767,0.013755425,0.14970059880239522,0.006123987186734496,1.8445972,0.059434142,True,cTECs vs Rest,cTECs,Rest
Cxcl12,0.9748,0.0252,3.65538794066687,0.004436788,0.00023060446,0.0,0.25,4.1993427,4.3030157,2.71248,-4.9599485,16.58149,11.479045,0.1422648,0.6706586826347314,0.06651592236668524,40.09413,0.67441624,True,cTECs vs Rest,cTECs,Rest
Rhoh,0.9738,0.0262,3.6154461615712816,0.0020828072,0.0002892667,0.0,0.25,3.3107224,3.716381,3.9756804,-12.455821,13.901805,1.5988027,0.12106639,0.2694610778443112,0.01752402487280949,8.17403,0.591046,True,cTECs vs Rest,cTECs,Rest
Sparcl1,0.9726,0.02739999999999998,3.569429529893944,0.0009218008,9.931225e-05,0.0,0.25,3.684003,3.714951,3.5494847,-8.177942,16.763489,2.520958,0.0778217,0.10778443113772458,0.017147164122856592,9.344957,0.2922765,True,cTECs vs Rest,cTECs,Rest
Ppp1r27,0.9712,0.028800000000000048,3.5181566962377104,0.00071626494,0.000117915784,0.0,0.25,3.9274328,3.6983657,3.1381242,-5.5425596,15.337531,0.9281437,0.15517235,0.12574850299401202,0.031750518183531376,2.3607419,0.6383196,True,cTECs vs Rest,cTECs,Rest
Cd8a,0.9706,0.02939999999999998,3.4969194327933892,0.0013324652,0.00010743171,0.0,0.25,3.6408215,3.5641794,2.7139223,-6.722785,15.912145,1.227545,0.022611642,0.19760479041916162,0.009798379498775186,5.3884263,0.09104479,True,cTECs vs Rest,cTECs,Rest
Ctsl,0.9692,0.03080000000000005,3.4489559846053557,0.033898953,0.0025769647,0.0,0.25,3.586528,3.695196,2.6251874,-5.6971517,10.082868,130.00601,4.7853365,0.9281437125748532,0.6162615413603877,370.6855,21.946592,True,cTECs vs Rest,cTECs,Rest
Prss16,0.9686,0.031399999999999983,3.429043528907814,0.010768805,0.00016192847,0.0,0.25,4.394777,4.093561,3.1160543,-6.099099,13.1053915,31.437122,0.2915025,0.5329341317365267,0.1797625777275353,91.532936,1.2880626,True,cTECs vs Rest,cTECs,Rest
Pltp,0.9686,0.031399999999999983,3.429043528907814,0.004568501,0.00033169318,0.0,0.25,3.8604348,4.0396614,2.828035,-6.672368,12.97937,11.640719,0.48897377,0.7065868263473065,0.18795929903901112,41.74543,2.4191048,True,cTECs vs Rest,cTECs,Rest
Ly75,0.9682,0.03180000000000005,3.4159720835825462,0.0031793583,0.00032231066,0.0,0.25,3.036753,3.0056658,2.0035696,-3.5137482,9.53072,8.526947,0.68739736,0.5988023952095811,0.3452986621443238,26.969175,3.1141975,True,cTECs vs Rest,cTECs,Rest
Synm,0.9676,0.032399999999999984,3.3966600576305104,0.0015889447,0.00019957828,0.0,0.25,3.0789747,3.1654263,2.182488,-4.792407,10.023051,4.269462,0.17345072,0.562874251497006,0.0960052760505006,13.621431,0.8656165,True,cTECs vs Rest,cTECs,Rest
Themis,0.9666,0.033399999999999985,3.3652285703727176,0.00063342415,7.0523936e-05,0.0,0.25,3.430954,3.3833513,3.4246888,-7.774785,18.44715,1.0538921,0.05464484,0.22754491017964062,0.02459016393442633,5.0447693,0.23460679,True,cTECs vs Rest,cTECs,Rest
C1ql3,0.9662,0.03380000000000005,3.3529097641232113,0.00025810322,5.5228084e-05,0.0,0.25,3.3840106,3.4036431,3.965938,-10.275824,18.517904,0.29341322,0.05794233,0.15568862275449102,0.009798379498775186,1.6917758,0.2424244,True,cTECs vs Rest,cTECs,Rest
