,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Upk3a,0.9888,0.011199999999999988,4.480577425658903,0.00213525,0.00011190048,0.0,0.25,4.8484178,4.823782,2.673646,-4.092184,14.327491,6.773478,0.13386494,0.27255985267034943,0.04271408134069086,17.579563,0.42456928,True,4 vs Rest,4,Rest
Muc5b,0.9868,0.01319999999999999,4.314249807621173,0.0018733469,6.404203e-05,0.0,0.25,5.0422845,5.114359,2.774426,-5.7019196,13.076688,5.1639037,0.061925173,0.14180478821362782,0.017984876353975082,12.434332,0.21279468,True,4 vs Rest,4,Rest
Agr2,0.9834,0.016599999999999948,4.0816126673746895,0.0012281258,3.9338825e-05,0.0,0.25,4.75252,4.784936,2.836202,-5.477515,14.670559,6.4751377,0.054976463,0.19705340699815807,0.019619865113427365,13.011521,0.16733885,True,4 vs Rest,4,Rest
Scgb3a2,0.9824,0.01759999999999995,4.0220990973462705,0.001233766,8.0286976e-05,0.0,0.25,4.9851127,5.0445967,3.2152812,-7.239887,16.201649,3.5211782,0.06274267,0.24309392265193328,0.017371755569180476,7.63624,0.1601374,True,4 vs Rest,4,Rest
Serpinb11,0.9818,0.018199999999999994,3.9879654882761786,0.0056199576,0.000535236,0.0,0.25,4.066717,4.091498,2.517705,-6.2668734,11.969463,13.990784,0.6041295,0.6721915285451182,0.11342734518700036,42.0519,1.8105911,True,4 vs Rest,4,Rest
Cyp2f2,0.9812,0.01880000000000004,3.9549189208252784,0.0048156506,0.00043182832,0.0,0.25,4.1943636,4.2730913,2.4466434,-5.2009606,12.160381,13.421724,0.6100566,0.62062615101289,0.10893112609850673,42.806843,1.9721934,True,4 vs Rest,4,Rest
Bpifa1,0.9802,0.01980000000000004,3.9020741999265773,0.014126114,0.0014527283,0.0,0.25,3.9356716,4.0717936,2.3079388,-6.0452394,10.1312065,75.34258,5.4655724,0.47882136279926235,0.28898426323318327,204.01282,16.472006,True,4 vs Rest,4,Rest
Spink5,0.9764,0.023599999999999954,3.722625213000223,0.022499958,0.003219948,0.0,0.25,4.1385474,4.3153963,2.6385646,-4.608008,11.888134,86.661156,12.721028,0.8729281767955781,0.4064990803188121,244.57346,33.612034,True,4 vs Rest,4,Rest
Krt6a,0.9762,0.023800000000000043,3.7139814928514396,0.0014660803,0.00020128863,0.0,0.25,4.825783,4.89078,3.638523,-7.224041,17.247807,3.6629837,0.33844292,0.3057090239410676,0.027590435315757243,11.905564,0.86300987,True,4 vs Rest,4,Rest
Gabrp,0.9744,0.025599999999999956,3.6392291651079196,0.0015414496,0.00020025265,0.0,0.25,3.0079036,2.9597936,1.7011518,-1.8087139,9.341085,4.5709004,0.2507663,0.6758747697974202,0.11281422440220577,12.823596,0.8116084,True,4 vs Rest,4,Rest
F3,0.974,0.026000000000000023,3.623314391272682,0.00088389026,0.00012873503,0.0,0.25,3.4339812,3.366787,2.2284102,-3.3108196,12.334735,2.1712725,0.1438791,0.43462246777163815,0.053341508277130696,6.8374214,0.41624743,True,4 vs Rest,4,Rest
Gsto1,0.974,0.026000000000000023,3.623314391272682,0.004034007,0.0002472094,0.0,0.25,3.7207599,3.7258773,2.6799452,-7.1356153,11.619513,17.04051,0.7369745,0.6629834254143632,0.1481708563253602,46.24044,2.0224435,True,4 vs Rest,4,Rest
Aqp5,0.9738,0.0262,3.6154461615712816,0.00070597354,7.91248e-05,0.0,0.25,3.8595774,3.9672647,2.958483,-8.282579,13.169306,1.8250468,0.07991008,0.3075506445672186,0.030451665644798738,5.2073784,0.25889602,True,4 vs Rest,4,Rest
Bpifb1,0.972,0.028000000000000025,3.5471509474305067,0.0008739324,0.00012664124,0.0,0.25,3.4024944,3.4771986,2.6296718,-7.196106,12.809046,2.046041,0.1500103,0.12523020257826875,0.04210096055589625,4.9576187,0.571789,True,4 vs Rest,4,Rest
Ugt2b34,0.9718,0.028200000000000003,3.539827699708052,0.0017309476,0.00026503223,0.0,0.25,3.733218,3.7290015,2.7770436,-5.2610254,12.879419,3.537754,0.34334812,0.2688766114180474,0.06580829756795424,9.7203245,0.9923669,True,4 vs Rest,4,Rest
Cxcl5,0.9716,0.02839999999999998,3.532554710140545,0.0016623802,0.00020485888,0.0,0.25,3.6148586,3.5103345,2.5081053,-4.7224255,13.017601,4.7734814,0.24565697,0.27624309392265145,0.034539137543429445,13.346128,0.728387,True,4 vs Rest,4,Rest
Iapp,0.969,0.031000000000000028,3.4422770951449433,0.00308438,0.0005982362,0.0,0.25,3.4074156,3.4720922,2.4026928,-5.2547307,10.176473,11.88029,2.081947,0.24493554327808428,0.12466789290823442,28.569967,5.8910065,True,4 vs Rest,4,Rest
Aqp4,0.9686,0.031399999999999983,3.429043528907814,0.0018255339,0.00024074082,0.0,0.25,3.29032,3.2622604,2.3551433,-5.6276426,12.124188,3.5801105,0.14571846,0.3351749539594837,0.04230533415082779,10.49179,0.44966528,True,4 vs Rest,4,Rest
Spink1,0.9686,0.031399999999999983,3.429043528907814,0.011596763,0.0014368562,0.0,0.25,3.3825593,3.513725,2.5337253,-5.7371244,10.59833,91.59668,9.036616,0.5856353591160208,0.36439811976291725,194.72502,20.6159,True,4 vs Rest,4,Rest
Reg3g,0.9678,0.032200000000000006,3.4030587015826104,0.037779696,0.0057338434,0.0,0.25,3.2095098,3.3746564,2.484004,-6.1111193,11.035051,220.33157,29.185024,0.8729281767955781,0.7085632536276111,499.2575,72.72926,True,4 vs Rest,4,Rest
Kcnj16,0.9674,0.03259999999999996,3.390299475604788,0.00084177655,0.00012259201,0.0,0.25,3.5675755,3.3728142,3.3193595,-11.541926,19.033478,2.2946599,0.052523952,0.4217311233885811,0.02779480891068878,6.080892,0.21719207,True,4 vs Rest,4,Rest
Gsta4,0.9668,0.03320000000000001,3.371441482045512,0.0040527773,0.0008784017,0.0,0.25,3.0648587,3.2232897,2.270866,-5.719077,10.982388,15.20625,2.654596,0.8784530386740311,0.2949110974861976,44.431477,7.4654922,True,4 vs Rest,4,Rest
Wfdc2,0.9668,0.03320000000000001,3.371441482045512,0.018381698,0.0019974897,0.0,0.25,3.019555,2.9840202,2.0047479,-3.943098,10.132954,75.7422,4.1524262,0.9134438305709003,0.6063764561618469,201.8409,17.151773,True,4 vs Rest,4,Rest
Tff1,0.9662,0.03380000000000005,3.3529097641232113,0.0018251736,0.0001562063,0.0,0.25,3.3275173,3.3219972,2.5865438,-7.1202574,12.386759,17.10313,0.40343428,0.2836095764272555,0.07459636215000996,43.753983,1.3074998,True,4 vs Rest,4,Rest
Hp,0.965,0.03500000000000003,3.316779764498021,0.00091759843,0.00018321203,0.0,0.25,3.2331579,3.353633,2.797848,-9.812205,12.085587,2.7108655,0.46168047,0.24125230202578227,0.05763335377069294,7.5600343,1.2705927,True,4 vs Rest,4,Rest
Slc12a2,0.9632,0.036800000000000055,3.264762968022636,0.0021185966,0.0002817919,0.0,0.25,2.9124892,2.9657176,2.1987662,-4.8638716,10.607073,6.7053347,0.51114225,0.637200736648249,0.25444512568975497,20.399084,2.3192022,True,4 vs Rest,4,Rest
Clca1,0.9628,0.03720000000000001,3.2535366861990203,0.0015767628,0.0003075523,0.0,0.25,3.044194,3.0732312,2.5341263,-5.5499353,12.859972,6.618781,1.036379,0.3075506445672186,0.08093194359288734,15.118424,3.3076758,True,4 vs Rest,4,Rest
Gc,0.9622,0.037799999999999945,3.236912972482433,0.0010324672,0.00031478974,0.0,0.25,3.1356187,3.1448312,2.7629073,-5.64369,13.217795,1.6979747,0.8338448,0.16574585635359093,0.06560392397302271,4.8911567,2.1957924,True,4 vs Rest,4,Rest
St8sia6,0.9622,0.037799999999999945,3.236912972482433,0.001376328,0.00020007284,0.0,0.25,2.809237,2.8020558,1.8920382,-3.9760933,10.063836,2.8287313,0.17637454,0.4917127071823194,0.07950132842836664,8.414094,0.55008465,True,4 vs Rest,4,Rest
Gm94,0.9622,0.037799999999999945,3.236912972482433,0.0019573453,0.0006100156,0.0,0.25,2.4516425,2.8672962,3.2945206,-10.667898,14.260498,8.174949,1.937254,0.4254143646408831,0.11404046597179494,22.399578,4.5036836,True,4 vs Rest,4,Rest
Ltf,0.961,0.039000000000000035,3.204412516836249,0.0043117027,0.0002565672,0.0,0.25,3.3800604,3.224379,3.0205855,-6.987793,14.46541,23.305733,0.54036474,0.41436464088397706,0.08685877784590167,72.33646,1.5765392,True,4 vs Rest,4,Rest
Gm2a,0.96,0.040000000000000036,3.1780535907646423,0.0019168698,0.00032395366,0.0,0.25,2.8422916,2.9433312,2.3992758,-6.733726,11.700653,4.453038,0.6570637,0.4217311233885811,0.1518495810341277,14.29626,2.0406475,True,4 vs Rest,4,Rest
Sftpd,0.9594,0.04059999999999997,3.16253978657807,0.0023495017,0.0005361079,0.0,0.25,2.9211564,2.874857,2.1583543,-4.971848,10.46171,8.401465,1.2867364,0.5782688766114168,0.1344778254649478,23.485235,3.7348645,True,4 vs Rest,4,Rest
Gp2,0.959,0.041000000000000036,3.152318774704249,0.0030080574,0.0014753081,0.0,0.25,2.468522,2.75429,3.085009,-8.508789,10.999769,13.211775,5.78256,0.3775322283609569,0.22685469037399864,34.286537,18.414038,True,4 vs Rest,4,Rest
Pigr,0.959,0.041000000000000036,3.152318774704249,0.0058096256,0.0016459012,0.0,0.25,2.7344646,2.9028919,2.5226395,-7.135194,10.579943,19.082869,4.062929,0.7292817679557995,0.3345595749029141,57.801327,15.995697,True,4 vs Rest,4,Rest
Pdzk1ip1,0.9564,0.04359999999999997,3.088118866327286,0.0014710265,0.00040244794,0.0,0.25,2.3716042,2.4531684,2.0733852,-5.980586,9.571727,4.8029423,1.0202366,0.7348066298342525,0.22072348252605278,14.115788,2.9424086,True,4 vs Rest,4,Rest
Cxcl17,0.9564,0.04359999999999997,3.088118866327286,0.0015752487,0.00026394616,0.0,0.25,2.6794612,2.67375,2.2670443,-8.017013,9.873302,3.364642,0.12548545,0.45856353591160126,0.034947884733292515,10.816073,0.40076476,True,4 vs Rest,4,Rest
Saa1,0.9562,0.04379999999999995,3.0833330609571905,0.0071546608,0.0016794476,0.0,0.25,2.605386,2.6861866,2.4515631,-7.8313265,9.998636,33.99449,7.9540563,0.5193370165745845,0.33864704680154467,78.13214,19.733355,True,4 vs Rest,4,Rest
Muc16,0.956,0.04400000000000004,3.078568062320689,0.00039366254,8.418323e-05,0.0,0.25,2.6043162,2.632753,3.1660068,-9.198251,14.777117,0.79558027,0.014306148,0.10681399631675867,0.007357449417535249,2.7344065,0.045051206,True,4 vs Rest,4,Rest
Aldh3a1,0.956,0.04400000000000004,3.078568062320689,0.0006382518,0.00013069937,0.0,0.25,2.502243,2.5531454,2.1552784,-5.0319195,9.693393,1.4346235,0.080523245,0.3075506445672186,0.03351726956877177,4.2383876,0.2946971,True,4 vs Rest,4,Rest
Ly6g6c,0.9556,0.044399999999999995,3.0690997312529054,0.0013910903,0.00050957,0.0,0.25,2.425734,2.5856304,3.0301802,-9.194437,12.194944,3.8287287,1.3002224,0.41068139963167505,0.1301859799713857,10.691157,3.0865102,True,4 vs Rest,4,Rest
AU040972,0.9556,0.044399999999999995,3.0690997312529054,0.00042470137,0.0002074615,0.0,0.25,2.597254,2.6039567,3.2788687,-10.861959,12.948931,0.5046043,0.17351325,0.14548802946592984,0.03821786225219708,1.5764273,0.6026159,True,4 vs Rest,4,Rest
Pdk4,0.9546,0.045399999999999996,3.0457800897357927,0.00025209505,7.691186e-05,0.0,0.25,2.8623052,2.9068012,2.5261605,-5.0917797,10.631458,0.31491724,0.11424497,0.1123388581952117,0.043531575720417,0.90232027,0.3445033,True,4 vs Rest,4,Rest
