,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Avil,0.9786,0.021399999999999975,3.822731599756288,0.003694232,0.0058514825,0.0,0.25,1.8464633,2.4733567,3.129843,-6.991956,10.725452,0.6133335,3.9351285,0.1599999999999995,0.291364127915968,29.492498,68.46443,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Lrmp,0.975,0.025000000000000022,3.663561256386136,0.003826384,0.007680476,0.0,0.25,1.7989371,2.5103197,3.5004869,-8.786615,11.620676,0.6622226,4.6014447,0.17111111111111055,0.2816313919357418,36.797157,74.66431,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Trpm5,0.974,0.026000000000000023,3.623314391272682,0.0023080446,0.003759377,0.0,0.25,1.7494135,2.3985348,3.1813393,-7.954385,10.580043,0.36666653,1.7182249,0.11407407407407386,0.24702610845049322,17.573444,31.735449,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Mctp1,0.9732,0.026800000000000046,3.592187360533676,0.00292586,0.005485755,0.0,0.25,1.5205181,2.1612754,3.194344,-8.810497,10.263687,0.499259,3.1081564,0.14074074074074036,0.27236211957362166,24.202257,54.236202,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Rgs13,0.973,0.027000000000000024,3.5845468560888656,0.0023314103,0.004503817,0.0,0.25,1.906766,2.5653234,3.6466236,-8.40749,12.753834,0.42222208,3.0412621,0.10296296296296281,0.24300942376024115,18.07325,52.691025,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Gnat3,0.9676,0.032399999999999984,3.3966600576305104,0.0020906627,0.0037143936,0.0,0.25,1.8364059,2.3828607,3.1396027,-8.371712,9.824123,0.3303703,2.8612797,0.10814814814814797,0.17966939595242004,22.294697,39.758495,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Dclk1,0.961,0.039000000000000035,3.204412516836249,0.0029319709,0.0052665113,0.0,0.25,1.5020176,2.0103514,2.8163853,-7.346735,8.9214115,0.5511112,3.1052213,0.1540740740740736,0.28224934342654984,25.728613,55.675266,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Gnb3,0.9596,0.04039999999999999,3.167686508894722,0.0014924745,0.0024986146,0.0,0.25,1.6278595,2.0204282,3.1253808,-8.213835,11.404033,0.29111093,1.6541106,0.10592592592592576,0.2170554611463047,19.720772,25.11265,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Plk2,0.9568,0.043200000000000016,3.0977536669163523,0.0032455854,0.0043898923,0.0,0.25,1.2168058,1.6257114,2.560389,-6.7918234,8.833084,0.40592566,2.5308475,0.14518518518518478,0.38591070600959365,19.81814,42.840492,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Bmx,0.9556,0.044399999999999995,3.0690997312529054,0.0025931052,0.004400401,0.0,0.25,1.2830087,1.5788636,3.1207867,-6.801083,10.88047,0.39185163,2.4316552,0.10740740740740723,0.2688088985014756,18.133095,42.234562,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Il12a,0.9512,0.048799999999999955,2.969993838112496,0.0018768486,0.0026836747,0.0,0.25,1.1109631,1.0796504,3.0358896,-7.5988092,10.773017,0.35629612,1.6935112,0.1355555555555552,0.28178587980844383,19.628262,25.254091,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Aldh2,0.95,0.050000000000000044,2.9444387896927755,0.0024252858,0.0040186406,0.0,0.25,0.84602636,1.2972407,2.2969723,-6.1124454,7.7866697,0.50888866,2.8076901,0.16148148148148098,0.4157268654410802,24.86561,44.024685,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Gng13,0.9492,0.050799999999999956,2.9277229836619862,0.003773246,0.0066133346,0.0,0.25,0.9838384,1.3134756,2.816622,-7.2638035,9.276101,0.855556,5.2164793,0.23703703703703607,0.41325505947784813,50.58406,78.60313,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Aire,0.9486,0.0514,2.9153488569717028,0.0063062613,0.003761816,0.0,0.25,2.2216148,2.3185945,2.8626976,-8.288742,15.004305,1.108151,2.1911254,0.2799999999999999,0.4124826201143381,59.31268,33.87439,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Igkc,0.9486,0.0514,2.9153488569717028,0.0036204488,0.00090886996,0.0,0.25,2.4681067,2.3966541,2.4745862,-6.4964166,11.997666,0.81629705,0.43658608,0.17703703703703644,0.1432102579947474,74.31734,5.884026,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Krt5,0.9472,0.05279999999999996,2.886998894581037,0.0045109047,0.0034989284,0.0,0.25,1.6392468,1.8103905,2.5243382,-6.971207,9.686501,0.9281499,4.2629642,0.22592592592592503,0.348215665070305,46.670235,38.460236,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Krtdap,0.9452,0.05479999999999996,2.8477061794568197,0.0020999832,0.0028839528,0.0,0.25,1.4230303,1.6369853,2.3318207,-7.110519,8.783722,0.31703678,7.470126,0.15925925925925877,0.2294144909624649,34.20846,35.539112,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Lgals7,0.945,0.05500000000000005,2.843851571025116,0.0013898145,0.0014206327,0.0,0.25,1.5142789,1.6670814,2.6061351,-8.422841,10.0788145,0.5037036,3.3181021,0.11111111111111091,0.17009114784489587,22.454296,23.394716,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Tbata,0.945,0.05500000000000005,2.843851571025116,0.008039679,0.0058430135,0.0,0.25,1.819917,1.9490666,2.5726135,-6.1445923,11.209896,2.100747,5.3649545,0.39037037037037375,0.5254132550595021,111.92191,69.22733,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Nos2,0.941,0.05900000000000005,2.7694055368151407,0.0032307464,0.0044856286,0.0,0.25,0.7925346,0.54439974,2.708205,-6.7637153,9.365501,0.5592588,3.783612,0.1844444444444438,0.4755136721767552,28.813759,46.03124,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Cxcl9,0.9398,0.06020000000000003,2.747994578881558,0.004609779,0.0017841656,0.0,0.25,2.1197314,2.0679278,2.0379953,-4.901407,9.731113,1.5881519,2.3544142,0.2592592592592585,0.2978526185694521,62.7192,22.212109,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Plac8,0.9394,0.06059999999999999,2.740946326146231,0.0018309695,0.0024025072,0.0,0.25,0.8052656,0.98328876,2.437156,-6.6725945,8.041614,0.40518516,2.275006,0.12148148148148122,0.29445388537000805,20.164967,27.815292,True,Late Aire 2 vs Rest,Late Aire 2,Rest
S100a8,0.9392,0.060799999999999965,2.7374385062754003,0.003372656,0.0013426613,0.0,0.25,1.9519752,1.9981585,1.85541,-5.5359235,8.320261,0.7370374,2.1986854,0.22592592592592503,0.25490498995829536,52.501953,15.074214,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Ttn,0.9384,0.06159999999999999,2.723514275118579,0.0050072,0.0017273761,0.0,0.25,2.1146438,1.9599342,1.9569579,-3.1007066,13.461647,0.67703754,0.8898594,0.17777777777777717,0.22632473350842486,53.946976,14.384119,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Smtnl1,0.938,0.062000000000000055,2.7166154133318035,0.0015465965,0.0023916927,0.0,0.25,0.9165629,0.76590395,2.7597528,-7.4212284,10.929739,0.26740733,2.4817183,0.11481481481481459,0.32844121736444865,16.979994,29.341457,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Ascl1,0.9372,0.06279999999999997,2.702941484593913,0.00462353,0.003210538,0.0,0.25,1.6863881,1.7325258,2.3604877,-5.9019465,11.348579,0.6948157,2.1792245,0.21037037037036957,0.3157732118028844,42.434517,30.886526,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Ccl5,0.9368,0.06320000000000003,2.6961653635774967,0.0043203463,0.0029921918,0.0,0.25,1.5296127,1.5458026,2.346681,-6.2566833,10.213846,2.0385215,4.1111016,0.18962962962962895,0.30480457284104223,49.124634,41.648342,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Stmn1,0.9364,0.06359999999999999,2.689429118717184,0.0020712449,0.00069616514,0.0,0.25,1.8204248,1.747129,1.5660828,-5.5774183,8.114988,0.28370363,0.43767104,0.13999999999999962,0.2406921056697111,24.229042,5.4856567,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Ptpn18,0.9362,0.06379999999999997,2.6860757924569056,0.0029484008,0.00541297,0.0,0.25,0.68170714,1.1038682,2.4382138,-7.148332,8.630375,0.464444,2.8803062,0.18296296296296233,0.48231113857564334,26.029114,50.84414,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Gm21541,0.9362,0.06379999999999997,2.6860757924569056,0.0022119358,0.0010713481,0.0,0.25,1.9162433,1.8913217,2.1904168,-5.3203306,10.160121,0.35851836,0.6894838,0.11259259259259238,0.13981152479530334,20.446018,7.7195244,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Vmo1,0.9362,0.06379999999999997,2.6860757924569056,0.0027557858,0.0018861012,0.0,0.25,1.7398025,1.77987,2.4264448,-7.5291476,10.16372,0.58074075,1.4657952,0.1903703703703697,0.2810134404449338,28.430073,16.979975,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Igfbp5,0.9362,0.06379999999999997,2.6860757924569056,0.003919501,0.0061378027,0.0,0.25,0.5504257,0.6389375,2.5771744,-7.2559404,9.092558,0.74740815,4.67514,0.16666666666666613,0.31206550285803636,31.08326,62.9086,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Rgs2,0.936,0.06399999999999995,2.682732247551694,0.002569862,0.0033426834,0.0,0.25,0.8832901,1.1200538,2.3327858,-6.510072,8.614298,0.54148114,3.0337045,0.15037037037036993,0.36953499150318136,25.068043,42.3089,True,Late Aire 2 vs Rest,Late Aire 2,Rest
S100a9,0.9356,0.06440000000000001,2.676074257008553,0.0019737699,0.0009898604,0.0,0.25,1.7582625,1.8238363,1.93504,-6.287231,7.9360905,0.37111104,1.3805097,0.12370370370370343,0.14568206395797945,28.125164,8.095416,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Ccl20,0.9352,0.06479999999999997,2.669454663171554,0.0023007244,0.003844076,0.0,0.25,1.0165988,1.2387457,2.4839356,-8.584886,10.276571,0.4355552,9.722883,0.1540740740740736,0.28255831917195384,30.836473,51.95181,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Fyb,0.9334,0.06659999999999999,2.6401291165327536,0.003520732,0.005589076,0.0,0.25,0.63897747,0.9552865,2.375017,-6.157798,7.666288,0.5829629,3.6184494,0.16074074074074024,0.4469334157268847,25.896235,60.993835,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Fgf21,0.9332,0.06679999999999997,2.636916320619904,0.0033484024,0.0017222126,0.0,0.25,1.7947812,1.8162098,2.2481656,-5.420323,11.302448,0.68074113,1.3684669,0.17925925925925865,0.2856480766259939,30.692366,15.418874,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Gm14275,0.9326,0.06740000000000002,2.627331228810728,0.002199309,0.0013260227,0.0,0.25,1.777202,1.6596792,2.495551,-6.217698,12.259537,0.3881479,0.7744543,0.1251851851851849,0.18553993511509614,19.605719,10.603423,True,Late Aire 2 vs Rest,Late Aire 2,Rest
Tbc1d4,0.9324,0.0676,2.6241537869087113,0.0026254545,0.0013071728,0.0,0.25,1.6500707,1.6364179,1.9414203,-4.252245,10.075052,0.4488885,0.9630919,0.19555555555555484,0.3327668778001047,36.01685,12.237891,True,Late Aire 2 vs Rest,Late Aire 2,Rest
