,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Il13,0.962,0.038000000000000034,3.23142803817647,0.0022179969,0.00041189417,0.0,0.25,3.047758,3.072761,2.7133005,-6.94273,13.664486,2.699113,0.16935979,0.4903774981495137,0.07926249762402571,21.339245,3.2129955,True,Late Aire vs Rest,Late Aire,Rest
Fcer2a,0.9606,0.03939999999999999,3.1937920295299222,0.00094792043,0.00022706416,0.0,0.25,3.1138659,3.0917907,3.3353422,-6.8873215,15.978584,1.218359,0.10891479,0.2538860103626984,0.04542862573655206,8.936856,1.5584702,True,Late Aire vs Rest,Late Aire,Rest
Il12a,0.9602,0.03979999999999995,3.1832744429646964,0.0032588074,0.0007057157,0.0,0.25,3.0017095,2.9547303,2.4709995,-5.886419,14.579813,3.7612813,0.3269348,0.534418948926714,0.10853449914464844,31.02158,4.959331,True,Late Aire vs Rest,Late Aire,Rest
Cd52,0.9594,0.04059999999999997,3.16253978657807,0.019163609,0.0050191316,0.0,0.25,2.7256083,2.53635,2.0065253,-3.4634748,11.319372,33.029064,6.791657,0.9537379718726635,0.5595894316669754,239.26706,63.934124,True,Late Aire vs Rest,Late Aire,Rest
Pvalb,0.9546,0.045399999999999996,3.0457800897357927,0.0006838827,0.00017134793,0.0,0.25,2.3394296,2.352233,2.5770812,-8.08713,12.595344,0.7268672,0.10036124,0.17949666913397658,0.04656909332826468,5.9442153,1.4408293,True,Late Aire vs Rest,Late Aire,Rest
Ifi205,0.954,0.04600000000000004,3.03202206805009,0.0012278765,0.00033118567,0.0,0.25,2.4936972,2.3744621,2.181143,-4.591075,10.290262,1.15803,0.21497855,0.3615840118430791,0.08534499144649277,9.047172,1.8292093,True,Late Aire vs Rest,Late Aire,Rest
Tm4sf20,0.953,0.04700000000000004,3.0094670996713875,0.00047938427,0.0002083056,0.0,0.25,1.4686999,1.3673754,3.8605971,-13.995969,16.672878,0.763508,0.28587735,0.10399703923019969,0.03915605398213268,4.7906237,1.3419394,True,Late Aire vs Rest,Late Aire,Rest
Myh4,0.9524,0.047599999999999976,2.996152153791112,0.0010501603,0.00033353784,0.0,0.25,2.603636,2.5566635,3.4995031,-9.361124,14.803213,1.0566231,0.13571586,0.2516654330125875,0.053601976810492474,10.928307,2.7973034,True,Late Aire vs Rest,Late Aire,Rest
Ccr7,0.9518,0.04820000000000002,2.982995710668006,0.0012098073,0.0006699352,0.0,0.25,2.3072278,2.3588076,2.7569103,-8.381706,14.930935,1.1772767,0.5282273,0.26350851221317917,0.08363429005892391,9.261911,5.17988,True,Late Aire vs Rest,Late Aire,Rest
Ly6i,0.9506,0.0494,2.9571427480765746,0.0017154905,0.0004490612,0.0,0.25,2.529707,2.4777179,2.0885286,-6.440196,10.265834,2.0692132,0.61319274,0.34752035529237646,0.1256415130203371,14.830396,3.6219666,True,Late Aire vs Rest,Late Aire,Rest
