,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Spink5,0.9768,0.0232,3.740129223327351,0.024165073,0.002672593,0.0,0.25,3.5666559,3.5957203,2.1738384,-4.17157,13.476166,60.294304,2.1653485,0.833235810415467,0.2778868171409944,353.77386,29.7092,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Krt6a,0.973,0.027000000000000024,3.5845468560888656,0.0018567119,0.00015516409,0.0,0.25,4.0443535,4.0234537,3.5154011,-8.769724,15.8479805,2.1995285,0.019136403,0.17437097717963815,0.00948642459928034,12.749169,0.56057537,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Krt6b,0.972,0.028000000000000025,3.5471509474305067,0.0013837987,0.00013044044,0.0,0.25,3.8840349,3.8354974,3.2422223,-7.9880266,14.949047,1.9169084,0.015374545,0.1000585137507313,0.00850507033038927,8.141191,0.33370486,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Gm94,0.97,0.030000000000000027,3.476098366811273,0.0040383697,0.00044556064,0.0,0.25,3.1428833,3.1795378,2.5349855,-7.6523275,11.305697,7.9549303,0.1285578,0.3744880046810995,0.0500490677134449,39.600918,2.7795308,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Ugt2b34,0.9652,0.03480000000000005,3.322717669974713,0.0016144577,0.00025471038,0.0,0.25,3.1192665,3.1200552,2.995179,-9.587713,13.609518,1.6301908,0.16633973,0.15564657694558273,0.044488060189728784,8.921577,1.654303,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Gsta4,0.9622,0.037799999999999945,3.236912972482433,0.0065546753,0.0011903488,0.0,0.25,2.5975542,2.6419919,2.0127382,-6.3499894,8.595528,10.722645,0.7315968,0.7425394967817568,0.17533529604187223,61.707203,10.297891,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Serpinb11,0.961,0.039000000000000035,3.204412516836249,0.004361102,0.00053706515,0.0,0.25,3.2086785,3.135723,2.7514625,-8.896241,13.287454,5.870669,0.19201845,0.4464599180807466,0.05184821720641188,32.962494,2.6723695,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Dsc1,0.9584,0.04159999999999997,3.1371648301434383,0.00064736593,0.00011383524,0.0,0.25,3.157564,3.1343355,3.2480552,-8.888798,13.648768,0.44060892,0.0088321855,0.1035693387946166,0.005724566568531239,2.6734269,0.17972116,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Hp,0.9582,0.04179999999999995,3.132159956120126,0.0013973963,0.00030002705,0.0,0.25,2.597251,2.6580577,3.2213197,-10.591399,13.239042,1.8929168,0.15930657,0.17846693973083777,0.02993130520117777,11.217435,1.9746857,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
Cyp2f2,0.9582,0.04179999999999995,3.132159956120126,0.0042493027,0.0006566223,0.0,0.25,2.7175229,2.7467265,2.6523466,-6.575879,11.026897,5.847261,0.23912348,0.39906377998829606,0.06117108276087714,39.043365,3.403527,True,Post Aire 1 (Tspan8) vs Rest,Post Aire 1 (Tspan8),Rest
