,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ccdc39,1.0,0.0,18.420680753952368,0.013296194,0.00015317599,0.0,0.25,7.3128915,7.2826533,2.3011932,-0.5681486,16.965006,11.315217,0.023024205,0.9347826086956538,0.017850213426464884,123.29871,0.7817443,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
1700016K19Rik,0.9998,0.00019999999999997797,8.516943182665639,0.014034468,0.00031610855,0.0,0.25,5.937248,5.834396,1.8127955,-0.10957146,12.76503,14.217395,0.052903946,1.0000000000000018,0.03582977622558519,148.39268,1.1378113,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Dynlrb2,0.9998,0.00019999999999997797,8.516943182665639,0.014387002,8.9075205e-05,0.0,0.25,8.4720955,8.481771,2.5099537,-0.54574776,17.323952,13.0,0.01966112,0.9239130434782624,0.016427370327253915,124.587975,0.5103371,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Meig1,0.9998,0.00019999999999997797,8.516943182665639,0.008437875,0.00015562764,0.0,0.25,6.1631217,6.0563164,2.0680468,0.12486267,14.427915,8.347827,0.023024207,0.880434782608697,0.018496960289742598,80.26434,0.42331398,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Foxj1,0.9996,0.00039999999999995595,7.823620941151559,0.01020038,0.0007862425,0.0,0.25,4.073871,3.9387984,1.4831874,-0.43991375,11.3510895,14.250001,0.4293038,0.9565217391304365,0.20657094813090465,146.6053,6.9108796,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Rsph1,0.9994,0.0006000000000000449,7.417964066154244,0.010303365,0.00026936352,0.0,0.25,5.6603217,5.577205,1.9448986,-0.4440465,13.450323,11.5,0.109429695,0.9456521739130451,0.08123140602768045,114.645004,1.9664717,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Ccdc153,0.9994,0.0006000000000000449,7.417964066154244,0.011116561,0.00011374395,0.0,0.25,8.122901,8.075866,2.991239,-1.6171999,19.604153,13.315223,0.0102186045,0.8260869565217402,0.008407709222610272,124.108925,0.4299986,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
1110017D15Rik,0.9988,0.0011999999999999789,6.724224678325084,0.008447869,0.00020187431,0.0,0.25,5.786055,5.777705,1.936525,-0.7524967,13.578943,6.804347,0.031173225,0.847826086956523,0.021730694606131164,65.044365,0.6586738,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Lrrc23,0.9986,0.0013999999999999568,6.569874928627714,0.013386614,0.00024189084,0.0,0.25,5.6674185,5.607825,2.2723768,-1.3832874,13.202362,15.402175,0.058465976,0.9021739130434797,0.04216789548570661,171.45753,1.3984201,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Tmem212,0.9978,0.0021999999999999797,6.11709095964051,0.008252105,9.1045884e-05,0.0,0.25,7.9950733,8.083279,3.084857,-3.5209756,18.876446,9.880434,0.009442508,0.7391304347826094,0.006984866123399303,87.861244,0.2118644,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Dnah6,0.9974,0.0026000000000000467,5.949636611964186,0.0057492205,0.00022971732,0.0,0.25,5.5645537,5.369473,2.3131864,-1.2726936,15.41039,7.29348,0.041133136,0.9021739130434797,0.030914500064674694,72.21363,0.9613089,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
1700028P14Rik,0.9964,0.0036000000000000476,5.623212170188158,0.00076295354,1.964518e-05,0.0,0.25,7.2051196,7.056836,3.5198746,-4.725628,21.943422,0.58695644,0.0055620237,0.32608695652173897,0.0028456861984219382,4.848834,0.06924406,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Gm867,0.9958,0.0041999999999999815,5.468459538011395,0.004295378,3.8619353e-05,0.0,0.25,7.8133163,7.918914,3.5501153,-4.3372135,21.552195,4.641305,0.0046565775,0.7282608695652181,0.004009830552321822,45.72855,0.16397013,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Fam183b,0.9958,0.0041999999999999815,5.468459538011395,0.013175986,0.00057037675,0.0,0.25,5.6669226,5.5672207,2.330082,-2.9555783,14.139807,14.695653,0.15289071,0.9565217391304365,0.05173974906221651,135.27696,2.7870479,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
4933434E20Rik,0.9954,0.0046000000000000485,5.377086199064927,0.010234118,0.0010076727,0.0,0.25,3.5375743,3.5069313,1.3853564,-1.2330813,9.6096945,12.554349,0.48362523,0.9565217391304365,0.2940111240460444,120.33226,8.110512,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Gm19935,0.9952,0.0048000000000000265,5.334325730788133,0.004828182,6.591445e-05,0.0,0.25,7.401871,7.4847546,3.073056,-5.0711284,16.73051,5.1304345,0.006338121,0.6521739130434786,0.005044625533566163,50.29118,0.14816098,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
BC051019,0.9942,0.005800000000000027,5.144078762030087,0.004571859,0.00016601905,0.0,0.25,6.5472045,6.4709096,3.0167694,-5.1350384,18.365301,4.8695655,0.007243566,0.7826086956521748,0.004785926788255078,44.805202,0.24153976,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Tm4sf1,0.9938,0.006199999999999983,5.076985084277639,0.007114298,0.00028328216,0.0,0.25,5.460528,5.364667,2.5668,-3.1657825,16.368303,8.152173,0.097141445,0.7934782608695662,0.029491656965463724,74.26451,1.5102454,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Agr3,0.9904,0.009600000000000053,4.636344771887343,0.0028430328,0.00018988477,0.0,0.25,5.0344405,4.810471,2.773054,-4.8337636,16.339664,2.0543485,0.023282893,0.510869565217391,0.010089251067132326,17.462828,0.26425615,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Pltp,0.9902,0.009800000000000031,4.6155235469421205,0.005530199,0.00040544453,0.0,0.25,4.285669,4.2451553,2.0233922,-3.1474342,12.485549,6.5978255,0.11253407,0.8152173913043489,0.062475746992626265,58.693382,2.699588,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Tppp3,0.99,0.010000000000000009,4.5951188602360995,0.012874692,0.001005963,0.0,0.25,3.843892,3.7612965,1.769497,-1.7285657,11.433409,18.836954,0.55153763,0.9565217391304365,0.2162721510800706,180.55907,8.671259,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
Sfta2,0.9898,0.010199999999999987,4.575114211938937,0.0032450622,5.071669e-05,0.0,0.25,7.605788,7.4668527,4.177211,-4.0874205,24.48188,4.3369565,0.011641445,0.38043478260869545,0.005820721769499419,31.515848,0.1307745,True,Post Aire 2 (Foxj1) vs Rest,Post Aire 2 (Foxj1),Rest
