,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ccl9,0.996,0.0040000000000000036,5.517450406507993,0.011210533,0.00086929224,0.0,0.25,4.464964,4.3513784,1.8627988,-1.1868982,11.860647,21.340435,0.64026225,0.9494680851063778,0.15093326171612753,121.674706,6.4728827,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Serpinb6a,0.9944,0.005600000000000049,5.179371166799013,0.046108816,0.0035616967,0.0,0.25,3.7805786,3.7481906,1.5462027,-1.5998058,10.494639,117.54522,2.570528,0.9760638297872285,0.6211897408352688,574.4039,38.566116,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Ccl6,0.9936,0.006399999999999961,5.0450351683792265,0.017651524,0.00083382434,0.0,0.25,5.168795,5.142723,2.058777,-2.4135928,16.878912,35.06649,0.41896263,0.8351063829787199,0.07640660668725664,156.85995,3.767,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Ccl20,0.9926,0.007399999999999962,4.8988464216673355,0.041961104,0.001853688,0.0,0.25,5.3340745,5.3836613,2.1685143,-2.8229218,11.599017,121.73939,2.3834903,0.9468085106382927,0.22572848126763,577.1748,21.605404,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Serpinb1a,0.983,0.017000000000000015,4.057395198028768,0.04463595,0.008303057,0.0,0.25,2.9895482,2.7600336,1.7142591,-1.7103443,9.384748,99.59049,8.286856,0.9893617021276538,0.6374378944541769,550.0672,93.737946,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Fabp1,0.9822,0.017800000000000038,4.010595944690734,0.007955932,0.00058042514,0.0,0.25,4.684331,4.665782,2.9655235,-7.6269007,14.5368595,16.220745,0.58117557,0.6303191489361696,0.06875251779239991,76.233536,5.8378825,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
1110046J04Rik,0.9814,0.01859999999999995,3.965818015491911,0.0014688206,0.00019651264,0.0,0.25,3.1596363,3.147181,1.6539364,-3.7828398,9.086428,2.67819,0.051832836,0.5664893617021279,0.03840472673559828,12.63814,0.8816789,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Umod,0.9808,0.019199999999999995,3.9334577755107722,0.0015744275,8.368362e-05,0.0,0.25,5.1774597,5.091077,3.2290885,-5.6856985,17.669012,2.5585103,0.04350743,0.10106382978723406,0.008996911507989794,8.218187,0.39459267,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Abca13,0.9804,0.01959999999999995,3.9124305854134556,0.0050678,0.00046835002,0.0,0.25,3.4793782,3.5517578,1.7783185,-2.6359777,9.913891,6.82447,0.16959888,0.6382978723404248,0.06969249362159284,47.961555,2.8151217,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Cr2,0.9788,0.021199999999999997,3.83232568840914,0.0054745832,0.00035460468,0.0,0.25,4.508544,4.516176,2.6714213,-6.1651974,13.195208,6.6622386,0.07627218,0.606382978723404,0.04310460588156318,57.711185,1.8196458,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Gm37800,0.9782,0.02180000000000004,3.8038037298175786,0.00086413394,5.107229e-05,0.0,0.25,4.229856,4.203641,2.6922941,-5.2416487,17.176405,1.1702127,0.0057741376,0.26063829787234005,0.004431314623338255,6.734391,0.068708755,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Tnfaip2,0.9778,0.022199999999999998,3.7852124210430027,0.012468139,0.0021053255,0.0,0.25,2.810932,2.753811,1.5656359,-3.2039604,9.115223,30.247343,1.9502965,0.9122340425531869,0.412380824493103,186.17601,23.730799,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Pglyrp1,0.977,0.02300000000000002,3.7489920115665325,0.028455175,0.002504181,0.0,0.25,3.5685835,3.6795373,1.9777262,-4.2712483,12.510475,79.86705,3.426563,0.9468085106382927,0.45266550288708995,339.58057,29.245033,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Tnfrsf11b,0.9758,0.0242,3.6969046112440425,0.0086626075,0.0013988256,0.0,0.25,2.9739845,2.8881874,1.6594503,-2.5581436,9.947899,16.579792,0.86545795,0.8989361702127615,0.24117094131865835,106.72216,10.916585,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Rnase1,0.9736,0.02639999999999998,3.607636163004399,0.0064442293,0.0008876627,0.0,0.25,2.9359279,2.9503307,1.8414435,-3.0757885,9.097159,15.965436,0.84759617,0.6037234042553189,0.17590976232039945,76.08932,8.085554,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Siglecf,0.9728,0.027200000000000002,3.5769611805425647,0.0006310936,0.000100663165,0.0,0.25,4.0574174,4.0654445,3.1592097,-7.255191,15.503481,0.71276623,0.027796403,0.19414893617021256,0.015442460051027293,3.819539,0.7377764,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
Gucy1b2,0.9728,0.027200000000000002,3.5769611805425647,0.0028996652,0.00021710178,0.0,0.25,3.950439,3.8973832,2.6000333,-5.002508,13.501886,3.0106375,0.05518993,0.22074468085106352,0.02766214583053573,17.508408,0.8290321,True,Post Aire 3 (Gp2) vs Rest,Post Aire 3 (Gp2),Rest
