,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Stxbp5l,0.995,0.0050000000000000044,5.2933028347767435,0.013043229,0.00042225534,0.0,0.25,5.595266,5.5631943,2.3738842,-4.5185413,13.010595,9.96277,0.19699286,0.8164893617021244,0.06928964683765301,158.91353,2.27638,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Car8,0.9946,0.00539999999999996,5.215939850914573,0.01787993,0.0008082406,0.0,0.25,5.604181,5.6443577,2.389597,-2.9106708,15.0577755,16.15958,0.65798616,0.7872340425531886,0.09614609910030822,229.16281,5.111725,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Speer4c,0.9942,0.005800000000000027,5.144078762030087,0.005823647,0.00018251092,0.0,0.25,6.9401865,6.7984753,3.3357298,-7.911107,20.968273,3.3244667,0.03236201,0.5505319148936175,0.011011145427689013,54.724545,0.5350782,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Clca3b,0.994,0.006000000000000005,5.1099760808236026,0.019905403,0.00068309467,0.0,0.25,5.5481186,5.643422,2.4694927,-5.1516895,14.848121,27.074465,0.6530164,0.7154255319148918,0.07788371156170268,377.25027,6.949659,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Cacna2d1,0.9928,0.007199999999999984,4.926446829052988,0.017494068,0.00064065034,0.0,0.25,4.8716664,4.959367,2.218078,-6.517297,13.551268,9.861711,0.30482322,0.8218085106382945,0.12474822076003601,190.71204,4.678559,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Cd177,0.9928,0.007199999999999984,4.926446829052988,0.009753718,0.0002104721,0.0,0.25,6.093416,6.1705647,2.7835553,-4.215147,15.300527,5.9734073,0.100845896,0.46808510638297973,0.023767960252450624,96.796196,0.96335715,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Fmo3,0.991,0.009000000000000008,4.701488855974091,0.0059017004,0.0005700637,0.0,0.25,4.5937047,4.5593247,2.3957682,-4.9868603,13.21834,7.380321,0.55512404,0.45744680851063924,0.06458976769168835,90.11996,4.1335964,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Snap25,0.9882,0.011800000000000033,4.427784737602169,0.006236427,0.00023558774,0.0,0.25,5.372401,5.387741,2.7417428,-3.184372,16.038551,3.6329753,0.0798978,0.7446808510638275,0.036524775077212315,65.90814,1.0334971,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Ceacam10,0.988,0.01200000000000001,4.410775224748337,0.007230203,0.00061665755,0.0,0.25,3.5399563,3.586108,1.6314309,-2.8451138,9.585472,5.0425525,0.318117,0.6436170212765949,0.12810527729286825,76.07313,3.6455762,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Klk1,0.9868,0.01319999999999999,4.314249807621173,0.015243164,0.001225882,0.0,0.25,4.3519893,4.340042,2.539196,-8.010939,12.641764,28.340427,1.952322,0.6914893617021262,0.13307372096145997,340.10443,19.67285,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Ascl1,0.9854,0.014599999999999946,4.212025446612466,0.024438763,0.0024355708,0.0,0.25,4.00078,3.9837646,2.2915606,-7.5358715,12.977985,17.087763,1.1573801,0.8749999999999959,0.2684302403652562,266.7654,21.070381,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Col8a1,0.9852,0.014800000000000035,4.198216819951087,0.0041303537,0.00017294318,0.0,0.25,4.7738795,4.8011074,2.8948896,-7.6969852,16.517431,1.9521276,0.03142203,0.3563829787234045,0.011011145427689013,36.37604,0.4273319,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Fmo2,0.9846,0.01539999999999997,4.157867318710489,0.007312995,0.0006482831,0.0,0.25,4.2986135,4.3111753,2.2738,-4.882002,13.310655,5.2553186,0.44971356,0.6595744680851053,0.10662011548274375,73.820946,4.202918,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Igfbp5,0.9828,0.017199999999999993,4.045495685607447,0.03477819,0.0042949626,0.0,0.25,4.006983,4.0296574,2.2637663,-5.591893,11.977168,32.422863,2.562087,0.8377659574468049,0.2591647643346392,467.86646,36.692932,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Chgb,0.9806,0.019399999999999973,3.9228910578819054,0.0084225135,0.00034162647,0.0,0.25,4.6960006,4.736183,3.1835625,-7.5785418,17.524645,9.539899,0.18329556,0.43617021276595824,0.028064992614475568,128.03442,1.9113007,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Peg3,0.9804,0.01959999999999995,3.9124305854134556,0.0036896968,0.00028682235,0.0,0.25,3.855957,3.8192008,2.4932985,-5.221264,13.696955,2.8377643,0.1419364,0.4441489361702136,0.07116959849603888,53.18262,2.1740775,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Itln1,0.9788,0.021199999999999997,3.83232568840914,0.0057631684,0.0004999,0.0,0.25,3.8161914,3.714383,2.2888625,-4.9000854,12.017662,7.244688,0.38888508,0.388297872340426,0.14327917282127,57.623585,3.620139,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Scg2,0.9786,0.021399999999999975,3.822731599756288,0.0023961496,0.00014163155,0.0,0.25,4.7458816,4.625289,3.714661,-10.285286,19.08608,3.4973397,0.033570547,0.14361702127659573,0.00845978246273667,49.48637,0.4322539,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Chga,0.977,0.02300000000000002,3.7489920115665325,0.010587836,0.0006801954,0.0,0.25,4.074981,4.051787,2.5608623,-4.6948643,13.131248,9.550542,0.4605913,0.6728723404255307,0.12246542231771032,165.82486,7.070369,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Ces1c,0.9724,0.027599999999999958,3.561951117683924,0.000851702,0.00012194216,0.0,0.25,3.8289223,3.7328906,3.2246718,-7.2425137,14.429847,1.1755316,0.05733848,0.17819148936170198,0.016113871357593693,10.690488,0.5415291,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Cd55,0.9718,0.028200000000000003,3.539827699708052,0.0046320087,0.00078118045,0.0,0.25,2.7967036,2.8054917,1.7858436,-4.083564,10.699995,3.9122312,0.8438392,0.6382978723404248,0.22827984423258252,48.991917,7.988942,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Vcan,0.9688,0.031200000000000006,3.4356397872327245,0.0022848218,0.00038566516,0.0,0.25,2.816303,2.8195758,1.9126701,-5.5090165,10.1284,0.55053204,0.13455078,0.14893617021276592,0.041493218745803785,11.287809,1.9196649,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Fam183b,0.9666,0.033399999999999985,3.3652285703727176,0.004099925,0.00050196645,0.0,0.25,3.4698012,3.460022,2.7199607,-7.676234,13.276091,1.9680848,0.24090274,0.5053191489361714,0.04001611387135767,35.758114,2.7591114,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Gsdma,0.9652,0.03480000000000005,3.322717669974713,0.0032686128,0.0006128063,0.0,0.25,2.8238049,2.7362003,2.1080601,-7.7649336,10.7937565,2.3218067,0.4197696,0.5159574468085116,0.14166778568551053,35.819736,4.1607437,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Ambp,0.965,0.03500000000000003,3.316779764498021,0.0017371685,0.00015124945,0.0,0.25,3.4090257,3.3343434,3.069361,-6.9458103,13.904499,1.1063832,0.07116953,0.22606382978723372,0.023767960252450624,21.342745,0.87775904,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Snhg11,0.9638,0.03620000000000001,3.2818244195070476,0.003123974,0.0005166359,0.0,0.25,2.7845,2.7756708,2.2725103,-5.1762505,12.0688095,1.5265955,0.17161302,0.20744680851063804,0.048744460856721065,31.379631,3.1680965,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Hmgcs2,0.9628,0.03720000000000001,3.2535366861990203,0.00079415756,0.00017562635,0.0,0.25,2.9888036,2.8498802,2.3038025,-4.601224,13.18954,0.48138326,0.07976358,0.17553191489361689,0.023767960252450624,7.218382,0.6279943,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Clps,0.9612,0.038799999999999946,3.209762009904824,0.0017964144,0.00032219494,0.0,0.25,3.1565301,3.1086402,2.792775,-5.790246,13.629707,2.446808,0.34268907,0.1675531914893616,0.0350476702027662,23.14956,2.7176719,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Lefty1,0.9606,0.03939999999999999,3.1937920295299222,0.0005725604,9.764525e-05,0.0,0.25,3.143352,3.1268554,2.6961377,-9.901213,14.847793,0.34042576,0.01933662,0.2446808510638294,0.012219685779508544,6.0548024,0.302419,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
Tph1,0.9606,0.03939999999999999,3.1937920295299222,0.0012056001,0.00020997346,0.0,0.25,3.3372855,3.2150898,2.7733884,-7.5258617,13.217834,0.63829786,0.10004015,0.11968085106382984,0.03571908150933262,11.612151,1.2968258,True,Post Aire 4 (Ascl1) vs Rest,Post Aire 4 (Ascl1),Rest
