,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
5830416I19Rik,0.9766,0.023399999999999976,3.731340712153176,0.001261156,0.00020713007,0.0,0.25,2.7641585,2.7992477,1.6116399,-2.8383236,8.807453,0.18866524,0.12893902,0.16714490674318586,0.1169127721114334,25.28597,1.8825222,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Gm10062,0.9736,0.02639999999999998,3.607636163004399,0.0008690778,0.0001248533,0.0,0.25,3.0417545,3.0618496,1.9519482,-3.6130428,9.633423,0.1642751,0.11615168,0.1499282639885227,0.10793119196224775,21.672478,1.8595579,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Mc1r,0.9722,0.027800000000000047,3.5545251744885458,0.0008662896,0.00013457691,0.0,0.25,2.8907547,2.911622,1.8513228,-3.7293663,9.622098,0.15494943,0.116608374,0.14060258249641347,0.10869234282234823,18.882835,1.6378132,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Trpm5,0.9718,0.028200000000000003,3.539827699708052,0.001335639,0.0019012352,0.0,0.25,1.8363199,2.4541736,3.2498782,-8.823179,10.432294,0.25753203,1.6926482,0.10688665710186512,0.24280712437205262,11.971696,23.579836,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Lrmp,0.9706,0.02939999999999998,3.4969194327933892,0.003043763,0.005462054,0.0,0.25,1.7708244,2.442408,3.5364785,-10.302812,10.681822,0.84433264,4.4328732,0.17360114777618454,0.28010351651697607,28.59181,55.943016,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Gnat3,0.97,0.030000000000000027,3.476098366811273,0.001750151,0.0030366862,0.0,0.25,1.9940584,2.5593925,3.3254614,-9.491973,11.456922,0.64132,2.681821,0.1176470588235294,0.17628253919927075,19.493034,29.878174,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Mctp1,0.9676,0.032399999999999984,3.3966600576305104,0.0023105058,0.004128157,0.0,0.25,1.549363,2.207666,3.3018107,-10.2688055,10.162519,0.44117647,3.0386257,0.12482065997130558,0.2685340234434488,15.534057,40.995445,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Avil,0.9644,0.035599999999999965,3.2991602379193363,0.0025487957,0.005397959,0.0,0.25,1.2639692,1.9201665,3.2628925,-8.684853,9.226287,0.5559542,3.8458807,0.15853658536585427,0.28771502511798086,22.465027,51.02829,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Gnb3,0.9576,0.04239999999999999,3.1172815665995963,0.0013206628,0.002053195,0.0,0.25,1.5973417,2.046249,3.1980574,-9.255329,11.210899,0.34361544,1.5771054,0.10329985652797703,0.20992540721571193,14.142467,18.703861,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Gng13,0.9542,0.04579999999999995,3.036588994101264,0.003334209,0.004759069,0.0,0.25,1.2954454,1.6422272,2.6656153,-6.295427,10.367058,1.038738,4.9832964,0.24677187948350301,0.40036535241285176,39.069775,56.54816,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Dclk1,0.954,0.04600000000000004,3.03202206805009,0.002161825,0.0045841825,0.0,0.25,1.098214,1.6544099,2.7649157,-8.316106,8.584515,0.33285514,3.0754611,0.1370157819225253,0.2791901354848555,15.73689,41.974506,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Krtdap,0.9538,0.04620000000000002,3.0274740018106154,0.0018558045,0.0022532071,0.0,0.25,1.7382966,2.064735,2.3788896,-7.662135,8.271751,0.32065973,7.168272,0.14705882352941216,0.22682295630994256,21.503418,26.496584,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
Atp2a3,0.949,0.051000000000000045,2.9235829803445967,0.0022277285,0.0035651652,0.0,0.25,0.8266635,1.302908,2.6364148,-7.9501195,8.621586,0.4074605,2.4793375,0.1592539454806319,0.4274623230324288,17.748304,32.39062,True,Post Aire 5_Late Aire 2? vs Rest,Post Aire 5_Late Aire 2?,Rest
