,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Plin2,0.9978,0.0021999999999999797,6.11709095964051,0.009069825,0.0003359403,0.0,0.25,4.7548223,4.801881,1.7023629,-1.0069036,10.411168,31.181818,0.39516097,0.9545454545454543,0.17592242790581009,141.19229,3.1809022,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Gm48972,0.9976,0.0023999999999999577,6.029879500378016,0.003950903,4.1361805e-06,0.0,0.25,13.368692,13.050335,6.2834806,-5.6628246,40.514595,1.4545455,0.00012592872,0.18181818181818182,0.0001259287243420224,8.695331,0.00040780025,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Prl2a1,0.9968,0.0031999999999999806,5.741396223264499,0.0020745497,4.026607e-05,0.0,0.25,6.84567,6.544029,3.2623034,-3.884758,26.251583,13.0,0.020022664,0.18181818181818182,0.003400075557234606,37.457138,0.13916825,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Psapl1,0.9966,0.0033999999999999586,5.680571123087171,0.013527359,0.00047738448,0.0,0.25,5.601101,5.6859937,2.0649202,-1.5185261,13.133882,42.181824,0.70708853,0.7727272727272726,0.1268102254124191,173.43156,3.5868897,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Sdr16c6,0.9964,0.0036000000000000476,5.623212170188158,0.009706993,0.00034342243,0.0,0.25,6.396257,6.1458673,2.877471,-2.485898,19.042065,27.318186,0.3139394,0.7272727272727272,0.06938672711245425,106.100044,2.2300975,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Acaa1b,0.9962,0.0038000000000000256,5.568944352369496,0.0012056904,0.00011939811,0.0,0.25,4.0994744,3.8648396,1.8738242,-0.9683132,10.908965,17.772728,0.104521014,0.5000000000000001,0.05754942702430388,41.79803,0.91026795,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Elovl3,0.996,0.0040000000000000036,5.517450406507993,0.0056471075,3.0375364e-05,0.0,0.25,9.058124,8.991064,3.9812253,-3.3333683,23.370829,9.227273,0.0036519333,0.40909090909090917,0.0015111446921042685,43.1037,0.04538059,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Cyp8b1,0.996,0.0040000000000000036,5.517450406507993,0.0019001106,2.2655177e-05,0.0,0.25,8.657513,7.9611955,4.5606184,-3.2322617,30.924122,0.22727273,0.01208916,0.13636363636363635,0.00591865004407505,1.0241152,0.0837476,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Prl7d1,0.9954,0.0046000000000000485,5.377086199064927,0.0035988048,1.3072018e-05,0.0,0.25,10.532215,10.395429,4.917543,-5.9090166,26.982273,11.409091,0.0006296436,0.18181818181818182,0.000629643621710112,36.948845,0.00404109,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Mgst1,0.9952,0.0048000000000000265,5.334325730788133,0.0061174557,0.00045089284,0.0,0.25,4.3950877,4.3668084,1.7741846,-1.6217656,12.704688,15.59091,0.44225898,0.7272727272727272,0.13058808714267994,71.64677,3.662685,True,Post Aire 6 vs Rest,Post Aire 6,Rest
3830417A13Rik,0.9952,0.0048000000000000265,5.334325730788133,0.0017043242,2.0744586e-05,0.0,0.25,10.869484,10.349461,6.2549577,-5.3395414,38.928543,1.0454545,0.0022667171,0.18181818181818182,0.000629643621710112,5.1746426,0.021530645,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Awat2,0.995,0.0050000000000000044,5.2933028347767435,0.0044972245,5.798931e-05,0.0,0.25,6.513303,6.603764,2.8064365,-3.8821077,17.152767,14.59091,0.010326158,0.31818181818181823,0.008059438357889427,32.60119,0.13039696,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Gja5,0.9948,0.005199999999999982,5.253881173319069,0.0029886805,1.6774513e-05,0.0,0.25,8.793196,8.625498,4.20026,-4.314801,26.228073,3.5454545,0.002896361,0.27272727272727276,0.0015111446921042685,15.84469,0.025403382,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Elovl4,0.9942,0.005800000000000027,5.144078762030087,0.015191864,0.0005123576,0.0,0.25,4.786609,4.686145,2.1162908,-1.9290919,12.641235,64.31819,0.4955271,0.5000000000000001,0.12189900516308,227.03056,2.9491923,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Awat1,0.994,0.006000000000000005,5.1099760808236026,0.0026226284,1.7166733e-05,0.0,0.25,7.880372,8.006178,3.4395194,-4.4740086,22.22171,4.8181825,0.0034000764,0.2272727272727273,0.0032741468328925834,12.197558,0.063243784,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Gc,0.9934,0.00660000000000005,5.014062248556934,0.00901836,0.00042439305,0.0,0.25,5.6181183,5.418116,2.8148265,-4.4612947,17.9544,28.545458,0.56693006,0.6363636363636364,0.059312429165092176,156.71078,2.8317676,True,Post Aire 6 vs Rest,Post Aire 6,Rest
Hsd17b2,0.9928,0.007199999999999984,4.926446829052988,0.0026934082,8.9811016e-05,0.0,0.25,5.4663067,5.3908434,2.5539076,-2.3103838,15.816601,8.181818,0.08789834,0.6363636363636364,0.0416824077572092,22.149012,0.41325083,True,Post Aire 6 vs Rest,Post Aire 6,Rest
