,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gpr65,0.99,0.010000000000000009,4.5951188602360995,0.0004924645,2.5005034e-05,0.0,0.25,5.920696,5.865514,3.6942418,-10.45159,20.761078,0.40350893,0.003749192,0.17543859649122823,0.00297349709114415,5.8849173,0.035140663,True,T_Other vs Rest,T_Other,Rest
Btk,0.9872,0.012800000000000034,4.345426711105514,0.00044761377,3.0941508e-05,0.0,0.25,4.697904,4.7889543,3.2339745,-12.387279,16.37378,0.2587719,0.0059469943,0.1403508771929825,0.0056884292178409875,4.739945,0.06332071,True,T_Other vs Rest,T_Other,Rest
Ly86,0.987,0.013000000000000012,4.329719922873182,0.00070303294,3.191435e-05,0.0,0.25,5.3087296,5.68949,4.5189843,-15.6459675,19.825836,0.627193,0.0073691015,0.24122807017543896,0.0031027795733678085,9.65187,0.035371423,True,T_Other vs Rest,T_Other,Rest
Ifi209,0.987,0.013000000000000012,4.329719922873182,0.0009812495,7.2170835e-05,0.0,0.25,5.149372,5.0560665,3.0062149,-4.211583,16.695414,0.71052635,0.028571429,0.26315789473684253,0.01693600517129927,11.492521,0.295626,True,T_Other vs Rest,T_Other,Rest
St8sia4,0.985,0.015000000000000013,4.184590783555717,0.002105454,8.324543e-05,0.0,0.25,5.4035225,5.525487,3.3626177,-8.61875,18.015343,0.96052635,0.0062055592,0.3684210526315797,0.003619909502262443,18.048084,0.17984374,True,T_Other vs Rest,T_Other,Rest
Cd8a,0.9848,0.015199999999999991,4.171142499277839,0.002268479,3.4769997e-05,0.0,0.25,5.4700155,5.4529424,3.8739066,-12.2948,17.137539,0.7324562,0.008791209,0.1403508771929825,0.006334841628959283,17.968422,0.15782772,True,T_Other vs Rest,T_Other,Rest
Fli1,0.983,0.017000000000000015,4.057395198028768,0.00093773735,2.358962e-05,0.0,0.25,5.067859,5.1219435,3.16789,-7.61858,16.341335,0.3552632,0.006076277,0.18859649122807037,0.00530058177117001,8.560315,0.04544895,True,T_Other vs Rest,T_Other,Rest
Mpeg1,0.983,0.017000000000000015,4.057395198028768,0.0011854982,5.1490653e-05,0.0,0.25,5.0886154,5.0525107,3.0637052,-6.8175554,16.446377,0.5877193,0.016160311,0.17982456140350894,0.011376858435681965,10.738633,0.13662395,True,T_Other vs Rest,T_Other,Rest
Itga4,0.9824,0.01759999999999995,4.0220990973462705,0.0022710855,6.5371816e-05,0.0,0.25,5.1465263,5.4021554,3.3500147,-9.882611,20.77819,1.6622806,0.014738203,0.3903508771929833,0.009954751131221724,23.599028,0.19647045,True,T_Other vs Rest,T_Other,Rest
Glipr1,0.9808,0.019199999999999995,3.9334577755107722,0.00123579,0.000108163884,0.0,0.25,3.6350422,3.8091097,2.588008,-5.14678,11.879384,0.8552631,0.029993536,0.3070175438596497,0.021590174531350967,13.168926,0.41066277,True,T_Other vs Rest,T_Other,Rest
Phf11a,0.98,0.020000000000000018,3.8918198083148323,0.0002383559,1.8558443e-05,0.0,0.25,3.8844028,4.218389,5.324479,-13.709101,25.124008,0.16666664,0.0046541695,0.10087719298245613,0.003232062055591467,1.8533609,0.075947374,True,T_Other vs Rest,T_Other,Rest
Evi2a,0.9798,0.020199999999999996,3.8816653799540974,0.00030309396,1.9839672e-05,0.0,0.25,4.737228,4.70875,3.3878171,-8.007722,19.579262,0.22368416,0.006464124,0.15350877192982465,0.005171299288946351,4.1820164,0.09539783,True,T_Other vs Rest,T_Other,Rest
Kdr,0.9788,0.021199999999999997,3.83232568840914,0.000861071,1.5035524e-05,0.0,0.25,5.4139075,5.1025147,4.2505383,-8.513929,24.47786,0.47368425,0.0011635424,0.11403508771929824,0.0007756948933419521,9.120594,0.013795539,True,T_Other vs Rest,T_Other,Rest
Cd83,0.9772,0.022800000000000042,3.757930375060113,0.0023449,0.00015904273,0.0,0.25,3.671686,3.6926541,2.4413729,-5.9449177,13.340063,1.5394735,0.07420815,0.302631578947369,0.04356819650937287,17.050642,0.96309066,True,T_Other vs Rest,T_Other,Rest
Tespa1,0.9748,0.0252,3.65538794066687,0.0011479637,2.846226e-05,0.0,0.25,4.285232,4.271615,4.5891285,-16.671356,23.07351,0.372807,0.004524887,0.14473684210526322,0.003749191984486102,11.708034,0.030044675,True,T_Other vs Rest,T_Other,Rest
Samsn1,0.9744,0.025599999999999956,3.6392291651079196,0.008454804,0.0006592309,0.0,0.25,3.411936,3.5147471,3.0136864,-10.477931,14.404462,6.1754365,0.6620556,0.5131578947368433,0.20051712992889398,86.37253,5.624497,True,T_Other vs Rest,T_Other,Rest
Cd3e,0.974,0.026000000000000023,3.623314391272682,0.0042626383,6.611551e-05,0.0,0.25,4.695023,4.567376,4.448198,-10.205317,18.290035,1.6271931,0.025597932,0.23684210526315824,0.013703943115707813,47.87404,0.2501063,True,T_Other vs Rest,T_Other,Rest
Tyrobp,0.9734,0.026599999999999957,3.599883515945192,0.0042116293,0.00011790379,0.0,0.25,4.439951,4.7609053,4.1752267,-9.870208,18.664167,2.2149112,0.02443439,0.37719298245614113,0.013703943115707813,36.298176,0.24813677,True,T_Other vs Rest,T_Other,Rest
Ctla2a,0.972,0.028000000000000025,3.5471509474305067,0.00096906204,1.8080647e-05,0.0,0.25,3.5044448,3.396595,5.682605,-12.704197,21.881557,0.3377193,0.0023270848,0.10964912280701754,0.0018099547511312216,9.162526,0.042924985,True,T_Other vs Rest,T_Other,Rest
Lgals1,0.9716,0.02839999999999998,3.532554710140545,0.0024135543,0.0003359914,0.0,0.25,3.3356366,3.1924353,2.120966,-3.2900429,11.1977625,1.5921046,0.16897221,0.4210526315789483,0.07925016160310254,24.424559,2.2719688,True,T_Other vs Rest,T_Other,Rest
Rgs1,0.9714,0.02859999999999996,3.525331272729971,0.0023540831,0.00029846246,0.0,0.25,3.5633945,3.5701857,3.2131963,-8.32364,15.9476385,2.7149115,0.24705882,0.3421052631578954,0.0440853264382675,38.967384,2.3061662,True,T_Other vs Rest,T_Other,Rest
Sla,0.9712,0.028800000000000048,3.5181566962377104,0.0014559856,7.761915e-05,0.0,0.25,3.686403,3.6063247,3.2914464,-7.569685,17.413069,0.57017547,0.014479638,0.23245614035087753,0.01098901098901099,13.9176235,0.19719444,True,T_Other vs Rest,T_Other,Rest
Zeb2,0.9712,0.028800000000000048,3.5181566962377104,0.000968238,0.0001833763,0.0,0.25,3.248445,3.2201328,2.322411,-5.447234,11.152376,0.49561417,0.07653523,0.20614035087719323,0.03503555268261142,7.413101,1.0310084,True,T_Other vs Rest,T_Other,Rest
9930111J21Rik2,0.97,0.030000000000000027,3.476098366811273,0.0011271432,0.00020987901,0.0,0.25,2.811917,2.8191886,1.7448121,-4.225296,9.623981,0.5087722,0.13341953,0.2280701754385968,0.07356173238526158,9.048174,1.2241967,True,T_Other vs Rest,T_Other,Rest
Bin2,0.9698,0.030200000000000005,3.469247619476059,0.0010022052,5.3531843e-05,0.0,0.25,4.3725157,4.326565,3.2366648,-7.348033,17.174385,0.3201754,0.014996768,0.17982456140350894,0.012928248222365863,8.686353,0.18480045,True,T_Other vs Rest,T_Other,Rest
Zfp366,0.9694,0.03059999999999996,3.4556769979712687,0.00025178277,2.1478856e-05,0.0,0.25,3.9604878,4.067671,4.5712233,-13.858208,31.666035,0.15350874,0.0028442147,0.11842105263157894,0.0019392372333548802,2.191597,0.09303687,True,T_Other vs Rest,T_Other,Rest
Ccl17,0.9692,0.03080000000000005,3.4489559846053557,0.0033248055,0.00022603295,0.0,0.25,3.1806104,3.449353,4.163371,-10.727521,14.130515,3.1140344,0.23335488,0.18421052631578966,0.04240465416935994,22.54868,1.9765157,True,T_Other vs Rest,T_Other,Rest
Slfn1,0.969,0.031000000000000028,3.4422770951449433,0.00048161845,4.752695e-05,0.0,0.25,3.732106,3.782782,3.351988,-11.067012,15.070517,0.27631575,0.011764706,0.10964912280701754,0.009179056237879775,5.5641184,0.122918375,True,T_Other vs Rest,T_Other,Rest
Apol7c,0.9686,0.031399999999999983,3.429043528907814,0.0037631344,0.00021349253,0.0,0.25,3.0832698,3.3327613,5.0017147,-18.892721,19.327875,3.421052,0.1918552,0.21491228070175467,0.040723981900452386,29.557892,1.4502869,True,T_Other vs Rest,T_Other,Rest
Cd3g,0.9684,0.03159999999999996,3.4224877983417037,0.003971642,0.00011625158,0.0,0.25,4.2116985,4.148915,3.5710385,-7.020627,16.982288,1.3114032,0.037750486,0.2280701754385968,0.01693600517129927,40.231396,0.58403593,True,T_Other vs Rest,T_Other,Rest
Ptprc,0.9676,0.032399999999999984,3.3966600576305104,0.0073038153,0.0005404783,0.0,0.25,3.3462055,3.567287,3.1325543,-10.0059185,12.359917,2.9210517,0.25882354,0.5570175438596504,0.08261150614091765,70.70268,3.6853483,True,T_Other vs Rest,T_Other,Rest
Sh2d1a,0.9676,0.032399999999999984,3.3966600576305104,0.00076936424,2.4511148e-05,0.0,0.25,4.6070533,4.562708,4.2663994,-9.4994335,19.350555,0.29824564,0.0046541695,0.11403508771929824,0.004266321913380737,12.868269,0.11517867,True,T_Other vs Rest,T_Other,Rest
Mki67,0.9674,0.03259999999999996,3.390299475604788,0.0028992365,0.0004935452,0.0,0.25,2.9642253,2.972921,2.275843,-6.2444515,10.895619,1.1535087,0.19573368,0.12280701754385964,0.09153199741435007,8.503386,2.4587374,True,T_Other vs Rest,T_Other,Rest
Ptprcap,0.9668,0.03320000000000001,3.371441482045512,0.0025940116,5.445295e-05,0.0,0.25,4.4068203,4.1066837,3.6609159,-7.2419004,19.064537,0.7236844,0.017453136,0.23684210526315824,0.012798965740142205,20.599665,0.20242621,True,T_Other vs Rest,T_Other,Rest
Ifi207,0.9666,0.033399999999999985,3.3652285703727176,0.0007068485,8.194374e-05,0.0,0.25,3.0205603,3.1868725,3.5811477,-11.619681,16.843609,0.29824558,0.032449905,0.11403508771929824,0.01771170006464122,5.30186,0.33272085,True,T_Other vs Rest,T_Other,Rest
Zmynd15,0.9642,0.035800000000000054,3.293350579606588,0.0019800537,0.00017384834,0.0,0.25,2.599073,2.8723378,3.5360463,-13.985972,14.600044,2.0921044,0.100711055,0.3421052631578954,0.06813186813186793,30.503784,1.0353934,True,T_Other vs Rest,T_Other,Rest
Ccl22,0.964,0.03600000000000003,3.2875720887501396,0.004772413,0.00081373367,0.0,0.25,2.2209356,2.824347,4.632235,-19.239845,13.462171,7.035085,1.8177257,0.26315789473684253,0.10665804783451809,58.609547,12.116678,True,T_Other vs Rest,T_Other,Rest
Crispld2,0.9638,0.03620000000000001,3.2818244195070476,0.0008051858,0.00010840608,0.0,0.25,3.2319283,3.2965932,3.0834458,-12.247164,13.630348,0.34649125,0.05934066,0.1403508771929825,0.025210084033613397,5.640947,0.48051313,True,T_Other vs Rest,T_Other,Rest
Phf11b,0.9636,0.03639999999999999,3.276107231750535,0.00076142483,8.134726e-05,0.0,0.25,3.3232574,3.4336724,3.4444335,-9.751355,14.025777,0.6666667,0.02546865,0.26315789473684253,0.01771170006464122,9.073226,0.160672,True,T_Other vs Rest,T_Other,Rest
Ccr7,0.9632,0.036800000000000055,3.264762968022636,0.0053533865,0.0007078062,0.0,0.25,2.5516934,2.7273202,3.705614,-15.747429,12.710494,4.4210505,0.6402069,0.35526315789473756,0.13846153846153803,55.14533,5.1330185,True,T_Other vs Rest,T_Other,Rest
Gpr183,0.963,0.03700000000000003,3.2591352392678825,0.0015319288,0.00023800807,0.0,0.25,2.7797048,2.868774,2.6806831,-7.945677,12.5968895,1.6184207,0.15979315,0.2807017543859654,0.052488687782805285,18.01176,1.3189107,True,T_Other vs Rest,T_Other,Rest
Cd8b1,0.9626,0.03739999999999999,3.2479669954574106,0.0026407372,4.996244e-05,0.0,0.25,3.4299018,3.1168566,4.4311733,-10.7620735,17.884052,1.25,0.022107305,0.14912280701754393,0.009825468648998066,33.986965,0.16364694,True,T_Other vs Rest,T_Other,Rest
Dntt,0.9624,0.03759999999999997,3.2424258586979,0.0012967327,4.185949e-05,0.0,0.25,2.6329346,2.253005,4.6646495,-10.011487,19.729565,0.5964912,0.006464124,0.10526315789473684,0.004783451842275374,16.213926,0.12839107,True,T_Other vs Rest,T_Other,Rest
