,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Rgs13,0.9976,0.0023999999999999577,6.029879500378016,0.018679528,0.0005730993,0.0,0.25,6.4709177,6.6807528,2.3874063,-3.608252,13.729756,14.198922,0.24263741,0.9273144605967728,0.07361778846153874,193.14828,4.046042,True,Tuft vs Rest,Tuft,Rest
Alox5,0.9976,0.0023999999999999577,6.029879500378016,0.005550081,0.0003159492,0.0,0.25,5.095337,5.1483545,2.0670202,-2.0631084,12.211095,4.4827833,0.09915879,0.8492731446059555,0.04912860576923063,62.42628,1.905526,True,Tuft vs Rest,Tuft,Rest
Plcb2,0.9968,0.0031999999999999806,5.741396223264499,0.010636838,0.00054361613,0.0,0.25,5.5375905,5.6496696,2.2401357,-2.3393607,13.40623,7.229546,0.15009002,0.8959449120122286,0.05934495192307675,102.26854,2.612579,True,Tuft vs Rest,Tuft,Rest
Avil,0.9968,0.0031999999999999806,5.741396223264499,0.025708655,0.00090248213,0.0,0.25,5.878678,6.1316624,2.023073,-2.934564,11.160695,18.036726,0.37033975,0.9671002295332679,0.12725360576923334,247.6633,6.4340158,True,Tuft vs Rest,Tuft,Rest
Mctp1,0.9962,0.0038000000000000256,5.568944352369496,0.01965779,0.0008294715,0.0,0.25,5.719839,5.9207854,2.1602254,-2.4792523,13.477201,14.163731,0.31009415,0.9418515684774152,0.10621995192307859,197.3932,4.951975,True,Tuft vs Rest,Tuft,Rest
Lrmp,0.996,0.0040000000000000036,5.517450406507993,0.026628802,0.0009566537,0.0,0.25,6.2198887,6.5246887,2.2769074,-2.9079857,12.332768,21.042091,0.41991913,0.9326702371843779,0.1296574519230796,271.57123,7.873003,True,Tuft vs Rest,Tuft,Rest
Fyb,0.9956,0.0043999999999999595,5.421738766888735,0.018980348,0.0014838837,0.0,0.25,4.216143,4.26603,1.6795279,-3.3728428,10.0836525,13.473616,1.0033071,0.9602142310634899,0.2892127403846176,196.23558,10.362711,True,Tuft vs Rest,Tuft,Rest
Aldh2,0.9952,0.0048000000000000265,5.334325730788133,0.013396595,0.0008146316,0.0,0.25,4.2804623,4.3929768,1.6526121,-2.8713245,8.809235,11.081112,0.6280032,0.9028309104820066,0.2552584134615455,148.79642,7.0079527,True,Tuft vs Rest,Tuft,Rest
Gng13,0.9946,0.00539999999999996,5.215939850914573,0.020922387,0.0014134664,0.0,0.25,4.6216955,4.550808,1.9449728,-2.8287935,12.074991,21.684774,0.8777069,0.9479724560061068,0.26066706730769856,260.21655,12.894363,True,Tuft vs Rest,Tuft,Rest
Sh2d7,0.994,0.006000000000000005,5.1099760808236026,0.0052898065,0.00021320586,0.0,0.25,5.5269675,5.7408266,2.3694072,-3.4932632,12.18531,4.1071086,0.073768124,0.7827084927314348,0.04071514423076912,58.908978,1.3948638,True,Tuft vs Rest,Tuft,Rest
Sh2d6,0.9936,0.006399999999999961,5.0450351683792265,0.010844477,0.00047338204,0.0,0.25,5.152234,5.3704824,2.119431,-4.700902,11.274294,6.678662,0.15910423,0.7865340474368671,0.08353365384615455,96.34439,2.5684357,True,Tuft vs Rest,Tuft,Rest
Ly6g6f,0.9934,0.00660000000000005,5.014062248556934,0.0073624323,0.00032644716,0.0,0.25,5.5280657,5.7958994,2.23279,-3.6579895,11.963274,5.2088776,0.11087755,0.8630451415455115,0.0560396634615383,76.62503,2.0645256,True,Tuft vs Rest,Tuft,Rest
Alox5ap,0.9934,0.00660000000000005,5.014062248556934,0.009263111,0.000407876,0.0,0.25,5.5747557,5.679372,2.4991271,-4.390747,13.209415,7.703915,0.15024033,0.7827084927314348,0.06084735576923059,102.69943,2.8369207,True,Tuft vs Rest,Tuft,Rest
Bmx,0.9934,0.00660000000000005,5.014062248556934,0.0154123595,0.00086171256,0.0,0.25,4.996027,5.030067,2.047988,-3.9643717,12.187824,10.863813,0.28845978,0.9296097934200321,0.099459134615386,150.34673,4.345753,True,Tuft vs Rest,Tuft,Rest
