,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gm3002,0.9856,0.014399999999999968,4.226021701899203,8.07053e-06,9.852886e-07,0.0,0.25,3.0992963,3.105647,1.525211,-4.043434,8.681934,0.13203207,0.014285714,0.10792192881745136,0.014285714285714284,0.062118504,0.006381977,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sh3gl3,0.9588,0.041200000000000014,3.1472440139160347,1.7356413e-05,3.3930282e-06,0.0,0.25,2.6400936,2.6369967,2.2260656,-6.6112814,9.651449,0.1722158,0.020634921,0.053960964408725554,0.01746031746031746,0.08860217,0.009837776,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cav1,0.9536,0.0464,3.0229446320482345,3.1254527e-05,5.8989895e-06,0.0,0.25,2.6044343,2.5886173,2.3005047,-5.31987,9.291288,0.1722158,0.020634921,0.061997703788748505,0.015873015873015872,0.08664429,0.0144839175,True,WT vs Fezf2_KO,WT,Fezf2_KO
Camkv,0.9562,0.04379999999999995,3.0833330609571905,1.1236293e-05,2.0965076e-06,0.0,0.25,2.4911315,2.3518538,2.061028,-5.2206383,10.891992,0.08151547,0.023809524,0.05625717566016068,0.01904761904761905,0.040262762,0.011197923,True,WT vs Fezf2_KO,WT,Fezf2_KO
Csrnp3,0.9648,0.03520000000000001,3.310874469642843,4.601421e-05,1.0318009e-05,0.0,0.25,2.4407446,2.4874911,1.4408176,-3.425806,6.834406,0.7313428,0.12063493,0.3076923076923074,0.05555555555555559,0.39899272,0.058611274,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hfm1,0.9616,0.03839999999999999,3.2205408541699643,1.7345938e-05,2.9489534e-06,0.0,0.25,2.4306657,2.3695593,1.6185353,-3.5230637,8.592648,0.20091842,0.044444446,0.07233065442020664,0.03174603174603176,0.10877684,0.021084929,True,WT vs Fezf2_KO,WT,Fezf2_KO
Zc2hc1c,0.964,0.03600000000000003,3.2875720887501396,1.0691483e-05,2.0743294e-06,0.0,0.25,2.39501,2.411446,1.3453777,-2.5497208,7.7573433,0.07118251,0.012698413,0.05855338691159581,0.012698412698412697,0.042551022,0.0060245777,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ppfia2,0.9532,0.04679999999999995,3.0139413391167738,2.6807984e-05,6.839774e-06,0.0,0.25,2.3947375,2.4204435,2.2568202,-5.822815,11.086983,0.49598154,0.11269841,0.08151549942594721,0.03333333333333335,0.2766515,0.059929878,True,WT vs Fezf2_KO,WT,Fezf2_KO
Shcbp1l,0.9552,0.04479999999999995,3.0597123904721504,1.6459368e-05,3.0572564e-06,0.0,0.25,2.3665593,2.413221,1.6918598,-7.160095,8.826983,0.15729044,0.022222223,0.051664753157290425,0.01746031746031746,0.07841596,0.013220784,True,WT vs Fezf2_KO,WT,Fezf2_KO
Mirg,0.9516,0.0484,2.978644768603285,1.7869279e-05,3.6580934e-06,0.0,0.25,2.3303967,2.3059902,2.222347,-7.674864,11.883664,0.090700306,0.01904762,0.06084959816303094,0.015873015873015872,0.045985233,0.008812789,True,WT vs Fezf2_KO,WT,Fezf2_KO
Htr2c,0.954,0.04600000000000004,3.03202206805009,1.1228284e-05,2.1364906e-06,0.0,0.25,2.3233259,2.356347,2.0875473,-4.850272,8.534125,0.14121695,0.022222223,0.06084959816303094,0.014285714285714284,0.07992907,0.010660596,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm960,0.9462,0.05379999999999996,2.867180320724311,2.3581186e-05,5.1868415e-06,0.0,0.25,2.3101707,2.256516,2.0608675,-5.2365246,9.083297,0.16647528,0.036507938,0.05625717566016068,0.02857142857142858,0.08592356,0.020034086,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm49212,0.9462,0.05379999999999996,2.867180320724311,1.3214616e-05,4.4150925e-06,0.0,0.25,2.3048253,2.1546412,3.0925226,-9.673453,14.302895,0.14466126,0.044444446,0.053960964408725554,0.020634920634920638,0.0814265,0.024616998,True,WT vs Fezf2_KO,WT,Fezf2_KO
Stkld1,0.9424,0.057599999999999985,2.794907082195586,0.00011216332,2.723373e-05,0.0,0.25,2.2176733,2.2555213,2.1022832,-5.3571186,10.041396,1.8036727,0.48253968,0.5327210103329459,0.21111111111111064,0.978488,0.25182733,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sbk2,0.9476,0.0524,2.8950257006709337,1.2720863e-05,2.9741673e-06,0.0,0.25,2.2065902,2.2611103,1.661833,-5.5063763,8.193151,0.10907,0.04920635,0.059701492537313376,0.03809523809523811,0.054539982,0.02342593,True,WT vs Fezf2_KO,WT,Fezf2_KO
Epgn,0.9586,0.04139999999999999,3.1421927747802774,3.973758e-05,1.3737573e-05,0.0,0.25,2.1978867,2.2372637,3.1995478,-8.996633,12.039494,0.3685418,0.37777779,0.06429391504018364,0.03809523809523811,0.19241889,0.15083253,True,WT vs Fezf2_KO,WT,Fezf2_KO
Col25a1,0.9474,0.05259999999999998,2.8910050911871408,1.722045e-05,7.5862295e-06,0.0,0.25,2.1937826,2.276352,2.5197036,-7.8614902,10.447679,0.40872547,0.8714287,0.08266360505166478,0.02857142857142858,0.18034996,0.28605193,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lrrc9,0.9556,0.044399999999999995,3.0690997312529054,1.7586806e-05,4.4038775e-06,0.0,0.25,2.1855657,2.1776485,2.135935,-7.3404217,10.570074,0.17910439,0.052380953,0.10562571756601621,0.04126984126984129,0.08863927,0.027222833,True,WT vs Fezf2_KO,WT,Fezf2_KO
Aifm3,0.944,0.05600000000000005,2.8247743074321585,2.8490338e-05,6.3725433e-06,0.0,0.25,2.1686,2.2170157,1.6724895,-3.886217,9.219352,0.19173358,0.042857144,0.06544202066590121,0.01746031746031746,0.09657572,0.017785298,True,WT vs Fezf2_KO,WT,Fezf2_KO
