,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gbp2b,0.9634,0.036599999999999966,3.270420190944699,1.5798923e-05,3.4756433e-06,0.0,0.25,2.5078793,2.5958772,1.5159283,-2.9142952,7.5804853,0.16426533,0.0027662518,0.10182516810758871,0.0018441678192715537,0.14837548,0.0032399606,True,WT vs Fezf2_KO,WT,Fezf2_KO
Igfbp3,0.9602,0.03979999999999995,3.1832744429646964,1.5292475e-05,2.8862187e-06,0.0,0.25,2.4909284,2.5291576,1.8884627,-5.3763857,8.213585,0.14313173,0.023052098,0.0902977905859749,0.018441678192715527,0.1472153,0.024542488,True,WT vs Fezf2_KO,WT,Fezf2_KO
Barx1,0.9402,0.059799999999999964,2.755086801045413,1.4051427e-05,4.761811e-06,0.0,0.25,1.8775617,1.9256821,2.1762254,-6.2544365,9.467969,0.10566772,0.014753343,0.07877041306436108,0.011526048870447211,0.09745513,0.012576995,True,WT vs Fezf2_KO,WT,Fezf2_KO
Saa3,0.9512,0.048799999999999955,2.969993838112496,1.0188275e-05,2.5178042e-06,0.0,0.25,1.8292334,1.7775431,1.3261898,-4.0252247,7.7655926,0.15081665,0.01613647,0.06628242074927945,0.011526048870447211,0.094138585,0.016065633,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fibin,0.9298,0.07020000000000004,2.583621066529587,3.1148844e-05,1.1621678e-05,0.0,0.25,1.6856023,1.6989508,1.9727845,-6.2131357,9.060076,0.2449572,0.08667589,0.17579250720461068,0.07007837713231885,0.2538959,0.09816453,False,WT vs Fezf2_KO,WT,Fezf2_KO
Fcer2a,0.9224,0.0776,2.4754114237409888,2.5428024e-05,8.546679e-06,0.0,0.25,1.6792892,1.6987062,1.7658898,-4.0122547,7.3638296,0.1690684,0.03503919,0.08933717579250708,0.02535730751498383,0.13858281,0.029417418,False,WT vs Fezf2_KO,WT,Fezf2_KO
Limch1,0.9276,0.07240000000000002,2.550394178648677,0.00016742908,6.181249e-05,0.0,0.25,1.5495294,1.5227942,1.3194548,-3.2969885,6.2278976,1.6714634,0.59382206,0.6464937560038498,0.350391885661594,1.6080396,0.6162673,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ifitm1,0.9248,0.07520000000000004,2.5094261447967527,8.277722e-05,3.1244406e-05,0.0,0.25,1.5319322,1.5509706,1.6382321,-4.452861,7.325118,0.8059555,0.329645,0.18539865513928885,0.08667588750576277,0.75870574,0.35152513,False,WT vs Fezf2_KO,WT,Fezf2_KO
Terb2,0.9184,0.0816,2.42080365193473,3.108429e-05,1.2099599e-05,0.0,0.25,1.5012647,1.5305638,1.9292468,-5.33648,7.5837355,0.11527382,0.048870448,0.060518731988472546,0.030428769017980584,0.113536134,0.052810404,False,WT vs Fezf2_KO,WT,Fezf2_KO
Cyp2f2,0.924,0.07599999999999996,2.497978610598926,7.1444076e-05,2.2905031e-05,0.0,0.25,1.5011972,1.5416908,2.0867367,-5.035098,8.212682,0.65994215,0.11018903,0.21037463976945212,0.06500691562932209,0.59567034,0.11014442,False,WT vs Fezf2_KO,WT,Fezf2_KO
Cav1,0.9302,0.06979999999999997,2.5897654745055814,1.4559919e-05,5.5473593e-06,0.0,0.25,1.4995688,1.484415,2.0869925,-5.4021673,9.306467,0.073006734,0.025357308,0.051873198847262186,0.020285846011987074,0.06439356,0.025535727,False,WT vs Fezf2_KO,WT,Fezf2_KO
Rhof,0.9268,0.07320000000000004,2.5385422457687565,1.30628305e-05,5.080285e-06,0.0,0.25,1.4785242,1.5082979,1.1013627,-2.6228867,4.9402637,0.07780984,0.043798987,0.07012487992315072,0.038727524204702546,0.071609,0.04364031,False,WT vs Fezf2_KO,WT,Fezf2_KO
Lgals4,0.9222,0.07779999999999998,2.472620570897198,1.484626e-05,5.6411886e-06,0.0,0.25,1.465579,1.5140281,1.5279834,-4.3096514,7.59558,0.09317967,0.036422316,0.06436119116234382,0.034578146611341565,0.07963015,0.036376823,False,WT vs Fezf2_KO,WT,Fezf2_KO
Serpine3,0.9322,0.06779999999999997,2.6209850522269886,2.204842e-05,9.725291e-06,0.0,0.25,1.4131916,1.4865484,2.113434,-5.609128,7.1562614,0.157541,0.07883818,0.11143131604226689,0.06316274781005055,0.15450746,0.0832372,False,WT vs Fezf2_KO,WT,Fezf2_KO
Galnt7,0.941,0.05900000000000005,2.7694055368151407,2.3684986e-05,9.184489e-06,0.0,0.25,1.411088,1.3848448,0.83964574,-1.6641445,4.380004,0.29010618,0.092669435,0.20557156580211303,0.0788381742738587,0.25643045,0.09224189,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lmo2,0.9184,0.0816,2.42080365193473,3.0828425e-05,1.2150469e-05,0.0,0.25,1.394822,1.405992,1.4431994,-3.6777725,6.2156363,0.22766604,0.064084835,0.15081652257444741,0.053019824804057036,0.19950205,0.060849383,False,WT vs Fezf2_KO,WT,Fezf2_KO
Dcx,0.9104,0.08960000000000001,2.3185286427682277,1.3369702e-05,4.9141304e-06,0.0,0.25,1.3896691,1.3793573,1.7840831,-5.022091,7.4130335,0.07588858,0.022130014,0.052833813640730004,0.01659751037344398,0.060218394,0.018657604,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ncam1,0.921,0.07899999999999996,2.456012068063779,9.2091905e-05,3.435295e-05,0.0,0.25,1.3770878,1.394702,1.5769609,-4.714094,7.117544,0.9490861,0.32042417,0.38328530259365934,0.1904103273397873,0.8579964,0.3253451,False,WT vs Fezf2_KO,WT,Fezf2_KO
Rrad,0.9264,0.0736,2.5326609560088174,0.00045700377,0.00019500543,0.0,0.25,1.3632206,1.371553,2.061051,-5.776621,7.4617643,6.412113,1.953912,0.6311239193083639,0.3849700322729355,5.8593893,2.104747,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm21860,0.9094,0.09060000000000001,2.306330728962968,2.7863145e-05,1.1767123e-05,0.0,0.25,1.3506981,1.3435249,1.5324277,-3.9256487,7.0878925,0.24687839,0.09589673,0.15850144092218996,0.07699400645458715,0.25847128,0.110866286,False,WT vs Fezf2_KO,WT,Fezf2_KO
Cpxm1,0.909,0.09099999999999997,2.3014854887716254,3.5502806e-05,1.5298305e-05,0.0,0.25,1.3394135,1.317225,1.5898912,-4.7902603,6.814474,0.36119178,0.1438451,0.21037463976945212,0.09866297833102783,0.31915224,0.13662544,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pla2g5,0.927,0.07299999999999995,2.5414939982186593,9.2270975e-06,3.767984e-06,0.0,0.25,1.3353125,1.3439856,2.226965,-7.3258724,8.230906,0.09221907,0.030889811,0.07588856868395763,0.028584601198709036,0.088383645,0.0334806,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ntrk3,0.9098,0.09019999999999995,2.311195268194014,4.3117623e-05,1.8379611e-05,0.0,0.25,1.3107876,1.3193269,1.5508323,-4.287692,6.1980095,0.40345883,0.14200093,0.19788664745437048,0.08852005532503432,0.38677725,0.1495964,False,WT vs Fezf2_KO,WT,Fezf2_KO
Lyz1,0.9098,0.09019999999999995,2.311195268194014,1.598e-05,6.0679863e-06,0.0,0.25,1.309664,1.3073745,1.6831783,-4.986787,7.8918896,0.129683,0.020746889,0.051873198847262186,0.014292300599354543,0.090276994,0.017357199,False,WT vs Fezf2_KO,WT,Fezf2_KO
Wnt6,0.9144,0.08560000000000001,2.368582723446614,1.3218173e-05,5.7360967e-06,0.0,0.25,1.281449,1.2844133,1.459703,-3.8493423,6.0862713,0.09798278,0.03503919,0.07588856868395763,0.026279391424619603,0.09761663,0.04127328,False,WT vs Fezf2_KO,WT,Fezf2_KO
4930435F18Rik,0.9308,0.06920000000000004,2.5990434350392984,1.0006715e-05,4.080082e-06,0.0,0.25,1.2765754,1.3304605,2.2728078,-7.233736,8.981637,0.08357351,0.026279392,0.05955811719500473,0.020285846011987074,0.074400544,0.027499527,False,WT vs Fezf2_KO,WT,Fezf2_KO
Eln,0.907,0.09299999999999997,2.2775428604603634,1.2596214e-05,5.224264e-06,0.0,0.25,1.2628013,1.2515655,1.3108723,-3.7896814,6.1692896,0.13352558,0.034117106,0.09702209414024962,0.030428769017980584,0.114254564,0.035014812,False,WT vs Fezf2_KO,WT,Fezf2_KO
Csgalnact1,0.9086,0.09140000000000004,2.2966593764619567,1.3191523e-05,5.423929e-06,0.0,0.25,1.2572081,1.2782183,1.4553946,-3.9631596,5.8884153,0.12776189,0.036422316,0.0797310278578289,0.029045643153526923,0.11018088,0.03731915,False,WT vs Fezf2_KO,WT,Fezf2_KO
Esr1,0.9074,0.09260000000000002,2.282294128606873,3.3242075e-05,1.3758641e-05,0.0,0.25,1.2510557,1.2864285,1.2938617,-3.1791697,6.1783285,0.3150822,0.11802674,0.18347742555235322,0.08298755186721968,0.289056,0.11443443,False,WT vs Fezf2_KO,WT,Fezf2_KO
Sh3rf2,0.9016,0.09840000000000004,2.21513006813274,1.5901653e-05,6.702095e-06,0.0,0.25,1.2448962,1.2412663,1.0878643,-2.646984,5.6125755,0.15754104,0.06454588,0.13160422670509106,0.048870447210696055,0.15114065,0.05676297,False,WT vs Fezf2_KO,WT,Fezf2_KO
Socs2,0.9304,0.0696,2.5928499009339956,8.335245e-05,3.493125e-05,0.0,0.25,1.2412874,1.2457886,0.7477216,-2.5329084,3.9729996,0.7886634,0.28031352,0.43227665706051804,0.17842323651452224,0.7460682,0.2904766,False,WT vs Fezf2_KO,WT,Fezf2_KO
Thbs4,0.921,0.07899999999999996,2.456012068063779,1.8569694e-05,8.0562395e-06,0.0,0.25,1.2392284,1.2431273,1.9600214,-5.5496902,7.8856144,0.14889544,0.068695255,0.08357348703170017,0.04702627939142451,0.14539488,0.06905209,False,WT vs Fezf2_KO,WT,Fezf2_KO
9930111J21Rik2,0.9262,0.07379999999999998,2.529731337735684,6.334616e-05,3.3769364e-05,0.0,0.25,1.231846,1.3303728,2.3207116,-8.000625,9.807622,0.56388104,0.26509914,0.27473583093179593,0.14753342554172383,0.5205349,0.26531163,False,WT vs Fezf2_KO,WT,Fezf2_KO
P4htm,0.9034,0.09660000000000002,2.235586589551662,1.9656782e-05,9.180411e-06,0.0,0.25,1.2318203,1.2514381,1.2251663,-3.0878878,5.3760204,0.08837661,0.04656524,0.06820365033621509,0.04149377593360987,0.08523307,0.048430987,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pvalb,0.8974,0.10260000000000002,2.168663674482634,2.5301364e-05,1.0692142e-05,0.0,0.25,1.2093508,1.1998081,1.2980179,-3.2530584,6.963873,0.22574472,0.05440295,0.09798270893371744,0.03135085292761636,0.18549968,0.051195078,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pvr,0.9092,0.09079999999999999,2.3039057072376683,1.755111e-05,7.802802e-06,0.0,0.25,1.2088209,1.2548871,0.98888665,-2.792346,4.116928,0.1085496,0.06685109,0.09414024975984617,0.06085753803596111,0.094839714,0.066041864,False,WT vs Fezf2_KO,WT,Fezf2_KO
Golm1,0.899,0.10099999999999998,2.1861624297439355,1.05934105e-05,5.7042716e-06,0.0,0.25,1.201356,1.2566895,1.3954281,-3.6156702,4.9350204,0.09414033,0.038727526,0.08453410182516799,0.036883356385431,0.09209566,0.042140886,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pecam1,0.9152,0.08479999999999999,2.378846970829728,3.6028003e-05,1.511326e-05,0.0,0.25,1.2005445,1.1951032,2.0400023,-5.7650633,7.54062,0.34966424,0.100046106,0.1613832853025934,0.06639004149377575,0.31689358,0.102077045,False,WT vs Fezf2_KO,WT,Fezf2_KO
Spock3,0.9032,0.0968,2.233296926318886,2.1551312e-05,8.865152e-06,0.0,0.25,1.1957148,1.1889057,1.6500715,-5.05579,8.199494,0.0758886,0.019824805,0.052833813640730004,0.015675426463808206,0.056074157,0.020574622,False,WT vs Fezf2_KO,WT,Fezf2_KO
Id3,0.9018,0.09819999999999995,2.217386459882509,0.00054919726,0.0002475843,0.0,0.25,1.1937226,1.2114997,1.1514534,-3.5578394,4.9826155,6.0634065,2.214412,0.8155619596541955,0.5689257722452724,5.7579036,2.3360457,False,WT vs Fezf2_KO,WT,Fezf2_KO
1810062O18Rik,0.9012,0.0988,2.2106295136860137,1.6201653e-05,7.1196696e-06,0.0,0.25,1.1876867,1.1878533,1.0008647,-2.4582195,4.603403,0.0653218,0.050714616,0.05763688760806909,0.04656523743660662,0.06657384,0.056020387,False,WT vs Fezf2_KO,WT,Fezf2_KO
Dnah9,0.9092,0.09079999999999999,2.3039057072376683,1.2631713e-05,5.218563e-06,0.0,0.25,1.1870807,1.2073283,1.7560402,-5.1227465,7.5428286,0.14601362,0.053480867,0.09702209414024962,0.04656523743660662,0.12349326,0.04940704,False,WT vs Fezf2_KO,WT,Fezf2_KO
Col6a2,0.9098,0.09019999999999995,2.311195268194014,0.00013677543,5.9199272e-05,0.0,0.25,1.1836634,1.2347245,1.2779628,-4.092758,5.269987,1.4409165,0.58921164,0.6272814601344924,0.3642231443061306,1.4102786,0.60654885,False,WT vs Fezf2_KO,WT,Fezf2_KO
Nrep,0.8988,0.10119999999999996,2.183961695769531,4.2868993e-05,1.8762128e-05,0.0,0.25,1.1759126,1.2262282,1.2062039,-3.256299,5.3902903,0.3659949,0.13923468,0.24975984630163264,0.10972798524665711,0.33574185,0.15391494,False,WT vs Fezf2_KO,WT,Fezf2_KO
Trpm3,0.906,0.09399999999999997,2.26574442842753,6.1614e-05,2.9539162e-05,0.0,0.25,1.1688737,1.1882663,1.6480037,-4.75274,6.8632994,0.7281455,0.329645,0.2737752161383281,0.14061779621945553,0.6509916,0.30570284,False,WT vs Fezf2_KO,WT,Fezf2_KO
Krtdap,0.9264,0.0736,2.5326609560088174,0.00020390308,0.00010840894,0.0,0.25,1.1639167,1.1870551,2.3907683,-6.19693,9.321811,2.4245877,0.9658829,0.38424591738712716,0.2111572153065922,2.3570337,0.8887195,False,WT vs Fezf2_KO,WT,Fezf2_KO
Sox7,0.9098,0.09019999999999995,2.311195268194014,8.281532e-06,3.56224e-06,0.0,0.25,1.1605124,1.192709,0.91652185,-2.043274,3.998209,0.0816523,0.02581835,0.07012487992315072,0.02397418165053017,0.06839337,0.024983691,False,WT vs Fezf2_KO,WT,Fezf2_KO
Slc37a2,0.8924,0.10760000000000003,2.115493733099632,6.841659e-06,3.0031958e-06,0.0,0.25,1.1602697,1.144063,1.0353131,-2.228941,5.8522997,0.0768492,0.026279392,0.06820365033621509,0.025818349469801716,0.06403484,0.026876332,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pde4c,0.9272,0.07279999999999998,2.544453210245434,2.9293602e-05,1.5333884e-05,0.0,0.25,1.1519793,1.1611605,2.43259,-7.170993,8.834876,0.27665737,0.12909175,0.1450528338136405,0.07376671277086194,0.26028463,0.13024595,False,WT vs Fezf2_KO,WT,Fezf2_KO
Adamts17,0.898,0.10199999999999998,2.1751971681145754,6.923124e-05,3.0978383e-05,0.0,0.25,1.1465238,1.1811676,1.099709,-3.3149757,4.8459644,0.85110354,0.329645,0.37848222862632025,0.2111572153065922,0.7556349,0.32902476,False,WT vs Fezf2_KO,WT,Fezf2_KO
Mdga1,0.9044,0.09560000000000002,2.2470988268010084,1.4651787e-05,6.74968e-06,0.0,0.25,1.1453856,1.1655908,1.2740202,-3.3818464,5.565461,0.16330476,0.06500692,0.12680115273775197,0.060396496081143225,0.14891177,0.070726424,False,WT vs Fezf2_KO,WT,Fezf2_KO
