,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
C7,0.9718,0.028200000000000003,3.539827699708052,0.00010813452,1.3606186e-05,0.0,0.25,4.3726144,4.5225782,5.5101237,-13.609535,16.163921,0.7777778,0.17073171,0.14814814814814814,0.06097560975609756,0.95956945,0.15666696,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hsd17b13,0.9798,0.020199999999999996,3.8816653799540974,1.4541554e-05,1.0923935e-06,0.0,0.25,4.157807,4.3459578,2.6867898,-4.7493954,10.830531,0.14814815,0.0,0.1111111111111111,0.0,0.16473082,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Scara5,0.9718,0.028200000000000003,3.539827699708052,0.00010316249,2.0554024e-05,0.0,0.25,4.0566688,4.1643114,4.899301,-12.03875,14.0767565,1.3333333,0.4390244,0.2962962962962963,0.04878048780487805,1.2856215,0.41319704,True,WT vs Fezf2_KO,WT,Fezf2_KO
Svep1,0.964,0.03600000000000003,3.2875720887501396,0.00022073324,5.7184934e-05,0.0,0.25,4.0196815,3.7515182,4.4910765,-11.986932,12.940002,0.77777773,0.74390244,0.25925925925925924,0.04878048780487805,0.8377955,0.54681444,True,WT vs Fezf2_KO,WT,Fezf2_KO
Dpep1,0.9672,0.03280000000000005,3.3839764893716042,9.5251584e-05,2.588135e-05,0.0,0.25,3.9738445,3.895379,4.6613936,-12.370429,14.079523,0.8148148,0.42682925,0.25925925925925924,0.06097560975609756,0.8108434,0.32804888,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sfrp2,0.9632,0.036800000000000055,3.264762968022636,5.2860087e-05,8.960909e-06,0.0,0.25,3.948752,4.0052204,5.5318866,-12.736797,16.318,0.6666666,0.121951215,0.14814814814814814,0.012195121951219513,0.45588246,0.08357975,True,WT vs Fezf2_KO,WT,Fezf2_KO
Kcnc2,0.966,0.03400000000000003,3.3468030258307184,3.5732683e-05,4.7937533e-06,0.0,0.25,3.884062,4.009775,3.5716214,-6.6545353,13.81788,0.2962963,0.0121951215,0.07407407407407407,0.012195121951219513,0.37643987,0.009460917,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lrrn2,0.9672,0.03280000000000005,3.3839764893716042,2.9698595e-05,2.0936204e-06,0.0,0.25,3.8542364,3.7584014,3.9902503,-7.8381824,13.938327,0.25925925,0.036585364,0.1111111111111111,0.024390243902439025,0.2271355,0.027808871,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hoxd3os1,0.9952,0.0048000000000000265,5.334325730788133,3.22938e-05,2.0636846e-06,0.0,0.25,3.8267128,3.809579,1.5825111,-1.7299156,9.674011,0.1851852,0.0,0.1111111111111111,0.0,0.17234087,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Erbb4,0.9772,0.022800000000000042,3.757930375060113,1.7977789e-05,1.1603174e-06,0.0,0.25,3.8128011,3.7865357,1.9502597,-2.084053,9.353565,0.5555555,0.0,0.07407407407407407,0.0,0.49302286,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
