,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Hoxc10,0.9778,0.022199999999999998,3.7852124210430027,2.3382157e-05,1.3225725e-06,0.0,0.25,3.8830106,3.8892937,2.3562713,-4.4091034,12.090253,0.14325841,0.010856453,0.07092696629213496,0.01085645355850422,0.087605946,0.009052679,True,WT vs Fezf2_KO,WT,Fezf2_KO
Trpc7,0.9668,0.03320000000000001,3.371441482045512,1.8878309e-05,2.5945928e-06,0.0,0.25,3.194716,3.1836786,2.31011,-5.307331,11.650077,0.13202246,0.020506633,0.08497191011235972,0.0180940892641737,0.08089615,0.011817911,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm3002,0.967,0.03300000000000003,3.377690641297818,4.674517e-06,6.181652e-07,0.0,0.25,2.921791,2.97258,2.1611564,-6.3259563,12.175573,0.06530898,0.010856453,0.055477528089887734,0.01085645355850422,0.037987996,0.005671432,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lrrn1,0.968,0.03200000000000003,3.409495882307477,2.0746129e-05,2.755637e-06,0.0,0.25,2.8952289,2.9168224,2.196051,-5.5681973,12.309179,0.12570223,0.0036188178,0.058286516853932685,0.00361881785283474,0.07628429,0.0014114878,True,WT vs Fezf2_KO,WT,Fezf2_KO
D830030K20Rik,0.9782,0.02180000000000004,3.8038037298175786,2.354954e-05,3.1486259e-06,0.0,0.25,2.8727741,2.949932,1.8514019,-6.4053764,10.534634,0.24367973,0.0036188178,0.14044943820224717,0.00361881785283474,0.14442298,0.0014309273,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cntnap5c,0.9644,0.035599999999999965,3.2991602379193363,2.1265683e-05,3.3629333e-06,0.0,0.25,2.7714744,2.8311687,1.7418296,-3.2625504,11.128083,0.2640449,0.024125453,0.08146067415730353,0.01688781664656212,0.15420368,0.011817805,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fabp9,0.9604,0.03959999999999997,3.1885205039737716,0.00031937228,4.860549e-05,0.0,0.25,2.7130272,2.6654687,2.0484838,-4.24494,9.891461,9.471204,0.711701,0.37780898876404584,0.09650180940892647,5.6146894,0.33784297,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ms4a18,0.9596,0.04039999999999999,3.167686508894722,1.7156919e-05,3.856046e-06,0.0,0.25,2.6999085,2.7918658,2.956862,-8.667145,12.047554,0.18609548,0.053075988,0.0884831460674159,0.02533172496984319,0.10997832,0.025043273,True,WT vs Fezf2_KO,WT,Fezf2_KO
Erv3,0.962,0.038000000000000034,3.23142803817647,3.075498e-05,5.0177773e-06,0.0,0.25,2.65474,2.724102,2.670177,-8.9611435,12.954171,0.181882,0.032569364,0.0660112359550563,0.021712907117008445,0.12096633,0.018367983,True,WT vs Fezf2_KO,WT,Fezf2_KO
Acsm2,0.958,0.04200000000000004,3.127177932030695,3.5903304e-05,8.678178e-06,0.0,0.25,2.6348827,2.5439358,3.192121,-9.200331,13.750502,0.43469167,0.014475271,0.06671348314606754,0.00361881785283474,0.25756282,0.008568108,True,WT vs Fezf2_KO,WT,Fezf2_KO
