,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ttr,0.964,0.03600000000000003,3.2875720887501396,0.0002152475,5.9351546e-06,0.0,0.25,3.3231668,3.2178001,4.1012273,-10.522632,20.307953,3.0996113,0.03433923,0.07632600258732213,0.008324661810613946,1.6780962,0.013420147,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cntnap5c,0.9726,0.02739999999999998,3.569429529893944,2.6667172e-05,3.2919895e-06,0.0,0.25,3.097529,3.1090765,1.7322849,-2.9631996,9.535366,0.27878383,0.013527574,0.08150064683053036,0.013527575442247664,0.16311765,0.008223158,True,WT vs Fezf2_KO,WT,Fezf2_KO
Trpc7,0.9592,0.04079999999999995,3.157417287630535,1.5795335e-05,2.8364145e-06,0.0,0.25,2.7741683,2.8106675,2.0402288,-5.1783676,9.427279,0.12289771,0.016649323,0.07956015523932727,0.01560874089490115,0.07284614,0.007696161,True,WT vs Fezf2_KO,WT,Fezf2_KO
Csrnp3,0.9776,0.022399999999999975,3.7760391933569983,3.3153272e-05,5.1277066e-06,0.0,0.25,2.7719874,2.7778578,1.4388728,-2.0605574,8.102611,0.49223748,0.07492196,0.2710219922380352,0.053069719042663846,0.28884298,0.03898554,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm3002,0.9676,0.032399999999999984,3.3966600576305104,6.740065e-06,1.0977514e-06,0.0,0.25,2.7319849,2.7745075,1.7030133,-4.8412323,9.881534,0.064036176,0.0124869915,0.052393272962483924,0.01248699271592092,0.035480894,0.0060865963,True,WT vs Fezf2_KO,WT,Fezf2_KO
Eomes,0.9558,0.04420000000000002,3.0738236812785265,2.002915e-05,4.2598704e-06,0.0,0.25,2.659519,2.638793,2.827409,-7.5143957,13.351874,0.16429482,0.016649324,0.08732212160413963,0.011446409989594177,0.09692583,0.009639161,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ptgs2os2,0.955,0.04500000000000004,3.0550486389594163,8.247366e-06,1.6468896e-06,0.0,0.25,2.639125,2.7278643,2.406955,-6.1755247,10.23768,0.13001287,0.016649324,0.07179818887451492,0.010405827263267433,0.084576026,0.011711536,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fabp9,0.9528,0.04720000000000002,3.005010924080578,0.00027274102,5.499726e-05,0.0,0.25,2.4469066,2.5058641,2.086549,-5.952422,9.942415,9.580238,0.8355877,0.36998706338939485,0.10301768990634763,5.3204775,0.3798409,True,WT vs Fezf2_KO,WT,Fezf2_KO
Slc7a2,0.9528,0.04720000000000002,3.005010924080578,6.4820364e-05,1.2448043e-05,0.0,0.25,2.412039,2.4558682,2.2115226,-6.5151615,10.660642,0.71927494,0.034339234,0.1895213454075037,0.027055150884495328,0.4667383,0.021923784,True,WT vs Fezf2_KO,WT,Fezf2_KO
Osr2,0.9548,0.04520000000000002,3.0504045968609734,2.318963e-05,3.9304277e-06,0.0,0.25,2.3689466,2.4266038,2.256721,-5.86635,10.37839,0.34540722,0.047866806,0.10090556274256125,0.02809573361082207,0.20458056,0.022465533,True,WT vs Fezf2_KO,WT,Fezf2_KO
Slc17a4,0.9496,0.0504,2.936049480336206,2.0988362e-05,6.398099e-06,0.0,0.25,2.3306053,2.3369102,2.7113485,-13.00563,12.98836,0.26002568,0.068678476,0.12419146183699832,0.032258064516129045,0.18013893,0.04088447,True,WT vs Fezf2_KO,WT,Fezf2_KO
Flg,0.9602,0.03979999999999995,3.1832744429646964,8.0727026e-05,1.648719e-05,0.0,0.25,2.2448988,2.2710404,1.3010106,-2.80202,6.798998,0.5291072,0.3319455,0.08732212160413963,0.18626430801248658,0.33329943,0.17110261,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ctcflos,0.9476,0.0524,2.8950257006709337,2.2262851e-05,3.944799e-06,0.0,0.25,2.2376902,2.2778335,1.9485735,-5.3933277,10.368469,0.15394557,0.02289282,0.06662354463130668,0.016649323621227893,0.0985713,0.011608425,True,WT vs Fezf2_KO,WT,Fezf2_KO
Creb3l1,0.9468,0.053200000000000025,2.879029303884215,2.3022862e-05,6.5784925e-06,0.0,0.25,2.2360826,2.2239866,1.8377199,-3.361432,8.385991,0.14294943,0.03329865,0.06985769728331183,0.01560874089490115,0.082654774,0.014079279,True,WT vs Fezf2_KO,WT,Fezf2_KO
Arl14,0.9462,0.05379999999999996,2.867180320724311,1.535579e-05,4.6044597e-06,0.0,0.25,2.2252104,2.2355766,1.9872305,-6.1065197,9.896298,0.090556204,0.022892822,0.05498059508408807,0.017689906347554636,0.055618573,0.009721851,True,WT vs Fezf2_KO,WT,Fezf2_KO
Zc2hc1c,0.9632,0.036800000000000055,3.264762968022636,1.489553e-05,3.2656224e-06,0.0,0.25,2.2243812,2.2394824,1.3958646,-2.542323,6.7426767,0.12354451,0.02185224,0.10219922380336331,0.02185223725286161,0.07650765,0.011353802,True,WT vs Fezf2_KO,WT,Fezf2_KO
Car8,0.9476,0.0524,2.8950257006709337,0.00012746514,3.329776e-05,0.0,0.25,2.2243302,2.239677,2.669404,-7.0465374,11.780667,1.9456655,0.12174819,0.1448900388098317,0.027055150884495328,1.2236121,0.077208735,True,WT vs Fezf2_KO,WT,Fezf2_KO
Acsm2,0.9434,0.056599999999999984,2.813481219562552,2.6812122e-05,6.3242815e-06,0.0,0.25,2.213667,2.1979623,2.534429,-6.9040155,11.717887,0.42496747,0.017689906,0.07115135834411389,0.004162330905306972,0.2557783,0.009101973,True,WT vs Fezf2_KO,WT,Fezf2_KO
Anxa10,0.947,0.05300000000000005,2.88300700151439,0.00015789519,5.17965e-05,0.0,0.25,2.209589,2.2659988,2.4703727,-6.77269,10.537314,2.790424,0.31945884,0.36545924967658755,0.057232049947970806,1.7012743,0.18401937,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm42788,0.946,0.05400000000000005,2.8632583478732596,8.899741e-06,1.9701074e-06,0.0,0.25,2.201905,2.2354903,2.0525866,-4.3602657,9.281502,0.073091805,0.016649324,0.05109961190168185,0.01248699271592092,0.04544745,0.0090249535,True,WT vs Fezf2_KO,WT,Fezf2_KO
Aifm3,0.9446,0.055400000000000005,2.8361817937898715,2.517727e-05,4.99523e-06,0.0,0.25,2.1907284,2.2344513,2.1034465,-7.049365,9.706181,0.18822755,0.044745058,0.08732212160413963,0.02809573361082207,0.11622788,0.022071071,True,WT vs Fezf2_KO,WT,Fezf2_KO
Kcnh7,0.9448,0.05520000000000003,2.840010141024949,3.451961e-05,1.1581052e-05,0.0,0.25,2.1543617,2.2132077,2.2673573,-6.004816,9.5985985,0.3570503,0.08428721,0.08990944372574375,0.047866805411030146,0.20428857,0.034360595,True,WT vs Fezf2_KO,WT,Fezf2_KO
Calb1,0.9578,0.042200000000000015,3.122218540340339,3.0866722e-05,7.204245e-06,0.0,0.25,2.1097379,2.1624851,1.5366403,-4.2815094,7.870328,0.5129363,0.044745054,0.13195342820181083,0.022892819979188354,0.29923815,0.018384963,True,WT vs Fezf2_KO,WT,Fezf2_KO
Bbox1,0.9458,0.054200000000000026,2.859350047835406,4.414748e-05,1.0893237e-05,0.0,0.25,2.1082804,2.075245,1.5684788,-3.1733637,8.374683,0.524579,0.058272634,0.22768434670116527,0.039542143600416226,0.31539533,0.03040053,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cdkn1c,0.9532,0.04679999999999995,3.0139413391167738,0.00023316627,6.163384e-05,0.0,0.25,2.0938098,2.1424546,1.5625334,-3.871831,9.227095,6.088633,1.2320495,0.2891332470892644,0.09157127991675341,3.2292633,0.50869906,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm29684,0.9506,0.0494,2.9571427480765746,8.666386e-06,2.3520183e-06,0.0,0.25,2.0722787,2.0834618,1.9183083,-4.4750423,8.749361,0.081500575,0.015608739,0.06532988357050462,0.014568158168574407,0.05074738,0.008942433,True,WT vs Fezf2_KO,WT,Fezf2_KO
