,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
A830036E02Rik,0.9828,0.017199999999999993,4.045495685607447,1.0759695e-05,5.2292427e-07,0.0,0.25,4.529264,4.606038,2.7835457,-6.6537247,14.477118,0.09073362,0.0011778563,0.05212355212355215,0.001177856301531213,0.08148016,0.0009751274,True,WT vs Fezf2_KO,WT,Fezf2_KO
Osr2,0.9808,0.019199999999999995,3.9334577755107722,3.110207e-05,3.3458546e-06,0.0,0.25,3.3675542,3.3805594,1.7799006,-3.2838917,9.88619,0.40154457,0.03062427,0.1544401544401543,0.020023557126030628,0.27556184,0.024101613,True,WT vs Fezf2_KO,WT,Fezf2_KO
2310050C09Rik,0.9672,0.03280000000000005,3.3839764893716042,4.2575448e-05,4.0114414e-06,0.0,0.25,3.217974,3.1674962,2.2334821,-4.731905,10.898422,0.24903478,0.0035335692,0.05598455598455602,0.0035335689045936395,0.17379576,0.0023798135,True,WT vs Fezf2_KO,WT,Fezf2_KO
Anxa10,0.9732,0.026800000000000046,3.592187360533676,6.284782e-05,9.541971e-06,0.0,0.25,3.1219206,3.224628,2.1560574,-5.371641,9.792997,0.28571427,0.01648999,0.0752895752895753,0.008244994110718492,0.17816348,0.010514777,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gpc6,0.964,0.03600000000000003,3.2875720887501396,0.0001067093,1.4717103e-05,0.0,0.25,3.0495038,3.0921474,2.1032758,-3.9114637,11.199184,0.8146717,0.09540633,0.12355212355212347,0.05182567726737342,0.6030092,0.04982857,True,WT vs Fezf2_KO,WT,Fezf2_KO
Them5,0.9658,0.03420000000000001,3.3407308473273742,2.0712987e-05,7.0258448e-06,0.0,0.25,3.0290234,3.3186932,4.2930284,-12.293807,16.112783,0.29150587,0.022379272,0.07915057915057916,0.004711425206124852,0.1986095,0.012182176,True,WT vs Fezf2_KO,WT,Fezf2_KO
Mst1r,0.9726,0.02739999999999998,3.569429529893944,1.49542775e-05,2.1725998e-06,0.0,0.25,2.9247618,2.873386,1.8835515,-3.815115,10.369113,0.16023177,0.025912842,0.13513513513513503,0.02355712603062427,0.112552404,0.01598841,True,WT vs Fezf2_KO,WT,Fezf2_KO
Creb3l1,0.9748,0.0252,3.65538794066687,1.6786555e-05,2.7536164e-06,0.0,0.25,2.8908448,2.9377375,1.7040678,-4.969593,9.771568,0.14864872,0.028268555,0.07915057915057916,0.020023557126030628,0.09046843,0.01480861,True,WT vs Fezf2_KO,WT,Fezf2_KO
4933406B17Rik,0.9636,0.03639999999999999,3.276107231750535,1.5946649e-05,1.7238588e-06,0.0,0.25,2.809737,3.016067,2.6819582,-8.098465,11.357206,0.094594605,0.0141342785,0.06949806949806953,0.012956419316843343,0.06709188,0.007049663,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cyp4f18,0.967,0.03300000000000003,3.377690641297818,3.2675336e-05,5.040522e-06,0.0,0.25,2.8072312,2.8802528,1.9739877,-4.7225695,9.899443,0.15637067,0.01295642,0.05598455598455602,0.01177856301531213,0.12259283,0.0077324435,True,WT vs Fezf2_KO,WT,Fezf2_KO
Mecom,0.9702,0.02980000000000005,3.4829935170364954,0.0002977076,5.2324333e-05,0.0,0.25,2.7509587,2.803708,1.8713062,-4.044736,9.543008,3.8725846,0.86336786,0.557915057915057,0.26266195524146124,2.873861,0.49869153,True,WT vs Fezf2_KO,WT,Fezf2_KO
Krt10,0.9532,0.04679999999999995,3.0139413391167738,0.00077885314,9.018064e-05,0.0,0.25,2.7341383,2.7649846,2.8254232,-6.4346714,9.266169,16.920853,1.1425214,0.5173745173745166,0.2367491166077744,11.201154,0.6743846,True,WT vs Fezf2_KO,WT,Fezf2_KO
