,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Glt1d1,0.9758,0.0242,3.6969046112440425,1.5306767e-05,1.3295494e-06,0.0,0.25,4.2796845,3.9165182,3.4664905,-7.1042843,12.883265,0.13772458,0.039215688,0.10778443113772458,0.0196078431372549,0.11373283,0.022229854,True,WT vs Fezf2_KO,WT,Fezf2_KO
Slc17a4,0.9944,0.005600000000000049,5.179371166799013,2.1665786e-05,1.5431559e-06,0.0,0.25,4.0904584,4.1651125,1.621064,-1.7921772,8.27474,0.18562877,0.039215688,0.12574850299401202,0.0392156862745098,0.15418568,0.029413998,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lmcd1,0.9714,0.02859999999999996,3.525331272729971,1.2452155e-05,1.4858331e-06,0.0,0.25,3.7693782,3.562395,2.8553274,-7.196409,12.81641,0.15568863,0.0,0.06586826347305388,0.0,0.1117807,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cpb2,0.9856,0.014399999999999968,4.226021701899203,7.0800204e-05,6.5167596e-06,0.0,0.25,3.7026656,3.7954478,1.779308,-2.196373,9.002038,0.6347307,0.078431375,0.24550898203592803,0.0784313725490196,0.5113943,0.054392517,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cib4,0.969,0.031000000000000028,3.4422770951449433,2.4549814e-05,4.3616255e-06,0.0,0.25,3.6012087,3.1764913,2.7636712,-4.4164944,12.155031,0.07185629,0.078431375,0.05389221556886227,0.058823529411764705,0.06356619,0.040144827,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pck1,0.9856,0.014399999999999968,4.226021701899203,1.7552888e-05,2.0116531e-06,0.0,0.25,3.5112882,3.3047752,2.046939,-2.9310055,11.526418,0.20359284,0.019607844,0.05389221556886227,0.0196078431372549,0.12555896,0.010206571,True,WT vs Fezf2_KO,WT,Fezf2_KO
9030622O22Rik,0.9708,0.029200000000000004,3.5039514324132983,8.308692e-05,1.123557e-05,0.0,0.25,3.4161344,3.3892612,2.4472303,-5.032299,10.164001,1.2754489,0.058823533,0.2514970059880238,0.058823529411764705,1.0580255,0.044284835,True,WT vs Fezf2_KO,WT,Fezf2_KO
AW551984,0.9762,0.023800000000000043,3.7139814928514396,5.7257705e-05,7.904673e-06,0.0,0.25,3.357646,3.1253934,1.8976436,-2.2559128,8.396427,0.61077845,0.1764706,0.2874251497005986,0.11764705882352941,0.4723219,0.098911636,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cntnap5c,0.989,0.01100000000000001,4.498798159845069,4.825313e-05,7.0123365e-06,0.0,0.25,3.1901157,3.0875807,1.5402149,-1.0016994,7.937872,0.4610779,0.0,0.1137724550898204,0.0,0.31057796,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
5330434G04Rik,0.9604,0.03959999999999997,3.1885205039737716,2.2298693e-05,3.7206337e-06,0.0,0.25,3.1090446,3.1221943,2.921103,-8.162806,10.588365,0.107784435,0.058823533,0.05988023952095808,0.0392156862745098,0.10308361,0.038083326,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lrg1,0.959,0.041000000000000036,3.152318774704249,4.169139e-05,1.0492895e-05,0.0,0.25,3.0790026,2.7503853,3.3477728,-7.4839783,12.375766,0.08982036,0.058823533,0.05389221556886227,0.058823529411764705,0.078585096,0.026536794,True,WT vs Fezf2_KO,WT,Fezf2_KO
