,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ttr,0.9896,0.010399999999999965,4.555494063498048,5.705133e-05,6.7504754e-07,0.0,0.25,5.7680135,5.8704405,2.7117212,-2.810154,13.557654,0.59756094,0.0,0.06097560975609756,0.0,0.2712387,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cfhr2,0.9868,0.01319999999999999,4.314249807621173,1.8052517e-05,7.4411616e-07,0.0,0.25,4.5620627,4.5142393,2.2626626,-2.2990627,11.9428215,0.09756097,0.0,0.06097560975609756,0.0,0.057962127,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cntnap5c,0.9962,0.0038000000000000256,5.568944352369496,3.6353085e-05,1.6395146e-06,0.0,0.25,4.5422883,4.6905723,1.5423967,-0.51677513,8.923929,0.21951218,0.0,0.09756097560975609,0.0,0.14872989,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm17023,0.9848,0.015199999999999991,4.171142499277839,5.5133623e-06,2.898429e-07,0.0,0.25,4.038888,4.0864134,2.0873003,-3.5305882,9.680571,0.08536585,0.0,0.08536585365853658,0.0,0.060753427,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Slc17a4,0.9736,0.02639999999999998,3.607636163004399,1.5000519e-05,1.6785834e-06,0.0,0.25,3.6191206,3.62924,2.4229298,-4.7273865,10.182165,0.19512194,0.0,0.09756097560975609,0.0,0.11978934,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Aldob,0.9626,0.03739999999999999,3.2479669954574106,4.3884324e-05,5.554222e-06,0.0,0.25,3.5728586,3.71867,3.3436732,-7.077096,11.471557,0.7926829,0.09090909,0.15853658536585366,0.030303030303030304,0.42730156,0.05646878,True,WT vs Fezf2_KO,WT,Fezf2_KO
2410003L11Rik,0.9792,0.02080000000000004,3.8517824544940904,2.2058339e-05,2.5482007e-06,0.0,0.25,3.4711185,3.5029159,1.8671077,-3.708352,9.870776,0.08536585,0.0,0.06097560975609756,0.0,0.077636674,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm40040,0.9872,0.012800000000000034,4.345426711105514,9.1997745e-06,9.3034487e-07,0.0,0.25,3.4703996,3.400012,1.8297698,-2.8052216,9.429414,0.1097561,0.0,0.07317073170731707,0.0,0.060528655,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pklr,0.9734,0.026599999999999957,3.599883515945192,3.0859806e-05,3.1763122e-06,0.0,0.25,3.4449055,3.5286074,2.02795,-3.1827593,9.7787895,0.304878,0.030303031,0.19512195121951223,0.030303030303030304,0.1977224,0.018822927,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hmgcs2,0.9766,0.023399999999999976,3.731340712153176,1.1853891e-05,1.3478176e-06,0.0,0.25,3.3904238,3.467785,2.133752,-5.018339,9.117478,0.19512194,0.030303031,0.06097560975609756,0.030303030303030304,0.08470463,0.017421542,True,WT vs Fezf2_KO,WT,Fezf2_KO
1700049E15Rik,0.9658,0.03420000000000001,3.3407308473273742,0.00079279876,0.00014108261,0.0,0.25,3.3685086,3.3532596,3.8038323,-10.060513,15.33539,0.9390244,0.0,0.13414634146341461,0.0,0.5377467,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Apoc3,0.9774,0.022599999999999953,3.766945646311264,0.00033262587,2.7851815e-05,0.0,0.25,3.2689288,3.2352238,1.829026,-2.4670296,9.129765,7.719511,0.4848485,0.47560975609756123,0.06060606060606061,4.3601646,0.29992384,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cpb2,0.9626,0.03739999999999999,3.2479669954574106,8.105444e-05,1.5926624e-05,0.0,0.25,3.2648163,3.3509555,2.6068892,-4.5054874,11.411313,1.1463413,0.5151515,0.37804878048780505,0.06060606060606061,0.67809004,0.16493036,True,WT vs Fezf2_KO,WT,Fezf2_KO
Car8,0.9692,0.03080000000000005,3.4489559846053557,4.0242285e-05,7.749521e-06,0.0,0.25,3.2559602,3.4086766,2.7626107,-7.5725718,10.172899,1.7682925,0.0,0.1097560975609756,0.0,0.7309545,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hsd17b13,0.9638,0.03620000000000001,3.2818244195070476,7.262534e-06,7.5246294e-07,0.0,0.25,3.1085458,3.1277542,2.048169,-3.8346825,8.948005,0.1097561,0.0,0.08536585365853658,0.0,0.070353135,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cyp2c68,0.9632,0.036800000000000055,3.264762968022636,1.2837511e-05,1.0230935e-06,0.0,0.25,3.0646732,3.0773592,2.178511,-3.4742832,8.873997,0.2195122,0.0,0.1097560975609756,0.0,0.09663542,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm9917,0.9934,0.00660000000000005,5.014062248556934,9.9103045e-06,1.1895308e-06,0.0,0.25,3.0375898,3.0526228,1.1485565,-0.5884094,6.427083,0.08536585,0.0,0.06097560975609756,0.0,0.041896123,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nlrp6,0.967,0.03300000000000003,3.377690641297818,2.5360432e-05,4.015364e-06,0.0,0.25,3.0275538,2.9633083,1.9375482,-2.8585987,9.186835,0.20731708,0.060606062,0.1097560975609756,0.030303030303030304,0.11530629,0.037645854,True,WT vs Fezf2_KO,WT,Fezf2_KO
Mgam,0.9922,0.007800000000000029,4.845799694199552,0.00015967217,1.8681048e-05,0.0,0.25,3.021886,2.9754753,1.4272354,-1.2993813,10.161865,2.6341455,0.15151516,0.5000000000000002,0.12121212121212122,1.5850611,0.0970128,True,WT vs Fezf2_KO,WT,Fezf2_KO
4930452B06Rik,0.993,0.007000000000000006,4.954819096489944,0.00010390712,1.3589779e-05,0.0,0.25,3.0058348,3.0044818,1.4286077,-2.4125576,7.7366695,1.6097558,0.09090909,0.5487804878048783,0.09090909090909091,1.0910056,0.054149818,True,WT vs Fezf2_KO,WT,Fezf2_KO
Unc13b,0.9676,0.032399999999999984,3.3966600576305104,3.350212e-05,3.6328024e-06,0.0,0.25,2.9889832,3.0674639,2.037544,-3.938222,9.433617,0.12195122,0.0,0.08536585365853658,0.0,0.09254949,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Galnt5,0.9686,0.031399999999999983,3.429043528907814,2.232554e-05,2.9727237e-06,0.0,0.25,2.974516,3.0674806,1.8112985,-3.6096573,8.721995,0.19512196,0.0,0.14634146341463414,0.0,0.16501035,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Smtnl1,0.9626,0.03739999999999999,3.2479669954574106,7.1371906e-05,7.72757e-06,0.0,0.25,2.9676802,2.9292707,2.129028,-2.784359,10.183678,0.8414633,0.030303031,0.26829268292682934,0.030303030303030304,0.44391286,0.022892673,True,WT vs Fezf2_KO,WT,Fezf2_KO
Tenm1,0.9638,0.03620000000000001,3.2818244195070476,0.00017870855,2.808164e-05,0.0,0.25,2.9598517,3.0431557,2.368984,-4.883293,9.218196,1.0609756,0.15151516,0.06097560975609756,0.030303030303030304,0.564237,0.08913705,True,WT vs Fezf2_KO,WT,Fezf2_KO
Erv3,0.9576,0.04239999999999999,3.1172815665995963,5.4909997e-05,6.9343955e-06,0.0,0.25,2.954168,2.924962,2.6253512,-6.051915,11.789878,0.25609756,0.0,0.06097560975609756,0.0,0.1596215,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
