,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
C1ql4,0.9656,0.034399999999999986,3.3346928250625925,5.869309e-06,9.129893e-07,0.0,0.25,3.5535257,3.137289,4.0229692,-13.702967,20.63907,0.109263666,0.012406948,0.08076009501187646,0.012406947890818858,0.041088548,0.0048109544,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm14275,0.9646,0.03539999999999999,3.305001415376299,0.00010517608,1.9929774e-05,0.0,0.25,2.9328668,2.6726084,2.812034,-5.9562244,12.958081,3.3705451,0.37965256,0.5581947743467947,0.21091811414392037,1.2359887,0.14413115,True,WT vs Fezf2_KO,WT,Fezf2_KO
2310016D03Rik,0.9614,0.03859999999999997,3.2151380303232497,3.4358259e-06,4.2726757e-07,0.0,0.25,2.8612401,2.8991451,2.3764744,-7.010931,11.736223,0.12589073,0.0024813896,0.05700712589073636,0.0024813895781637717,0.045083124,0.00086123473,True,WT vs Fezf2_KO,WT,Fezf2_KO
4933417O13Rik,0.973,0.027000000000000024,3.5845468560888656,3.9364068e-06,7.5263534e-07,0.0,0.25,2.5811362,2.6386032,1.4750483,-4.88229,8.049976,0.0807601,0.004962779,0.07125890736342043,0.004962779156327543,0.03284826,0.0013404546,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fgf10,0.9564,0.04359999999999997,3.088118866327286,9.767109e-06,2.0177408e-06,0.0,0.25,2.483361,2.4512768,3.1975136,-7.5161953,11.690708,0.18289782,0.024813896,0.06650831353919241,0.014888337468982629,0.06773691,0.013083785,True,WT vs Fezf2_KO,WT,Fezf2_KO
Chst3,0.9708,0.029200000000000004,3.5039514324132983,1.0304986e-05,1.9850866e-06,0.0,0.25,2.4641564,2.539402,1.5587671,-4.571905,8.742051,0.22327767,0.042183623,0.16389548693586697,0.03970223325062035,0.08190301,0.015842011,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm48239,0.945,0.05500000000000005,2.843851571025116,0.00018292129,4.2143678e-05,0.0,0.25,2.442109,2.3498707,2.4229977,-5.7108936,10.125012,4.372923,0.7717125,0.6413301662707854,0.3225806451612907,1.7424874,0.30094665,True,WT vs Fezf2_KO,WT,Fezf2_KO
Grm4,0.9504,0.04959999999999998,2.9528919237865017,1.01655805e-05,3.4643763e-06,0.0,0.25,2.4233778,2.526781,2.947636,-8.033584,11.149109,0.19002365,0.014888337,0.0902612826603325,0.0024813895781637717,0.09090656,0.0055929143,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hmx2,0.9388,0.06120000000000003,2.7304551217118043,1.8350709e-05,4.325912e-06,0.0,0.25,2.4167597,2.312663,2.7145193,-6.5931034,12.316315,0.15201895,0.012406948,0.07838479809976245,0.012406947890818858,0.057441507,0.004606099,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pdyn,0.9478,0.052200000000000024,2.8990608336247803,1.8135072e-05,4.969069e-06,0.0,0.25,2.3876126,2.1546984,3.046438,-7.9039564,14.381189,0.33254135,0.052109182,0.19714964370546328,0.04218362282878412,0.11718143,0.018251125,True,WT vs Fezf2_KO,WT,Fezf2_KO
6330409D20Rik,0.945,0.05500000000000005,2.843851571025116,4.191943e-06,1.152735e-06,0.0,0.25,2.3693204,2.3448,2.3963807,-4.9925175,10.854347,0.076009504,0.009925558,0.06175771971496439,0.009925558312655087,0.025731292,0.003516209,True,WT vs Fezf2_KO,WT,Fezf2_KO
Stkld1,0.9516,0.0484,2.978644768603285,8.643888e-06,2.0334485e-06,0.0,0.25,2.3121948,2.3198833,1.871711,-4.5011206,9.7115345,0.14251779,0.027295286,0.0902612826603325,0.027295285359801483,0.049901243,0.010171305,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fxyd4,0.9516,0.0484,2.978644768603285,1.0396227e-05,2.4993103e-06,0.0,0.25,2.228511,2.2508936,1.7405105,-4.0181446,8.198102,0.16389541,0.047146402,0.14251781472684077,0.044665012406947896,0.057910867,0.017618256,True,WT vs Fezf2_KO,WT,Fezf2_KO
4732471J01Rik,0.9746,0.025399999999999978,3.6472775729448257,1.21699795e-05,2.6800142e-06,0.0,0.25,2.2056856,2.21319,1.1505194,-2.2919388,7.241213,0.09501188,0.012406948,0.0641330166270784,0.012406947890818858,0.03499344,0.0046572266,True,WT vs Fezf2_KO,WT,Fezf2_KO
Akr1cl,0.9466,0.0534,2.8750656948042224,4.2627626e-06,1.025393e-06,0.0,0.25,2.192904,2.249609,2.7593818,-6.9838743,11.050127,0.13539192,0.014888337,0.05700712589073636,0.012406947890818858,0.042613532,0.0056288014,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm15247,0.9512,0.048799999999999955,2.969993838112496,4.4741964e-06,1.0395897e-06,0.0,0.25,2.1894188,2.23917,1.647447,-3.757492,8.050299,0.10688837,0.022332506,0.09976247030878853,0.01985111662531017,0.040311195,0.009498694,True,WT vs Fezf2_KO,WT,Fezf2_KO
