,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gm5105,0.976,0.02400000000000002,3.705408349644468,9.901618e-06,1.4052314e-06,0.0,0.25,2.8929904,2.8590298,1.5734203,-1.8842964,8.501552,0.07033641,0.025974026,0.06116207951070335,0.025974025974025976,0.056486256,0.026476081,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cd200r3,0.9664,0.03359999999999996,3.359051472940072,1.2638199e-05,1.8030238e-06,0.0,0.25,2.842855,2.7589269,1.8873246,-4.5466824,9.3207855,0.18042818,0.012987013,0.10397553516819577,0.012987012987012988,0.13053077,0.0124349035,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gimap3,0.9724,0.027599999999999958,3.561951117683924,7.086755e-05,1.23812715e-05,0.0,0.25,2.633204,2.5905528,1.518197,-3.2376347,7.228613,0.21406734,0.077922076,0.09480122324159025,0.06493506493506494,0.14304072,0.050741997,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nrgn,0.9564,0.04359999999999997,3.088118866327286,0.0003041957,5.4246808e-05,0.0,0.25,2.5867255,2.5509667,2.0806715,-4.515009,9.477675,3.3516822,0.948052,0.4770642201834873,0.27272727272727276,2.9308121,0.6403057,True,WT vs Fezf2_KO,WT,Fezf2_KO
4931422A03Rik,0.9554,0.04459999999999997,3.0643960281814424,5.3480835e-06,1.5711291e-06,0.0,0.25,2.57305,2.6351671,2.7383466,-7.210457,13.333414,0.05198778,0.012987013,0.05198776758409785,0.012987012987012988,0.042538647,0.0060749426,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm19990,0.9616,0.03839999999999999,3.2205408541699643,5.2157033e-05,8.875357e-06,0.0,0.25,2.564461,2.735015,2.8426821,-9.190531,11.924722,0.19571869,0.051948052,0.09174311926605508,0.03896103896103896,0.1225086,0.041620575,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm42609,0.9546,0.045399999999999996,3.0457800897357927,1.7887458e-05,5.3604294e-06,0.0,0.25,2.514972,2.5559216,3.2131279,-7.507208,10.659512,0.14678903,0.064935066,0.1009174311926606,0.06493506493506494,0.10180522,0.051442843,True,WT vs Fezf2_KO,WT,Fezf2_KO
Oas3,0.9708,0.029200000000000004,3.5039514324132983,4.0515893e-05,7.0321084e-06,0.0,0.25,2.5100355,2.5751767,1.4566925,-3.4901323,6.8124924,0.11314988,0.064935066,0.07951070336391439,0.05194805194805195,0.10181559,0.0400252,True,WT vs Fezf2_KO,WT,Fezf2_KO
1810006J02Rik,0.9632,0.036800000000000055,3.264762968022636,1.113583e-05,2.5803154e-06,0.0,0.25,2.4600167,2.5511847,2.2463946,-6.3772335,9.387591,0.11926607,0.0,0.05198776758409785,0.0,0.06480863,0.0,True,WT vs Fezf2_KO,WT,Fezf2_KO
Traf3ip3,0.9486,0.0514,2.9153488569717028,6.419929e-06,1.3414083e-06,0.0,0.25,2.4184072,2.4036303,2.088488,-4.9319267,8.752332,0.08868503,0.038961038,0.06422018348623852,0.025974025974025976,0.054511152,0.022385642,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ctsk,0.9546,0.045399999999999996,3.0457800897357927,2.888414e-05,4.370702e-06,0.0,0.25,2.407935,2.3617592,1.898234,-4.8173485,8.893531,0.33944958,0.038961038,0.1009174311926606,0.03896103896103896,0.22043791,0.034231827,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pbx4,0.9588,0.041200000000000014,3.1472440139160347,1.798076e-05,3.491151e-06,0.0,0.25,2.3815343,2.3254194,1.5804868,-2.4599037,8.53509,0.1253823,0.064935066,0.1009174311926606,0.06493506493506494,0.10811576,0.033992942,True,WT vs Fezf2_KO,WT,Fezf2_KO
