,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Krt84,0.9628,0.03720000000000001,3.2535366861990203,1.7005368e-05,3.2436537e-06,0.0,0.25,3.3063755,3.3233528,3.9347174,-9.121896,14.582227,0.2517779,0.029295795,0.060881526224508736,0.013098591549295761,0.14433837,0.014597943,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nefh,0.957,0.04300000000000004,3.1026030536505993,3.2353233e-05,8.625894e-06,0.0,0.25,3.2176273,3.4550877,4.0537415,-9.908572,12.20913,0.37958202,0.09887329,0.06542670892889219,0.01774647887323943,0.20821786,0.04466136,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pck1,0.9648,0.03520000000000001,3.310874469642843,3.353286e-05,4.0768673e-06,0.0,0.25,2.9575918,3.0169835,2.832707,-8.467438,12.385395,0.39854074,0.01830986,0.07367980383948283,0.006056338028169017,0.2268392,0.009902914,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sis,0.963,0.03700000000000003,3.2591352392678825,4.3285665e-05,6.588616e-06,0.0,0.25,2.9022577,3.0128183,3.8971443,-11.910236,15.055795,0.4294599,0.04281691,0.05980503558399679,0.014366197183098573,0.24187231,0.024186939,True,WT vs Fezf2_KO,WT,Fezf2_KO
Il25,0.9662,0.03380000000000005,3.3529097641232113,2.0518488e-05,2.9136008e-06,0.0,0.25,2.8629332,2.8159447,2.3705873,-6.70922,10.763482,0.15333997,0.021126764,0.05209018599366116,0.008732394366197186,0.10713553,0.014957836,True,WT vs Fezf2_KO,WT,Fezf2_KO
Calb1,0.9632,0.036800000000000055,3.264762968022636,2.7061353e-05,5.867755e-06,0.0,0.25,2.850849,2.9201174,3.557879,-8.907259,10.619834,0.44752136,0.028591555,0.11279229711141242,0.013239436619718296,0.2558484,0.01415744,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fmo3,0.9588,0.041200000000000014,3.1472440139160347,6.577717e-05,1.6591262e-05,0.0,0.25,2.5816624,2.5260205,3.5707767,-8.430032,12.693296,0.64930195,0.1319719,0.06997189163327544,0.018732394366197187,0.41539225,0.067801364,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ins2,0.9544,0.045599999999999974,3.041174945442932,2.785477e-05,1.1328265e-05,0.0,0.25,2.566234,2.5945148,3.7609212,-9.111826,11.10147,0.6749577,0.25394374,0.05250882124274914,0.02140845070422538,0.36156458,0.11613555,True,WT vs Fezf2_KO,WT,Fezf2_KO
Chrna10,0.9558,0.04420000000000002,3.0738236812785265,2.4871904e-05,4.7902e-06,0.0,0.25,2.5485868,2.638473,2.525483,-8.211871,10.318664,0.17654341,0.029014107,0.08211231385682545,0.020704225352112696,0.10947489,0.015922505,True,WT vs Fezf2_KO,WT,Fezf2_KO
Slc5a1,0.9558,0.04420000000000002,3.0738236812785265,3.399132e-05,8.898987e-06,0.0,0.25,2.5467784,2.6624002,3.0902326,-8.3285885,11.318597,0.20495085,0.07028179,0.06393158303929243,0.03169014084507053,0.11743636,0.036608186,True,WT vs Fezf2_KO,WT,Fezf2_KO
Smtnl1,0.9592,0.04079999999999995,3.157417287630535,0.00012063148,2.1822689e-05,0.0,0.25,2.5289826,2.5357819,3.1510758,-7.1543007,12.822834,1.6245431,0.14169037,0.24926738831410689,0.04211267605633823,0.9928527,0.07139791,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nlrp6,0.9568,0.043200000000000016,3.0977536669163523,2.7820823e-05,5.670868e-06,0.0,0.25,2.4665296,2.5786915,2.764529,-7.3593426,10.346257,0.16553979,0.030704238,0.05490102266610902,0.011690140845070415,0.10265885,0.014796686,True,WT vs Fezf2_KO,WT,Fezf2_KO
Aldob,0.965,0.03500000000000003,3.316779764498021,5.2852036e-05,1.4478859e-05,0.0,0.25,2.4541683,2.687458,3.7284122,-9.820832,12.942757,0.67507714,0.112676114,0.06787871538783578,0.014929577464788712,0.37607476,0.058452956,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cryba2,0.9484,0.05159999999999998,2.911254498449377,5.5907683e-05,1.8746141e-05,0.0,0.25,2.388773,2.4292908,3.0963151,-10.046722,10.336641,0.39327782,0.15915509,0.09024579869624812,0.027746478873239517,0.22981684,0.078826,True,WT vs Fezf2_KO,WT,Fezf2_KO
Myh15,0.9542,0.04579999999999995,3.036588994101264,2.3609347e-05,5.4884326e-06,0.0,0.25,2.3362086,2.4477253,2.6732247,-6.5713654,10.786359,0.23927781,0.026056347,0.08653788649004072,0.010704225352112672,0.15037237,0.016447408,True,WT vs Fezf2_KO,WT,Fezf2_KO
Saa3,0.95,0.050000000000000044,2.9444387896927755,0.0004038951,9.2242015e-05,0.0,0.25,2.3279035,2.4077349,3.0677516,-8.569551,10.542237,11.576771,1.1187322,0.37796782489088365,0.07605633802816883,6.3535495,0.55140364,True,WT vs Fezf2_KO,WT,Fezf2_KO
Resp18,0.952,0.04800000000000004,2.987363826054364,0.00020884257,3.8599093e-05,0.0,0.25,2.2997642,2.348463,2.9653168,-7.7889576,13.209302,3.3904889,0.4474657,0.34106811793555314,0.08408450704225301,2.151552,0.23482266,True,WT vs Fezf2_KO,WT,Fezf2_KO
Adra2a,0.9484,0.05159999999999998,2.911254498449377,2.4175866e-05,4.722255e-06,0.0,0.25,2.2911177,2.3274336,2.085309,-5.7045546,9.339674,0.12331859,0.016901402,0.06082172118892474,0.011971830985915484,0.087918535,0.009717885,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lrrn3,0.9484,0.05159999999999998,2.911254498449377,2.1807182e-05,4.0650875e-06,0.0,0.25,2.2731473,2.3888655,2.4062092,-6.787034,10.067297,0.13797033,0.025633816,0.05053525506847723,0.0136619718309859,0.08785339,0.017639317,True,WT vs Fezf2_KO,WT,Fezf2_KO
Mep1a,0.9528,0.04720000000000002,3.005010924080578,7.421149e-05,2.1264677e-05,0.0,0.25,2.2723272,2.3773918,2.9086854,-7.794218,9.289084,0.8580113,0.21239486,0.250822319239291,0.07985915492957713,0.49159744,0.10662045,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gsta1,0.9578,0.042200000000000015,3.122218540340339,7.992498e-05,2.0873596e-05,0.0,0.25,2.2670703,2.298451,3.3444738,-8.273769,12.201314,0.9271514,0.15267628,0.12152383230667499,0.049718309859155194,0.49090284,0.07466889,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hmx2,0.9552,0.04479999999999995,3.0597123904721504,2.287095e-05,7.436494e-06,0.0,0.25,2.2431319,2.3565445,2.950177,-8.435565,10.61317,0.12391683,0.012816898,0.06219723700735667,0.006619718309859159,0.08323811,0.007036499,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lyz1,0.9502,0.049799999999999955,2.948657314443122,0.00020586433,5.4296543e-05,0.0,0.25,2.2260144,2.3083444,2.8717394,-7.5701313,10.373178,4.87752,0.97957927,0.2978290772083182,0.11211267605633637,2.751607,0.47925562,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sult1c2,0.9486,0.0514,2.9153488569717028,3.299574e-05,1.06785465e-05,0.0,0.25,2.2093217,2.109497,2.7794147,-6.8443146,9.309637,0.35362488,0.097324155,0.16924825070270944,0.056338028169014405,0.20829684,0.049779166,True,WT vs Fezf2_KO,WT,Fezf2_KO
