,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Apoc2,0.9828,0.017199999999999993,4.045495685607447,3.6533616e-05,5.1968957e-05,0.0,0.25,-4.0213523,-4.2761765,5.2532434,-19.419952,10.654436,0.94198674,0.84169096,0.044195921296573536,0.05225352112676085,0.5136665,0.4071075,True,WT vs Fezf2_KO,WT,Fezf2_KO
1500015L24Rik,0.9582,0.04179999999999995,3.132159956120126,1.442297e-05,7.340725e-05,0.0,0.25,-3.5237727,-3.8097067,2.5182536,-10.123623,3.4516745,0.098678835,0.92718685,0.0470665630046054,0.2932394366197178,0.071020804,0.6002191,True,WT vs Fezf2_KO,WT,Fezf2_KO
Csmd1,0.967,0.03300000000000003,3.377690641297818,0.00023454995,0.00089308404,0.0,0.25,-3.1657019,-3.4851167,2.6900673,-10.07576,5.4500885,2.7784338,12.1027155,0.2776747802165088,0.7301408450704903,2.1045842,9.607504,True,WT vs Fezf2_KO,WT,Fezf2_KO
Dcc,0.9608,0.03920000000000001,3.199089279275342,1.9541058e-05,9.298651e-05,0.0,0.25,-2.8950763,-2.9479337,3.2961893,-13.12026,8.101569,0.1202682,1.0726768,0.029244662400574255,0.15154929577464463,0.09272652,0.9679201,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gpc5,0.9632,0.036800000000000055,3.264762968022636,2.6674772e-05,8.454769e-05,0.0,0.25,-2.7800903,-2.9557304,2.964681,-12.573626,8.086311,0.2546484,0.93380594,0.06405119311046041,0.23197183098590896,0.19218364,0.7057031,True,WT vs Fezf2_KO,WT,Fezf2_KO
5730522E02Rik,0.9556,0.044399999999999995,3.0690997312529054,1.42287e-05,3.647461e-05,0.0,0.25,-2.6384683,-3.0230799,2.498186,-9.181091,5.1223354,0.11207515,0.31155035,0.048980324143293306,0.14098591549295492,0.07686616,0.24152118,True,WT vs Fezf2_KO,WT,Fezf2_KO
6030407O03Rik,0.9538,0.04620000000000002,3.0274740018106154,4.1151674e-05,0.00019604301,0.0,0.25,-2.6106772,-2.6684551,2.7936468,-10.394792,8.501307,0.26074824,1.4302622,0.07744752108127421,0.3045070422535224,0.24004722,1.4943056,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nlgn1,0.9552,0.04479999999999995,3.0597123904721504,0.00013940234,0.00032766483,0.0,0.25,-2.4825692,-2.912269,2.4950495,-8.766211,6.477289,1.5658367,3.539232,0.2718138867292764,0.5660563380282111,1.1563419,2.7264965,True,WT vs Fezf2_KO,WT,Fezf2_KO
Frmpd4,0.9472,0.05279999999999996,2.886998894581037,4.9748538e-05,9.352875e-05,0.0,0.25,-2.444723,-2.73274,2.5375764,-12.971114,7.162671,0.604982,1.1926728,0.0806171879672257,0.1715492957746438,0.46647346,0.71936834,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ror1,0.9572,0.04279999999999995,3.1074740302487736,4.1757707e-05,0.0001279662,0.0,0.25,-2.4397545,-2.760579,2.1153946,-8.10448,4.617673,0.3810203,1.6488353,0.14753902278571596,0.4381690140845292,0.24417503,1.0085857,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hs3st5,0.95,0.050000000000000044,2.9444387896927755,2.5871917e-05,6.1489016e-05,0.0,0.25,-2.402475,-2.7269034,2.292002,-10.728903,4.98499,0.32306856,0.6212697,0.09969499431851857,0.16169014084506675,0.19053644,0.35862634,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ctnnd2,0.9498,0.05020000000000002,2.9402362207427024,0.00017555697,0.00045445978,0.0,0.25,-2.2951903,-2.647472,2.2262356,-8.272986,5.4556093,2.4110715,5.636053,0.4796363853836906,0.8421126760564233,1.7032949,4.332825,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gabrb1,0.9472,0.05279999999999996,2.886998894581037,2.428352e-05,8.288664e-05,0.0,0.25,-2.2480319,-2.3309202,1.6594518,-7.5421925,3.1983109,0.1335451,1.0284516,0.06698163985407593,0.46760563380284365,0.0913658,0.70629936,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sulf1,0.9518,0.04820000000000002,2.982995710668006,6.1206105e-05,0.00021322694,0.0,0.25,-2.2120986,-2.3340364,1.9437467,-8.374818,4.9917564,0.6129895,2.7061234,0.22343161294181713,0.6528169014085063,0.49287713,2.1126,True,WT vs Fezf2_KO,WT,Fezf2_KO
Lingo2,0.955,0.04500000000000004,3.0550486389594163,8.852597e-05,0.00021199853,0.0,0.25,-2.195044,-2.3419728,2.778073,-10.276224,6.862273,0.7907302,1.858978,0.15148615513426023,0.38070422535212584,0.6061295,1.6541108,True,WT vs Fezf2_KO,WT,Fezf2_KO
Kcnb2,0.9486,0.0514,2.9153488569717028,6.160742e-05,0.00015467514,0.0,0.25,-2.1836374,-2.383304,2.2410493,-9.066339,5.4682016,0.4994926,1.3520975,0.12559057472638646,0.2942253521126757,0.39655828,1.0845263,True,WT vs Fezf2_KO,WT,Fezf2_KO
Zfp804b,0.9542,0.04579999999999995,3.036588994101264,3.0225572e-05,4.6519897e-05,0.0,0.25,-2.1748576,-2.5938878,2.8704255,-8.964329,8.9228735,0.33060205,0.4321138,0.05765205430297289,0.0964788732394356,0.22551559,0.2663604,True,WT vs Fezf2_KO,WT,Fezf2_KO
Schip1,0.9536,0.0464,3.0229446320482345,3.1725554e-05,9.050273e-05,0.0,0.25,-2.1667845,-2.2849755,2.256415,-8.455582,5.2117004,0.3529717,0.9385958,0.16829137013336537,0.4190140845070614,0.2628827,0.8012583,True,WT vs Fezf2_KO,WT,Fezf2_KO
Grid2,0.9526,0.0474,3.0005726591928727,3.6030175e-05,7.998833e-05,0.0,0.25,-2.0861664,-2.3330917,2.2340178,-9.375821,5.4427967,0.4223444,0.96577746,0.09538903175647127,0.18830985915492482,0.26924962,0.5837667,True,WT vs Fezf2_KO,WT,Fezf2_KO
Grm8,0.9438,0.05620000000000003,2.820997355052179,3.6517067e-05,7.342189e-05,0.0,0.25,-2.0681422,-2.1963363,2.5480678,-11.176891,6.8248234,0.22265254,0.4400013,0.055917708271036974,0.1184507042253502,0.15774159,0.34243843,True,WT vs Fezf2_KO,WT,Fezf2_KO
Grip1,0.9498,0.05020000000000002,2.9402362207427024,6.42498e-05,0.00014275002,0.0,0.25,-2.0676959,-2.3169117,2.5060184,-9.915587,6.8111324,0.533573,1.2630848,0.15591172776747653,0.38816901408452137,0.43019786,1.1289101,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cntnap5b,0.9518,0.04820000000000002,2.982995710668006,1.5590995e-05,2.0647414e-05,0.0,0.25,-1.9709929,-2.01716,3.1160078,-11.493959,7.747033,0.2615261,0.22295815,0.07332097362597889,0.06901408450704236,0.16108271,0.12930907,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sntg1,0.9516,0.0484,2.978644768603285,4.6593963e-05,9.2650786e-05,0.0,0.25,-1.9583545,-2.1339993,2.324493,-8.691496,6.2093782,0.56353456,1.3950528,0.15800490401291667,0.33591549295775264,0.37689558,0.856822,True,WT vs Fezf2_KO,WT,Fezf2_KO
Bnc2,0.9466,0.0534,2.8750656948042224,1.4942847e-05,3.3874516e-05,0.0,0.25,-1.9167402,-2.0293322,2.7380555,-10.420215,8.335647,0.124754,0.30746597,0.06231684707852467,0.16014084507041892,0.108677015,0.29295358,True,WT vs Fezf2_KO,WT,Fezf2_KO
Msln,0.9404,0.059599999999999986,2.7586495854431625,0.00015864668,0.0005388,0.0,0.25,-1.8592496,-1.9956245,1.8400191,-7.472769,7.2500286,2.196667,10.991304,0.4230608217212227,0.765211267605707,1.3414774,5.951245,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cdh3,0.9404,0.059599999999999986,2.7586495854431625,3.316985e-05,0.00010432577,0.0,0.25,-1.8495818,-1.9977288,1.8350075,-6.7031765,4.4238625,0.32474032,1.0135238,0.19837330303211942,0.4660563380281955,0.25620204,0.89607304,True,WT vs Fezf2_KO,WT,Fezf2_KO
Krt5,0.9418,0.05820000000000003,2.7839074218687356,0.000357362,0.0007965235,0.0,0.25,-1.8131719,-2.0298362,3.0936253,-10.675068,7.923131,5.1089263,11.554133,0.4490760122002645,0.7425352112676753,3.4678361,8.117763,True,WT vs Fezf2_KO,WT,Fezf2_KO
Grid1,0.9534,0.046599999999999975,3.0184337975356508,2.7678716e-05,5.0366867e-05,0.0,0.25,-1.8092209,-1.996685,2.7635562,-10.354867,8.501068,0.35715756,0.7976083,0.11865319059864346,0.1929577464788683,0.21950422,0.41262394,True,WT vs Fezf2_KO,WT,Fezf2_KO
B4galnt3,0.9468,0.053200000000000025,2.879029303884215,1.3307962e-05,2.6403854e-05,0.0,0.25,-1.7527785,-1.9091053,2.0454395,-7.429886,5.046464,0.13641502,0.2094373,0.07505531965791461,0.10957746478873084,0.07994044,0.13474548,True,WT vs Fezf2_KO,WT,Fezf2_KO
Esrrg,0.9582,0.04179999999999995,3.132159956120126,0.0001237849,0.00013643588,0.0,0.25,-1.7425565,-2.0862865,2.8188443,-9.097147,8.464277,2.0996974,2.2169976,0.3084743735422709,0.41859154929579373,1.3555714,1.2922759,True,WT vs Fezf2_KO,WT,Fezf2_KO
Kcnq3,0.9414,0.058599999999999985,2.776633272358103,0.0002086622,0.0006171838,0.0,0.25,-1.7399373,-1.8226767,2.6739192,-10.22893,8.034671,2.339476,6.7345476,0.42042940015552654,0.61887323943667,1.7695172,5.8760962,True,WT vs Fezf2_KO,WT,Fezf2_KO
Adcy2,0.9424,0.057599999999999985,2.794907082195586,5.9574686e-05,0.00014715495,0.0,0.25,-1.7274764,-1.8529477,2.422496,-8.565283,7.88151,0.4441148,1.1849222,0.14269481490341163,0.3254929577464834,0.38908547,1.1661342,True,WT vs Fezf2_KO,WT,Fezf2_KO
Eya4,0.9356,0.06440000000000001,2.676074257008553,0.00014697698,0.00041417556,0.0,0.25,-1.7187986,-1.8343916,1.7770745,-7.203185,4.7675524,1.9036905,5.3178825,0.5464386101310231,0.8411267605634654,1.4193356,4.2688293,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ppp2r2b,0.9402,0.059799999999999964,2.755086801045413,2.0795667e-05,5.570522e-05,0.0,0.25,-1.710537,-1.6947517,2.291897,-9.426793,6.4641647,0.10920451,0.4640862,0.04730578314694139,0.17901408450703787,0.08847386,0.416443,True,WT vs Fezf2_KO,WT,Fezf2_KO
Dpp6,0.9362,0.06379999999999997,2.6860757924569056,8.9305686e-05,0.00022161003,0.0,0.25,-1.6994243,-1.7928343,2.2494128,-8.002255,6.935134,0.6900198,2.0348828,0.15938041983134876,0.4430985915493187,0.6115789,1.9526119,False,WT vs Fezf2_KO,WT,Fezf2_KO
Slc35f1,0.9352,0.06479999999999997,2.669454663171554,2.3804392e-05,5.792135e-05,0.0,0.25,-1.6886781,-1.8282242,2.200296,-10.694101,7.6181993,0.13713272,0.3890156,0.06058250104658875,0.17042253521126358,0.11411385,0.36285418,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ccl19,0.932,0.06799999999999995,2.6178249731802863,0.00016942646,0.00036350533,0.0,0.25,-1.6715814,-1.8093672,2.4752371,-9.128048,6.8711395,3.2757163,5.684533,0.5043956701154683,0.7046478873240074,1.9443684,3.953011,False,WT vs Fezf2_KO,WT,Fezf2_KO
Hpse2,0.9516,0.0484,2.978644768603285,8.015913e-05,7.5467644e-05,0.0,0.25,-1.6571658,-1.9798422,2.8160748,-9.488584,7.4270105,1.093072,0.5101424,0.16320794210872502,0.13507042253520868,0.75508213,0.41189733,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hs3st4,0.9378,0.06220000000000003,2.713181556801915,2.0155201e-05,4.1047624e-05,0.0,0.25,-1.6440828,-1.7743912,2.7723541,-11.301676,9.411951,0.112075,0.27338117,0.04096644937503769,0.11901408450704032,0.09636954,0.26098123,False,WT vs Fezf2_KO,WT,Fezf2_KO
Npas3,0.9396,0.06040000000000001,2.744464992923915,1.56887e-05,3.2758915e-05,0.0,0.25,-1.6419963,-1.782856,2.3454626,-8.802472,7.8975925,0.10358281,0.27971932,0.04455475151007752,0.13676056338027903,0.07229055,0.23566648,True,WT vs Fezf2_KO,WT,Fezf2_KO
Frmd5,0.9358,0.06420000000000003,2.679398422659016,2.3657642e-05,4.85344e-05,0.0,0.25,-1.6273642,-1.6975183,1.9405074,-7.7469835,4.519641,0.2493235,0.5600021,0.09652532743256709,0.19084507042253035,0.15359236,0.30967435,False,WT vs Fezf2_KO,WT,Fezf2_KO
Zfpm2,0.936,0.06399999999999995,2.682732247551694,2.5563315e-05,6.031822e-05,0.0,0.25,-1.626042,-1.6931329,2.2582986,-7.346505,6.1628056,0.15447536,0.44267786,0.0684169607080917,0.19464788732393865,0.12264591,0.41715837,False,WT vs Fezf2_KO,WT,Fezf2_KO
Bmpr1b,0.9402,0.059799999999999964,2.755086801045413,2.7793667e-05,6.851106e-05,0.0,0.25,-1.6040949,-1.6944976,2.4163399,-8.421161,7.3119764,0.12762438,0.4707061,0.054661802523773034,0.19169014084506553,0.10898234,0.4290951,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fat3,0.9322,0.06779999999999997,2.6209850522269886,4.45903e-05,0.00012665069,0.0,0.25,-1.6019305,-1.6665592,2.288701,-8.782326,5.7700415,0.27540073,0.9795817,0.10274505113330207,0.29873239436619753,0.2521939,1.0026783,False,WT vs Fezf2_KO,WT,Fezf2_KO
Mill1,0.9408,0.05920000000000003,2.7658088769647486,3.4429326e-05,6.5365835e-05,0.0,0.25,-1.5976695,-1.671277,2.706986,-10.258084,8.141623,0.28933457,0.54943866,0.11697864960229173,0.22140845070421925,0.23094065,0.456061,True,WT vs Fezf2_KO,WT,Fezf2_KO
Casr,0.9308,0.06920000000000004,2.5990434350392984,1.8596354e-05,3.840818e-05,0.0,0.25,-1.584743,-1.6076493,2.0513048,-8.169502,6.5334015,0.15668787,0.39042413,0.09209975479935181,0.2045070422535157,0.10681049,0.25781938,False,WT vs Fezf2_KO,WT,Fezf2_KO
Mdga2,0.9458,0.054200000000000026,2.859350047835406,6.538153e-05,0.00012085155,0.0,0.25,-1.572191,-1.736371,2.5258121,-9.039686,6.9872932,0.5398538,0.9312713,0.14574487171819583,0.2523943661971762,0.40590128,0.8585241,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pcdh15,0.9348,0.06520000000000004,2.662872991055349,4.6306606e-05,0.00011329465,0.0,0.25,-1.5700397,-1.6363292,1.803573,-7.806691,5.772934,0.41833872,1.5412428,0.14191734944081957,0.31943661971831344,0.22765075,0.83883005,False,WT vs Fezf2_KO,WT,Fezf2_KO
Adamts19,0.9372,0.06279999999999997,2.702941484593913,1.3822148e-05,2.943939e-05,0.0,0.25,-1.4524041,-1.5184908,2.411347,-8.870159,7.8636446,0.06602505,0.18000059,0.033550624962622046,0.09267605633802731,0.058894813,0.1729285,False,WT vs Fezf2_KO,WT,Fezf2_KO
Bmp6,0.9284,0.0716,2.562367471540107,1.4295794e-05,3.1882897e-05,0.0,0.25,-1.368246,-1.4091511,1.8110256,-7.6648703,4.9619646,0.14861463,0.31718412,0.08211231385682545,0.11830985915492767,0.10207855,0.21622981,False,WT vs Fezf2_KO,WT,Fezf2_KO
