,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Chil4,0.9742,0.025800000000000045,3.631241752112877,3.4466906e-05,4.6573086e-06,0.0,0.25,2.8778005,2.8642626,1.6804732,-3.7389336,9.82575,0.28647217,0.021978023,0.05039787798408488,0.010989010989010988,0.35328284,0.013247021,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ttll11,0.955,0.04500000000000004,3.0550486389594163,6.9929024e-06,1.6757499e-06,0.0,0.25,1.9320182,1.926857,1.1593854,-2.5489311,6.06651,0.05835543,0.014652015,0.05305039787798408,0.014652014652014652,0.053537495,0.013979483,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm553,0.9386,0.06140000000000001,2.7269794159949496,8.624463e-06,3.3064193e-06,0.0,0.25,1.85325,1.9144611,2.2130177,-6.29187,8.442922,0.07161803,0.0073260074,0.05039787798408488,0.007326007326007326,0.053076614,0.0048597185,True,WT vs Fezf2_KO,WT,Fezf2_KO
Me3,0.95,0.050000000000000044,2.9444387896927755,1.2499962e-05,3.5912544e-06,0.0,0.25,1.81384,1.8726525,2.2942507,-5.569996,8.2837105,0.07427055,0.0073260074,0.055702917771883284,0.007326007326007326,0.07046377,0.003970163,True,WT vs Fezf2_KO,WT,Fezf2_KO
Efhc2,0.9376,0.06240000000000001,2.7097579938564973,3.3520286e-05,9.669009e-06,0.0,0.25,1.7569553,1.7325649,1.2773981,-3.5050516,6.670353,0.11936337,0.09157509,0.07161803713527853,0.09157509157509158,0.100313365,0.068901084,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm12248,0.929,0.07099999999999995,2.571428731691726,9.378564e-06,3.0882188e-06,0.0,0.25,1.6995953,1.6993589,1.8577254,-4.4127007,7.8404026,0.12201588,0.043956045,0.10610079575596827,0.03296703296703297,0.10272933,0.027293377,False,WT vs Fezf2_KO,WT,Fezf2_KO
Edn1,0.9296,0.07040000000000002,2.5805609916455206,4.3202464e-05,1.5477035e-05,0.0,0.25,1.5931932,1.549705,1.9764917,-4.1861115,7.7247763,0.3607429,0.11721612,0.19893899204244025,0.1098901098901099,0.33240873,0.13963854,False,WT vs Fezf2_KO,WT,Fezf2_KO
Zfp459,0.9134,0.08660000000000001,2.3558739806571807,8.571557e-06,2.9738567e-06,0.0,0.25,1.5885481,1.5117207,1.4352175,-2.7255325,6.936898,0.06366047,0.032967035,0.05039787798408488,0.03296703296703297,0.043365702,0.027238322,False,WT vs Fezf2_KO,WT,Fezf2_KO
Umodl1,0.935,0.06499999999999995,2.666159116242096,6.585087e-06,1.7362885e-06,0.0,0.25,1.5697907,1.5842714,2.482876,-8.02019,9.057552,0.063660465,0.021978023,0.05305039787798408,0.02197802197802198,0.033696353,0.007367092,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ube2cbp,0.9754,0.024599999999999955,3.6801008040858587,1.2671682e-05,4.2130505e-06,0.0,0.25,1.5580615,1.573101,0.70157814,-1.4684601,3.9955816,0.095490694,0.07326008,0.07692307692307696,0.06593406593406594,0.08006729,0.05468871,True,WT vs Fezf2_KO,WT,Fezf2_KO
Trim66,0.9254,0.0746,2.518085446021074,5.7762354e-06,2.0441728e-06,0.0,0.25,1.5485831,1.5620041,1.8596494,-4.252861,7.283655,0.05305039,0.021978023,0.05039787798408488,0.010989010989010988,0.04437795,0.016819961,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm12023,0.9318,0.06820000000000004,2.6146734986376408,2.9938003e-05,1.1838181e-05,0.0,0.25,1.5142782,1.5952506,2.0657682,-5.5710087,8.205755,0.122015886,0.05860806,0.0875331564986738,0.05128205128205129,0.099317215,0.06502237,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gucy1a1,0.9486,0.0514,2.9153488569717028,1.7099565e-05,7.391827e-06,0.0,0.25,1.5128654,1.3927999,3.5013034,-8.33721,11.71499,0.12466841,0.04761905,0.0875331564986738,0.04395604395604396,0.14233065,0.05561827,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sostdc1,0.9364,0.06359999999999999,2.689429118717184,9.251311e-06,3.1066747e-06,0.0,0.25,1.4609025,1.481164,2.888739,-8.928064,12.164788,0.08753313,0.0073260074,0.05305039787798408,0.007326007326007326,0.069602355,0.012214638,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm41177,0.9212,0.07879999999999998,2.4587640550345577,3.8859e-05,1.3715825e-05,0.0,0.25,1.4244288,1.437468,1.5464981,-4.1623077,7.1899242,0.12732093,0.124542125,0.0875331564986738,0.10622710622710624,0.11731631,0.122259036,False,WT vs Fezf2_KO,WT,Fezf2_KO
Tnni3k,0.9276,0.07240000000000002,2.550394178648677,6.284152e-06,2.6211274e-06,0.0,0.25,1.4212949,1.2174778,2.1716123,-6.169153,8.853217,0.05570291,0.025641026,0.05039787798408488,0.025641025641025644,0.055961408,0.03147124,False,WT vs Fezf2_KO,WT,Fezf2_KO
Tesmin,0.9222,0.07779999999999998,2.472620570897198,1.3071701e-05,5.16491e-06,0.0,0.25,1.4141535,1.4550371,1.0777075,-3.5988731,4.92686,0.06366047,0.021978023,0.055702917771883284,0.014652014652014652,0.056627616,0.013107849,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm12022,0.9276,0.07240000000000002,2.550394178648677,1.3755938e-05,5.543833e-06,0.0,0.25,1.4032259,1.4596777,1.9265869,-5.396661,8.246411,0.07427055,0.021978023,0.055702917771883284,0.02197802197802198,0.06414581,0.024826996,False,WT vs Fezf2_KO,WT,Fezf2_KO
Hdac9,0.9166,0.08340000000000003,2.397022753716137,3.0150324e-05,1.1749305e-05,0.0,0.25,1.3999608,1.4045663,1.4997963,-4.259487,7.289605,0.2254642,0.07692308,0.09283819628647222,0.0695970695970696,0.12598103,0.06752338,False,WT vs Fezf2_KO,WT,Fezf2_KO
Sh3rf2,0.9122,0.08779999999999999,2.340797660703828,2.4486213e-05,9.643311e-06,0.0,0.25,1.384153,1.3442879,1.2624612,-3.2905693,6.7479944,0.18832892,0.10622711,0.12732095490716194,0.09157509157509158,0.17621048,0.11035299,False,WT vs Fezf2_KO,WT,Fezf2_KO
Bgn,0.9406,0.05940000000000001,2.7622235854237056,1.36950675e-05,6.5688305e-06,0.0,0.25,1.3768927,1.3397198,3.0488865,-7.324318,9.958883,0.15649869,0.06959707,0.10610079575596827,0.05494505494505495,0.17630097,0.07366577,True,WT vs Fezf2_KO,WT,Fezf2_KO
Moxd1,0.9094,0.09060000000000001,2.306330728962968,4.8386017e-05,1.844151e-05,0.0,0.25,1.3732394,1.2976017,1.9377244,-4.823945,8.556635,0.11405832,0.0952381,0.07957559681697617,0.06593406593406594,0.11955224,0.09187353,False,WT vs Fezf2_KO,WT,Fezf2_KO
Mlkl,0.9164,0.08360000000000001,2.394409321783732,1.3535622e-05,5.7947705e-06,0.0,0.25,1.3528258,1.4024773,1.4180083,-3.582755,5.8749256,0.0689655,0.05860806,0.05039787798408488,0.05494505494505495,0.045767315,0.046633378,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gbp2b,0.9164,0.08360000000000001,2.394409321783732,1.3740315e-05,6.885626e-06,0.0,0.25,1.3503752,1.3790026,1.792085,-4.576084,7.835335,0.18037134,0.04029304,0.10875331564986748,0.010989010989010988,0.15904886,0.020055052,False,WT vs Fezf2_KO,WT,Fezf2_KO
Dock2,0.9142,0.08579999999999999,2.366030253792143,3.9068418e-05,1.8919352e-05,0.0,0.25,1.3309679,1.41717,1.460361,-4.305146,7.8758793,0.3103449,0.2857143,0.0875331564986738,0.09890109890109891,0.12977329,0.13575178,False,WT vs Fezf2_KO,WT,Fezf2_KO
Top2a,0.9152,0.08479999999999999,2.378846970829728,5.105752e-05,2.517662e-05,0.0,0.25,1.3199925,1.3717952,1.5919621,-6.7550573,7.2990856,0.15384613,0.53113556,0.06631299734748011,0.07326007326007326,0.1033509,0.16479827,False,WT vs Fezf2_KO,WT,Fezf2_KO
Khdrbs2,0.9164,0.08360000000000001,2.394409321783732,4.2047286e-05,1.8624214e-05,0.0,0.25,1.300607,1.3207517,1.1836863,-2.7837353,4.851844,0.16976129,0.07692308,0.05039787798408488,0.058608058608058615,0.11579879,0.06837601,False,WT vs Fezf2_KO,WT,Fezf2_KO
Itk,0.9316,0.06840000000000002,2.611530577917082,2.6925063e-05,1.4495914e-05,0.0,0.25,1.2905502,1.4063997,1.7272696,-5.5584326,8.189385,0.3050398,0.2893773,0.0636604774535809,0.07692307692307693,0.13175309,0.112567626,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pdcd1lg2,0.932,0.06799999999999995,2.6178249731802863,5.4120737e-05,2.1820813e-05,0.0,0.25,1.2856295,1.3837132,1.052345,-2.9223852,4.7577753,0.2387268,0.12820514,0.09283819628647222,0.08791208791208792,0.15413354,0.0983999,False,WT vs Fezf2_KO,WT,Fezf2_KO
Fkbp14,0.9154,0.08460000000000001,2.3814267543282472,7.762454e-06,3.1895488e-06,0.0,0.25,1.2840574,1.2528954,0.8981426,-1.967741,4.6331787,0.07427054,0.03663004,0.06631299734748011,0.03663003663003663,0.065263286,0.02900543,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gpx2,0.9238,0.07620000000000005,2.49513401489517,1.2781891e-05,5.000833e-06,0.0,0.25,1.2710931,1.3535185,1.9123851,-7.504651,7.14898,0.11140582,0.014652015,0.05039787798408488,0.014652014652014652,0.10504272,0.014701197,False,WT vs Fezf2_KO,WT,Fezf2_KO
Dnah11,0.9134,0.08660000000000001,2.3558739806571807,1.9083469e-05,8.957786e-06,0.0,0.25,1.2639107,1.1791835,2.0054603,-5.34762,7.7739916,0.14058354,0.09157509,0.11671087533156511,0.07326007326007326,0.13616343,0.110214144,False,WT vs Fezf2_KO,WT,Fezf2_KO
Il18,0.9204,0.0796,2.447794150547582,6.921012e-06,3.0824465e-06,0.0,0.25,1.2636522,1.2893801,1.1141566,-3.3654346,5.337511,0.08753314,0.04029304,0.07692307692307696,0.03296703296703297,0.0660038,0.025846912,False,WT vs Fezf2_KO,WT,Fezf2_KO
Fhl1,0.908,0.09199999999999997,2.289455703869823,1.1720014e-05,5.5293435e-06,0.0,0.25,1.2460812,1.2838631,1.5396376,-4.4722357,6.4608507,0.11405832,0.05860806,0.10079575596816985,0.05494505494505495,0.103817895,0.058255237,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm47775,0.9132,0.08679999999999999,2.3533481887324736,7.4218706e-06,2.8715162e-06,0.0,0.25,1.2370045,1.2719641,1.8669226,-6.4091167,8.001371,0.0689655,0.043956045,0.055702917771883284,0.040293040293040296,0.047680415,0.026375987,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ano4,0.9184,0.0816,2.42080365193473,1.2663561e-05,7.751854e-06,0.0,0.25,1.2331768,1.2261868,2.0352967,-4.975065,7.9079065,0.11936336,0.07692308,0.06896551724137932,0.0695970695970696,0.104463354,0.09052947,False,WT vs Fezf2_KO,WT,Fezf2_KO
Aph1c,0.8998,0.10019999999999996,2.195004239069495,1.179462e-05,5.0500853e-06,0.0,0.25,1.231855,1.2390165,0.99419135,-2.4436283,4.47104,0.0689655,0.032967035,0.0636604774535809,0.03296703296703297,0.050060242,0.02734159,False,WT vs Fezf2_KO,WT,Fezf2_KO
Terb2,0.9324,0.0676,2.6241537869087113,2.7863225e-05,1.5724037e-05,0.0,0.25,1.2207206,1.2392206,2.575335,-7.2597218,9.314844,0.23342179,0.10622711,0.10610079575596827,0.05494505494505495,0.17121258,0.06660193,False,WT vs Fezf2_KO,WT,Fezf2_KO
Rtbdn,0.9146,0.08540000000000003,2.37114060426716,1.5253869e-05,7.521297e-06,0.0,0.25,1.2066883,1.1966038,1.8490782,-5.3303814,7.569187,0.09814323,0.03663004,0.0636604774535809,0.03663003663003663,0.079351805,0.03653385,False,WT vs Fezf2_KO,WT,Fezf2_KO
Il13ra2,0.9076,0.09240000000000004,2.2846766770510154,3.5747806e-05,1.5885813e-05,0.0,0.25,1.2026081,1.2299824,1.1924751,-3.6878452,6.383213,0.14058356,0.032967035,0.06896551724137932,0.025641025641025644,0.11307235,0.037139755,False,WT vs Fezf2_KO,WT,Fezf2_KO
Abcg2,0.92,0.07999999999999996,2.4423469212387783,1.1778908e-05,5.666612e-06,0.0,0.25,1.1970261,1.2881618,1.6865823,-6.754922,6.4046726,0.07161802,0.08424909,0.06631299734748011,0.05128205128205129,0.05715011,0.06987338,False,WT vs Fezf2_KO,WT,Fezf2_KO
Rab38,0.9138,0.08620000000000005,2.3609414463935625,1.8272069e-05,8.543927e-06,0.0,0.25,1.195533,1.1573067,1.3151978,-3.8745985,6.836087,0.19363396,0.0952381,0.1671087533156499,0.08058608058608059,0.16801596,0.0860286,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pgap1,0.8972,0.1028,2.1664933634945154,1.1243307e-05,4.8807415e-06,0.0,0.25,1.1917998,1.1711264,1.0288345,-3.1012163,4.689172,0.09018566,0.05860806,0.07161803713527853,0.05128205128205129,0.08501683,0.039008383,False,WT vs Fezf2_KO,WT,Fezf2_KO
Il12rb2,0.9048,0.09519999999999995,2.2517338890147465,1.0434963e-05,4.7501794e-06,0.0,0.25,1.1886652,1.2232575,1.5379769,-4.1384983,5.5653,0.092838176,0.043956045,0.0875331564986738,0.040293040293040296,0.09095544,0.034523986,False,WT vs Fezf2_KO,WT,Fezf2_KO
Cyb5r1,0.8976,0.10240000000000005,2.1708377356475985,1.7839928e-05,7.1340323e-06,0.0,0.25,1.1842833,1.1534858,1.042723,-1.9511604,4.696269,0.10344825,0.07692308,0.09283819628647222,0.0695970695970696,0.09145724,0.066656515,False,WT vs Fezf2_KO,WT,Fezf2_KO
Zbtb16,0.9208,0.07920000000000005,2.4532664431847957,4.711822e-05,2.146141e-05,0.0,0.25,1.1805427,1.2191157,2.1562865,-7.450121,8.563186,0.4084884,0.2014652,0.27320954907161776,0.16483516483516472,0.40014473,0.23027435,False,WT vs Fezf2_KO,WT,Fezf2_KO
Mcm3,0.9156,0.08440000000000003,2.3840120789148944,1.0216236e-05,4.982027e-06,0.0,0.25,1.1793218,1.2578034,1.2950625,-4.627597,5.4931793,0.06100795,0.10989011,0.05305039787798408,0.04761904761904762,0.050565127,0.04940862,False,WT vs Fezf2_KO,WT,Fezf2_KO
Slc35e1,0.9424,0.057599999999999985,2.794907082195586,2.5134019e-05,1.1101355e-05,0.0,0.25,1.1735401,1.2022786,0.6203692,-1.3854771,3.2165794,0.114058316,0.102564104,0.09549071618037143,0.08424908424908426,0.07597275,0.07419561,True,WT vs Fezf2_KO,WT,Fezf2_KO
Rhof,0.9008,0.09919999999999995,2.2061451533893965,1.6342334e-05,7.773872e-06,0.0,0.25,1.166576,1.2062969,1.2790599,-3.6824503,6.051509,0.11671084,0.06959707,0.08222811671087538,0.06227106227106228,0.113407284,0.052693754,False,WT vs Fezf2_KO,WT,Fezf2_KO
Arhgef4,0.9166,0.08340000000000003,2.397022753716137,9.645402e-06,4.2394486e-06,0.0,0.25,1.1662014,1.2129688,1.8829082,-5.7192373,6.4703903,0.055702906,0.04761905,0.05305039787798408,0.040293040293040296,0.06127439,0.041744255,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm28529,0.9192,0.08079999999999998,2.431526648124153,1.217396e-05,5.244444e-06,0.0,0.25,1.1631639,1.204668,0.9077754,-3.1767225,4.4077835,0.0689655,0.021978023,0.06631299734748011,0.02197802197802198,0.056279786,0.019493897,False,WT vs Fezf2_KO,WT,Fezf2_KO
Tmem154,0.8994,0.10060000000000002,2.1905755283859176,1.4986226e-05,6.9833977e-06,0.0,0.25,1.1562934,1.1963205,1.1508209,-3.3596296,4.8411493,0.079575576,0.051282052,0.06896551724137932,0.05128205128205129,0.077479675,0.060649887,False,WT vs Fezf2_KO,WT,Fezf2_KO
Dhcr24,0.9206,0.07940000000000003,2.4505271480479554,1.1973515e-05,5.536067e-06,0.0,0.25,1.1472421,1.1821423,0.79004514,-2.3417788,4.3060417,0.10344824,0.06593407,0.09283819628647222,0.06227106227106228,0.07681188,0.04200951,False,WT vs Fezf2_KO,WT,Fezf2_KO
Peg13,0.9086,0.09140000000000004,2.2966593764619567,1.2211511e-05,5.9237505e-06,0.0,0.25,1.127998,1.0624633,1.6606139,-4.3186865,6.497752,0.12466839,0.051282052,0.1114058355437667,0.05128205128205129,0.12437442,0.04966338,False,WT vs Fezf2_KO,WT,Fezf2_KO
3110009E18Rik,0.9292,0.07079999999999997,2.5744648697155985,1.7174661e-05,7.801538e-06,0.0,0.25,1.1229976,1.0788245,0.6677914,-1.1398582,3.7565632,0.19628653,0.124542125,0.1644562334217507,0.10622710622710624,0.1485364,0.09645798,False,WT vs Fezf2_KO,WT,Fezf2_KO
Selplg,0.9142,0.08579999999999999,2.366030253792143,1.1477189e-05,6.6662647e-06,0.0,0.25,1.0975018,1.1911907,1.9186392,-5.617899,7.630356,0.16710874,0.15018316,0.06631299734748011,0.06593406593406594,0.06983999,0.055273015,False,WT vs Fezf2_KO,WT,Fezf2_KO
Socs2,0.9044,0.09560000000000002,2.2470988268010084,2.5474095e-05,1.1871281e-05,0.0,0.25,1.0775317,1.0651584,1.2302599,-3.2176561,5.457985,0.116710864,0.05860806,0.055702917771883284,0.05494505494505495,0.09856268,0.061015174,False,WT vs Fezf2_KO,WT,Fezf2_KO
Poln,0.8884,0.11160000000000003,2.074500963723522,1.2918721e-05,6.305898e-06,0.0,0.25,1.0691359,1.0223465,1.1689651,-2.7122698,5.309124,0.07692307,0.051282052,0.05039787798408488,0.040293040293040296,0.04872824,0.036753498,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm21887,0.9404,0.059599999999999986,2.7586495854431625,1.0475706e-05,5.0420895e-06,0.0,0.25,1.0620291,1.0905914,0.5411658,-1.2606602,3.534377,0.1246684,0.06959707,0.11671087533156511,0.0695970695970696,0.10640111,0.04987472,True,WT vs Fezf2_KO,WT,Fezf2_KO
Runx2,0.899,0.10099999999999998,2.1861624297439355,2.0324791e-05,9.542601e-06,0.0,0.25,1.0592602,1.0674081,1.0554312,-2.4685736,5.1115675,0.106100775,0.02930403,0.07161803713527853,0.025641025641025644,0.09866736,0.031176182,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ppil6,0.9052,0.0948,2.256386410060462,7.659054e-06,3.8202616e-06,0.0,0.25,1.0545955,1.0685539,0.848985,-2.381136,4.1921005,0.082228094,0.051282052,0.07427055702917774,0.04761904761904762,0.06303797,0.045689415,False,WT vs Fezf2_KO,WT,Fezf2_KO
Igfbp6,0.9112,0.08879999999999999,2.328375660496781,1.6638862e-05,9.149886e-06,0.0,0.25,1.0543014,1.113514,1.8850497,-6.610774,6.80427,0.07161803,0.03663004,0.05305039787798408,0.03296703296703297,0.07429964,0.035160843,False,WT vs Fezf2_KO,WT,Fezf2_KO
Ces2f,0.896,0.10399999999999998,2.1535494288404307,1.1185033e-05,5.317112e-06,0.0,0.25,1.0529063,1.0613508,1.3960772,-3.9022036,5.9852924,0.1803714,0.062271062,0.12732095490716194,0.058608058608058615,0.11236039,0.04667857,False,WT vs Fezf2_KO,WT,Fezf2_KO
Rsf1os2,0.89,0.10999999999999999,2.0907410172606378,8.990224e-06,4.175667e-06,0.0,0.25,1.0495502,1.0555191,1.2167801,-3.3910637,4.911558,0.061007947,0.021978023,0.05305039787798408,0.02197802197802198,0.046086166,0.024324957,False,WT vs Fezf2_KO,WT,Fezf2_KO
Zfp990,0.8836,0.11639999999999995,2.026971861655314,8.470022e-06,3.961864e-06,0.0,0.25,1.0452254,1.0105982,1.2351756,-3.3044024,5.326518,0.10344824,0.062271062,0.0875331564986738,0.058608058608058615,0.085234255,0.050484862,False,WT vs Fezf2_KO,WT,Fezf2_KO
Tti1,0.8904,0.10960000000000003,2.094833345437455,2.0321842e-05,9.7850325e-06,0.0,0.25,1.0405885,1.0878448,0.99914783,-2.3419647,4.486603,0.111405805,0.124542125,0.09018567639257301,0.10622710622710624,0.086017184,0.10825655,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pde3b,0.8942,0.1058,2.134378861040908,2.6769176e-05,1.43745765e-05,0.0,0.25,1.0395691,1.0345435,1.5614848,-4.4254503,6.767418,0.2334218,0.05860806,0.09283819628647222,0.05128205128205129,0.12049885,0.04181412,False,WT vs Fezf2_KO,WT,Fezf2_KO
Adck2,0.8992,0.1008,2.1883670354168103,2.7572345e-05,1.3161193e-05,0.0,0.25,1.0364918,1.0605063,0.7054048,-1.8312359,3.2579556,0.14058354,0.0989011,0.11936339522546432,0.09157509157509158,0.09740543,0.07304751,False,WT vs Fezf2_KO,WT,Fezf2_KO
1810021B22Rik,0.8812,0.11880000000000002,2.0038431351727244,8.508793e-06,4.1321414e-06,0.0,0.25,1.0311613,1.0210342,1.1445323,-2.5665054,5.2644253,0.06100795,0.032967035,0.055702917771883284,0.03296703296703297,0.05484471,0.03433959,False,WT vs Fezf2_KO,WT,Fezf2_KO
Dmrtc1a,0.9268,0.07320000000000004,2.5385422457687565,7.1285644e-06,3.428451e-06,0.0,0.25,1.0262163,1.1620636,2.146917,-7.620859,8.256926,0.095490694,0.021978023,0.07692307692307696,0.018315018315018316,0.07509139,0.021832064,False,WT vs Fezf2_KO,WT,Fezf2_KO
Gm5627,0.9108,0.08919999999999995,2.3234421934753633,2.6825282e-05,1.4879599e-05,0.0,0.25,1.0008492,1.0160527,1.9127873,-5.2193937,6.5196686,0.16180371,0.08424909,0.09018567639257301,0.06593406593406594,0.12633333,0.09256422,False,WT vs Fezf2_KO,WT,Fezf2_KO
Oas1c,0.8996,0.10040000000000004,2.1927879243419945,1.0872934e-05,5.149858e-06,0.0,0.25,1.0005873,1.0560951,1.5537944,-4.084073,5.88863,0.09283819,0.07326008,0.06896551724137932,0.06227106227106228,0.08161198,0.06558726,False,WT vs Fezf2_KO,WT,Fezf2_KO
Carmn,0.8946,0.10540000000000005,2.13861397119301,4.8866223e-05,9.059096e-05,0.0,0.25,-1.0041375,-1.047255,1.2220361,-5.4908504,3.5916195,0.67108804,1.1868138,0.3076923076923073,0.4175824175824166,0.46200868,0.85259056,False,WT vs Fezf2_KO,WT,Fezf2_KO
Galnt3,0.9206,0.07940000000000003,2.4505271480479554,8.177612e-06,1.6301854e-05,0.0,0.25,-1.0168868,-1.1018138,0.7063253,-3.7624178,2.023099,0.10875328,0.06959707,0.09549071618037143,0.05494505494505495,0.08192104,0.055047646,False,WT vs Fezf2_KO,WT,Fezf2_KO
Pcgf1,0.8982,0.1018,2.177382569438771,7.5153753e-06,1.5029389e-05,0.0,0.25,-1.0208111,-1.0440922,0.7965481,-3.5200768,1.9926777,0.058355425,0.10989011,0.05835543766578249,0.08791208791208792,0.050880775,0.07717291,False,WT vs Fezf2_KO,WT,Fezf2_KO
Fam107a,0.905,0.09499999999999997,2.2540579578859568,1.8586208e-05,4.037285e-05,0.0,0.25,-1.0224034,-1.1265616,1.4801276,-6.4827747,5.479869,0.23076926,0.35897437,0.1671087533156499,0.2710622710622706,0.18318681,0.3762197,False,WT vs Fezf2_KO,WT,Fezf2_KO
