,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Clca4b,0.9836,0.01639999999999997,4.093937375922709,0.0021459924,0.0001570111,0.0,0.25,4.8163986,4.755647,2.7004366,-4.2633934,15.497341,3.2153893,0.06457626,0.29572649572649495,0.018085315510123857,14.78669,0.44221008,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
2200002D01Rik,0.9778,0.022199999999999998,3.7852124210430027,0.008331563,0.001391834,0.0,0.25,3.0082815,3.0871134,1.5795681,-2.0990572,8.442549,17.071802,1.4832277,0.9487179487179457,0.3866719087870976,78.21323,11.799204,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Ccl6,0.9778,0.022199999999999998,3.7852124210430027,0.008462382,0.00041614004,0.0,0.25,4.5404196,4.6752734,2.9166753,-5.870268,15.403705,22.528194,0.274719,0.5418803418803403,0.06605071751523445,81.80631,1.6166426,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Muc13,0.9772,0.022800000000000042,3.757930375060113,0.0052192146,0.0007495897,0.0,0.25,3.563968,3.5468106,2.0467718,-3.4184222,11.749682,10.099163,0.74070746,0.8666666666666639,0.163160998623941,50.265533,4.7931314,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Ccl20,0.9736,0.02639999999999998,3.607636163004399,0.02260639,0.001474241,0.0,0.25,4.068432,4.1919346,2.7558882,-5.157932,12.114565,84.08714,2.1683948,0.7572649572649549,0.22606644387654445,326.37897,14.768926,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Guca2b,0.9706,0.02939999999999998,3.4969194327933892,0.0040685916,0.00030807286,0.0,0.25,3.5093875,3.6799905,3.1594555,-8.938804,13.191132,7.324794,0.18026279,0.4119658119658108,0.055632003145272,38.364376,1.4427097,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Gm37800,0.9694,0.03059999999999996,3.4556769979712687,0.00045353526,4.5172055e-05,0.0,0.25,2.0385013,2.4189095,4.359254,-12.254411,15.827972,0.7111111,0.008747791,0.14529914529914503,0.005504226459602903,2.8816502,0.082455635,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Ccl9,0.968,0.03200000000000003,3.409495882307477,0.0061351554,0.00060169806,0.0,0.25,3.5066886,3.6631935,2.5078683,-6.512354,13.815193,14.456407,0.51346284,0.7521367521367498,0.1385885590721428,65.01579,3.4950306,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Fabp1,0.9676,0.032399999999999984,3.3966600576305104,0.006173805,0.00047575208,0.0,0.25,3.776129,3.757083,3.1642158,-7.05311,13.774531,14.464955,0.3635728,0.5179487179487164,0.0639866325928834,60.97442,3.1026294,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
Lgals4,0.9654,0.034599999999999964,3.3286885625038165,0.004847205,0.0008054491,0.0,0.25,3.0208068,3.0533168,2.3263962,-5.347701,14.402834,9.133349,0.96117014,0.7333333333333311,0.17525063888342574,44.604935,5.9168124,True,PA 1 (Gp2) vs Rest,PA 1 (Gp2),Rest
